miliseconds,Ca_Nuc,Ca_Cyt,NFAT_Nuc,Act_C_Nuc,NFAT_Pi_Nuc,NFAT_Act_C_Nuc,NFAT_Pi_Act_C_Nuc,Inact_C_Nuc,NFAT_Cyt,Act_C_Cyt,NFAT_Pi_Cyt,NFAT_Act_C_Cyt,NFAT_Pi_Act_C_Cyt,Inact_C_Cyt
0,1.000203233873526,1.000738467698415,0.0004975174247726091,-0.00036055266107957307,0.0002273136319180564,0.000983959852746816,1.9248016623036927e-06,0.0496116677832821,0.00011034340230080355,5.3382274575693235e-05,0.00945311028778211,6.6789241934934286e-06,-1.3512466707381934e-06,0.009797133340793488
100,0.9916336802531999,0.9979078026148193,0.000488323396986689,0.004099768077573659,0.00022532012100151235,0.0010022321530529159,3.735379789337425e-06,0.04600406685956713,0.00011018667504216398,0.000625930205151769,0.009419820490803301,1.0548697628001784e-05,7.112808909875747e-06,0.008989861739797234
200,0.9845178433339817,0.9955391260737446,0.0005097733353267956,0.005992254157188659,0.00022435840620497512,0.0009575343279678507,4.851069451700642e-06,0.043973476929873634,0.00010990267459878766,0.0011317235195306295,0.009427736116374177,9.844610116038534e-06,2.390568301777631e-05,0.008534350861061892
300,0.9777421309375536,0.9934164850771049,0.0004742741258556073,0.008556259921050743,0.00022236760356617814,0.0010178735030612956,6.347035028318757e-06,0.04019535857982706,0.00011004380108314925,0.0017269084529001981,0.009408281397259475,1.1502794365315142e-05,3.0649038376601936e-05,0.008008675678881338
400,0.9703761085933493,0.9919868043323766,0.0005120568267316913,0.01015112266519914,0.00022107809722700568,0.0009935114801243748,6.697368018445408e-06,0.037798875448204115,0.00010950150438764051,0.002177358609038816,0.009394875985156924,1.0390353988195832e-05,3.9727160746909105e-05,0.00750614377019841
500,0.9695826124882478,0.9910301632881702,0.00046900544578374763,0.012589719179429165,0.00022126476400297318,0.0009600281208356066,7.698096320021156e-06,0.03650085773048397,0.00010911349832534584,0.0021830673743678717,0.009357468557185828,2.3334612866601537e-05,5.290643556721675e-05,0.007420229147026502
600,0.9678037504984686,0.9896100179702542,0.00047602969051792343,0.013926261825255672,0.00021784501766815393,0.0010972301680239002,9.183938662124179e-06,0.036131958212124116,0.00010876641468805714,0.0023053945852023004,0.009343387398072375,2.4076985473329437e-05,6.478686069850658e-05,0.0072345921007103044
700,0.9671054474574674,0.9891044385848458,0.0004709326602725462,0.013966345558081374,0.00021717064631420163,0.0010593985093645738,9.468412413645706e-06,0.035104610505477196,0.00010866593284682499,0.0023722473876868007,0.009312551974768631,3.5610743447666296e-05,7.133914724680453e-05,0.007237809152940971
800,0.964046770943948,0.9878883801729553,0.00045752833073798015,0.01547414161390903,0.0002154728918759891,0.0011345192889959674,1.1103794126181054e-05,0.03447161954709172,0.00010829005005952319,0.0024869337197612885,0.009267262616243166,4.006770264139197e-05,8.454730287139965e-05,0.006969024993341274
900,0.9628848300217995,0.9860680117750882,0.00044991627490068855,0.016053323549717727,0.00021292967334462864,0.0011347110750016863,1.1723891721718895e-05,0.032162066473240075,0.00010783720605916618,0.002648021355499317,0.009252215909534163,4.688378438651953e-05,9.245089766627241e-05,0.006913766598055312
1000,0.9610874789890225,0.9858299222355729,0.0004902037666159258,0.01752976591258359,0.00021211714803830766,0.001171553717210506,1.2455244187600975e-05,0.03158985858650262,0.00010752074994287943,0.002759996992350632,0.009220738962688706,5.074933462291253e-05,0.00010058781628510355,0.006841412292940736
1100,0.9609534946716856,0.9835817108342751,0.0004507666208491643,0.018266286453998956,0.00021051515586615553,0.0012159260721848338,1.2791975019218799e-05,0.03006168324968693,0.00010736800524888083,0.00272114873065668,0.00919357862780584,6.151287191302795e-05,0.00010586650965492035,0.006659557094906313
1200,0.9586830187707611,0.9835232024562227,0.0004748360078410827,0.0191218087018875,0.00020738826193601804,0.0012630850351020891,1.4051553818440509e-05,0.029300108182020515,0.00010736016104718559,0.0029198755377043326,0.009160753300058536,7.153681979201388e-05,0.00011845595874026543,0.006640671729798395
1300,0.9562684461342987,0.9819006058476507,0.0004473824768882853,0.021460279716116235,0.00020520856650605435,0.0012891432794129643,1.5211744069396787e-05,0.028731407169148918,0.00010672527709105608,0.0030370302392163494,0.00913341654607057,7.474769733424182e-05,0.00012573150791552474,0.006508638116072815
