milliseconds,Tn,Ts,M1,M2,Th1,Th2
0,72319.84727340528,1116721.1033219034,-2158.0207319533424,103.41979523493316,-34.24640566680756,0.0255703494348228
100,34806.596109717946,1031353.388487995,-3747.1741739142017,98.43314772886052,74.59082917217495,0.060687569095327513
200,-25347.12254445986,1269728.2260977214,-2086.9715824846216,94.68038009473597,12.69863702429839,0.16732793716734978
300,69114.16948230873,1120795.2439953098,4205.832842044118,93.85632847022327,-24.848215961541165,0.27616720731404115
400,177676.59186990047,1261324.152966731,-126.57437342967864,94.82711716154063,70.55519677239117,0.3308036039184771
500,-49741.50167983181,1437195.2891709697,2202.589634446523,90.73459271167401,45.998891227461264,0.36885716529866586
600,58562.34179457357,1241267.4114804568,-991.3094580603844,86.57921828375066,-71.98485490762636,0.5179436627823633
700,178939.47539677448,1272701.3170504312,2127.7035510284945,86.4616703473535,-13.669173098944531,0.4276449760491391
800,192239.57235243713,1258769.1828849867,-3490.0989080988916,85.99906101457482,72.98271437655347,0.5074554185922453
900,95011.23668985201,1600767.817984094,3780.4132521986708,81.09261937939772,-76.2949152215469,0.6503312155438581
1000,238626.94433013466,1465295.193320893,-178.5171454292672,82.25988570690514,-67.58127323721929,0.7898817549777789
1100,203271.67247084202,1549093.3935497317,2021.744603555784,78.8565272798847,-73.64915651492475,0.7013409930282394
1200,332062.27154367836,1660780.3754979777,-1287.2243543999252,75.6063835801953,78.85697355537471,0.8146202221304949
1300,385562.77574975765,1698147.2954302889,-3529.343731902103,78.3302923747637,37.99383566532587,0.8542853854815468
1400,304567.6827925941,1951547.3612784634,3116.894718585715,75.43654157391174,-59.04873350969357,0.9009965000706612
1500,294211.2940317568,1990103.6868825722,345.51712521701,76.90724419512809,-47.584255171441804,1.0059239080408378
1600,228439.6355696241,2178788.7149267537,1307.5520848372425,72.88394507596469,49.09128112615481,1.0121627495575234
1700,305402.17070188886,2165429.6654986287,-2077.3919048408516,73.53600801466817,-45.91491732704946,1.1069064427905977
1800,577887.9825192371,2341627.445304458,4424.739618898376,70.50961307112952,30.692117189710544,1.2317705105034333
1900,425049.9044374058,2502995.37831665,4960.548898859465,69.39726247896218,-17.99558596417733,1.2865236394425665
2000,548240.1901767765,2550933.93177393,758.4537996312188,65.64757142224131,51.26518666980921,1.2898434806551307
2100,623468.5287337437,2650927.369885103,4145.941797926291,68.09824056957538,-20.525048236495984,1.3220244574222955
2200,619350.615697184,2747573.5792517336,1893.1862082797716,66.1756124342985,71.56711817065323,1.3744651656869835
2300,834294.4554164206,2855301.713421323,2454.48256845365,65.48222233988503,52.77808406612857,1.467162254735029
2400,868094.0410157907,3112552.6822299967,5370.295116778803,67.42267396078633,37.61618100003484,1.3652285134124962
2500,868397.0613978715,3035086.4031167277,3724.9829148969816,64.27344807026162,66.86216844631663,1.459148367196972
2600,983581.0811775452,3137992.725139371,9580.425211847916,60.98359766312133,26.300907229677197,1.6087506869503216
2700,999047.400863042,3439255.198279666,12543.29332422073,60.859613618293345,57.14484963658218,1.6476666768606716
2800,1204798.6404325804,3438588.0024090447,18632.551274324884,61.19332143732153,-23.121697328473438,1.7048358858640555
2900,1242224.0148890477,3793436.1397984847,19126.84362023291,66.9068435935294,135.41168153283542,1.6530801771896484
3000,1313822.9279061113,3760462.4460062883,22604.21777661119,65.33588220632974,135.2806762037979,1.686371345913396
3100,1622524.8060514133,4004932.4300874276,33819.43519021241,65.77627040537006,85.90596076304374,1.7235230598886795
3200,1578610.3341329754,4357748.676220223,44536.133283160656,66.40186371084373,184.58834390597784,1.7266183068891885
3300,1647573.5522707903,4539705.970715615,50327.980279226314,71.45983751209802,238.1184629239267,1.8183706704086466
3400,1742723.6541714743,4740821.562609702,59520.73370246026,73.61304303660219,161.5077958822589,1.9010810997190724
3500,1988275.755788035,4693643.123562775,71964.21912299035,76.74766793843696,284.3786933426877,1.9551228620499432
3600,2161217.7422256907,4995689.517624399,76992.38859432533,82.86302789740371,333.2603654049239,2.038786884272878
3700,2305730.6069513955,4919147.728274292,84074.90908221695,85.29193348969191,437.79616859359487,2.0345502391575736
3800,2517371.4159756964,5158533.131416046,84598.23097779338,89.94784322563946,572.3319253841755,2.161284689716168
3900,2659302.957836487,5402987.634243422,88286.62876782398,94.92037767587517,637.7099993370746,2.1724342984349545
4000,2782911.3913098685,5532694.576956765,93068.34525505822,106.91073900263386,804.601963569499,2.2993997046157113
4100,2955600.355304278,5501471.592212937,91854.20766431841,116.42050589197656,963.3099203021684,2.3289686584310068
4200,3044293.1436950355,5739636.829453867,92071.10216476694,122.5621655584287,1203.7401254002596,2.478692455773617
4300,3283391.308100862,6030264.2349910615,95042.93611699269,133.24008404834794,1400.25504875393,2.5762303733190506
4400,3530847.1027763234,6002500.3801021315,98946.96811149447,141.14152625294105,1552.2794562406652,2.589047926802315
4500,3647962.9856050173,6136234.273523233,96431.0089328538,154.63987649104942,1763.2591747792646,2.6981927199194464
4600,3754329.5512504554,6503461.497876079,97750.56695450915,167.57064549615265,2029.1365028298194,2.737174118271562
4700,4017348.66607478,6602983.623598432,96476.21485870643,176.98062351161843,2235.277646407136,2.9659206348250122
4800,4105011.050953636,6959432.8400114,97665.8528472673,194.3391251281038,2525.753648041786,3.0173679642893623
4900,4513048.240866144,7031367.343299646,96165.54523495375,209.2933349931384,2806.379365486003,3.171490728662942
5000,4619751.823230078,7221131.159430886,94535.80887703007,229.6876427182341,3055.108373814139,3.3854868251152497
