milliseconds,EpoRJAK2,EpoRpJAK2,p1EpoRpJAK2,p2EpoRpJAK2,p12EpoRpJAK2,EpoRJAK2_CIS,SHP1,SHP1Act,STAT5,pSTAT5,npSTAT5,CISnRNA1,CISnRNA2,CISnRNA3,CISnRNA4,CISnRNA5,CISRNA,CIS,SOCS3nRNA1,SOCS3nRNA2,SOCS3nRNA3,SOCS3nRNA4,SOCS3nRNA5,SOCS3RNA,SOCS3,Epo
0,3.97622,0.0,0.0,0.0,0.0,0.0,26.7251,0.0,79.7535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24997e-07
100,3.9448706204085298,0.029729466262271003,0.00039426670610100085,0.0012040795768146957,2.1567046560954736e-05,0.0,26.72508945364277,1.054635723774516e-05,79.75104078778445,0.002457012449853156,3.1996591943118212e-06,1.0009997328408779e-06,2.8967726528478903e-09,7.003081710503709e-12,1.4573727031354904e-14,2.6711317490359347e-17,2.4627540646113312e-21,1.0095793060132754e-22,8.166142789143575e-12,1.7165821243542978e-13,3.024594830434376e-15,4.5968107469109526e-17,6.160844723757165e-19,5.151921072692323e-21,8.86877510526851e-19,1.24997e-07
200,3.9137690196690538,0.056209274273109136,0.0014787606873987898,0.004597412051297545,0.0001655333441841157,0.0,26.725057937169314,4.206283069789522e-05,79.74367085118634,0.00981161355612743,2.5505829118257507e-05,1.5919645552641092e-05,9.196619162662552e-08,4.437413121871697e-10,1.8413914697301714e-12,6.719187275975168e-15,6.432335808749195e-19,5.265788890293848e-20,1.2755749515068913e-10,5.287710010115267e-12,1.8431346942388967e-13,5.548177507800733e-15,1.4724533406644944e-16,2.461267458725802e-18,4.2554255687800767e-16,1.24997e-07
300,3.8829148024933815,0.07976956375830993,0.0031211361798505846,0.009878282944549595,0.0005362146523666451,0.0,26.72500563404559,9.436595441856218e-05,79.73133310707571,0.022107830034278977,8.590965815749332e-05,8.018665756408618e-05,6.932815130969574e-07,5.003604257754051e-09,3.1000136487292813e-11,1.6835668869044715e-13,1.6322840930906013e-17,1.9853125694004224e-18,6.312419003313763e-10,3.869300290918696e-11,2.0000901519076153e-12,8.932008036422213e-14,3.5112827732415754e-15,8.755484156814152e-17,1.5159659274817503e-14,1.24997e-07
400,3.8523085816208917,0.10070639082262367,0.005207198199445102,0.016777421279036645,0.0012204081038181336,0.0,26.72493272771075,0.00016727228925862716,79.71382435244057,0.03953560616066467,0.00020369658001420004,0.00025248880371287234,2.903655961804518e-06,2.7894203379769085e-08,2.3007727042435514e-10,1.6632179511774907e-12,1.6230973986270846e-16,2.6321549869066873e-17,1.9533905826617635e-09,1.573556313361626e-10,1.0731971166683886e-11,6.338277175254237e-13,3.2994616278756984e-14,1.1016651865956772e-15,1.9088905762693532e-13,1.24997e-07
500,3.8219519413432224,0.11928534324959088,0.007638657327242281,0.025054510100907364,0.0022895480054838492,0.0,26.72483940224045,0.0002605977595634722,79.69073416777483,0.06249142796165903,0.0003991334741769104,0.0006152055949982489,8.81726167353096e-06,1.0567393060191267e-07,1.0879070712986583e-09,9.816600275782734e-12,9.617520926169645e-16,1.949870068097223e-16,4.679185364783359e-09,4.641488017461153e-10,3.914637206503544e-11,2.8664377258740827e-12,1.8528690332286945e-13,7.769974628033914e-15,1.3469290615884252e-12,1.24997e-07
600,3.7918474011779724,0.13574476350181422,0.010331153420467958,0.03449508233543978,0.003801599590361758,0.0,26.724725842985528,0.0003741570144842589,79.66139191589865,0.09163070403339149,0.0006943710079103522,0.0012758324789056742,2.1860748889203167e-05,3.1366091523706875e-07,3.868440910696168e-09,4.182677847783364e-11,4.108627946720935e-15,9.996820270845809e-16,9.543638029706456e-09,1.118324284039646e-09,1.1192367390698093e-10,9.75215616189382e-12,7.514082200745366e-13,3.79950960852017e-14,6.588429304080065e-12,1.24997e-07
700,3.7619983795045995,0.15029862170072178,0.013212517033236658,0.04490776009107132,0.005802721696470145,0.0,26.724592237185767,0.0005077628142456491,79.6248215289345,0.12791223307621197,0.001114527984382583,0.0023696251719726117,4.715258694356243e-05,7.870807904006151e-07,1.1303405869645027e-08,1.4237583830886277e-10,1.4011820396014464e-14,3.978463661894089e-15,1.7440398196228272e-08,2.3453159867538844e-09,2.706539405678508e-10,2.7274152238850298e-11,2.4351274865824258e-12,1.4437302690900204e-13,2.5039911995240518e-11,1.24997e-07
800,3.73240915697772,0.16313907813275394,0.016221239727093356,0.056121798257409435,0.008328726931149773,0.0,26.72443877455857,0.0006612254414513393,79.57970382183913,0.17263504174376612,0.0016889256975747835,0.004063651071887072,9.190514470498002e-05,1.7473535589457344e-06,2.8615015307907726e-08,4.1125813758607886e-10,4.0530767556551144e-14,1.3155235073796084e-14,2.944115562265277e-08,4.446984154561128e-09,5.793310828143477e-10,6.611464342517095e-11,6.6990235655261634e-12,4.56153796933158e-13,7.912747359313596e-11,1.24997e-07
900,3.7030848395465386,0.17443876949777537,0.019305128536784566,0.06798489860716926,0.01140636383784145,0.0,26.72426564786241,0.0008343521376122737,79.52434619578014,0.22746775023921822,0.002452442153637482,0.006562397579125626,0.0001658903003041629,3.5342161751968554e-06,6.494299041708239e-08,1.0481339284929664e-09,1.0341005921273108e-13,3.776422650183123e-14,4.6825913990742854e-08,7.81334211134223e-09,1.1303948113186737e-09,1.437484193546723e-10,1.6266491604554133e-11,1.2520318491811448e-12,2.172126846946936e-10,1.24997e-07
