milliseconds,R,C,I,X,A
0,0.9999974537368185,-4.635831083955431e-06,1.000029987579737,1.9801319655103332e-07,2.6176301845912544e-05
100,0.9999995067599786,2.2377595424626318e-05,0.9999814519107038,1.2867610983265825e-07,-5.481043100375054e-06
200,0.9999693812012022,2.30120843693882e-05,1.0000104533841523,2.17570314886625e-07,3.0349201231695173e-05
300,0.9999811554270148,3.6820686019318206e-05,0.9999839289952894,6.889912520673478e-07,-7.039414815231186e-06
400,0.9999662467606758,4.06496965299641e-05,0.9999662702080361,6.040975318326318e-07,1.58216675111917e-05
500,0.9999599704125006,4.2448249096469855e-05,1.0000079261058483,1.028619021661615e-06,3.325440259587713e-05
600,0.9999321664154897,6.395579664192317e-05,0.9999952321419907,1.2214538949600736e-06,-1.1600751023101372e-05
700,0.9999398044166592,7.13871682924373e-05,0.9999993631552857,1.3783851359866227e-06,4.807528114712624e-05
800,0.9999321271781955,8.555392928298731e-05,0.9999618734299547,1.4489625751774071e-06,5.054740046815094e-05
900,0.9999054149186507,8.615373192798334e-05,0.9999931104085168,1.8582479499386862e-06,1.9445775287591166e-05
1000,0.9999106515688989,9.02821756344798e-05,0.9999566638814326,1.722023098714528e-06,1.92076415240805e-05
1100,0.9998882756185781,0.00011537917734694718,0.9999457589404567,2.0002688933044955e-06,2.3135841720998173e-05
1200,0.9998815131513076,0.00011070089661827979,0.9999444808869641,2.453937667724388e-06,7.944520605057612e-05
1300,0.9998806475475385,0.0001263756885933054,0.9999169708208272,2.6192576888592873e-06,5.2059487229828055e-05
1400,0.9998552230769756,0.00014133926554436496,0.9999338796714903,2.51552671891743e-06,6.558853132826434e-05
1500,0.9998461559071254,0.00014336141068101805,0.999914340151459,2.5883772558950676e-06,0.0001014015004666613
1600,0.9998361108069789,0.00015522875584626975,0.9998665630398682,3.0562837323831225e-06,0.00012221153622527292
1700,0.9998374984638466,0.0001693271290476257,0.9998599967607508,3.1494188666749196e-06,0.00012202003316859519
1800,0.9998348229823191,0.00017004722769142842,0.9998427700479344,3.2743083623968872e-06,0.0001201003659906404
1900,0.9998211508228891,0.0001867053706043684,0.9998749353359843,3.630255020804963e-06,0.00013252576423115306
2000,0.9998136674346857,0.00019167975245379092,0.9998281353114319,3.7608012344383845e-06,0.000169352792406418
2100,0.9998114554851185,0.00019783310163742232,0.9998216903269009,4.035466311836836e-06,0.00017700168469679192
2200,0.9997936447438781,0.00020104243612054538,0.9998062685393783,4.1739080385047034e-06,0.00021945070276187617
2300,0.9997741835032772,0.0002200413561858987,0.9997779869708177,4.217124107589337e-06,0.00023747616786893238
2400,0.9997755945580791,0.00022586319567210274,0.9997675279897494,4.232208421889442e-06,0.00021106379194445714
2500,0.9997635837735056,0.0002343559028405155,0.9997606979394635,4.5618040366891154e-06,0.00027679761638984434
2600,0.9997686108864257,0.0002444283313071177,0.9997233150623173,4.742681983548452e-06,0.0003018388623538263
2700,0.999757328785925,0.00024051360702131717,0.9997172216651904,4.921704713713246e-06,0.0002998036491216622
2800,0.9997332344971483,0.00025231444527542505,0.9996579974543481,5.265619025225665e-06,0.00029191986566961647
2900,0.9997360270882613,0.0002732318999063869,0.9996356478640194,4.960255622631112e-06,0.00035435519117509864
3000,0.9997194821265917,0.00026087414973045283,0.9996488723957798,5.440938445855685e-06,0.00038080253429893394
3100,0.9997117743010778,0.00027286731651633093,0.9996238341432006,5.354553805519748e-06,0.0004216692253637352
3200,0.9997169162009276,0.0002739292588400185,0.9995812730683127,5.6143529024640805e-06,0.00044074929876166145
3300,0.9997070822487858,0.00029168938234727524,0.9995371741656873,5.68306105531856e-06,0.0004714276833245945
3400,0.9997087092567557,0.0002949754014565135,0.9995605102613224,5.762904985295949e-06,0.000474922789162902
3500,0.9996812046358132,0.0003171413958615498,0.9995278052859645,6.223031321056014e-06,0.0004978954945494227
3600,0.9996879017693873,0.0003200032345580961,0.9994980186061323,6.310454819155105e-06,0.0005134391002670629
3700,0.9996744484582257,0.00033761802365196724,0.9994726629272916,6.52257809494398e-06,0.0005697021831676064
3800,0.999666850144471,0.0003244349545062262,0.9994097587298856,6.463361124589379e-06,0.0005836208724636042
3900,0.9996496494343307,0.0003433866572988825,0.9993944287081354,6.847022118052611e-06,0.0006390339170289339
4000,0.9996495493204701,0.0003573649763850771,0.9993845390617246,6.8429856529139846e-06,0.0006423143292722626
4100,0.9996547031008148,0.000352546255598791,0.9993533935104336,6.973566369695676e-06,0.0006973315647385898
4200,0.9996295141460498,0.0003575072765210496,0.9993013285393489,7.32313406501172e-06,0.0007351950820394281
4300,0.9996282138202566,0.00037606283395265057,0.9992726176783938,7.468934767477332e-06,0.0007425668237144333
4400,0.999613446009518,0.0003888012375441925,0.9992498197976327,7.635734874676864e-06,0.0007752599214780907
4500,0.9996127814194213,0.0003944441961503733,0.9992337697529312,7.4716805277130045e-06,0.0007803635762491001
4600,0.9996162097389559,0.0003962173723794662,0.9991497703143273,7.754985533303413e-06,0.0008469421367871648
4700,0.9996126434212065,0.00040396296741538007,0.9991100801871152,7.886873275223665e-06,0.0008754832278544412
4800,0.9996046521402613,0.00039779847305524573,0.9991160612452715,7.954358095910584e-06,0.0008819954890675843
4900,0.9995885635457883,0.0004079713152778033,0.9990565273443828,8.426090979144459e-06,0.0009609726657702092
5000,0.9995795158295541,0.00041286712594771165,0.9990527389691606,8.67757667809053e-06,0.0010015054525059084
