milliseconds,CD95,FADD,p55free,Bid,PrNES_mCherry,PrER_mGFP,DISC,DISCp55,p30,p43,p18,p18inactive,tBid,PrNES,mCherry,PrER,mGFP,CD95L
0,12.0,90.0085492713748,127.00003869943767,224.00000006205534,1908.9999996110141,3315.9999999778297,-0.006607279571230989,-0.0007752582711461178,-1.4755697559523795e-05,-1.0523580055133897e-06,1.2162351831982521e-08,-1.3697689468692945e-09,1.9284782683439652e-07,-6.435754431658148e-07,2.1286020093141732e-06,-7.307142971886269e-08,-4.753865156228359e-08,16.6
100,12.0,89.98832957830955,126.99937524487387,223.99999997360084,1908.9999984693081,3316.0000000255045,0.02921807592627524,0.0017545981912581664,9.66184101341029e-06,-1.8699513430619915e-06,-2.1119084927811722e-08,-1.5983351547009437e-09,-2.2863788307292852e-07,-4.787475412223713e-06,6.622276642579424e-06,-1.0263630480208911e-07,-1.1604586501462137e-07,16.6
200,12.0,89.94996595156,126.99870146371497,224.00000020748612,1908.999998064165,3316.000000020536,0.043221806382409515,-4.177826076229562e-05,1.1493682306447686e-05,-1.5191777705141814e-06,-1.6121834577098526e-08,1.5947853062273006e-09,-2.031422242976236e-07,-6.532435448144383e-06,-1.2732838075518921e-06,-1.0766281940424442e-07,-7.093166800679034e-08,16.6
300,12.0,89.94637089803491,126.99996165336285,223.99999992376385,1908.9999935458272,3315.9999999798406,0.07347864119833263,0.0002290578205489071,1.6698515422063453e-05,-9.114948603650207e-07,9.888622990812846e-09,1.5498877974369273e-09,-1.894759148019942e-07,-2.4938212275042004e-06,4.6633202927958125e-07,-1.1674556448873902e-07,-1.8504609149032734e-08,16.6
400,12.0,89.91290722936013,126.99818922222808,224.00000020886037,1908.9999966028306,3316.000000007638,0.07931432123514134,0.0016489261630080305,-1.1207027675717854e-05,1.005951102477079e-06,7.091292351744036e-09,-1.616642463674745e-09,2.6680211194599124e-07,3.782660959070718e-06,1.907786304002947e-06,-5.750756169404977e-13,-3.3854539322273315e-08,16.6
500,12.0,89.90835699969506,126.99914248596589,224.00000002874464,1909.0000030567653,3315.9999999378892,0.11718815797857698,0.0013748041803346841,6.062175936671779e-06,-2.9912853248898564e-07,-2.035315191265636e-08,-1.2092265180446085e-09,-2.3081916055046273e-07,6.685001379852597e-06,-1.058853300575849e-06,3.2094525740461725e-08,1.2205848487779824e-07,16.6
600,12.0,89.87326869748227,126.99869188688005,224.00000020344814,1909.000003280443,3316.000000021573,0.11328498397002812,0.002165598727556384,1.8972230579272588e-05,3.714107854820724e-07,1.888208919377299e-08,1.1360765325451867e-09,-1.5909396042991112e-07,6.48352570552315e-06,4.19815613769195e-06,1.1156132224840046e-07,1.0721240133990071e-07,16.6
700,12.0,89.8511909465188,126.99723262974346,223.9999997581975,1908.9999986156552,3315.9999998884996,0.14739097850422758,0.003471399974395357,-7.4355458297532905e-06,4.919897702983593e-07,3.4529591279765054e-09,1.5127283713293903e-09,-7.064195046960427e-08,5.89732654101678e-06,-2.4545917250802662e-06,-1.0247189294531002e-07,-6.526941967251007e-08,16.6
800,12.0,89.8366102204653,126.99832761084095,224.00000014261897,1908.9999954769598,3315.9999998929375,0.15906832089064885,0.003117593255564044,-1.1021735293461919e-07,1.892587646481065e-06,-1.919350884825454e-08,1.2963450932642394e-09,1.4170709985753523e-07,2.4079595316548025e-06,5.4419060998498075e-06,5.723881915980219e-08,-1.1935341777038192e-07,16.6
900,12.0,89.81981002135471,126.9970855001666,224.00000014809268,1909.0000032479684,3315.9999998690014,0.1870638883329558,0.0026061810017845317,2.9947720444259647e-06,3.8778644736622775e-07,4.233552306064967e-09,1.3626418693568266e-09,-1.460788945835454e-07,-5.350003783775812e-06,-5.2268922406351245e-06,-1.0170312638156992e-07,-9.223584738819748e-08,16.6
