miliseconds,IR,IRins,IRp,IRiP,IRi,IRS,IRSiP,X,Xp
0,8.915594888057782,0.638033929744449,0.035806316499633624,0.4075612994770112,5.0949520132270165e-06,9.431365478296652,0.5504538325363039,9.99622569465754,0.0037077646438991338
100,2.00959049720332,7.350631786758772,0.21547977572664656,0.45962445130389434,6.115476673036929e-06,7.481251734317469,2.5059451332583795,9.996175752297653,0.0038461080826203784
200,0.47318256703148015,8.458238265442635,0.3985201305808331,0.5745538464429316,6.828177830311118e-06,6.206719850569283,3.7921097368561845,9.996029051512474,0.00397392071938994
300,0.19149936360331418,8.495742353391524,0.48709857405153856,0.7833740280081786,9.705852685400062e-06,5.788537799202643,4.183969761291479,9.995828472157438,0.004333235077889086
400,0.13108095698658806,8.284863309032776,0.516860561501131,0.9717846368269303,1.3405244582963697e-05,5.690060760254818,4.2885406730888675,9.995382457169033,0.004638226530978965
500,0.1270484184949306,8.172696504803902,0.5244689634165307,1.1374444286745007,1.8293233365457013e-05,5.695912895440309,4.2999030850543996,9.995269407531248,0.00493297385983557
600,0.15396801982988653,7.944540248931122,0.5176371585748285,1.339333271990743,2.24009989097024e-05,5.7672448752164645,4.237104176115924,9.994868263786413,0.005181786667124113
700,0.23944186532366657,7.820022590969446,0.5118676216617074,1.4785187711865064,2.47095354557222e-05,5.885885744978584,4.147370580927786,9.994500122280332,0.005332903482759104
800,0.22680314036014265,7.624977575796529,0.5001085206123828,1.6417929987954878,2.913395391060163e-05,5.921192400612265,4.035262917868818,9.994372042459297,0.0058149674883789665
900,0.175066155579924,7.50627578023424,0.4942724199726404,1.7616259115135142,3.304241749034733e-05,6.047088446035989,3.9857694855792087,9.994023352714946,0.005861165525518293
1000,0.16438550485363354,7.395761985300192,0.48488093697671175,1.8520754333504752,3.717636642659968e-05,6.10741649429225,3.8874698399189325,9.99382563408407,0.006190037094696691
1100,0.21374958799045374,7.304673340969899,0.48122169207251647,1.9376269400817905,3.903706800947432e-05,6.1763927362066555,3.8185347684949495,9.993501938826507,0.006497770988167177
1200,0.19509482795328992,7.309200579467918,0.47074960736581983,2.0082090966162762,4.230132508230975e-05,6.226408444265415,3.7500204222504747,9.993227079001104,0.00671859610558366
1300,0.19013027906355137,7.194610500548243,0.46601158264977866,2.061091615746147,4.5327002740166955e-05,6.252747571011847,3.7447938818203093,9.992987927364155,0.007022614990661191
