milliseconds,C,B,T
0,1.0,1.0,1.0
100,0.9333482185435886,0.996840201827619,0.9955540272141158
200,0.8698497150361572,0.9933906160700493,0.9906154475119131
300,0.8095102577307707,0.9896556486154988,0.9851903142556511
400,0.7523183924983626,0.9856413982144507,0.9792877367975409
500,0.6982479961984321,0.9813549936230954,0.972918914641961
600,0.6472569291974518,0.9768049662042722,0.9660977668362992
700,0.5992901086992866,0.9720006586095563,0.9588399999095485
800,0.5542799561879272,0.9669522999804693,0.9511632268420654
900,0.512143485140447,0.9616714294377918,0.9430877388830065
1000,0.4727870587318239,0.9561702475677542,0.9346353895633233
1100,0.43610711612585884,0.9504615940804518,0.925829546610589
1200,0.4019926981273962,0.9445586907685318,0.9166946173120432
1300,0.37032685517274744,0.9384750586440446,0.9072558551648064
1400,0.34098831503932875,0.9322243869239188,0.8975390845861835
1500,0.3138525254311099,0.9258204231750887,0.8875704956359363
1600,0.2887933196184625,0.9192768274674743,0.8773763363456434
1700,0.26568448475981615,0.9126070519916443,0.866982641349265
1800,0.24440132035648865,0.9058242222809637,0.8564149553750928
1900,0.22482180260431045,0.8989410477763685,0.8456981207259322
2000,0.20682745052379636,0.8919697548979708,0.8348561149841166
2100,0.19030411788816395,0.8849220266588547,0.8239119001990859
2200,0.17514251842896475,0.877808965704066,0.812887323366294
2300,0.16123868170016092,0.8706410648849171,0.8018030318680135
2400,0.14849426343107677,0.8634281899061899,0.79067841624486
2500,0.13681671866988127,0.8561795731025194,0.7795315790126095
2600,0.12611935763444002,0.8489038167639548,0.768379326315511
2700,0.11632129869539334,0.8416089053372182,0.7572371802754357
2800,0.10734728186858124,0.8343022329482198,0.7461194209835249
2900,0.09912779856842963,0.8269905812036495,0.735039056521667
3000,0.0915984877519231,0.8196801999745147,0.7240079571703508
3100,0.08470004026040094,0.8123768129964961,0.7130368750980692
3200,0.07837790696506154,0.8050856495633162,0.702135507830682
3300,0.07258199767962226,0.7978114755203414,0.6913125638603885
3400,0.06726655421741377,0.790558606327013,0.6805757904027547
3500,0.06238959657288248,0.7833309647222246,0.6699320952771672
3600,0.057912916799353405,0.7761320812163403,0.659387548860727
3700,0.053801543691911306,0.7689651496105907,0.6489475022716749
3800,0.05002358238536213,0.7618330423646112,0.638616623692361
3900,0.04654994152259303,0.754738339325294,0.6283989589837038
4000,0.04335412691326235,0.7476833479459045,0.6182979791231731
4100,0.040412044947111266,0.7406701238984255,0.6083166247095929
4200,0.03770174969335484,0.733700496658512,0.5984573627909914
4300,0.03520331025414923,0.7267760834087249,0.5887222184190913
4400,0.032898585195986034,0.7198983120909214,0.5791128254521203
4500,0.03077105585075121,0.7130684386982872,0.5696304651671386
4600,0.02880570512041873,0.7062875599471314,0.5602760946438107
4700,0.026988841919384866,0.6995566313768674,0.5510503870095046
4800,0.025308016711440545,0.6928764763578866,0.5419537517581731
4900,0.023751905950274564,0.6862477981966513,0.5329863616239195
5000,0.02231017909047005,0.6796711939955524,0.5241481835197904
