miliseconds,Infected,Recovered,Susceptible
0,1.2251532832061005e-07,2.6861635463260023e-10,0.9999999994795714
100,1.2537730648807894e-07,3.2166745883907183e-09,0.9999999903121243
200,1.3145391495378391e-07,4.39082338721794e-09,0.99999998877369
300,1.3641480804661912e-07,5.984128657371562e-09,0.9999999897249713
400,1.3821600667977938e-07,5.1013534581061515e-09,0.999999973685715
500,1.4382966202772606e-07,8.58141285216357e-09,0.9999999772039254
600,1.4713888480798045e-07,1.118773024545658e-08,0.9999999660386779
700,1.4564285588677238e-07,1.4737867934121268e-08,0.9999999690479479
800,1.5091190936249766e-07,1.7749795698917703e-08,0.9999999591175533
900,1.5808263452702077e-07,1.610702814873866e-08,0.9999999473844158
1000,1.591407378232178e-07,2.2429920160953277e-08,0.9999999472630383
1100,1.6530478718536922e-07,2.21988396506987e-08,0.9999999336430072
1200,1.685782867569898e-07,2.241435875238476e-08,0.9999999394675422
1300,1.68025584406955e-07,2.844125831667779e-08,0.9999999269906419
1400,1.7904976608828813e-07,3.0728675090765214e-08,0.9999999234689069
1500,1.7700592864939652e-07,3.3895599057327616e-08,0.9999999108432432
1600,1.8180468819878679e-07,3.41017011467687e-08,0.9999999106433664
1700,1.9036082894410396e-07,3.8990491335319666e-08,0.9999999015391543
1800,1.975299153636429e-07,4.044112715131371e-08,0.9999998862250191
1900,2.0287550318514316e-07,4.195917871493451e-08,0.9999998915857533
2000,2.0608725255628587e-07,4.4791828383004046e-08,0.9999998745316994
2100,2.0681988682229035e-07,5.002028379903036e-08,0.9999998710801716
2200,2.168354896315024e-07,5.170786245498957e-08,0.9999998675806356
2300,2.1763965996210144e-07,5.4197117976010634e-08,0.9999998470066999
2400,2.214763903830237e-07,5.8940147479028155e-08,0.9999998396358999
2500,2.3172410588723702e-07,5.9530428214922734e-08,0.999999841890886
2600,2.368132888500042e-07,6.253291099777151e-08,0.9999998216509637
2700,2.3857235274436817e-07,6.54061702117297e-08,0.9999998178638974
2800,2.4220811117656653e-07,7.083794601784512e-08,0.9999998108838867
2900,2.5051296936184883e-07,7.281418234457223e-08,0.999999800124457
3000,2.5438827025071155e-07,7.558994793139068e-08,0.9999997955401321
3100,2.6407244700168876e-07,8.068211627167973e-08,0.9999997799048764
3200,2.7126676283879367e-07,8.691016219053439e-08,0.9999997653256683
3300,2.7423159807564334e-07,9.120089306936723e-08,0.9999997583756938
3400,2.812385546488063e-07,9.045584368407748e-08,0.9999997549245023
3500,2.878063744847341e-07,9.569701025302179e-08,0.9999997345807017
3600,3.014827660091385e-07,1.005660904885022e-07,0.9999997215061649
3700,3.0277645641868036e-07,1.0702523180112789e-07,0.9999997201350986
3800,3.123208655627469e-07,1.1143396755397373e-07,0.9999997003095287
3900,3.187784801337119e-07,1.1206584841933995e-07,0.9999996923895423
4000,3.286205490467683e-07,1.181121836058397e-07,0.9999996786005078
4100,3.3402093031947235e-07,1.2429979788799776e-07,0.9999996650519903
4200,3.445007887514758e-07,1.2725354413576413e-07,0.9999996485779338
4300,3.502389735894202e-07,1.3216090743923804e-07,0.999999648813217
4400,3.6155792369556313e-07,1.359899888296064e-07,0.9999996271655037
4500,3.661568319901439e-07,1.4277101560327325e-07,0.999999608772583
4600,3.7941287546669306e-07,1.4607565524508981e-07,0.999999605473629
4700,3.897956465938874e-07,1.526462540741258e-07,0.9999995844562046
4800,3.9750300096005333e-07,1.5906137926131768e-07,0.9999995737645532
4900,4.0543953255943483e-07,1.6674681018795704e-07,0.9999995536691638
5000,4.1666705607373824e-07,1.697151932329097e-07,0.9999995429483208
