miliseconds,Infected,Recovered,Susceptible
0,1.228725861827411e-07,-2.458220565395803e-09,0.9999999932498745
100,1.264261107234434e-07,2.8410190005968194e-09,0.9999999988722575
200,1.3104619519201397e-07,4.7621553521944545e-09,0.9999999878852763
300,1.3431540004649344e-07,4.848625333284613e-09,0.9999999854545776
400,1.3691461049426553e-07,6.868110889592843e-09,0.9999999863768321
500,1.4160928558928877e-07,1.1258946897758574e-08,0.9999999796736583
600,1.499141207265596e-07,1.0963750200873527e-08,0.9999999736307533
700,1.477092257275177e-07,1.585514840659253e-08,0.9999999595463971
800,1.5633074737497644e-07,1.5797402457448337e-08,0.9999999598664991
900,1.5399951873639012e-07,1.727058773806845e-08,0.9999999540761284
1000,1.630701934011277e-07,1.8077681464564507e-08,0.9999999441576359
1100,1.6423327806908053e-07,2.076544816484449e-08,0.9999999374534594
1200,1.7033187574476448e-07,2.486769683769777e-08,0.9999999350742241
1300,1.6999163465599713e-07,2.7669979880115823e-08,0.9999999254864903
1400,1.769347927641995e-07,2.9716606591956795e-08,0.9999999216893288
1500,1.7787975235332378e-07,3.1614942822162045e-08,0.9999999159961958
1600,1.881043779568829e-07,3.61892143401455e-08,0.9999999004191585
1700,1.8640298637830435e-07,3.5634525361361645e-08,0.9999998955145032
1800,1.9474929021013928e-07,3.7706423555643945e-08,0.9999998871877505
1900,1.981698300771409e-07,4.4170454709177505e-08,0.9999998818740917
2000,2.030075575421914e-07,4.745256628892685e-08,0.9999998715749029
2100,2.0755625246189548e-07,4.733735559446183e-08,0.9999998684836631
2200,2.1183112824075646e-07,4.967051340982858e-08,0.9999998580287148
2300,2.2267683787839246e-07,5.668718250954244e-08,0.9999998476903089
2400,2.225470888766887e-07,5.562517561135376e-08,0.9999998479089199
2500,2.2950957583189505e-07,6.093201256736183e-08,0.9999998371178188
2600,2.3061790597715712e-07,6.436596327021825e-08,0.9999998326417412
2700,2.3719054674863481e-07,6.925645668249927e-08,0.9999998226520449
2800,2.444341471622582e-07,7.210080809630038e-08,0.9999998091157382
2900,2.5037252658142643e-07,7.249328300059797e-08,0.9999997958160637
3000,2.6159881021752376e-07,7.896313549153329e-08,0.9999997914562657
3100,2.6842342213737116e-07,8.31596553366146e-08,0.9999997816738253
3200,2.701440600356859e-07,8.555414764950646e-08,0.9999997723124587
3300,2.812693878560714e-07,9.013067137152953e-08,0.9999997615036484
3400,2.879211885054008e-07,9.140019226893344e-08,0.999999754465559
3500,2.9069319921012603e-07,9.823562109331216e-08,0.9999997418318204
3600,2.947537259423179e-07,1.0321044205388813e-07,0.9999997256418868
3700,3.031995141130903e-07,1.0314155564627298e-07,0.9999997131154321
3800,3.098624877126548e-07,1.1070828184531202e-07,0.9999997092706913
3900,3.1884731510968296e-07,1.1483589538049178e-07,0.9999996881298379
4000,3.307152041279375e-07,1.1768728217362255e-07,0.9999996847022782
4100,3.3514058898087457e-07,1.227981359490269e-07,0.9999996616462465
4200,3.4699720580660983e-07,1.2737737611966453e-07,0.9999996502042161
4300,3.5039955438070646e-07,1.3040119077015712e-07,0.9999996400377638
4400,3.573172961874075e-07,1.365531582768162e-07,0.9999996300897736
4500,3.6510270118783296e-07,1.439562494843163e-07,0.9999996196298804
4600,3.8036478436187735e-07,1.4636316865064497e-07,0.9999995956189349
4700,3.836886685913987e-07,1.51293578806141e-07,0.9999995798647068
4800,3.9738294143393684e-07,1.5893259534312886e-07,0.9999995649509105
4900,4.031687533649349e-07,1.660322392026127e-07,0.9999995629320881
5000,4.173860740509001e-07,1.7211635016019514e-07,0.9999995443804768
