milliseconds,s9,s10,s1,s75,s135,s7,s21,s46,s48,s69,s71,s68,s70,s128,s140,s148,s150,s152,s157,s158,s159,s160,s161
0,2.0192935453019256,-0.013173531738697473,5.024447433314428,-0.0020908277978247667,2.4993776070506954,5.0147480304112095,0.003302251338945483,-0.0027981846631481774,0.01248842456557285,0.03149036812446197,1.9843092668343603,0.053043435520585755,0.008371969219730827,2.5215780365484255,-0.02818103802885894,2.952624993260796,3.0405412391385007,0.0,0.5,-0.0037500585431755624,0.00936641330610965,-0.009940892424692085,-0.002924361252575618
100,1.9862680024645891,0.014499704271339932,3.322486164324919,0.03138549329323352,1.9367368924096358,3.3117368805796135,1.7683854387284208,-0.0012806078631693446,-0.011622215265678899,-0.01020958686164542,1.9788206967997188,0.07494570987986983,-0.000740208598951236,1.9435551794978838,0.5383367011185762,2.669619635936842,2.5580747440442657,0.0,0.5,-0.000320413555089377,0.3540472480655657,0.012414532818375804,-0.0011184194903213005
200,2.0111178344286014,0.0034569919231257984,2.5997823442874735,0.04811016851744786,1.562051827940937,2.5383039497901274,2.3994829279455536,-0.0011733719199911782,-0.005933406731468975,0.002200102001604986,1.9922789733003625,0.13708065731420144,0.004799652467889117,1.5583305615105911,0.8481249138387745,2.3188451575575466,2.270902770497474,0.0,0.5,0.0034151369388305953,0.5749385717155315,0.12014835961594371,0.01262946418700684
300,1.9888482478138192,0.01159382592204914,2.1864795342340804,0.11738982706652693,1.33714093863289,2.2447757498348038,2.7524406308669267,-0.0022613192576112044,-0.015117014581947606,0.02410894092100376,2.0029528830681325,0.2747225137071017,0.005443483586088059,1.3588903133566934,1.06884491189886,2.0087005331320094,2.036368810393802,0.0,0.5,-0.004162347246185446,0.6479553572550486,0.25401048417423033,0.020639311519940765
400,2.0003460188691062,-0.010361415884967282,2.0226967071193944,0.15328753011211516,1.2102820142410065,2.011193529009053,2.965081909212927,0.005559619755815084,-0.013063606210497961,0.06084987747750394,1.9703732635023503,0.4205126281552017,0.0048203040340740015,1.1822710720164724,1.162362960077528,1.8170925556875248,1.8211378969080514,0.0,0.5,-0.004231720500837139,0.689515908771672,0.3795947612088807,0.06235805751582291
500,2.003725926802915,0.02457297048221354,1.9733481725247497,0.17627196787361213,1.1020051507265456,1.8869993207117168,3.0633396426860027,0.00513209546624774,-0.008121000934263135,0.11945756422709208,2.032010762170774,0.5316960069333456,0.0210614833769658,1.1197696960906383,1.2383040723082959,1.7169659970449769,1.768708509207279,0.0,0.5,-0.0018157604814227823,0.710841410534988,0.4664001973847569,0.11508920089099116
600,1.9982066387272646,0.0036088940780252786,1.857697533583255,0.2190977943980658,1.0287571506605648,1.8862836098718112,3.1507517145167,0.013008840426367357,0.021329065067898088,0.18240724133441333,1.9965109266803396,0.6715468370502927,0.02376402322604568,1.041201385922363,1.2194609606258329,1.5774228462156639,1.5675869001157066,0.0,0.5,0.009062215815798203,0.7227495191157927,0.5292968443758501,0.14961557878039128
700,1.9571815460509936,0.02236645405891654,1.8382792609984089,0.26490539353028286,0.9443375208163705,1.8055349227177726,3.129358530847183,0.017333609850078806,0.041170944350282374,0.20887305675434678,2.023422252370113,0.8552810664594125,0.03047403048190643,0.9505744630684337,1.2991867983552223,1.4066963264441916,1.5237529590845256,0.0,0.5,0.016460854028240123,0.7267121402109457,0.5448100400695929,0.20462118899913692
800,1.9487023943219521,0.05959821613518096,1.8107951857675417,0.3160219676019982,0.8954679780270774,1.826885016061327,3.1739118282718186,0.022196281780801366,0.05921352980729955,0.25462012272383483,1.9751285290527274,0.9206401229372593,0.05782791024485436,0.9224956620706676,1.3159958501162394,1.323957953797846,1.3637130110824356,0.0,0.5,0.015899045866255707,0.7465414133053103,0.5764302252321406,0.24189198768713355
900,1.9085897582249232,0.0919023280605274,1.8188858075890508,0.3186910737650969,0.901669166273135,1.7732289159331585,3.1538247954681298,0.026257124672910116,0.06415604152887704,0.2671517902832866,1.9518995741441023,1.0023016085827656,0.0657407451613022,0.8469284716524865,1.2818520994269367,1.3028508920295396,1.32639672417577,0.0,0.5,0.03207970385656236,0.7544419312647838,0.5677039239053387,0.27066197062299624
