milliseconds,MP_0,MC_0,MB_0,PC_0,CC_0,PCP_0,CCP_0,PCC_0,PCN_0,PCNP_0,PCCP_0,BC_0,BCP_0,BN_0,BNP_0,IN_0,MP,MC,MB,PC,CC,PCP,CCP,PCC,PCN,PCCP,PCNP,BC,BCP,BN,BNP,IN
0,0.5192125939727874,0.3112919025347075,3.0017544515396404,0.9834571071133079,0.9889906770315423,1.0189164827936765,1.017412527099791,0.9738223673846382,1.030161486514865,0.9756694719658459,1.0017483205488742,1.0906412099044909,0.9881645098077799,1.0800797289689248,1.0438599976369412,1.0144717052471466,0.4814763159455717,0.3128385055487775,2.9994605991886174,0.9824837286446888,0.9771495603029342,0.9941327339573927,0.9941338016772212,0.9826820126689202,1.0057945774313692,0.9893699203544134,1.0080988505155868,0.9641043446348123,0.9935606268700257,1.0860604690756746,1.0181366164347294,1.0234319532180551
100,0.5004552963842415,0.3068179829911839,3.0053666477581507,0.9479218707808151,0.9260200060912573,0.9654286246830219,1.0093189098355377,0.9496948462686476,0.9775084854512665,1.0017198957859241,0.9391480376523789,1.08575379096134,1.0016941004591566,0.9248620311986251,1.0210705824333757,0.9886649693166513,0.5231125055118402,0.2766551020903365,2.988869642920769,0.9221662721485419,0.9499038742199446,0.9823431077888958,0.9925087642531562,0.9457412325566698,0.9863653548137484,0.9862209361796305,0.9839626603082082,1.3194949799889524,1.0046509458677717,0.9033876787194396,0.9953353398699532,0.9692562422921266
200,0.5282112207697964,0.2832638922140716,3.011169158025604,0.8807779063079781,0.8622054918724043,0.959866692789868,0.9660367516416841,0.8717380855745497,0.9337601241341319,0.9489881751124151,0.96066262614202,1.339822802208886,1.0200780664700937,0.7853525530309514,1.065531169467049,0.923256021664842,0.4960356435032652,0.2779000360152703,3.018982311069322,0.8884677408537653,0.8738802302870868,0.9415003091047149,0.9958875610288916,0.913564595961279,0.9170656654002137,0.9065283228298336,0.9087776048792037,1.4657053523356467,1.0056738262393246,0.7899511112655818,1.0289943634618512,0.9723311379741831
300,0.5228558785259688,0.2785627457384804,3.0269064883457997,0.849298059845915,0.7890561715720535,0.9288077209300488,0.9674566270366696,0.8241214818338872,0.9259065882025933,0.9170036522264218,0.8868048964093899,1.6042431196478664,1.0192647580289897,0.827281969098268,1.0764252771831053,0.8958081673460149,0.48842762538432544,0.2726336042579524,3.0167182509783395,0.8292252923466017,0.8264094804568328,0.9315092648543659,0.9958410352773281,0.820510024744827,0.9522502293155274,0.9240870582194528,0.9348937700853995,1.6709348030014823,1.0324129042179762,0.7288544597747884,1.0872193991961603,0.9008280226099091
400,0.47590810125315064,0.24923116906157372,3.033485157436586,0.7797645165911317,0.7433549006677582,0.9024166838504374,0.9457164823839093,0.7520808061008257,0.888830698923387,0.905227803461737,0.865145060812245,1.6208726235518605,1.023252299134846,0.7997281017360804,1.1033324092292345,0.8792262673400547,0.48811079631041804,0.25321101282619707,3.0399890411952524,0.7865680127394559,0.7670705225794143,0.9287598839988339,0.9879953042031069,0.7566827219452594,0.8941590360300525,0.86512834368545,0.8776071799215911,1.7202478434260147,1.0270645235352291,0.7908500266526973,1.112453553175221,0.8641440998963031
500,0.4682079253267621,0.2046317389010854,3.070388286964645,0.7705084023963451,0.6810389134442143,0.8875613928301277,0.9601260371439571,0.7342603069727118,0.8451189364064726,0.8584839230425128,0.8617511704348896,1.814631865625646,1.0358414770035496,0.7663096158506326,1.2075159026202553,0.8103932560698838,0.47683735175171643,0.21141126234832466,3.07463144753235,0.7610702639387333,0.6940021484021032,0.8851482345075384,0.9608183045474105,0.7196222252867521,0.8950279644246908,0.8495471795562712,0.8183698175432993,2.0033466737543475,1.0484847163161568,0.6397218754442195,1.1895351750712069,0.853098161814047
600,0.47199541583878,0.18752448457400986,3.1051351717543003,0.7085406594075904,0.6476976601997122,0.8781286180968947,0.9438415558475389,0.6828836310108993,0.8104855062404192,0.8144881292007944,0.8456013261219992,2.01319677997823,1.0454740988456295,0.586416266799911,1.2401870786697937,0.808950722436221,0.43372265964196344,0.1953012410520996,3.0906577193860185,0.7312732056610974,0.6357791074068209,0.8500001801110598,0.9286678342867186,0.6878081094986084,0.8454410187364697,0.7962443447869539,0.8185116599323505,2.118179939993066,1.0350041997401132,0.6287067717830748,1.2017453498558908,0.8151093892830369
700,0.4350611610759335,0.1844069929830612,3.1271018360850698,0.7055653607731966,0.5798926959916985,0.8389452306210801,0.9490037523718192,0.5849180941943994,0.8382998370417314,0.7634150305232563,0.7705548303613271,2.0776931858324357,1.0649222318200477,0.6233290817094784,1.2008108201194547,0.738149656228413,0.4322706447659028,0.1720279144654179,3.1124620432718566,0.7058885557077093,0.5750616615133498,0.8373445234168032,0.9481213167702729,0.6284160893946703,0.7848854399577898,0.7611250384044529,0.8071285400251712,2.1846268447756994,1.055503735490312,0.6723386617121391,1.2445932433256146,0.7800246726618998
800,0.3881652342728503,0.1766824234147562,3.1612685279955066,0.6547490909304969,0.5519541821309367,0.82393291832058,0.9189300847486153,0.5259975874868127,0.7964491764093605,0.7439352121448354,0.7671974589869672,2.4091373766788786,1.071142113177646,0.5918174018176918,1.2267522359095155,0.6905161716442602,0.41627887480143344,0.17594544523605432,3.1416316574494103,0.6723798703529359,0.5280489813344379,0.8251839635415239,0.9311363860563209,0.5431183464863367,0.7882101372699908,0.7811765653857392,0.7367272415164283,2.324008369647155,1.0742143963311017,0.7012438446034543,1.2170982604199767,0.7086745503592247
900,0.38734275214853703,0.1512714966391301,3.164322869351242,0.6314240110694597,0.522127849529493,0.783350694330106,0.8922816366399673,0.5140850187798197,0.727822185597472,0.7291507554410582,0.7043449349039883,2.57708313485614,1.0618188275695288,0.6555418570101434,1.3245696240886404,0.7056286228091001,0.3633521454871401,0.16309926774628547,3.17354297696684,0.6436881380154915,0.5264200862151598,0.7876604408799667,0.9224863283854645,0.4830585836700315,0.7319881477277334,0.7366815981276452,0.7741242696689642,2.5426372577656413,1.0809301885824096,0.5889440275078442,1.2577719426226202,0.6756259841473038
1000,0.35310157619214605,0.12044489050374395,3.2170030803930842,0.6122271097417018,0.4445417628082769,0.7806278101952829,0.8906060585022266,0.4590604236863705,0.6975544143749394,0.7262091092346715,0.7124576094083681,2.506642977924128,1.08877173590557,0.6924367613958207,1.3081911972840947,0.6632122899621037,0.3434711852959323,0.14801279302482998,3.1978068650956555,0.6228292801236537,0.455569884464463,0.784307562003038,0.9250543098349181,0.41506565548234203,0.7292211437060435,0.693423654254909,0.6873836171033578,2.6941293836090434,1.0839923506369042,0.6044824845966121,1.2673936045650507,0.6467227108338564
1100,0.33833722350162887,0.12058417468427059,3.2288750422608867,0.5999179141404537,0.4281515405095727,0.7716148370270085,0.8962205890515874,0.38047333652988896,0.6696640154210882,0.7155569768032951,0.6786383821376384,2.659543847388921,1.0885059726979338,0.5630202477947597,1.3559946162481828,0.590690899464796,0.33879670846641646,0.13345285915435895,3.2357364272083324,0.5657401921644805,0.42931455304400845,0.746765957384207,0.8973314330791602,0.41295275987330093,0.6775775921408431,0.6734621230015779,0.7163044103991378,2.8261121667539153,1.1000293159302148,0.5974187840269721,1.2947880948727668,0.5790569680191033
1200,0.323600186445575,0.1192701551309275,3.251717175686386,0.553747859185322,0.3743002625650632,0.744856270860339,0.8643100007140245,0.35939847872825453,0.628873794932083,0.6863019709519286,0.6571474110345407,2.796844884392411,1.1070992199047927,0.5796592484805498,1.3757740831283833,0.5928259357480202,0.32940485204088427,0.11155710829029697,3.258912484888409,0.5442820570955728,0.3733369370607803,0.7380766621925462,0.8694522344428254,0.37642630430491386,0.6351340507235572,0.6211954513957595,0.6934635730587491,2.8607550757750833,1.1056866614272505,0.6410282514711205,1.3221503483851451,0.539199178057069
1300,0.3013330768228691,0.10266338640941756,3.283581211682109,0.524933314296191,0.3448173120242834,0.7210120823826415,0.854225959969019,0.32623390508685995,0.5957717578568065,0.6195398106200939,0.6153048332173373,2.9620419731024072,1.115526563671403,0.6336756989549337,1.4312814145374047,0.5454171593984718,0.31008312206666055,0.09210263400463826,3.2972152951425087,0.5220790779526016,0.3183858446505166,0.7165295802350675,0.8698859742354453,0.29970567296266004,0.5516436265410314,0.6074292329423893,0.6382495454676,3.0105091498608334,1.098764012565067,0.60909339113431,1.4398996109673246,0.5492879099197661
1400,0.30496261932934005,0.07911148006722114,3.3044597163129565,0.5232310715841795,0.3065730639020389,0.7098561435197239,0.8285564590151614,0.271874153758961,0.5218653435867951,0.6225818981043689,0.5538389908873105,3.1314460724517303,1.1294889224928626,0.7251194314133154,1.4284064433253292,0.49223776128192637,0.29125007336387426,0.0973681822793977,3.302119027002754,0.5045031613202219,0.31014516935387626,0.6988859370633809,0.8561305080096654,0.24156849785686874,0.4962333173167841,0.5620711547048823,0.6252970461124823,3.0068805649082773,1.107694339945954,0.6769111995240296,1.440261069634217,0.47642972319597116
1500,0.3163019472082996,0.10537538860285509,3.332013456226267,0.479919026253198,0.24527829270129822,0.6934718369894172,0.8211769412429493,0.24929663440446317,0.45715044005898947,0.6067400208945036,0.5709193594379335,3.376681565177524,1.1256566631350347,0.7145828443439188,1.405956472917836,0.44872096853253446,0.2880697904157319,0.09369339516182175,3.3367397143174484,0.507788321607562,0.24701788531599017,0.6640557840934228,0.8555063308649491,0.20320359296685478,0.47111196031898855,0.5743881844089547,0.6199482745676094,3.2574166497945436,1.1355319888903133,0.7792297875477441,1.4709717606489818,0.4684842261305857
1600,0.28010877014158203,0.08067922932737041,3.351058799855945,0.46983367365830686,0.24218873182332676,0.6297767460634134,0.7999046115247263,0.18030737728125537,0.40387697747506773,0.5634255628425673,0.5039417935145334,3.2745212402738924,1.1425108628886158,0.7680474667846786,1.4675128912122248,0.40776531438304897,0.3177653994607316,0.07844503706043474,3.3549855267261703,0.45722391214627217,0.22329543816477165,0.6328338262593781,0.817891482517212,0.1777080121082477,0.4257532673505129,0.516487260411568,0.5660030219458041,3.3463386649951135,1.1355666404268097,0.7057814452956569,1.499937226743217,0.4307889339574694
1700,0.2891921429991955,0.1037499129664869,3.365114366669027,0.4493876409571739,0.18522534484968883,0.6261343918128891,0.7935534980500685,0.15484446517562353,0.3896279804571889,0.5169667270402513,0.4734108441030256,3.6368982594908585,1.1460535088224735,0.7236865207477432,1.5359873739432068,0.3597348921838321,0.30449062532532845,0.11093172159937212,3.366833230976664,0.4581582649926894,0.1845535114511775,0.617069181601073,0.7801684725659324,0.17809258301804645,0.3502108870355771,0.5252275527707985,0.5168636518989024,3.597585032972331,1.1414079057619346,0.8798040245489553,1.4764397641628138,0.3854577479145206
1800,0.3153311104932822,0.11373626768770284,3.3962564360747467,0.4534331496645025,0.17732727397843231,0.6000822474111235,0.8059460831661078,0.14956745210043587,0.31217530775627084,0.5036296301312744,0.47454656257547506,3.5591114518939926,1.1431475324015161,0.809850759058202,1.5299821480842624,0.366459128762339,0.31665934058117273,0.10304104149302937,3.388310405306351,0.43537443526284253,0.19657804034895243,0.6295857675958935,0.7856312652419447,0.10926698429901194,0.32890864721238144,0.4717549667873342,0.4890971412461275,3.5800362836179076,1.1603098831614356,0.9175759722374279,1.5464551633946257,0.36432367373809327
1900,0.33423058125648847,0.12524484335346137,3.3792692814635346,0.425861525313762,0.15899258254199136,0.5961856176249138,0.7495708270175107,0.123244372921104,0.2887821077404481,0.4774345745338782,0.42974810879101727,3.85338222931068,1.155327924456777,0.81426064337877,1.5720826906872913,0.34627513276807736,0.32153677789206875,0.0955474184644472,3.4033566826884765,0.4193522425670975,0.14410997708044637,0.5908914318977269,0.7754175662896218,0.1200137736992575,0.26163728870406705,0.4006968440420049,0.5194149503553643,3.728311832657766,1.1535205594720102,0.8257540481546581,1.5677648251653535,0.30444362613542947
2000,0.3407745672845621,0.10560125597503173,3.3926485683463983,0.40304329425177643,0.14272452617352094,0.59527723461864,0.7598998623818176,0.057524561120435795,0.2590581040300407,0.43777180317879927,0.4177684877453476,3.8685277420086916,1.1626831280323489,0.9652048151550224,1.5799585005757903,0.25623229029892475,0.3352320905917668,0.11272851936482278,3.41041122677437,0.420268941638796,0.14609397612776082,0.558018522694145,0.7515787502094886,0.10416093682025987,0.22793151147380278,0.4173025615165527,0.46293750845559656,3.929076276704388,1.182687700981423,0.8780366632096035,1.583154866512538,0.2560119845967868
2100,0.3557202798491857,0.1104226005953463,3.4147579994034127,0.406683351991189,0.12848695269287774,0.5661147049860865,0.7001609012788303,0.05776407840517908,0.20563221362486733,0.47402677993513087,0.3742469229534839,3.9530060191897065,1.17709110549613,0.9473598734011195,1.6606110968331163,0.27399826588641196,0.34151064173120566,0.11392690456057726,3.400340828908389,0.39782309086199946,0.14118910977313165,0.5533344862050682,0.7260787551797647,0.09091660089260159,0.18445743596107644,0.38671968328420114,0.4419629092512493,4.105220305171056,1.1741907221932268,0.9308981315326049,1.610217220323956,0.23761861359972275
2200,0.388794983718767,0.15830238809207622,3.390796887096436,0.3959777327421118,0.08879481922335476,0.5466218625835332,0.7008596527637254,0.0670134987005398,0.156889603443373,0.43433376451169753,0.34209822787152516,3.9475075639322488,1.1819958438841005,1.0437316761894855,1.644247703355325,0.23343158159248437,0.3936273679062104,0.1365307188113551,3.4072441276390437,0.37274127912934946,0.12481274044889518,0.5583295798309642,0.6986254849896674,0.06120912391190712,0.17842751077628674,0.31870267660471335,0.3964368178975292,4.151711287432,1.195135169403671,1.0218956118994809,1.6280106905436915,0.24106909846151559
2300,0.4172776698328713,0.17572966371267815,3.3952907418553586,0.36134974170345724,0.0934828460688929,0.5016790182737758,0.6722642541310865,0.04477119418947556,0.1167997414847712,0.40919258057339164,0.29138931209102736,4.061730273426247,1.1911985163981211,1.1058421083378127,1.700935538779385,0.1930971662943669,0.41159925036176087,0.1531656500670906,3.3823152969495482,0.3732431451777363,0.08401511555977738,0.5239604291686012,0.6755462409757139,0.026335708672161257,0.11008980439024757,0.26535678348668595,0.3696337890731747,4.027958186417511,1.2008076634066507,1.115579982033051,1.7096396596269705,0.17899109622510914
2400,0.4447075111675527,0.18260984893860643,3.3899386508666054,0.37081990992885017,0.08568646583821783,0.5009141904752581,0.634223847019698,0.012987046202400558,0.09421750599681755,0.3354539461933328,0.23244369979585755,4.362414963894736,1.2055078981210328,1.2081905787513676,1.7565071778072412,0.2024398649715165,0.407392560893356,0.16469202067783942,3.3778598513331506,0.3401891732206286,0.09352879479639972,0.5014757131859803,0.6292413525977468,0.016877590974978606,0.07945392937181597,0.2294144537246462,0.33399849728189984,4.192730275483495,1.2022645659309295,1.1435337409503619,1.7183710891226125,0.1836116912772141
2500,0.45165767372127347,0.20379499752231192,3.3681052009014008,0.3487382738346121,0.09835283629184242,0.49619123957232414,0.6278204410280442,0.0394256703519956,0.04754988049542333,0.308132051090601,0.23280436383932174,4.284995409680292,1.2075439686964746,1.2134970790167425,1.7033466058049458,0.17860919805890982,0.4382637015408912,0.20105981426439082,3.3897087003065343,0.33202007355685115,0.0654650109773845,0.47369097193833715,0.6078126936199468,0.01598955122399232,0.03989348355229367,0.17481392074793622,0.29510407304039704,4.2680010738135055,1.2035471228003614,1.242380009403812,1.7647217005263878,0.16391011896463883
