milliseconds,CRP,CRPsiteI_crp,CRPsiteII_crp,CRPsite_cyaA,CRPsite_genome,CRPsite_ptsGp1,CRPsite_ptsGp2,CRPsite_ptsHp0,CRPsite_ptsHp1,CRPsite_ptsIp0,CRPsite_ptsIp1,CRPsite_mlcp1,CRPsite_mlcp2,Mlc,Mlcsite_mlcp1,Mlcsite_mlcp2,Mlcsite_ptsGp1,Mlcsite_ptsGp2,Mlcsite_ptsHp0,Mlcsite_ptsIp0,CRP_cAMP,CRP_cAMP_CRPsiteI_crp,CRP_cAMP_CRPsiteII_crp,CRP_cAMP_CRPsite_cyaA,CRP_cAMP_CRPsite_genome,CRP_cAMP_CRPsite_ptsGp1,CRP_cAMP_CRPsite_ptsGp2,CRP_cAMP_CRPsite_ptsHp0,CRP_cAMP_CRPsite_ptsHp1,CRP_cAMP_CRPsite_ptsIp0,CRP_cAMP_CRPsite_ptsIp1,CRP_cAMP_CRPsite_mlcp1,CRP_cAMP_CRPsite_mlcp2,Mlc_Mlcsite_ptsGp1,Mlc_Mlcsite_ptsGp2,Mlc_Mlcsite_ptsIp0,Mlc_Mlcsite_ptsHp0,Mlc_Mlcsite_mlcp1,Mlc_Mlcsite_mlcp2,IICB,IICB_Mlc,CYA,IIA_P,IIA_P_CYA,mRNA_cyaA,mRNA_crp,mRNA_ptsG,mRNA_ptsH,mRNA_ptsI,mRNA_crr,mRNA_mlc,IICB_P,IIA,HPr_P,HPr,EI_P,EI,cAMP
0,5.4207011416805624e-06,7.436585090352077e-11,1.904697321205392e-10,3.110187849010557e-11,3.675653290382142e-09,1.2020755526582373e-10,1.2021212704016439e-10,1.2021274681063267e-10,1.2020754133853947e-10,1.2021326714967176e-10,1.2021193414153196e-10,1.2020838080434302e-10,1.20209027466094e-10,5.517198813135046e-10,2.4267000001608665e-10,2.428200000381101e-10,2.188500022129218e-10,2.1885001534480105e-10,2.1885000028898917e-10,2.1884999538147207e-10,1.0213906914716631e-07,1.6863138573639204e-10,5.252678434975654e-11,2.1190033284219146e-10,3.754457011563947e-09,1.2278985798690499e-10,1.2279319958653448e-10,1.22792200056042e-10,1.227918440343519e-10,1.2279315743049661e-10,1.2279151456311647e-10,1.227896294562577e-10,1.2278878988869391e-10,2.4149007836202565e-11,2.414899631399658e-11,2.4148987501464965e-11,2.4148986575266885e-11,3.2535019779040695e-13,1.8085996212272423e-13,4.284399793053643e-05,1.6545997532227956e-07,1.4933691103303745e-06,7.00940263722815e-06,7.337520199953716e-09,1.3643049458425784e-08,5.025392405294871e-08,4.5559016199808843e-07,1.1411030300723572e-07,1.0037972123027686e-08,9.38609992817575e-07,1.5100995803847661e-09,7.105504972115002e-06,9.623000680066096e-05,7.586702725980406e-07,1.1792994122067767e-05,2.43190024285802e-07,8.609800123287429e-07,4.710869467985316e-07
100,5.420749992775478e-06,7.439236687032127e-11,1.9049111581804795e-10,3.111660030589276e-11,3.6764914023341436e-09,1.2024541766102206e-10,1.2024510727148856e-10,1.2024325450208707e-10,1.2024391051008476e-10,1.202442566041986e-10,1.2024027298350125e-10,1.202404230202083e-10,1.2024365002846035e-10,5.517030089787426e-10,2.426700174041309e-10,2.4282000796984875e-10,2.1885088062131168e-10,2.188508833996008e-10,2.1885088267958807e-10,2.188508928687994e-10,1.0209236013369487e-07,1.6860575455212315e-10,5.250907466451923e-11,2.1188651070993484e-10,3.753349827724504e-09,1.227550949827094e-10,1.227559211376082e-10,1.2275649025397213e-10,1.2275634540861756e-10,1.22754222001552e-10,1.2275573034556566e-10,1.2276021157981858e-10,1.2275559221837257e-10,2.4148109481111463e-11,2.41481373452571e-11,2.4148134601768074e-11,2.4148107449044535e-11,3.253325778718411e-13,1.8085210407695464e-13,4.284401745594682e-05,1.654600709499339e-07,1.4935007128718654e-06,7.009363297143468e-06,7.337235066424266e-09,1.3643059096767592e-08,5.0253865648692415e-08,4.555868969092956e-07,1.141095018458381e-07,1.0037993580834194e-08,9.386099782780573e-07,1.5101003121068982e-09,7.105501125955115e-06,9.623009924086722e-05,7.586756297547248e-07,1.179300367214105e-05,2.43191090879477e-07,8.609787169314052e-07,4.710627038272483e-07
200,5.420744613581255e-06,7.439109946939901e-11,1.9048687526587696e-10,3.1115774628021734e-11,3.6763892140546784e-09,1.2024086209526273e-10,1.2024176869373289e-10,1.2023822902079364e-10,1.2024062402201796e-10,1.2023932108695313e-10,1.2024261174618345e-10,1.2023876962105573e-10,1.2024140746924036e-10,5.517030957364997e-10,2.426700174423718e-10,2.428200080329345e-10,2.1885087578587904e-10,2.1885086607935875e-10,2.1885088122387034e-10,2.1885087952869031e-10,1.0209754221240129e-07,1.686092896487238e-10,5.250898039024537e-11,2.11889305756941e-10,3.7536059188774934e-09,1.2276329376922292e-10,1.2276285118431362e-10,1.2275796714148353e-10,1.2276298271378475e-10,1.22757046755048e-10,1.2275892528270179e-10,1.227619828548203e-10,1.227604326969002e-10,2.4148132970865736e-11,2.4148143367618057e-11,2.4148133102670388e-11,2.414811615812045e-11,3.253327314345738e-13,1.8085203505398462e-13,4.284400801603232e-05,1.6546009490752057e-07,1.4935300735815463e-06,7.009370707919302e-06,7.3378674686567535e-09,1.3643128089105116e-08,5.025376992566408e-08,4.555842748286431e-07,1.1410949270096855e-07,1.0037940386153855e-08,9.38609985358844e-07,1.510101566860462e-09,7.105502791829172e-06,9.623023266718382e-05,7.586758417246344e-07,1.1793008325399825e-05,2.4319116094074255e-07,8.609788563528593e-07,4.710930918775465e-07
300,5.420736044500685e-06,7.43886499614564e-11,1.9048493259481733e-10,3.111443373282262e-11,3.6764392102709635e-09,1.2023560881942294e-10,1.2023386669490968e-10,1.202347784335318e-10,1.2023538292847312e-10,1.202391612376507e-10,1.2023390250861604e-10,1.2023426198470724e-10,1.2023847970372662e-10,5.517026653060257e-10,2.4267001741342115e-10,2.428200078986939e-10,2.1885084789311014e-10,2.1885085588398684e-10,2.1885085720554662e-10,2.1885087147404024e-10,1.0210258458254423e-07,1.6860811850175534e-10,5.251063720382637e-11,2.1189006502360286e-10,3.753717710716115e-09,1.2276240543556838e-10,1.2276293151854967e-10,1.2276171080086636e-10,1.227632348977284e-10,1.2276440593989953e-10,1.2276050246021599e-10,1.2276272563741743e-10,1.227627573384715e-10,2.4148143179434273e-11,2.414813349342142e-11,2.4148152249643504e-11,2.414813814586033e-11,3.253325072171045e-13,1.8085204955250193e-13,4.2843980966523916e-05,1.6546012390610232e-07,1.493694389245806e-06,7.009386646563459e-06,7.338088775831716e-09,1.364317587920732e-08,5.025380599829536e-08,4.555818614115354e-07,1.141095702033297e-07,1.0037940171485793e-08,9.386099687560712e-07,1.510101716734549e-09,7.105495892230841e-06,9.623029125503703e-05,7.586763859612159e-07,1.1793010259698544e-05,2.431911884926341e-07,8.609791087477324e-07,4.711389434155694e-07
400,5.420726987035026e-06,7.438310160807695e-11,1.9048724923629842e-10,3.111395632207805e-11,3.6762129647622546e-09,1.2023187092222614e-10,1.202351044736552e-10,1.2023623392351622e-10,1.2023473740814864e-10,1.2023699004569896e-10,1.202340221508001e-10,1.2023259937602066e-10,1.2023239124734706e-10,5.51703557108324e-10,2.4267001713361216e-10,2.4282000781291646e-10,2.188508540733497e-10,2.188508469079564e-10,2.1885086426930104e-10,2.188508381376046e-10,1.0211035155984651e-07,1.6861292246352787e-10,5.2512604493268775e-11,2.118900732268303e-10,3.753635664092062e-09,1.2276698075320453e-10,1.2276537871159403e-10,1.2276266549565219e-10,1.2276665225299734e-10,1.2276579590243672e-10,1.2276744377516324e-10,1.2276773280841518e-10,1.2276468887141484e-10,2.4148137935764575e-11,2.4148156833614253e-11,2.414814636732406e-11,2.4148144236882478e-11,3.2533295857297547e-13,1.8085230871469856e-13,4.284398686096886e-05,1.654601329842712e-07,1.4937046173343247e-06,7.009394737797927e-06,7.338376897146486e-09,1.3643136408408685e-08,5.0253725750210976e-08,4.5558599034110623e-07,1.1410877238964868e-07,1.0037940919037992e-08,9.386099585722936e-07,1.5101033923884549e-09,7.105497114428881e-06,9.623029835691593e-05,7.586760487791615e-07,1.179301216373627e-05,2.4319110252378487e-07,8.609792201717279e-07,4.7117138244272764e-07
500,5.420720377893787e-06,7.43826252701942e-11,1.90482726417539e-10,3.111159878198615e-11,3.67622610945695e-09,1.2022957580618623e-10,1.202317758944465e-10,1.202322761209877e-10,1.2023209463011477e-10,1.202294088788683e-10,1.2023048576430615e-10,1.2023403739460683e-10,1.2023430919383606e-10,5.517038171457332e-10,2.426700171496344e-10,2.428200078295858e-10,2.188508603503253e-10,2.1885083761102804e-10,2.1885084351135528e-10,2.188508581295839e-10,1.0211425154006906e-07,1.686140286069308e-10,5.2515305205604653e-11,2.1189043234138033e-10,3.7537813888010795e-09,1.2276988062603918e-10,1.2277064487724206e-10,1.2277176197763637e-10,1.2276891942973548e-10,1.2276559742702534e-10,1.2276679155084107e-10,1.227680484804076e-10,1.2276741858663267e-10,2.4148168087644288e-11,2.4148162364730047e-11,2.414814267610696e-11,2.4148139301245208e-11,3.2533283849633547e-13,1.808522149882974e-13,4.2843955284838534e-05,1.654601597828833e-07,1.493778758283862e-06,7.009398268274655e-06,7.339423270219028e-09,1.3643136192330648e-08,5.0253646240563333e-08,4.555793416014538e-07,1.1410924476235005e-07,1.0037930286970393e-08,9.386099426607007e-07,1.5101029247527974e-09,7.10549738505627e-06,9.623030752175615e-05,7.586770880571032e-07,1.1793011654329488e-05,2.431911543310067e-07,8.609789700235515e-07,4.71164353071273e-07
600,5.420716282493469e-06,7.438148123923793e-11,1.9047966970303518e-10,3.110869092770456e-11,3.6760893880644034e-09,1.202268445437994e-10,1.2022626777112957e-10,1.2022888730185495e-10,1.2022879546810866e-10,1.2023069946741707e-10,1.202276365029844e-10,1.2022982933950866e-10,1.2023014520479548e-10,5.517038627865748e-10,2.42670016629572e-10,2.4282000762948326e-10,2.1885083037273945e-10,2.1885083423516507e-10,2.1885082406186306e-10,2.1885084895143552e-10,1.0211730742061563e-07,1.6861955119002002e-10,5.251900813963294e-11,2.1189437668381806e-10,3.753791033521189e-09,1.227700000534243e-10,1.227739773320991e-10,1.2276911406973546e-10,1.2277085876680167e-10,1.227717859473206e-10,1.2277092207488343e-10,1.2277263011381009e-10,1.2276861086813527e-10,2.4148148998148475e-11,2.4148169414810112e-11,2.414815847253997e-11,2.4148168802842572e-11,3.2533312125574623e-13,1.8085239899199508e-13,4.284392975854435e-05,1.6546016487067336e-07,1.4937481253334997e-06,7.009402941545052e-06,7.339151984456307e-09,1.3643318122525317e-08,5.0253515635866226e-08,4.5557745774665763e-07,1.1410886611506224e-07,1.0037910902061754e-08,9.386099134279358e-07,1.5101044001583637e-09,7.1055037299870884e-06,9.623042285785311e-05,7.586773922483694e-07,1.1793017606524109e-05,2.4319105620043453e-07,8.609789743028697e-07,4.7116969131784715e-07
700,5.420713447559853e-06,7.4375794252592e-11,1.9048119362605695e-10,3.1107346721021186e-11,3.676011805839201e-09,1.202269138195911e-10,1.202226760952351e-10,1.2022289187942826e-10,1.2022273993081221e-10,1.2022313891573173e-10,1.2022715783522775e-10,1.2022676684921788e-10,1.2022840638715796e-10,5.517037672013474e-10,2.426700165585305e-10,2.428200074733257e-10,2.1885083906319587e-10,2.1885083492607608e-10,2.1885082455648533e-10,2.188508286178871e-10,1.0212437424944824e-07,1.6862003918925795e-10,5.251738313321549e-11,2.1189503972232278e-10,3.753873726414449e-09,1.227745821718619e-10,1.2277626626251121e-10,1.2277172398308898e-10,1.2277492281627312e-10,1.227755121715107e-10,1.2277314002946775e-10,1.227745577750469e-10,1.2277577611951977e-10,2.4148167467409715e-11,2.4148167307172477e-11,2.4148179033870817e-11,2.4148160095229378e-11,3.2533347208248584e-13,1.8085238104460283e-13,4.28439671330636e-05,1.6546016850227704e-07,1.4939051170341984e-06,7.009412622976533e-06,7.339800597881392e-09,1.364325395248225e-08,5.0253183938258715e-08,4.555833227636119e-07,1.1410838863357581e-07,1.0037890157025843e-08,9.386099034446924e-07,1.5101044642105536e-09,7.105510065947078e-06,9.623053494628211e-05,7.58677448839021e-07,1.1793008220452033e-05,2.4319106502697037e-07,8.609791594345071e-07,4.712105355718087e-07
800,5.4207099771048065e-06,7.437369313002984e-11,1.9047666755013127e-10,3.110711801262946e-11,3.676015678869584e-09,1.20221762895481e-10,1.2022381131036376e-10,1.2022121713495123e-10,1.2021980716103503e-10,1.2022587811558194e-10,1.2022441057402834e-10,1.2022609460833772e-10,1.2022333475017307e-10,5.517041948662534e-10,2.426700166125072e-10,2.428200075344864e-10,2.1885082875119618e-10,2.1885082201490775e-10,2.1885081248290598e-10,2.1885082523175052e-10,1.0212361172201271e-07,1.686195631420573e-10,5.251940873642455e-11,2.1189466590087372e-10,3.753995216461952e-09,1.2277480263818693e-10,1.227760207920956e-10,1.227753635292807e-10,1.2277885581400004e-10,1.227736841185578e-10,1.2277503638744333e-10,1.22779978743314e-10,1.2277560480551343e-10,2.4148175725476034e-11,2.4148193155106264e-11,2.4148174965037698e-11,2.4148178399748654e-11,3.25333302321721e-13,1.8085259403796547e-13,4.284392812609221e-05,1.6546024719554676e-07,1.4939690907472234e-06,7.009412191203539e-06,7.3400317526308166e-09,1.3643214671721725e-08,5.025316325761746e-08,4.5557761420522706e-07,1.141085080240404e-07,1.0037905636995724e-08,9.386099083862961e-07,1.5101056624293411e-09,7.105509515979165e-06,9.623058701077311e-05,7.586772836932644e-07,1.1793018614518593e-05,2.4319110867082833e-07,8.609789452072224e-07,4.7120889090971205e-07
900,5.420704679628033e-06,7.437592448535901e-11,1.9047685677264792e-10,3.110752519887488e-11,3.6759026070895405e-09,1.202204589795192e-10,1.2022104782008923e-10,1.2022255149437303e-10,1.2022292827558133e-10,1.2022264520228252e-10,1.2021926479674842e-10,1.2021838996511305e-10,1.2022337716706557e-10,5.517040577789479e-10,2.4267001644686004e-10,2.4282000734531467e-10,2.1885079255075675e-10,2.188508001087498e-10,2.1885080041758468e-10,2.188508200581676e-10,1.0213435074463601e-07,1.6862201341028047e-10,5.252310901251808e-11,2.1189780658779945e-10,3.754068859799842e-09,1.2277648754954433e-10,1.227795479420276e-10,1.227801512691863e-10,1.2277684578859349e-10,1.2277862592105537e-10,1.2278074341830432e-10,1.2277927183211597e-10,1.227824873780447e-10,2.414819995146721e-11,2.4148204802258254e-11,2.4148181355410922e-11,2.4148195528406918e-11,3.253333478358851e-13,1.8085244652798206e-13,4.284392916437702e-05,1.6546027565393846e-07,1.493989115858125e-06,7.009421788339165e-06,7.340535903650223e-09,1.3643276456099597e-08,5.025331912324496e-08,4.5557760621395206e-07,1.1410841904484125e-07,1.0037891029885715e-08,9.3860988075038e-07,1.5101053820139145e-09,7.105510553425028e-06,9.623065255253851e-05,7.586777039678048e-07,1.1793012187321562e-05,2.4319113481343034e-07,8.609791370797119e-07,4.7125570712079075e-07
