milliseconds,CRP,CRPsiteI_crp,CRPsiteII_crp,CRPsite_cyaA,CRPsite_genome,CRPsite_ptsGp1,CRPsite_ptsGp2,CRPsite_ptsHp0,CRPsite_ptsHp1,CRPsite_ptsIp0,CRPsite_ptsIp1,CRPsite_mlcp1,CRPsite_mlcp2,Mlc,Mlcsite_mlcp1,Mlcsite_mlcp2,Mlcsite_ptsGp1,Mlcsite_ptsGp2,Mlcsite_ptsHp0,Mlcsite_ptsIp0,CRP_cAMP,CRP_cAMP_CRPsiteI_crp,CRP_cAMP_CRPsiteII_crp,CRP_cAMP_CRPsite_cyaA,CRP_cAMP_CRPsite_genome,CRP_cAMP_CRPsite_ptsGp1,CRP_cAMP_CRPsite_ptsGp2,CRP_cAMP_CRPsite_ptsHp0,CRP_cAMP_CRPsite_ptsHp1,CRP_cAMP_CRPsite_ptsIp0,CRP_cAMP_CRPsite_ptsIp1,CRP_cAMP_CRPsite_mlcp1,CRP_cAMP_CRPsite_mlcp2,Mlc_Mlcsite_ptsGp1,Mlc_Mlcsite_ptsGp2,Mlc_Mlcsite_ptsIp0,Mlc_Mlcsite_ptsHp0,Mlc_Mlcsite_mlcp1,Mlc_Mlcsite_mlcp2,IICB,IICB_Mlc,CYA,IIA_P,IIA_P_CYA,mRNA_cyaA,mRNA_crp,mRNA_ptsG,mRNA_ptsH,mRNA_ptsI,mRNA_crr,mRNA_mlc,IICB_P,IIA,HPr_P,HPr,EI_P,EI,cAMP
0,5.420696403467595e-06,7.436958944615999e-11,1.9047184797072277e-10,3.1104395109606315e-11,3.675553627628e-09,1.202073233008722e-10,1.202076070300826e-10,1.2020780916371911e-10,1.2021324490891857e-10,1.2020857959027283e-10,1.2021151630093703e-10,1.2020848801554735e-10,1.2021058007121923e-10,5.517202579823025e-10,2.4266999985117087e-10,2.4282000006386713e-10,2.188500098892298e-10,2.188499946824391e-10,2.188500002196816e-10,2.188500025647524e-10,1.0213843352384355e-07,1.6863150706782378e-10,5.2527131779682696e-11,2.1190126592505233e-10,3.754444313105026e-09,1.2279061873179072e-10,1.2278704265472709e-10,1.2278877534837218e-10,1.2278784492049756e-10,1.2279162394561557e-10,1.2278984048907597e-10,1.2279088774536723e-10,1.2278736568245068e-10,2.4148986159722936e-11,2.4148989404426457e-11,2.414900527543215e-11,2.4149005061029802e-11,3.2535018966482287e-13,1.8086011375552829e-13,4.284399670810949e-05,1.654600318439107e-07,1.4933282929879014e-06,7.009404762120882e-06,7.337210079876665e-09,1.3642960401797787e-08,5.025411695448371e-08,4.555873518623771e-07,1.1410973534966344e-07,1.0038015001483067e-08,9.386100136194866e-07,1.510100367989906e-09,7.1054943357197225e-06,9.6230041767443e-05,7.586696025667228e-07,1.1793000560801465e-05,2.4319005825389484e-07,8.609798474604338e-07,4.7106735177783456e-07
100,5.420745720216188e-06,7.439512909255349e-11,1.904897884735589e-10,3.111525911141058e-11,3.676473144464306e-09,1.2024288867506686e-10,1.2024528202967312e-10,1.2024536809694845e-10,1.2024403017824445e-10,1.2024250949191667e-10,1.2024079976540983e-10,1.2024378130536615e-10,1.2024499814215755e-10,5.517029291956356e-10,2.426700176161771e-10,2.428200078861583e-10,2.1885089414302373e-10,2.188508618105026e-10,2.1885089359049331e-10,2.188508617190263e-10,1.020964689116561e-07,1.6860556336797807e-10,5.250959297488016e-11,2.1188577173984523e-10,3.753426265313912e-09,1.2275827690893455e-10,1.2275492444404468e-10,1.227567383328131e-10,1.2275515542680224e-10,1.2275862521008534e-10,1.2275703506379832e-10,1.2275835393203793e-10,1.22757071682637e-10,2.414813592935414e-11,2.41481166847231e-11,2.4148112966577804e-11,2.4148108474107772e-11,3.253327979388826e-13,1.8085211335053788e-13,4.284398793318918e-05,1.6546000392869826e-07,1.49342337735443e-06,7.009370608363487e-06,7.337523319515092e-09,1.3643069290499795e-08,5.025383958614746e-08,4.555903173876611e-07,1.1410991884541222e-07,1.0037951033438799e-08,9.386099755329168e-07,1.5101009739661207e-09,7.10549626458065e-06,9.62301688302562e-05,7.586752701531634e-07,1.1792999007690952e-05,2.4319113257045273e-07,8.609786544903668e-07,4.710566421246955e-07
200,5.420739362827548e-06,7.438789971945301e-11,1.9048874395378493e-10,3.111530692932097e-11,3.6765005538000674e-09,1.2023980103410463e-10,1.2023717086420134e-10,1.2023821722528485e-10,1.2023808772238386e-10,1.2023908140382714e-10,1.2024003962723632e-10,1.202387833356554e-10,1.202375478027938e-10,5.517028631785764e-10,2.426700171949872e-10,2.428200079822231e-10,2.1885086798810171e-10,2.1885088133539215e-10,2.18850864144854e-10,2.188508611293226e-10,1.0210148171726896e-07,1.6860980560844507e-10,5.2511979981455425e-11,2.1188866700051796e-10,3.753606030542519e-09,1.227611950790238e-10,1.2275703619871535e-10,1.2276293966708223e-10,1.227634595097688e-10,1.2275859283250177e-10,1.2276220880507618e-10,1.2275960150392354e-10,1.2275720230373296e-10,2.4148126260112342e-11,2.4148137380338753e-11,2.4148122789088474e-11,2.4148121297567523e-11,3.253327895825359e-13,1.8085219827086131e-13,4.2844007342405545e-05,1.6546006759180438e-07,1.4936006919283333e-06,7.009374120032117e-06,7.3380024313913066e-09,1.364304370778091e-08,5.0253665441939894e-08,4.555888967018882e-07,1.1410949709747149e-07,1.0037991377780763e-08,9.386099681250673e-07,1.5101011715650787e-09,7.105493655751992e-06,9.623016032842315e-05,7.586753107269867e-07,1.1792996826109954e-05,2.431911818016069e-07,8.609788018597389e-07,4.7111558704653285e-07
300,5.42073268407496e-06,7.43896604556848e-11,1.9048535847252302e-10,3.111444356245937e-11,3.676437302654019e-09,1.202358679524523e-10,1.2023950333760365e-10,1.2023655573070455e-10,1.202335138610968e-10,1.202346469166211e-10,1.2023881345212322e-10,1.202359375473002e-10,1.2023754347146545e-10,5.517028284505306e-10,2.4267001728471764e-10,2.428200078657579e-10,2.1885085484583696e-10,2.1885084934395529e-10,2.1885087088023228e-10,2.1885086892861046e-10,1.0210316882312535e-07,1.686119481709029e-10,5.2514129670154474e-11,2.1188820328586466e-10,3.753527065768177e-09,1.2276395518521545e-10,1.2276287802252627e-10,1.2276087168735156e-10,1.227652478317308e-10,1.227610611830951e-10,1.2276203766222615e-10,1.2276072990393436e-10,1.227649899488388e-10,2.4148144624593893e-11,2.4148148624419017e-11,2.4148139906747313e-11,2.414813676156288e-11,3.253325067304724e-13,1.8085198633719499e-13,4.2843963412668594e-05,1.6546007876038512e-07,1.493553695829503e-06,7.009385924246932e-06,7.338004633674816e-09,1.3643095305600617e-08,5.0253583095810256e-08,4.5558509839479393e-07,1.1410947323318192e-07,1.0037945703041996e-08,9.386099749573051e-07,1.5101024214461442e-09,7.105496969959987e-06,9.62301966340934e-05,7.58676242108828e-07,1.179300714898416e-05,2.4319116394254987e-07,8.609790653285242e-07,4.711106029640503e-07
400,5.4207280259038705e-06,7.438568933746657e-11,1.9048439598217178e-10,3.1111679522066335e-11,3.676329965283809e-09,1.2023672413916834e-10,1.2023320779607878e-10,1.2023113464535003e-10,1.2023562973317453e-10,1.20236870747346e-10,1.2023244214812898e-10,1.2023425221716917e-10,1.202336407948396e-10,5.517034878614088e-10,2.426700172175167e-10,2.4282000778442686e-10,2.1885084936164325e-10,2.188508533653378e-10,2.18850841392343e-10,2.1885087012352435e-10,1.0210206530507191e-07,1.6861029449716652e-10,5.251574939709104e-11,2.1189148663936997e-10,3.753744741085907e-09,1.2276607243512904e-10,1.227653917887828e-10,1.2276439130994745e-10,1.2276735020636134e-10,1.227671890854842e-10,1.227668447505371e-10,1.2276285430930783e-10,1.2276364724598453e-10,2.4148149276367492e-11,2.414814248835782e-11,2.4148139020154947e-11,2.4148156050797075e-11,3.2533266433126293e-13,1.8085209696814484e-13,4.2843987488034996e-05,1.6546010821608072e-07,1.493638774565934e-06,7.009389255684686e-06,7.338861237369332e-09,1.3643266863286737e-08,5.0253771128915104e-08,4.555807350504813e-07,1.1410882363338933e-07,1.0037929070234265e-08,9.386099628618184e-07,1.5101025872895435e-09,7.105507809559669e-06,9.623038022966067e-05,7.586764970000924e-07,1.1793014293281487e-05,2.431911690633112e-07,8.609789268848757e-07,4.7112384883035914e-07
500,5.42072173909192e-06,7.438392309288335e-11,1.9048148749700458e-10,3.111030406370029e-11,3.6762731545693163e-09,1.2023448618965703e-10,1.2022999081846124e-10,1.2022840024765502e-10,1.202301745713809e-10,1.2023302930758672e-10,1.2022869330885967e-10,1.202294806074998e-10,1.202328302519113e-10,5.517032064018231e-10,2.4267001696227255e-10,2.4282000771904e-10,2.1885083639203495e-10,2.1885083167624274e-10,2.1885083048149323e-10,2.1885083836102267e-10,1.0210866462982231e-07,1.686169782641317e-10,5.251410294238985e-11,2.118924265608913e-10,3.753776901782337e-09,1.2277140883780194e-10,1.2277132473412902e-10,1.2276732854738637e-10,1.227688845856439e-10,1.2276874007794164e-10,1.2277003808918017e-10,1.227696038211769e-10,1.2276895993237419e-10,2.4148140521912746e-11,2.4148163936998934e-11,2.414816671525165e-11,2.4148145841532927e-11,3.2533317227034604e-13,1.8085234815371692e-13,4.2843976697419484e-05,1.6546011084006055e-07,1.4937193655573899e-06,7.009393746142727e-06,7.339069887031809e-09,1.3643186389502904e-08,5.025344755730378e-08,4.555841524146738e-07,1.1410923437975749e-07,1.0037940009746136e-08,9.386099361790384e-07,1.5101033450338312e-09,7.105504004376651e-06,9.623032257044459e-05,7.586770051403622e-07,1.1793011215609027e-05,2.431910715032701e-07,8.6097890774745e-07,4.711953230366891e-07
600,5.420722730754158e-06,7.438247608316714e-11,1.904791004712154e-10,3.1110332616567867e-11,3.676199761417752e-09,1.202303489428577e-10,1.202306615957577e-10,1.2023039345300714e-10,1.20228423381566e-10,1.2023150758550186e-10,1.202262278482758e-10,1.2022724108871544e-10,1.2022968278106022e-10,5.517038598377528e-10,2.4267001670609384e-10,2.4282000773111005e-10,2.188508235324818e-10,2.188508375903668e-10,2.1885084737662226e-10,2.1885084360855114e-10,1.0211008894957437e-07,1.6861515977625517e-10,5.2518944934624687e-11,2.118916876851685e-10,3.753796852182912e-09,1.227719654733052e-10,1.2277028604753464e-10,1.2277416774764274e-10,1.2277121273103155e-10,1.227685507360809e-10,1.2277244473820555e-10,1.2276879790707835e-10,1.2276983739591773e-10,2.414817410890215e-11,2.4148160360135584e-11,2.4148179055821267e-11,2.4148175297195226e-11,3.253329685086309e-13,1.8085228710613055e-13,4.2843923014246214e-05,1.6546019128988083e-07,1.4938175429110889e-06,7.009407208135961e-06,7.339051205963861e-09,1.3643171847549315e-08,5.025348278084216e-08,4.555815260856025e-07,1.1410866707599373e-07,1.0037935462042248e-08,9.386099239836059e-07,1.510103906442698e-09,7.1055048118032004e-06,9.623043916891985e-05,7.586767163761731e-07,1.1793010431482352e-05,2.4319118579599747e-07,8.60978766609402e-07,4.7119179861927805e-07
700,5.4207125160897725e-06,7.437826308288743e-11,1.9047908510171243e-10,3.110956661578273e-11,3.6760356959810507e-09,1.202258213058951e-10,1.202260535746946e-10,1.202260488622755e-10,1.2022387758064823e-10,1.2022639676429875e-10,1.2022622923879623e-10,1.202273596789016e-10,1.2022690096779338e-10,5.517039902546203e-10,2.426700168897301e-10,2.428200076104543e-10,2.188508110227535e-10,2.1885083281001497e-10,2.1885081898771038e-10,2.1885082621390143e-10,1.0211606275216569e-07,1.6862088846735837e-10,5.251810912724259e-11,2.118951930377923e-10,3.753982800433677e-09,1.2277325774800934e-10,1.227733409493247e-10,1.2277476860226392e-10,1.227711240618069e-10,1.227717448606463e-10,1.2277197267038709e-10,1.2277495811762913e-10,1.2277241303871326e-10,2.414817304683473e-11,2.4148163193702165e-11,2.4148173769580518e-11,2.4148183690559627e-11,3.253331001139739e-13,1.808524043095553e-13,4.2843921020054815e-05,1.6546014858151063e-07,1.4938426801424987e-06,7.009409020456643e-06,7.33955282961045e-09,1.3643179914404364e-08,5.025334915315532e-08,4.5558037509790075e-07,1.1410901934087747e-07,1.0037921826308622e-08,9.386099081850885e-07,1.510105043433144e-09,7.10550593385218e-06,9.623046710847567e-05,7.586773597871513e-07,1.1793017142212145e-05,2.4319109856445376e-07,8.609787984977385e-07,4.712378007701771e-07
800,5.420708030744504e-06,7.437726935087796e-11,1.9047805078040872e-10,3.110732546484472e-11,3.675915441207142e-09,1.2022600348181105e-10,1.2022449366897754e-10,1.202217146313872e-10,1.2022471555250801e-10,1.2022598486928394e-10,1.202236593084677e-10,1.2022437627203853e-10,1.2021977852728418e-10,5.517042546636149e-10,2.4267001659167863e-10,2.428200073669592e-10,2.1885082260957904e-10,2.1885082466855108e-10,2.1885080356924303e-10,2.1885080402721514e-10,1.0211897373240308e-07,1.6862174722388345e-10,5.252290051210576e-11,2.118965671439536e-10,3.754093479299161e-09,1.2277902722026253e-10,1.227751473091434e-10,1.2277861695381841e-10,1.2277964306521476e-10,1.2277458940912856e-10,1.2277747771859426e-10,1.2277843496057564e-10,1.227777637956862e-10,2.414816873522567e-11,2.4148179628274595e-11,2.414818275962649e-11,2.41481723800138e-11,3.253336383885152e-13,1.808526418597083e-13,4.284392342515539e-05,1.6546021271152523e-07,1.4938946490882237e-06,7.009410727234884e-06,7.340099526835551e-09,1.3643284099968774e-08,5.0253181643645694e-08,4.555792278708901e-07,1.1410864946782445e-07,1.003791303565569e-08,9.386098978992885e-07,1.5101052337647491e-09,7.105507990758276e-06,9.623051108785115e-05,7.586773909783318e-07,1.1793018629782316e-05,2.4319108129365266e-07,8.60979138324481e-07,4.7124964467964465e-07
900,5.420700806810908e-06,7.437184336067755e-11,1.9047765534062504e-10,3.1107530045070576e-11,3.6758408342258587e-09,1.2022174618643163e-10,1.2022227625919846e-10,1.2021800565498713e-10,1.2021853217008615e-10,1.2022010943208116e-10,1.202228532170124e-10,1.2021776934848168e-10,1.2021925058141703e-10,5.517041693264187e-10,2.4267001618757366e-10,2.428200073634884e-10,2.1885081247395728e-10,2.1885082059142618e-10,2.1885081424722099e-10,2.1885079820857463e-10,1.0212772474424562e-07,1.6862158592261028e-10,5.252482413336367e-11,2.118959621378534e-10,3.75420736126101e-09,1.2278021334614107e-10,1.227799487269256e-10,1.2278038877672477e-10,1.2278239060947659e-10,1.2278185856625263e-10,1.2277797421035267e-10,1.2278268091991773e-10,1.2278173480772532e-10,2.4148197073308864e-11,2.4148187055364913e-11,2.4148183759796447e-11,2.4148205235399146e-11,3.253333165895043e-13,1.808526393442097e-13,4.284393416713243e-05,1.6546020260259757e-07,1.4940937607481673e-06,7.009420676502593e-06,7.340538693180158e-09,1.3643176587759332e-08,5.0253409413836185e-08,4.55581931893265e-07,1.1410858577882898e-07,1.0037906194304733e-08,9.38609879710767e-07,1.5101060576366959e-09,7.105503927229246e-06,9.623066491532587e-05,7.586782132738597e-07,1.1793020825958832e-05,2.431911216667023e-07,8.609792000381421e-07,4.712532446742803e-07
