milliseconds,CRP,CRPsiteI_crp,CRPsiteII_crp,CRPsite_cyaA,CRPsite_genome,CRPsite_ptsGp1,CRPsite_ptsGp2,CRPsite_ptsHp0,CRPsite_ptsHp1,CRPsite_ptsIp0,CRPsite_ptsIp1,CRPsite_mlcp1,CRPsite_mlcp2,Mlc,Mlcsite_mlcp1,Mlcsite_mlcp2,Mlcsite_ptsGp1,Mlcsite_ptsGp2,Mlcsite_ptsHp0,Mlcsite_ptsIp0,CRP_cAMP,CRP_cAMP_CRPsiteI_crp,CRP_cAMP_CRPsiteII_crp,CRP_cAMP_CRPsite_cyaA,CRP_cAMP_CRPsite_genome,CRP_cAMP_CRPsite_ptsGp1,CRP_cAMP_CRPsite_ptsGp2,CRP_cAMP_CRPsite_ptsHp0,CRP_cAMP_CRPsite_ptsHp1,CRP_cAMP_CRPsite_ptsIp0,CRP_cAMP_CRPsite_ptsIp1,CRP_cAMP_CRPsite_mlcp1,CRP_cAMP_CRPsite_mlcp2,Mlc_Mlcsite_ptsGp1,Mlc_Mlcsite_ptsGp2,Mlc_Mlcsite_ptsIp0,Mlc_Mlcsite_ptsHp0,Mlc_Mlcsite_mlcp1,Mlc_Mlcsite_mlcp2,IICB,IICB_Mlc,CYA,IIA_P,IIA_P_CYA,mRNA_cyaA,mRNA_crp,mRNA_ptsG,mRNA_ptsH,mRNA_ptsI,mRNA_crr,mRNA_mlc,IICB_P,IIA,HPr_P,HPr,EI_P,EI,cAMP
0,5.420702571875924e-06,7.436952101910782e-11,1.9046874098711416e-10,3.11036439564137e-11,3.6756163677544784e-09,1.2020846550295955e-10,1.2020872695923407e-10,1.202084019026821e-10,1.2020771276203974e-10,1.202131284855821e-10,1.202089529227186e-10,1.2020750812681353e-10,1.2020679218418787e-10,5.517202943896669e-10,2.4267000025630274e-10,2.4282000013443633e-10,2.18849991819941e-10,2.188500082347093e-10,2.1885000590488166e-10,2.1884999031094017e-10,1.0214014856536926e-07,1.6862919212548603e-10,5.2527401997481065e-11,2.1189914615320667e-10,3.754427372368094e-09,1.2278794831411489e-10,1.227871014107604e-10,1.2279068311535293e-10,1.2278775332628223e-10,1.2278690883635389e-10,1.2278747248452705e-10,1.2278728988964694e-10,1.2278998847288175e-10,2.4148990053634175e-11,2.4148985801453816e-11,2.414901412520431e-11,2.4149015624637848e-11,3.253497631829715e-13,1.8086010166223974e-13,4.284397725559727e-05,1.6545997827025748e-07,1.49345235753522e-06,7.009394490063555e-06,7.337001793335857e-09,1.36429546058708e-08,5.025390260198726e-08,4.5558777401339793e-07,1.1411032577508639e-07,1.0038000538706915e-08,9.386099894589951e-07,1.510100349403595e-09,7.105499324474835e-06,9.623003193266318e-05,7.586701818887479e-07,1.179299781334088e-05,2.431900294381672e-07,8.609797986169825e-07,4.7104964694831894e-07
100,5.420749706509655e-06,7.439507906758606e-11,1.9049092272714967e-10,3.11165027743744e-11,3.676549249487787e-09,1.2024487014446657e-10,1.2024517028575119e-10,1.2024166056625586e-10,1.2024126064672883e-10,1.2024523982545072e-10,1.2024526933540442e-10,1.2023946551192524e-10,1.2024544611233283e-10,5.517024378812722e-10,2.4267001732949944e-10,2.4282000800370236e-10,2.188508781839682e-10,2.1885088307504904e-10,2.1885088520454764e-10,2.1885086918311225e-10,1.0209680409588746e-07,1.6860485325923152e-10,5.25064823243907e-11,2.1188527889989677e-10,3.753446679156331e-09,1.227565049255613e-10,1.2275954559161644e-10,1.2275914916281576e-10,1.227569466958687e-10,1.2275713082009776e-10,1.2275779892291667e-10,1.2275636016643349e-10,1.2275531475498134e-10,2.4148133985447e-11,2.4148126263167792e-11,2.4148109037690578e-11,2.4148123796153744e-11,3.253325151399438e-13,1.8085207917189569e-13,4.28440148443252e-05,1.654600850709245e-07,1.493549892721429e-06,7.009361693311178e-06,7.337793666725103e-09,1.3642973267658904e-08,5.025369401777587e-08,4.555900161601183e-07,1.1410955445798429e-07,1.0037983651548844e-08,9.386099946624217e-07,1.51010130877456e-09,7.105502273308947e-06,9.623016420278507e-05,7.586752042116396e-07,1.1792998172504006e-05,2.431910840706052e-07,8.609787127820605e-07,4.710977063114668e-07
200,5.420740907855138e-06,7.43873868328343e-11,1.904882051850347e-10,3.1114792020056096e-11,3.6764413738158337e-09,1.2023775661980205e-10,1.2024050506336218e-10,1.2023670944441746e-10,1.2023994866241664e-10,1.2024292475594635e-10,1.2023819361272212e-10,1.2024214960005174e-10,1.2024267960823096e-10,5.517026015069319e-10,2.4267001728208255e-10,2.428200080306859e-10,2.1885085527489694e-10,2.1885086052387778e-10,2.1885087988765992e-10,2.1885086178319593e-10,1.0210160580870896e-07,1.686069157769642e-10,5.2509870124774894e-11,2.1188676359811272e-10,3.7535507901243825e-09,1.2276187047792206e-10,1.227624945455162e-10,1.2276286308605067e-10,1.2276240110005851e-10,1.2276117803150448e-10,1.227630706109872e-10,1.2276326674487338e-10,1.2275749149293037e-10,2.414813810901994e-11,2.414814114809887e-11,2.414813202274354e-11,2.4148130636545798e-11,3.2533263184833875e-13,1.8085215729042243e-13,4.284400900132734e-05,1.654600353806935e-07,1.493465664677426e-06,7.009373641135847e-06,7.3380425886062484e-09,1.3643023400894225e-08,5.025364234271907e-08,4.5558652857880194e-07,1.1410928711677571e-07,1.0037991909888647e-08,9.386099836491091e-07,1.5101014011944221e-09,7.105503285158741e-06,9.623023362999788e-05,7.58675712991586e-07,1.1792998484632147e-05,2.43191127364721e-07,8.60979031050194e-07,4.7110713096747696e-07
300,5.420735681787294e-06,7.438720733191223e-11,1.9048820085706536e-10,3.1114021828122814e-11,3.676328754136135e-09,1.2023828068734685e-10,1.2023507956409985e-10,1.2023394996356233e-10,1.2023548611071906e-10,1.2023434581614065e-10,1.2023999172723356e-10,1.2023637998187254e-10,1.2023941125285248e-10,5.517033334091943e-10,2.4267001700641277e-10,2.428200079247596e-10,2.1885087839117007e-10,2.188508534964989e-10,2.1885086799048885e-10,2.1885086183366018e-10,1.0209843362907548e-07,1.686098642258695e-10,5.2514071463037915e-11,2.1188826150834542e-10,3.753593329769716e-09,1.2276481527222187e-10,1.2276518379571344e-10,1.2276076593686987e-10,1.227604517839309e-10,1.2276011151372235e-10,1.227641405940699e-10,1.2276112923038678e-10,1.227629147187796e-10,2.4148136653735377e-11,2.414813127375958e-11,2.4148131536354025e-11,2.414812544029611e-11,3.253328379443072e-13,1.8085201486925288e-13,4.284396382061348e-05,1.654601042629033e-07,1.4935720882568153e-06,7.0093861929091485e-06,7.338401789161119e-09,1.3643065956158137e-08,5.025367699332621e-08,4.555821162299524e-07,1.1410907239590594e-07,1.0037937536290766e-08,9.386099745572011e-07,1.5101023714581887e-09,7.105500725892527e-06,9.623021714361955e-05,7.58676018136063e-07,1.179300753605921e-05,2.431911607959592e-07,8.609791124805615e-07,4.711278952922567e-07
400,5.420733594926797e-06,7.43863271968972e-11,1.9048664643509452e-10,3.1111237997858934e-11,3.676330609484512e-09,1.2023497064877905e-10,1.2023522705820436e-10,1.2023302216002084e-10,1.202320310359205e-10,1.2023472533962448e-10,1.2023194655157197e-10,1.2023676876850263e-10,1.2023712694941686e-10,5.517029380652732e-10,2.42670016925431e-10,2.4282000785355336e-10,2.1885086828163686e-10,2.1885086823621855e-10,2.188508397506707e-10,2.188508438393366e-10,1.021007264914506e-07,1.6861385798865937e-10,5.2514885900981606e-11,2.1189152918605401e-10,3.753672547477759e-09,1.2276470045173e-10,1.2276297095701718e-10,1.227632295746149e-10,1.2276298599315834e-10,1.2276299291732416e-10,1.227692321604148e-10,1.2276738251778134e-10,1.227670494159967e-10,2.414815431430044e-11,2.4148150513742957e-11,2.414814947054442e-11,2.414813444732432e-11,3.2533303282491036e-13,1.8085205554008075e-13,4.2843978929092095e-05,1.6546014788969882e-07,1.4936415849428566e-06,7.009386221840119e-06,7.3387435173835295e-09,1.3643235792792963e-08,5.025353953336891e-08,4.555816088555254e-07,1.141094009514567e-07,1.0037943364888734e-08,9.386099459199165e-07,1.51010305433959e-09,7.105506913701378e-06,9.623029293859973e-05,7.586766140534998e-07,1.1793014285361714e-05,2.431910906469236e-07,8.609788161899386e-07,4.71135160690146e-07
500,5.420723592214877e-06,7.438009948872152e-11,1.9048107078366815e-10,3.1110004286370424e-11,3.676241301347565e-09,1.202301526246279e-10,1.202313245204916e-10,1.202323913261732e-10,1.2023336761135127e-10,1.2023240627269582e-10,1.2023387165476215e-10,1.2023255584494343e-10,1.202296140375486e-10,5.517034269009501e-10,2.4267001687516925e-10,2.428200077101644e-10,2.1885084660981402e-10,2.1885085664315356e-10,2.188508590145797e-10,2.1885083561096307e-10,1.0210819149080601e-07,1.6861615238593493e-10,5.251433904966076e-11,2.1189091031242475e-10,3.753712335799264e-09,1.2276938428901007e-10,1.2276788793483345e-10,1.227665261243364e-10,1.2277056448940655e-10,1.2276875437899733e-10,1.2276929058681573e-10,1.2276816649949407e-10,1.2276689559506285e-10,2.4148148063210608e-11,2.4148152312213314e-11,2.4148156502771763e-11,2.414816443761664e-11,3.2533324115605045e-13,1.8085233731673842e-13,4.2843931943973574e-05,1.6546017288762797e-07,1.4937665155017025e-06,7.009399571059019e-06,7.338722300163439e-09,1.364329214877748e-08,5.0253315707566787e-08,4.555811505679485e-07,1.1410916344785106e-07,1.0037911100245421e-08,9.386099537109152e-07,1.5101029691020293e-09,7.10550278519789e-06,9.623034506322732e-05,7.586770374637418e-07,1.1793009507248186e-05,2.431910722318234e-07,8.609793583906974e-07,4.7115336671845834e-07
600,5.420722819376408e-06,7.438142788868309e-11,1.9047934623423035e-10,3.111066570826919e-11,3.676136199526029e-09,1.202288852251437e-10,1.2022630162871769e-10,1.202282503054074e-10,1.2023066373663164e-10,1.2023051794412952e-10,1.2022581216184845e-10,1.2022991939687143e-10,1.2022604239406914e-10,5.517035761586782e-10,2.4267001708526366e-10,2.4282000753562117e-10,2.1885083762455692e-10,2.188508481284487e-10,2.1885084694452103e-10,2.1885082798158764e-10,1.0210993550068216e-07,1.6861747506354583e-10,5.251952031173409e-11,2.1189381051116147e-10,3.753820295015674e-09,1.2277089855930062e-10,1.2276875024215076e-10,1.2276835768450768e-10,1.2276874962514534e-10,1.227720894804648e-10,1.2277228069547684e-10,1.2277477854596302e-10,1.2277109804607112e-10,2.4148162926142017e-11,2.4148162284949485e-11,2.4148174520843467e-11,2.414814801083578e-11,3.253328822137901e-13,1.8085242739143077e-13,4.284395964150722e-05,1.6546015211464082e-07,1.4937744588748526e-06,7.009406326073136e-06,7.338998212677843e-09,1.3643304351149735e-08,5.025341531490675e-08,4.555800847744047e-07,1.141085846046994e-07,1.0037919660368185e-08,9.386099390518898e-07,1.5101042426887657e-09,7.105501046356637e-06,9.623049246563689e-05,7.586767618759669e-07,1.1793019202669376e-05,2.4319109505150876e-07,8.609790408217169e-07,4.711856459847519e-07
700,5.420711417406982e-06,7.43805262715512e-11,1.9047952389016909e-10,3.110896431467449e-11,3.6759469020918804e-09,1.2022325367581476e-10,1.202282873907186e-10,1.2022764004766974e-10,1.2022628661400112e-10,1.202234787136504e-10,1.2022765630203882e-10,1.202289176489096e-10,1.202287212337921e-10,5.517042669195545e-10,2.42670016963207e-10,2.4282000760323687e-10,2.1885083604844188e-10,2.1885082291790593e-10,2.1885082062843717e-10,2.188508183000057e-10,1.0212288943362069e-07,1.6862188592670838e-10,5.2520454752794496e-11,2.1189523498458863e-10,3.753917319105201e-09,1.227733063023394e-10,1.2277593100200746e-10,1.2277479304211208e-10,1.2277630535047782e-10,1.2277113745261478e-10,1.227725699931358e-10,1.2277715806968714e-10,1.227720047663703e-10,2.4148165959725e-11,2.4148159299411512e-11,2.4148183616223258e-11,2.4148156892796192e-11,3.253330688831455e-13,1.808525562941932e-13,4.284394393333999e-05,1.654601857192949e-07,1.4939732939370283e-06,7.009407569053465e-06,7.340102983558475e-09,1.3643269647268933e-08,5.0253531895919296e-08,4.5557756029978216e-07,1.1410864892769084e-07,1.0037928869906313e-08,9.386099130741655e-07,1.510104342200461e-09,7.105507770288179e-06,9.623052419927498e-05,7.586776588182611e-07,1.1793011663450252e-05,2.431911472800186e-07,8.609792551360541e-07,4.71192087038298e-07
800,5.420710575801473e-06,7.437706807366527e-11,1.9047597220079972e-10,3.110736672871787e-11,3.676024414929565e-09,1.2022180389663014e-10,1.202210222286533e-10,1.2022138511430467e-10,1.2022097116546326e-10,1.2022523575853334e-10,1.2022351423148463e-10,1.2022130356851132e-10,1.2022138848066723e-10,5.517040238436241e-10,2.4267001671035765e-10,2.428200076054505e-10,2.1885080904219673e-10,2.1885082702232203e-10,2.1885082800528944e-10,2.1885080470953805e-10,1.021260309770358e-07,1.6862338552597646e-10,5.2519392275811744e-11,2.1189506639516198e-10,3.754055317501828e-09,1.2277630207838473e-10,1.227795356895449e-10,1.227743039814679e-10,1.2277907099050834e-10,1.2277629882828085e-10,1.2277942812448403e-10,1.227756297149473e-10,1.2277744110846884e-10,2.41481843650978e-11,2.4148188961581167e-11,2.4148196407180194e-11,2.414818112955778e-11,3.2533325959674125e-13,1.8085241143188828e-13,4.2843932832452196e-05,1.6546024801318568e-07,1.4939041793602385e-06,7.009419349311831e-06,7.339993496347327e-09,1.3643172026358688e-08,5.025350704442202e-08,4.5557726880155183e-07,1.141083095569349e-07,1.0037901278714628e-08,9.386099186159853e-07,1.5101048011688507e-09,7.105502257360737e-06,9.623052341850346e-05,7.586777277283124e-07,1.1793010921167168e-05,2.4319113810016053e-07,8.609789394294889e-07,4.712119669614403e-07
900,5.420698797422361e-06,7.437338630865671e-11,1.9047552383413263e-10,3.110633245197945e-11,3.675927747425645e-09,1.2022218140514064e-10,1.2022150902511694e-10,1.2021910640354612e-10,1.2021727877565397e-10,1.2022010033288946e-10,1.2022134099159093e-10,1.202178073772612e-10,1.2022214962435302e-10,5.517042694610931e-10,2.4267001634917037e-10,2.428200075057918e-10,2.1885080979142267e-10,2.1885080050639508e-10,2.1885081164935672e-10,2.1885080797028317e-10,1.0212923616321038e-07,1.6862391196636205e-10,5.252112458079122e-11,2.118957679530671e-10,3.754116393225541e-09,1.2278153327322113e-10,1.2277688626474597e-10,1.2277683637495676e-10,1.2277694283204781e-10,1.2277658538283043e-10,1.2277627250285709e-10,1.2277675050515614e-10,1.227805845822429e-10,2.414818156700241e-11,2.4148189539241636e-11,2.4148195473473246e-11,2.4148203860699847e-11,3.253334381572413e-13,1.8085262828559296e-13,4.284391116279718e-05,1.6546022906580372e-07,1.4940351552557812e-06,7.009418165718139e-06,7.340047965032977e-09,1.3643250037265887e-08,5.0253344588722856e-08,4.5558020639293786e-07,1.1410866228239821e-07,1.0037912085870363e-08,9.386098843911206e-07,1.5101059571678983e-09,7.105510014219687e-06,9.623056533779542e-05,7.586775004023597e-07,1.1793013742614343e-05,2.431910527342592e-07,8.609790191248648e-07,4.71279216790653e-07
