milliseconds,E,E_P_1,P,M,E_M,T,E_P_2,P2,E_P2
0,0.00014914293522255655,-1.2707616075813792e-07,0.9994963482177862,-0.0004940197342591448,2.0257374723741314e-08,1.577037096084731e-05,6.838281422270579e-08,1.78253528341083e-05,-2.3432547875300737e-11
100,7.966913431195495e-05,6.298046293174479e-05,0.9993683971720793,0.0005878425302680516,1.876824841627229e-08,-8.103039027170876e-06,7.524260051638656e-06,1.6662120768874133e-05,3.1742287653125195e-10
200,7.918460398136402e-05,6.281422975089021e-05,0.9981796409624207,0.0006202232057973386,6.640858204614151e-08,4.171602591206458e-06,7.4658682685527835e-06,5.7521367473343e-05,6.243884091996872e-10
300,7.925734563416913e-05,6.36112716587603e-05,0.9984576529678839,0.0014229858884415776,9.228064090087965e-08,-1.3195709739674372e-05,7.621670062809466e-06,6.9724048684791e-05,3.849984752702074e-10
400,7.993934414569539e-05,6.24915207454347e-05,0.997921953406472,0.001584291043145525,1.1222470602292539e-07,9.749815103833478e-06,7.643825720790636e-06,9.473335673114808e-05,7.396683635996114e-10
500,8.024397128462346e-05,6.252054218728399e-05,0.9972499448029856,0.0025372005857439333,1.426742546456631e-07,4.76983010172092e-06,7.628896907491699e-06,0.00014082433210912149,9.467938608961437e-10
600,7.93601370862145e-05,6.286277110996367e-05,0.9963154285405569,0.002765021818220002,1.4842037383230818e-07,3.04558905274782e-05,7.658733855129727e-06,0.00013159147972670651,1.1159880691401121e-09
700,7.98199742590045e-05,6.363436778810854e-05,0.9960093317567795,0.003327660739017942,2.0967761006039882e-07,2.991758667982872e-05,7.546707159236055e-06,0.00013483496937925814,1.1619772684076465e-09
800,7.904162601924098e-05,6.26220235847082e-05,0.9961669942132525,0.004585383413108805,2.2915549831228495e-07,3.360998121721855e-05,7.620024074806877e-06,0.00015840187891761335,1.4184880788512948e-09
900,7.989368508203329e-05,6.235099546342123e-05,0.9950059484393557,0.00528602890204547,2.633055754531083e-07,1.7114001407620788e-05,7.563822619826441e-06,0.00020901629555735292,2.0003173724537122e-09
1000,7.977116845316525e-05,6.191698152570012e-05,0.994922478579447,0.005596922886701742,3.303389742779775e-07,8.101041597252897e-06,7.4824905691958585e-06,0.0002542736797670114,1.9503093465179727e-09
1100,8.002415785111328e-05,6.330791885872445e-05,0.9943169459478113,0.0057068786973444785,2.834598941461406e-07,2.682818019910059e-05,7.460464865085047e-06,0.000294959089069051,2.1130453810156127e-09
1200,8.04750059741536e-05,6.265366806792426e-05,0.9926952366180135,0.005982965627158724,3.12420874153653e-07,5.693765391009568e-05,7.470332991780543e-06,0.00028779351081858735,2.1896465756837747e-09
1300,7.951340734053505e-05,6.216123256809432e-05,0.9931853527864238,0.007368121541729336,4.026439265918601e-07,3.7100755416543725e-05,7.6104987413828324e-06,0.00030996278489574486,2.8607084348588577e-09
1400,8.010571886203966e-05,6.258834748530884e-05,0.992021157241742,0.0067502635703341335,4.5073675008328906e-07,7.320066331662776e-05,7.631000691385404e-06,0.0003379936989432489,2.860395189267877e-09
1500,8.010525953309274e-05,6.190636688027907e-05,0.9915470884930525,0.008316776725123874,4.1348359801978033e-07,6.922987857154551e-05,7.544099646641433e-06,0.00038661681419865934,3.0794048771995587e-09
1600,8.007077584550003e-05,6.28026692392938e-05,0.9911349939543949,0.008061219062612819,4.6682934296024213e-07,5.737669274495527e-05,7.506876176980063e-06,0.00036493799857425895,3.283418133504183e-09
1700,8.007210078642218e-05,6.180054113197819e-05,0.9901260982614766,0.008102361222829658,5.090009756746983e-07,7.240972389902311e-05,7.481104421529468e-06,0.0003749524069278713,3.655833944667287e-09
1800,7.948252281239802e-05,6.180604502116976e-05,0.9908022795051815,0.009364300704488909,5.445535213274484e-07,0.00010333907883623617,7.559031860092654e-06,0.00041067377441411336,3.770259794793422e-09
1900,8.04401593252743e-05,6.219737034854288e-05,0.9889715037836592,0.009542629687550031,5.204639028460975e-07,0.00012470106410778712,7.538544891285517e-06,0.0004608328261092817,4.286240393667811e-09
2000,7.859456673622213e-05,6.243469428528689e-05,0.9887521690328993,0.010080775372087864,5.444498468200331e-07,0.0001149544515895612,7.423701745197233e-06,0.00047856024603143584,4.1105846116632825e-09
2100,8.028735606479168e-05,6.260487319573216e-05,0.989058973877377,0.010130414700039213,6.310878167242876e-07,0.00011639169832286533,7.460034919507817e-06,0.0005407582276170024,4.331887808179439e-09
2200,7.870004145837443e-05,6.21049480714241e-05,0.9885282721568592,0.010620232683609294,6.715360793469008e-07,0.00014480660921122808,7.451416930503339e-06,0.0005678022343642574,4.806371909212446e-09
2300,7.96260979322136e-05,6.205403976478193e-05,0.9867313771831064,0.01169992657062556,6.567879273246762e-07,0.00015408664490444216,7.512002717517169e-06,0.0005438677179844989,4.621089483313585e-09
2400,7.900705719000078e-05,6.274400974639437e-05,0.9871480276045844,0.012839872790171592,6.798296574562989e-07,0.00017890145519035912,7.425006808994889e-06,0.0005617674588630797,5.1583219334060065e-09
2500,7.894170446235099e-05,6.21236615958778e-05,0.9857480055641817,0.01324871981807505,7.156381940880141e-07,0.0001762064649781491,7.407734767737975e-06,0.0005966975461933132,4.993599164937298e-09
2600,7.949765616036945e-05,6.22364886117965e-05,0.9854895436864073,0.013709596021120665,7.234457589781252e-07,0.00021876975098967204,7.503869066570001e-06,0.0006199095932363941,5.523727637997217e-09
2700,8.007398909835707e-05,6.13800165687512e-05,0.9849364905025905,0.014242128802349858,7.509464027971377e-07,0.00023313435965499502,7.41632500793522e-06,0.0006832852027825187,5.7738926771303295e-09
2800,8.013939185470518e-05,6.258177613812574e-05,0.9849892157652805,0.013544902529356629,8.42546824155206e-07,0.00024021666593737956,7.57149724477478e-06,0.0006615209135914822,6.018004732286724e-09
2900,8.00274138207711e-05,6.255194757993922e-05,0.983611131774514,0.013999081882317164,8.085301942450508e-07,0.00026167509064404533,7.418561104458394e-06,0.0006960928955234895,6.051602859295586e-09
3000,7.88474739851016e-05,6.132291664144456e-05,0.984025011770796,0.014474359911553464,8.571970082774902e-07,0.00025750650268082536,7.44613146108748e-06,0.0007000049283420463,6.394478085357967e-09
3100,7.963255533309007e-05,6.254638582414062e-05,0.9838431837968561,0.01624940451375116,9.030387255212952e-07,0.0002936672796941089,7.370731109996696e-06,0.0007437731107511318,6.458322244714338e-09
3200,7.97410418547328e-05,6.283320620625587e-05,0.9828764065658249,0.016795848393142115,9.24118683429909e-07,0.0003100639454286153,7.557898897891254e-06,0.0008053007867851903,6.472303479470486e-09
3300,7.954886353524151e-05,6.213195069778507e-05,0.9825038088452321,0.017066065578749873,9.923130490087494e-07,0.00034745808772669324,7.4767637503433865e-06,0.0008328762713148996,6.85355212648155e-09
3400,7.979893616289003e-05,6.241016829229933e-05,0.9823438573040926,0.017179288045577955,9.85958462876591e-07,0.0003442639661194338,7.380487451129428e-06,0.0008269970900643173,7.3628369593178914e-09
3500,7.869217609869944e-05,6.231203788471232e-05,0.981739987151078,0.017131426064717046,1.0365013865280686e-06,0.0003586651681302318,7.364130068482074e-06,0.0008357197214833358,7.3902957332155255e-09
3600,7.923889571591568e-05,6.187151175883867e-05,0.9806387044150964,0.01746909588121988,1.0428357856111411e-06,0.0003917833920201099,7.526581241116682e-06,0.0008811324446790176,7.762975985801187e-09
3700,7.908597558247158e-05,6.196672379914786e-05,0.9796948748371056,0.01893775782750702,1.0912371264242638e-06,0.0004365521742771859,7.452054172721357e-06,0.0009177476706812534,7.83263328691153e-09
3800,7.957938266982376e-05,6.180614892874638e-05,0.9790676831444971,0.019443835957986422,1.125213302306833e-06,0.0004302189421704128,7.3871914469228245e-06,0.000887854536961456,8.152694872744744e-09
3900,7.93577090264463e-05,6.142600372719813e-05,0.9783944939056468,0.018941203764143145,1.1346235278766194e-06,0.00044909090123197856,7.3929076729982096e-06,0.0009448707011216064,8.519114716245927e-09
4000,8.034785164982128e-05,6.160894964444065e-05,0.9790053605440382,0.019490305834379468,1.1509673867446956e-06,0.0004722081967460787,7.534386402000955e-06,0.0009306330710955014,8.241362536962073e-09
4100,7.89080032218502e-05,6.243039616962588e-05,0.9784244677603411,0.020182029965074077,1.174224737482367e-06,0.0005310363071315531,7.502016657419918e-06,0.001003410479291396,8.915498003687762e-09
4200,8.042509190482768e-05,6.185109941464408e-05,0.9769739241971114,0.02138169585993844,1.2025408576454262e-06,0.000523156463599657,7.343186495697769e-06,0.0010099888960516674,9.136214976970073e-09
4300,7.987499941661869e-05,6.104684737877507e-05,0.9760621210150947,0.020847004231489833,1.2743112407932226e-06,0.0005638179702913583,7.378798696449579e-06,0.0010418699409417682,8.929786641689638e-09
4400,7.934583314082215e-05,6.210797785182602e-05,0.9769782606985637,0.022592102149303222,1.2848801570443088e-06,0.0005726871057745499,7.3198383499871685e-06,0.0010459493033506862,9.506233913629243e-09
4500,8.062020782523434e-05,6.123950967655655e-05,0.975301167358513,0.02290718240160141,1.2780227164970443e-06,0.0006102785752331971,7.377442343146905e-06,0.001112866479820976,9.635393071365308e-09
4600,8.05858627718089e-05,6.11611146579247e-05,0.9749413871956216,0.023659522700568154,1.3532318605660505e-06,0.0006526366395686779,7.362601545656191e-06,0.001124714478240483,9.71737147916782e-09
4700,7.987987498471875e-05,6.147170927956997e-05,0.974868741557074,0.023924155434817938,1.3770970865714194e-06,0.0006816671350157444,7.495968776077055e-06,0.0011035706748485754,1.0046481566197066e-08
4800,7.927175842598844e-05,6.165722280809916e-05,0.9743624578947397,0.02403001810113649,1.3799852204596614e-06,0.0006767585640278515,7.305378332317269e-06,0.0011880014106367544,1.026768153937046e-08
4900,7.935157961287302e-05,6.23076492802084e-05,0.9736523103596129,0.024297823610628953,1.422260197648505e-06,0.0007210632534534815,7.362432317405427e-06,0.0012059620689279058,1.001840950007071e-08
5000,7.980258969101469e-05,6.101269671733566e-05,0.9729025954785654,0.024975553490185372,1.4501380091521845e-06,0.0007471033097489779,7.453461972281269e-06,0.0012146157456156494,1.0513030230074397e-08
