milliseconds,E,E_P_1,P,M,E_M,T,E_P_2,P2,E_P2
0,0.00014965489850792888,-2.436983496260518e-07,1.000251630597767,-0.0007360893449215696,3.897231199923898e-08,-1.542524476731197e-05,-6.053361819138503e-08,-2.5219746962101043e-05,-4.6116116321592246e-11
100,7.891118125334509e-05,6.255624188101407e-05,0.9995628337542543,0.0005800629727392805,3.919845041593833e-08,-2.0520163539781476e-05,7.547173621053129e-06,5.046280063687524e-05,2.887344515453146e-10
200,7.850602591464441e-05,6.281234360165225e-05,0.9986977210825139,0.00032279029307383115,9.071177166219976e-08,-1.8497004530820522e-05,7.602175150503281e-06,4.521492902971861e-05,4.814438408397468e-10
300,7.873415962886249e-05,6.350713127875669e-05,0.9989937521738191,0.00210026744561052,1.0264108974555081e-07,6.0432233087012716e-06,7.482580094255232e-06,9.205041395991484e-05,5.636389262449155e-10
400,8.019940884822272e-05,6.286961684451419e-05,0.9972407781312286,0.002703867331467992,1.4289381795365627e-07,9.406211598371687e-06,7.580882270278809e-06,8.533493774257407e-05,5.460638395878998e-10
500,8.025710440321744e-05,6.215296139672237e-05,0.9970105359073347,0.0019733746757211526,1.4492643693213022e-07,-7.754072006709637e-06,7.466985967570321e-06,0.00011264908712411344,1.006330701751668e-09
600,7.885893504525082e-05,6.264453156715892e-05,0.9971300658848546,0.003611467751988876,1.6591972266830613e-07,-1.141292512793638e-05,7.551580521736725e-06,0.00011067936586167725,1.4381736887191976e-09
700,8.023614102551957e-05,6.20177130539536e-05,0.9959415345797425,0.003892150527685411,1.908309876896391e-07,-3.0133712659558395e-06,7.5874373488384e-06,0.00018928025679424475,1.6666047801316183e-09
800,7.865242488231854e-05,6.222577326776638e-05,0.9953725208941256,0.004252264732502563,2.683417858257263e-07,9.161763546332366e-06,7.642698512593304e-06,0.00020323156003566919,1.3304319855712379e-09
900,7.995771847362868e-05,6.282385806625738e-05,0.9950452616029397,0.0049136915475107065,2.66380537488911e-07,8.656833161408408e-06,7.498635704851434e-06,0.00023212946525306201,1.9979853595816737e-09
1000,7.957695811309808e-05,6.294949815133818e-05,0.995175309520247,0.005429593762299151,2.7029303955064334e-07,4.2704096375080215e-05,7.606310472077425e-06,0.000250075713671122,1.7880760444849837e-09
1100,7.898198061669407e-05,6.334902606723346e-05,0.9935503892129887,0.005147227499271854,2.7974116257959814e-07,3.7949733082519004e-05,7.5772443282250456e-06,0.00029555691796986303,2.262257282222165e-09
1200,8.040938011084324e-05,6.206193054366602e-05,0.9934899360659357,0.0054602046180276574,3.8868368605965144e-07,3.991396860830947e-05,7.44943516756232e-06,0.00028430416409878657,2.6318064039681892e-09
1300,7.975562443188292e-05,6.276620775891859e-05,0.9932720408961988,0.006702750943458017,3.3784575871935527e-07,6.994472421194506e-05,7.4674396731699115e-06,0.00033737625455285337,2.447288743399277e-09
1400,8.04166857692869e-05,6.222174530126597e-05,0.9929483210133329,0.007540498266087861,4.1342066459673257e-07,5.1264485185430714e-05,7.5424368304350115e-06,0.0003638515731613621,2.985181576937285e-09
