milliseconds,S,N
0,0.1,0.2
100,0.10139595904809727,0.1997225089614274
200,0.10278426233713923,0.1994497620844933
300,0.10416485854173929,0.19918177655231073
400,0.10553779371666763,0.19891851313429326
500,0.10690308872461429,0.19865995473945033
600,0.10826082180837758,0.19840603536907336
700,0.10961100022984215,0.19815674910441186
800,0.11095371512050724,0.19791201950890594
900,0.11228896540028528,0.1976718475655124
1000,0.11361684836299976,0.19743615185746827
1100,0.11493735681565599,0.1972049384450388
1200,0.11625059149540849,0.19697812314753477
1300,0.11755653033133485,0.19675572442672717
1400,0.118855265915141,0.1965376649903893
1500,0.12014680658701934,0.19632393787642852
1600,0.1214312194932552,0.19611448712903923
1700,0.122708541397214,0.19590928207206657
1800,0.12397881684973149,0.19570828562392073
1900,0.12524209130700023,0.19551145995666397
2000,0.1264984047457244,0.19531877183769358
2100,0.12774778842111637,0.19513019551289648
2200,0.12899029173132998,0.19494568973764237
2300,0.13022595820027227,0.19476521828275684
2400,0.1314548313518503,0.19458874491906542
2500,0.13267693949161877,0.19441624644906622
2600,0.1338923115251711,0.19424769916143653
2700,0.13510099902148004,0.19408305993790767
2800,0.1363030420498081,0.19392229550756213
2900,0.13749848067941772,0.19376537259948248
3000,0.13868733468345962,0.19361227541443898
3100,0.13986963975511732,0.19346297444861424
3200,0.1410454399714918,0.1933174329809865
3300,0.14221477221872778,0.19317562048079065
3400,0.14337767338297003,0.19303750641726156
3500,0.14453415856743007,0.19290307910892404
3600,0.14568426930369327,0.19277230400520273
3700,0.14682804257345547,0.19264515049265
3800,0.14796551271006927,0.19252159024949234
3900,0.14909671332294916,0.19240159558249428
4000,0.15022165791256858,0.1922851562574125
4100,0.1513403899813246,0.19217223599172242
4200,0.15245294174852525,0.1920628082991072
4300,0.1535593454334786,0.19195684669325
4400,0.1546596297313696,0.19185432775207323
4500,0.1557538123508702,0.19175523760631674
4600,0.1568419322574604,0.19165954390383996
4700,0.1579240198026197,0.19156722178241054
4800,0.15900010533782757,0.19147824637979607
4900,0.1600702130360576,0.19139259820950827
5000,0.16113436402755973,0.19131026043244706
