miliseconds,infected_nontested_0,infected_tested_0,uninfected_nontested_0,uninfected_tested_0,symptoms_tested_0,symptoms_nontested_0,recovered_tested_0,recovered_nontested_0,dead_corona_tested_0,dead_corona_nontested_0,dead_noncorona_0
0,1.9108576521722436,0.9990055391000715,629989.995671276,-0.5034089210748697,0.001649758705863042,8.73976362249432e-06,-0.00425231610808382,9.697460280008114e-06,-8.967117071107854e-05,-0.0006200710197017204,1.3895534283598434
100,2.0291469139202962,0.9778069549408713,629948.8466602045,27.953440735501474,0.04324879434040895,0.0012026422727279213,-0.008370368457945972,-5.922590881289752e-06,-1.895960844233588e-05,0.0002791717324361542,3.1664251152515996
200,2.0531933729231917,0.9378538739870301,629907.2813171463,133.33396086188017,0.14280308628114555,0.0013455987387277415,-0.0014834645276992089,9.83084853667998e-06,0.00045905339169277745,0.0009843171612152095,4.24477642739534
300,2.2321582104152484,0.9030703117239962,629865.8147041362,129.54531734510297,0.3287692254583481,0.0013325896939545886,-0.0032954181194105765,1.7850199778727927e-05,0.00038172645995924147,0.0012345813177637192,6.028092487922199
400,2.325876847837927,0.891411905410743,629789.4931714202,202.44542643252913,0.3605223227780028,0.0013254055952661543,-0.006016604219612672,3.6560486245853405e-05,0.0011190199309888704,0.0014002997823645464,7.3005320601638815
500,2.328723232802446,0.8535838721103831,629753.1342340359,254.87411634995723,0.5214927023395841,0.0013637140834848115,0.009699717588890808,5.5576753993997606e-05,0.0006659565128044382,0.0021080325686865607,10.767804442299946
600,2.4202129925038256,0.8377790127329707,629709.2353050252,323.3188103941205,0.5339312235314452,0.0014562427974260032,0.01974631904511338,4.944724130025135e-05,0.001399251320778386,0.001938778320086038,13.970724689365259
700,2.4058837840073695,0.8142540328904116,629619.2053788265,367.4745708192871,0.7355679607284996,0.0015626909951586955,0.023650350878624916,5.671234933008781e-05,0.0018823817748240678,0.0032582089999373233,15.821413794454129
800,2.590759550357152,0.7835946295235372,629601.445819498,397.49722984271966,0.814519983560418,0.0015589622058271,0.025355530560789114,7.854281987319659e-05,0.0015923964529885818,0.0033844313248125404,17.944069816875146
900,2.682322854697006,0.7613035509451758,629525.8955299208,474.23156459548244,0.8261080406883674,0.001569503467388983,0.018779522441516334,8.797277619397412e-05,0.002427634264170611,0.0038418690616921557,18.883604360459376
