miliseconds,E1,E2,KKK,P_KKK,KK,P_KK,PP_KK,K,P_K,PP_K,KPase,KKPase,E1_KKK,E2_P_KKK,P_KKK_KK,P_KKK_P_KK,PP_KK_K,PP_KK_P_K,KKPase_PP_KK,KKPase_P_KK,KPase_PP_K,KPase_P_K,K_PP_norm,KK_PP_norm,KKK_P_norm,rel_K_PP_max
0,3.000153150719736e-05,0.0002999999636362687,0.0029974414874479904,-4.1226475136194066e-07,1.2000381611509094,-0.0007045523262513555,1.690728207950577e-05,1.199683843764628,-7.962937072452902e-06,8.305507970459117e-06,0.12005767335510956,0.00029986140926841225,-1.7114081870348695e-09,-5.373574250516171e-10,1.4305455749449477e-06,1.6054071023318065e-08,-5.2559685981437625e-05,5.2612257051966075e-06,-6.3265324066300205e-09,-4.520470135487295e-07,-5.077479851460162e-06,-5.6071783109473026e-05,1.4661005197893234e-05,7.046944653108131e-05,0.00047777963249621546,1.3040439308607984e-05
100,2.972474195407352e-05,0.0002999993855321998,0.0029938270844107532,6.858625639164461e-07,1.200383472978851,0.0008488002131721233,-4.769459026102574e-06,1.200262805131797,-0.00019690008329581031,-1.6643902149719813e-06,0.12006155735169242,0.000299774545100562,2.758397101562226e-07,6.282614555647466e-10,4.084298861289088e-06,4.348915658521297e-08,-1.0289225718125593e-05,2.980982880720454e-07,-1.410633806075322e-08,4.6839546294527674e-07,7.93228007598475e-06,3.7258950556959914e-05,8.608121230655127e-06,2.7328746780422673e-05,0.0008079493900235293,-2.5839287664728685e-05
200,2.9719168508062336e-05,0.00029999783419855353,0.002992277953470539,1.3384394453656438e-06,1.1998195224264807,0.0005245814647830809,-1.0542393665796325e-05,1.2002364384378943,0.00025294298464825484,-1.5024155346961565e-06,0.11997420742632461,0.00030046935639515697,2.8451098381459637e-07,1.6729311184236545e-09,7.519937821447105e-06,-3.668057462571069e-08,-7.033163686805556e-06,-4.49102140578213e-06,1.3897671224934828e-08,3.8739732534420584e-08,7.1360124135855335e-06,-5.065057601159595e-05,2.145053235205543e-05,2.097759656634535e-05,0.002303782829312392,2.5813477887305657e-05
300,2.9708729441769093e-05,0.000299997185917169,0.0029861732491821375,2.499238493462657e-06,1.1994979169286017,5.817317022434646e-05,-1.0828260029071599e-05,1.199678905036221,0.00019271896075748708,-2.007527688212611e-05,0.12006884865090116,0.0002997485773569709,2.9116220049995035e-07,2.3010688124707964e-09,8.754343409382712e-06,5.746579514257742e-09,4.061066490142423e-05,1.4345138915521739e-06,1.3770087677881783e-08,-1.5209092664050366e-07,1.2936630248239885e-07,-7.331014538782557e-05,-2.4909460519288623e-06,5.943162088263431e-05,0.003647149655746036,6.0405802278504395e-06
400,2.9705555480000418e-05,0.0002999960877411185,0.0029832948443960752,3.4055318592880517e-06,1.1987691067141635,0.0011697005946074944,-4.360431979507722e-06,1.1998384349111848,-0.00015011706210462788,1.2296065349138461e-05,0.1199520596515351,0.0002985547015293562,2.9392410794106054e-07,3.0656165884680374e-09,1.4537481637960046e-05,2.7849154836168535e-08,6.565578607759786e-05,-7.187594207708298e-08,-4.762068156585627e-10,6.747867449820386e-07,7.666417432244487e-06,7.893123493684155e-05,-1.7432715409228369e-06,5.366301087334464e-05,0.005454673782986294,-8.410533728969121e-06
500,2.970571661016633e-05,0.000299995972147938,0.002978087606168176,4.028870027656635e-06,1.1971884096709517,0.001862790586334075,1.4217817545423244e-05,1.200085450902727,2.01112999552525e-05,-5.589956288941322e-06,0.12004566769810589,0.00029851949603114055,2.955364118208503e-07,4.615216027955272e-09,1.681375511254715e-05,-8.219385168628387e-10,7.589238420679675e-05,6.3864036644434346e-06,-1.0003717020008351e-08,1.3974227021604553e-06,-5.121238022258569e-06,-4.197657201690854e-05,-1.692491370565963e-05,3.518892106567907e-05,0.007068068824279972,-5.00716789969823e-06
600,2.9704094350275743e-05,0.00029999474928808724,0.0029737874826403837,5.523705971045634e-06,1.1976289710514445,0.002423609822352811,-1.6958005916259313e-05,1.1997717536861157,-4.096254701235526e-05,-1.4999280920918853e-05,0.12006736273666165,0.0002965159813119352,2.937797737096872e-07,4.836212276351952e-09,2.036208816610002e-05,8.223763837687066e-09,-4.824746148920479e-05,-1.7775725386888354e-06,-5.673189791897423e-09,3.191453163029338e-06,-2.8185565882212603e-06,8.658174519973798e-05,-6.740295984953873e-06,4.46256808993575e-05,0.008601927015728362,1.989868521900193e-05
700,2.970432177883595e-05,0.00029999474169999335,0.002972144563762198,5.9014089680376365e-06,1.1956404275258619,0.005107951669875964,-1.0358253860513473e-05,1.2001131519418042,8.283241224555774e-06,1.6662173407245724e-05,0.11993351358065261,0.00029535712905110736,2.9591577648280226e-07,5.359427775318638e-09,2.2440665825759546e-05,4.7431209515666115e-08,-3.2275469792092515e-05,-4.051306085921416e-08,4.118387994551551e-09,4.916276766993084e-06,-2.8408091288520445e-06,-3.7418791056626955e-05,7.199396523691123e-06,0.00010469355633736083,0.009018318325371264,1.0973821586514041e-05
800,2.9705614208004184e-05,0.0002999936052020403,0.0029656240944975357,6.332146651829415e-06,1.193873180201195,0.004739430156263553,-8.823276924863285e-06,1.1997700804816123,3.847956507009159e-05,9.751423770675278e-06,0.12001163976686749,0.0002952949548556615,2.932001947035611e-07,6.117840505239639e-09,2.6831454106876835e-05,6.09459281418287e-08,8.131788084497687e-05,-3.3650884462320804e-08,1.8806668777691936e-09,5.599711056810828e-06,6.030682916965117e-06,-3.6527441177453386e-06,-6.970387735674058e-06,0.00011286314931092465,0.009999511723035974,-3.200043344594815e-06
900,2.970549708793729e-05,0.0002999927551298688,0.002961844851743602,7.482733339552632e-06,1.192734286411832,0.006482481274263983,1.205843742323922e-05,1.1999314292843242,0.00013119092219092193,-1.2401164657519489e-05,0.12002883496693473,0.00029394239457733576,2.9340153235469565e-07,6.807763104038564e-09,2.6917067199735722e-05,2.1269893852241708e-07,8.186395023283958e-05,4.5630427284785056e-07,1.836002114268067e-08,6.666085710329403e-06,4.3408147204694325e-06,0.00012312299605553035,-2.378358261677139e-05,9.099260399836879e-05,0.011620054353050411,9.250878031713332e-06
