milliseconds,sigb,lacz,x
0,0.0,0.0,0.0
100,999.1763426878993,4.5152092672445954e-05,4.6600247254635e-06
200,1996.7071791754129,0.00018050923337490914,1.8629867330763654e-05
300,2992.5952215979964,0.00040592274241395374,4.189418332394987e-05
400,3986.8431743932406,0.0007212443589395238,7.443767177112029e-05
500,4979.453749599582,0.0011263253977058527,0.00011624498858155288
600,5970.42963857076,0.0016210183044845753,0.0001673009068188924
700,6959.773536252821,0.0022051753188051847,0.000227590179185622
800,7947.488107154272,0.002878650346572923,0.00029709773099775865
900,8933.57603923602,0.0036412959950504874,0.00037580835505810904
1000,9918.040009943978,0.004492965424818393,0.0004637069024926245
1100,10900.882688443697,0.005433512247381129,0.0005607782723654178
1200,11882.106730140695,0.0064627908225168805,0.0006670074424462743
1300,12861.71483172904,0.00758065319139518,0.0007823791536130469
1400,13839.709621041155,0.008786955203818262,0.0009068785408469073
1500,14816.093732197554,0.01008155233468053,0.0010404907026665793
1600,15790.869905058664,0.01146429414870104,0.00118320013139361
1700,16764.040746651674,0.012935037558705297,0.0013349920783105452
1800,17735.608871510536,0.014493639023120024,0.001495851750514023
1900,18705.577009944227,0.016139948527368022,0.0016657636914310823
2000,19673.947771089264,0.017873822821617615,0.0018447131438236782
2100,20640.723759756856,0.019695118874772183,0.0020326853760235476
2200,21605.907637962762,0.02160369041234984,0.0022296653256615945
2300,22569.502004591708,0.023599394569492227,0.0024356382867487866
2400,23531.50946663599,0.025682088041964427,0.002650589509972953
2500,24491.932644496603,0.02785162681183839,0.0028745041744499436
2600,25450.77414486562,0.030107867572228407,0.003107367536161684
2700,26408.03657015221,0.03245066723167875,0.0033491648762901797
2800,27363.72252107337,0.03487988241101297,0.0035998814634018283
2900,28317.834591534665,0.03739537043754408,0.003859502628170045
3000,29270.375371446444,0.03999698879813834,0.004128013722268755
3100,30221.347446862754,0.042684595112236864,0.004405400116344755
3200,31170.753399630074,0.04545804720007695,0.00469164720514508
3300,32118.595817400725,0.04831720179723302,0.004986740329056965
3400,33064.87726943357,0.05126191766116941,0.0052906649637212266
3500,34009.60032597789,0.054292053082859955,0.005603406568150018
3600,34952.76755314046,0.05740746654572107,0.005924950624945852
3700,35894.38151284106,0.06060801673132583,0.0062552826406503705
3800,36834.444762812425,0.06389356251940388,0.006594388145744338
3900,37772.959856600304,0.06726396298784154,0.006942252694647648
4000,38709.92934495005,0.07071907667501497,0.007298861848678958
4100,39645.355774213305,0.07425876242742059,0.007664201195636256
4200,40579.24168451697,0.07788288037375071,0.008038256372298337
4300,41511.58961298178,0.08159129021264941,0.008421013024871369
4400,42442.40209256419,0.08538385182883262,0.008812456823221487
4500,43371.681652056366,0.08926042529308813,0.009212573460874793
4600,44299.43081608615,0.09322087086227539,0.009621348655017339
4700,45225.65210511711,0.09726504897932581,0.010038768146495156
4800,46150.34803537903,0.10139281857384602,0.010464817689022111
4900,47073.52111904073,0.10560404128833806,0.010899483076018785
5000,47995.1738640676,0.10989857799587517,0.011342750118497738
