milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p53_P,Mdm2_P,IR,ROS,damDNA,E1,E2,E1_Ub,E2_Ub,Proteasome,Ub,p53DUB,Mdm2DUB,DUB,Mdm2_p53_Ub,Mdm2_p53_Ub2,Mdm2_p53_Ub3,Mdm2_p53_Ub4,Mdm2_P1_p53_Ub4,Mdm2_Ub,Mdm2_Ub2,Mdm2_Ub3,Mdm2_Ub4,Mdm2_P_Ub,Mdm2_P_Ub2,Mdm2_P_Ub3,Mdm2_P_Ub4,p53_Ub4_Proteasome,Mdm2_Ub4_Proteasome,Mdm2_P_Ub4_Proteasome,GSK3b,GSK3b_p53,GSK3b_p53_P,Abeta,AggAbeta_Proteasome,AbetaPlaque,Tau,Tau_P1,Tau_P2,MT_Tau,AggTau,AggTau_Proteasome,Proteasome_Tau,PP1,NFT,AbetaDimer,AbetaPlaque_GliaA,GliaI,GliaM1,GliaM2,GliaA,antiAb,Abeta_antiAb,AbetaDimer_antiAb,degAbetaGlia,disaggPlaque1,disaggPlaque2
0,5.0,5.0,95.0,10.0,10.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,500.0,4000.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,4.997716785360154,5.003721675644853,95.00277403433755,9.999750116797689,10.000000000000929,3.098311639027572e-22,200.0,6.225277060790362e-27,6.219020940889056e-23,0.0,1.8603049579527698e-12,6.200764934085267e-19,94.83534237994532,99.97390627908824,5.164657620054732,0.026093720911744212,499.9999999951825,3994.809244485016,200.0,200.0,200.0,4.154164622334679e-06,1.875365605957509e-11,6.017611646944395e-17,1.4338511587292127e-22,3.627585060842322e-24,1.993278781553238e-08,4.103505296483878e-14,6.004395023005013e-20,6.689173485321151e-26,1.5017833229238507e-31,1.8453098150723744e-37,1.6826619695136894e-43,1.1522873706368621e-49,3.568055848889694e-29,6.763664342417526e-31,1.0183656532489954e-54,499.99949986416635,0.0005001358337081918,1.0739114425980893e-31,1.8604639680353435e-06,-2.336952931696178e-19,4.673882531488524e-16,0.0009980574285393764,4.9097584843359466e-06,1.6275059389337676e-08,99.99900501171943,-5.020440932291221e-13,-8.375458156127526e-19,4.817375010218102e-09,50.0,1.675091631235826e-17,-1.4045756480347232e-13,0.0,100.0,6.999578781195711e-22,2.6618716466546224e-45,0.0,0.0,0.0,0.0,0.0,2.3331931631965964e-21,0.0
200,4.995432616419891,5.007442254763789,95.00552450446494,9.999500467159068,10.000000000003721,4.961035407823673e-21,200.0,1.953225161903281e-25,1.9493642173842927e-21,0.0,7.442439993532062e-12,4.9612143500698445e-18,89.99345296661409,99.89786764531569,10.006547033385942,0.10213235468430651,499.99999998086207,3989.891287756982,200.0,200.0,200.0,3.2696416675893435e-05,1.1276220528109989e-09,2.7308054085357914e-14,4.93024800018965e-19,2.3407169417912298e-20,1.5683161965787742e-07,2.466653386940572e-12,2.7241065696027744e-17,2.349206368908107e-22,3.534809731476081e-29,3.301921378511699e-34,2.397688293512503e-39,1.3211874106302738e-44,4.2701539161100285e-25,4.4520204198439905e-27,2.2803112327125803e-49,499.99899945677527,0.0010005432247858538,6.55037095427251e-30,3.721856208179252e-06,-1.879209461607045e-18,3.758381415546131e-15,0.001976800460519981,1.913759946887301e-05,1.261512634569168e-07,99.9980199166402,-2.000737234362212e-12,-6.681458689424956e-18,1.9137842117267584e-08,50.0,1.3362917379173263e-16,-5.656991026839814e-13,0.0,100.0,1.1252324499902688e-20,6.536462350611508e-43,0.0,0.0,0.0,0.0,0.0,3.7507755821578175e-20,0.0
300,4.993147386422189,5.011161740658956,95.00822845868977,9.999251051036719,10.000000000008372,2.511734158070621e-20,200.0,1.472481780006562e-24,1.4681206852293838e-20,0.0,1.6748236100386083e-11,1.674614899468106e-17,85.45351922389611,99.77513656767795,14.546480776103921,0.22486343232204098,499.9999999572299,3985.2285466760245,200.0,200.0,200.0,0.00010856623804655724,1.2416813159880871e-08,9.595172573885026e-13,5.168543773989368e-17,3.2413216655362188e-18,5.205826276253438e-07,2.7154791762065318e-11,9.569713165506233e-16,2.4980917539357432e-20,8.639265063567118e-28,2.471834818627102e-32,5.293918153317542e-37,8.278976974620497e-42,7.798777034394472e-23,6.24886956325792e-25,1.6053638990001274e-46,499.99849877799164,0.0015012220084338296,7.392928407949542e-29,5.5841772242589196e-06,-6.375140180271824e-18,1.2750089694825295e-14,0.0029370456940522264,4.1973230461425564e-05,4.1262005823925456e-07,99.9970445256459,-4.485729198153537e-12,-2.2488679681287043e-17,4.2770064124251315e-08,50.0,4.497735936500893e-16,-1.2816156902642141e-12,0.0,100.0,5.71998986101792e-20,1.6523317822590158e-41,0.0,0.0,0.0,0.0,0.0,1.9066638577385763e-19,0.0
400,4.990860996027502,5.014880136664666,95.01086445300741,9.999001868383383,10.000000000014888,7.938861122582224e-20,200.0,6.159618500206469e-24,6.135297294808526e-20,0.0,2.97795252698924e-11,3.96994413919474e-17,81.19607324440616,99.60881668705099,18.80392675559386,0.39118331294898767,499.9999999244694,3980.8046354083344,200.0,200.0,200.0,0.00025317081762160593,6.748816688359671e-08,1.2042865579037648e-11,1.4952285380382681e-15,1.206613144528121e-16,1.213633159805824e-06,1.4756332075962204e-10,1.2009087090009496e-14,7.347889556013871e-19,8.339732220142817e-27,5.538074854266271e-31,2.865351247908464e-35,1.1737263209220625e-39,3.655808157307625e-21,2.3596549609717577e-23,2.800784541256021e-44,499.9979978279798,0.0020021720202174917,4.124517620740304e-28,7.447427519794871e-06,-1.5189836003323902e-17,3.037906692611335e-14,0.003879559972708513,7.275878899745001e-05,9.48078597817064e-07,99.9960786575349,-7.94765613443372e-12,-5.3166917605662504e-17,7.553050799548204e-08,50.0,1.063338352215016e-15,-2.2942173932245184e-12,0.0,100.0,1.8152493204684845e-19,1.6521877719283715e-40,0.0,0.0,0.0,0.0,0.0,6.050833481849533e-19,0.0
500,4.988573352963102,5.018597446145076,95.01341248139396,9.998752919151956,10.000000000023267,1.9383592341203962e-19,200.0,1.8658897962415784e-23,1.8566762095120057e-19,0.0,4.653814048884199e-11,7.754747291727341e-17,77.20290655340585,99.40186342158788,22.79709344659417,0.5981365784121024,499.9999998827569,3976.6042807100193,200.0,200.0,200.0,0.0004864301511424106,2.4913971627986016e-07,8.520632115060056e-11,1.9916496317638496e-14,1.996079983935741e-15,2.3312866570123203e-06,5.446752565079457e-10,8.496102072656904e-14,9.963241432568168e-18,4.8317067983011556e-26,6.1340063616272386e-30,6.122199927943549e-34,4.966556657831901e-38,7.449024415120856e-20,3.9662027777300797e-22,1.4498718718852083e-42,499.99749660690395,0.0025033930960702377,1.5631011927703496e-27,9.311607598000983e-06,-2.982200148833608e-17,5.96425196069667e-14,0.004805063825523983,0.00011088487961372026,1.7953218317667974e-06,99.9951221385444,-1.2378034652582269e-11,-1.0357928331952236e-16,1.1724297811870972e-07,50.0,2.0715856666984978e-15,-3.6096356847879824e-12,0.0,100.0,4.450132670469016e-19,9.912063209304715e-40,0.0,0.0,0.0,0.0,0.0,1.4833782959571088e-18,0.0
600,4.986284371669942,5.022313672491943,95.01585390544864,9.998504203295495,10.00000000003351,4.019728248379748e-19,200.0,4.608801516387775e-23,4.581475926927e-19,0.0,6.702591574100216e-11,1.3401845308301898e-16,73.45698914550172,99.15708573503673,26.543010854498306,0.8429142649632455,499.99999983226166,3972.6132426538284,200.0,200.0,200.0,0.0008268166386722411,7.199400605800611e-07,4.182560772418424e-10,1.6297376354140768e-13,1.961450044435868e-14,3.9619861677864115e-06,1.573877447217554e-09,4.170596420748468e-13,8.301745239476366e-17,2.0217209466023477e-25,4.35020454489671e-29,7.374772037014433e-33,1.0258211173982603e-36,8.752747171283118e-19,3.961749506952788e-21,3.5629855597676337e-41,499.99699511492776,0.003004885072295784,4.637509897304152e-27,1.1176717961785941e-05,-5.180130568735117e-17,1.0359952266891258e-13,0.005714234705137667,0.0001557868764924987,3.008458883220978e-06,99.9941748018993,-1.7769164796961704e-11,-1.7854847751034255e-16,1.6773817586711543e-07,50.0,3.570969550967284e-15,-5.2341258779670125e-12,0.0,100.0,9.266175991650956e-19,4.29503269338909e-39,0.0,0.0,0.0,0.0,0.0,3.08872717612304e-18,0.0
700,4.983993972959606,5.026028819122519,95.01817138594888,9.998255720767219,10.000000000045619,7.44769242204376e-19,200.0,9.888652013847501e-23,9.820207351571055e-19,0.0,9.124468600590201e-11,2.1284241843524103e-16,69.94239428836332,98.87714875056993,30.057605711636707,1.1228512494300549,499.9999997731465,3968.8182419326563,200.0,200.0,200.0,0.0012913887739290292,1.7567833077968206e-06,1.5944981410549454e-09,9.540022113419276e-13,1.3468287223117684e-13,6.1875794516943e-06,3.840737056747586e-09,1.5901400493583857e-12,4.950250396773124e-16,6.755709752543907e-25,2.2686881246588243e-28,6.026945983013946e-32,1.3294420460576947e-35,7.036001382686501e-18,2.7666207683737635e-20,5.415899218807003e-40,499.9964933522145,0.0035066477855708977,1.1619981565158799e-26,1.3042759113753702e-05,-8.268900904173134e-17,1.653722720131531e-13,0.0066077099506217166,0.00020694154097829163,4.633745013687161e-06,99.99323648739784,-2.4114042638661477e-11,-2.828604756036549e-16,2.26853293789055e-07,50.0,5.657209513703879e-15,-7.174069631151862e-12,0.0,100.0,1.7238337671683754e-18,1.4863519509448248e-38,0.0,0.0,0.0,0.0,0.0,5.746116560078476e-18,0.0
800,4.98170208367791,5.0297428894775305,95.02034881562693,9.998007471520507,10.000000000059593,1.270654798983476e-18,200.0,1.9139564796090346e-22,1.898806627806765e-18,0.0,1.191962872582453e-10,3.1775123343403267e-16,66.64422784624335,98.56457710458724,33.35577215375666,1.43542289541273,499.99999970556814,3965.206892435363,200.0,200.0,200.0,0.001895821103861686,3.7876717978983545e-06,5.0509667181255226e-09,4.366260129025957e-12,7.104546945581244e-13,9.083571777918546e-06,8.282051538640898e-09,5.038430946619865e-12,2.3087671531609084e-15,1.914741892478259e-24,9.443493341089745e-28,3.6973310921451844e-31,1.2091025187854203e-34,4.273721956747438e-17,1.484894098816816e-19,5.7134653414961795e-39,499.9959913189271,0.00400868107294778,2.5728899549798283e-26,1.4909731556204165e-05,-1.2407860158533843e-16,2.48147359641811e-13,0.00748608954082894,0.00026386389504391494,6.710343355083533e-06,99.99230704102426,-3.1406280922768334e-11,-4.2126780407467497e-16,2.944316368100935e-07,50.0,8.425356084648666e-15,-9.435977498947382e-12,0.0,100.0,2.9530833795785644e-18,4.3630140337225796e-38,0.0,0.0,0.0,0.0,0.0,9.843619096615769e-18,0.0
900,4.979408636377447,5.0334558870192705,95.02237125364077,9.997759455508906,10.000000000075437,2.0355220954509544e-18,200.0,3.424134807538756e-22,3.3936240877720586e-18,0.0,1.5088255646736444e-10,4.524785914556134e-16,63.54856188935683,98.22175886460143,36.4514381106432,1.778241135398544,499.9999996296775,3961.76763866672,200.0,200.0,200.0,0.0026544314734546384,7.429207616190036e-06,1.387680274350156e-08,1.6484979419310108e-11,3.033186865018045e-12,1.2719367466601228e-05,1.6249094930436366e-08,1.3847671232352493e-11,8.878771476366885e-15,4.78349730331563e-24,3.2974356569576464e-27,1.8006946756129277e-30,8.178319607549232e-34,2.060926814082962e-16,6.447284175356326e-19,4.355918392334886e-38,499.9954890152282,0.004510984771856238,5.183339226653921e-26,1.6777635791133888e-05,-1.7759645363753027e-16,3.551770737439286e-13,0.008349938648936519,0.00032610432992619424,9.271022713873257e-06,99.99138631458781,-3.964003699383713e-11,-5.984924486106174e-16,3.703222686099714e-07,50.0,1.1969848977855446e-14,-1.2026491532934443e-11,0.0,100.0,4.750103905692477e-18,1.12869007393293e-37,0.0,0.0,0.0,0.0,0.0,1.5833693847178302e-17,0.0
