milliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
0,0.9999964704906297,3.302342894923851e-06,3.9003969940173633e-07,4.972040290133257e-09,9.631945698726683e-08,-1.5775099335795885e-09,-3.586255032277685e-08,-9.727815182388081e-12
100,0.9999964014455036,3.3105962229480672e-06,4.043401846716534e-07,8.657594718734794e-08,7.125929719864292e-09,-2.5124315405593197e-09,9.97687612500468e-09,2.743397437860345e-11
200,0.9999961223550928,3.3706670268726665e-06,4.563653372680546e-07,9.528973860523089e-08,6.385613767376817e-08,1.5760306322715483e-09,4.9669275489843995e-08,7.089357530006301e-11
300,0.9999960046336022,3.5175571303632388e-06,4.7151628691734473e-07,1.6156086245995912e-07,7.124548001334951e-09,5.111563785828286e-09,6.300880023020751e-08,-2.92503200108856e-11
400,0.9999954982564327,3.5170198437028493e-06,5.648167486018559e-07,2.0108877013883169e-07,4.698376541929294e-08,3.524711088022348e-09,2.765429507274699e-08,-6.814913198308728e-11
500,0.9999955124716745,3.489235042715421e-06,6.009554050328528e-07,2.0407195152373996e-07,6.973733814828898e-08,-1.7896889426061468e-09,5.7541411914607536e-08,-1.0587384959049532e-11
600,0.9999956578913051,3.6218759873942627e-06,5.663399114502315e-07,2.7219387171300954e-07,4.1837048196060666e-08,3.017507514060347e-09,1.162416169850332e-07,4.1381909460896604e-11
700,0.9999954537824418,3.5804216100825263e-06,7.414479166329854e-07,2.4887854360980093e-07,1.637592234165331e-07,2.7933633903194885e-09,1.1080250059364527e-07,4.1813141376925325e-11
800,0.9999953616019497,3.683020669925504e-06,7.954791602160245e-07,3.1094069155682995e-07,1.178921697481415e-07,5.129497178070974e-09,1.081701671196638e-07,1.4039058775667634e-11
900,0.9999946770316409,3.7434354483073856e-06,8.146968240487649e-07,3.690996217724675e-07,1.0285906577747066e-07,5.29675650074837e-09,1.584677538168818e-07,9.283495504703654e-11
1000,0.9999945423065213,3.712667436928779e-06,8.626275161473313e-07,3.7783778336599553e-07,1.796207640922248e-07,6.171697711591893e-09,1.466026166241763e-07,4.594936620353661e-12
1100,0.9999946434262668,3.847979252618659e-06,9.672330335697814e-07,4.064079918189104e-07,1.9273683278778608e-07,1.1173265786657556e-08,1.6873131759542085e-07,-1.435268705286125e-11
1200,0.9999941469860484,3.757693100820519e-06,9.286601677814198e-07,4.3348003366756287e-07,2.885364407520952e-07,8.247220244533608e-09,1.5057623556140175e-07,1.3446354486486527e-11
1300,0.9999941487941132,3.8514669009378324e-06,9.354196988136851e-07,4.504539342041711e-07,2.752891342946677e-07,1.4457386966345317e-08,1.8489292167928098e-07,8.320697888963108e-11
1400,0.9999941663962584,3.914934730547098e-06,1.0406650285194201e-06,5.205959289319788e-07,2.475660033340029e-07,6.138702346409969e-09,1.80660615912615e-07,4.342615637735233e-11
1500,0.999994044811437,3.866622484471899e-06,1.0409097640097817e-06,5.474658656266797e-07,2.911794475109429e-07,1.4066548408049714e-08,2.2809127933422102e-07,1.0053286947193082e-10
1600,0.9999935602038812,4.017291689332738e-06,1.1527301198980176e-06,5.466776571273271e-07,4.042265123295551e-07,1.1370777025260483e-08,2.517046269374084e-07,1.51936690119023e-10
1700,0.9999936634263688,4.133116596756927e-06,1.2398012425980445e-06,5.797983543839209e-07,3.3058266334058307e-07,1.491954199216982e-08,2.4548594272548516e-07,7.71171546433018e-11
1800,0.9999931355961907,4.223695566367076e-06,1.292685039965274e-06,5.880514895182063e-07,4.784083029134844e-07,1.7990303371723736e-08,3.204043595202459e-07,1.3493077698776504e-10
1900,0.9999928445350245,4.276344024295336e-06,1.3712352579509361e-06,6.037880518057603e-07,4.6706390749859783e-07,1.7280611352934726e-08,3.3638224457934236e-07,1.4970477800088647e-10
2000,0.9999931804424603,4.1712305892333515e-06,1.367333824240094e-06,6.986183225293755e-07,5.488404731344876e-07,2.7934001556285732e-08,3.312341950099077e-07,8.34765172065716e-11
2100,0.9999926520371727,4.200643132405295e-06,1.3662890648577465e-06,7.074734788401883e-07,5.126533259647936e-07,2.856151984196894e-08,3.397147119085002e-07,1.630482237121273e-10
2200,0.9999922701360794,4.331903249153202e-06,1.4115700122320805e-06,7.237663668505909e-07,5.415837287359526e-07,3.314469377741042e-08,3.986711989839393e-07,2.253837309582664e-10
2300,0.999992135792067,4.453867787013825e-06,1.4888840111383384e-06,7.570910869296248e-07,5.699243517383034e-07,2.7164949360205197e-08,3.9832149684062293e-07,2.091031223323623e-10
2400,0.9999920552444821,4.544877099866136e-06,1.577845299420315e-06,7.321195385623875e-07,6.603013370026037e-07,3.603705414798227e-08,4.0334005734016383e-07,2.2464626665570806e-10
2500,0.9999915782656487,4.51342599098515e-06,1.5946101266560715e-06,7.576028704485774e-07,6.453045160830154e-07,3.999301555263631e-08,4.276661281157236e-07,2.574071593446609e-10
2600,0.9999919002956287,4.695235401845591e-06,1.625557231492478e-06,8.469293630676311e-07,7.635716991203825e-07,4.199396764213819e-08,4.4531211991250967e-07,3.835993589263866e-10
2700,0.9999916747800212,4.614930387425757e-06,1.7757479581738443e-06,7.991063676963505e-07,7.761505662600237e-07,4.6067616603150016e-08,4.776357285914347e-07,3.356792831255573e-10
2800,0.9999908982309837,4.721844058755334e-06,1.685314849974288e-06,8.43347595592256e-07,9.044111585587319e-07,4.7514544153313916e-08,4.983203394335506e-07,4.842304209490081e-10
2900,0.9999913184065904,4.875084161362222e-06,1.7416169287214353e-06,8.496130383334972e-07,9.217909638887739e-07,4.9094313559038516e-08,5.146963198204211e-07,4.3546848811782226e-10
3000,0.9999908964315378,4.806526893209205e-06,1.909856706303842e-06,8.957994606630072e-07,8.920698905019813e-07,5.3976205936679105e-08,5.377095959312381e-07,4.73349911614471e-10
3100,0.9999907936111125,4.954620367198499e-06,1.8993910472054796e-06,9.540047545281676e-07,1.06782572722521e-06,6.37957057256739e-08,6.040963840090037e-07,6.321162805085334e-10
3200,0.999990238908093,5.088845786925237e-06,2.000769972814008e-06,9.327873735742837e-07,1.0616442018683181e-06,6.601049559960737e-08,6.261015954566793e-07,5.941881749355827e-10
3300,0.9999897914318484,5.151029996676826e-06,2.0533584635827717e-06,9.603220080697963e-07,1.1625920961386093e-06,6.822146289492318e-08,6.68961406248962e-07,7.606562781533643e-10
3400,0.9999900505699433,5.135480786156467e-06,2.105232142368923e-06,9.764073841640315e-07,1.1602168682954001e-06,6.723877792977344e-08,6.570088247175961e-07,7.822438498791334e-10
3500,0.9999897773179016,5.35968304379887e-06,2.1193755510146235e-06,9.936865623794691e-07,1.1793487055762107e-06,8.1474762723326e-08,7.321676834415775e-07,8.430186566638271e-10
3600,0.9999894235957603,5.343392718983805e-06,2.139155330088634e-06,1.0695136471131949e-06,1.3164473355440457e-06,7.841249454490587e-08,7.30138151233436e-07,9.7569127314374e-10
3700,0.9999887682769029,5.494371341895153e-06,2.298303795109094e-06,1.0424851669903358e-06,1.3096343910873535e-06,8.689850178397406e-08,7.849714089444503e-07,9.572742520812043e-10
3800,0.999989041048153,5.4887816939553315e-06,2.3007579256727735e-06,1.1187835796041907e-06,1.4192280341425742e-06,9.243012261268123e-08,8.316528143464654e-07,1.0848942191035086e-09
3900,0.9999883983411262,5.69716222216166e-06,2.3989486573690275e-06,1.1474349653474873e-06,1.5472179245414599e-06,9.58924653546259e-08,8.402059589203527e-07,1.1401290272467323e-09
4000,0.9999884666898574,5.649686520740201e-06,2.4039530068849163e-06,1.1328375404955507e-06,1.5471485495747729e-06,1.0468873247108744e-07,8.421912001339218e-07,1.2888335916252257e-09
4100,0.9999881711744083,5.733305228615409e-06,2.4397519495343207e-06,1.1747503877341096e-06,1.6288481494561557e-06,1.1263836404525349e-07,8.649487957920223e-07,1.3573233032193367e-09
4200,0.9999874594114787,5.885769958055843e-06,2.538762862194954e-06,1.223585641854507e-06,1.6813316465683842e-06,1.1986686954684413e-07,9.309846543943293e-07,1.531423182490646e-09
4300,0.9999873304089668,5.989915518439628e-06,2.5319658952251275e-06,1.2273003708096948e-06,1.8231922168542335e-06,1.2280000829444124e-07,9.262619879288499e-07,1.6341190253555779e-09
4400,0.9999872944286973,6.085893699180335e-06,2.69738235653877e-06,1.227099178005071e-06,1.832828506805004e-06,1.3350698152261805e-07,1.0123957634625658e-06,1.7498306940746474e-09
4500,0.999987027135527,6.2080291212118275e-06,2.7276467248331823e-06,1.2602278767414614e-06,1.8874482775654305e-06,1.3134924680735148e-07,1.0303640405642147e-06,1.9301586761029373e-09
4600,0.9999861905250083,6.1611435656241385e-06,2.8295406680832836e-06,1.331958864076245e-06,1.9292158175485104e-06,1.4557520267994214e-07,1.0612917124067788e-06,2.0548695219249435e-09
4700,0.9999863358697497,6.349851991546906e-06,2.9329795502957973e-06,1.2900127836333395e-06,2.071657286068577e-06,1.4499340317083126e-07,1.102981367817886e-06,2.152317348150659e-09
4800,0.9999860568929945,6.465497331194588e-06,2.997342857868862e-06,1.3278850502416418e-06,2.182047748295872e-06,1.5636042758666242e-07,1.1717994368993428e-06,2.287509554610617e-09
4900,0.9999853148072773,6.4631812877134785e-06,2.9734700508330357e-06,1.3663493558041931e-06,2.2633562642276684e-06,1.6595354342817403e-07,1.1860783751162635e-06,2.5074093818996205e-09
5000,0.9999851152096578,6.593611335771192e-06,3.0379723522847547e-06,1.3816727344299211e-06,2.2336854881058615e-06,1.7494948610122592e-07,1.194349754018321e-06,2.722271987930649e-09
