milliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
0,0.9999964021529009,3.4526118899047947e-06,2.0346966672699656e-07,4.938378365193779e-08,1.2065758043331652e-07,-1.5874563477176698e-09,3.0037956712944634e-08,1.693512191530154e-11
100,0.9999957990721827,3.5170547077482917e-06,4.361367857669121e-07,4.516092508260254e-08,3.530799247428139e-08,-6.4633893990358165e-09,3.117887598422769e-08,-6.930067317540715e-11
200,0.9999962709179566,3.3925394745305594e-06,4.5937542300577623e-07,1.0109654783206359e-07,-1.5572218113515384e-09,2.388292127515925e-09,3.8042112528370245e-08,5.1694505114518394e-11
300,0.9999961120045543,3.1920180358214504e-06,4.44327497773617e-07,1.743877140795021e-07,2.0867878930314927e-08,-3.289880795867903e-09,7.449528142660347e-08,-1.564249799730144e-11
400,0.9999954966314649,3.6973267349538365e-06,6.178423478861167e-07,1.0532645191883667e-07,8.577880449123622e-08,-1.3926537100656255e-09,3.292310009883489e-08,-2.110712573722355e-11
500,0.9999949273619978,3.3894132910210815e-06,4.5696157812163683e-07,1.5595482590532347e-07,-6.2398298255169175e-09,6.317858208073398e-10,3.024682224293143e-08,-5.418905366042305e-11
600,0.9999949609175108,3.429581788974676e-06,7.591704737024912e-07,1.892457097356375e-07,7.189254220434823e-08,-1.3879907911260148e-09,1.2337210199435498e-07,1.1408448545903624e-11
700,0.9999957287231352,3.6013182245830142e-06,5.873220821400981e-07,2.175369242697738e-07,6.595131471045085e-08,2.707218436401842e-09,1.0534352268536046e-07,7.563022626989885e-11
800,0.9999944319513507,3.487755916446806e-06,7.395621864179838e-07,2.901933165769943e-07,5.027109868930039e-08,1.5267794852202977e-09,1.3211321878628013e-07,9.679007992415946e-11
900,0.9999955503539649,3.534355944056598e-06,7.3021630451754e-07,3.6875926517457705e-07,9.41507526514775e-08,1.1372209404329471e-10,1.3685499463082956e-07,-3.862716064707348e-11
1000,0.9999941538593342,3.7029834353375694e-06,8.403478241313718e-07,4.0885161791891703e-07,1.3557667262139269e-07,1.1843687949204676e-08,1.3779507734868623e-07,4.728207998878733e-12
1100,0.9999941182197951,4.025569092321121e-06,9.117116425640744e-07,4.6291695880512694e-07,2.1028546077087561e-07,7.258782406026931e-09,2.0512742004934769e-07,8.950162477023978e-11
1200,0.9999948149794731,3.930195859148679e-06,8.794842718682213e-07,4.046882673283968e-07,2.674366838412514e-07,1.4652531383768978e-08,1.4807710683984608e-07,-5.78482898695337e-11
1300,0.9999935916124497,3.843141195784089e-06,8.962664867650428e-07,4.3049021263334243e-07,2.4421194962210956e-07,9.636978573198816e-09,2.3615237630447692e-07,7.875430060812694e-11
