milliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
0,0.9999960776350051,3.315905951756913e-06,2.8573432404260604e-07,4.111974522310528e-08,-6.202702611601295e-09,-1.7899416118820432e-09,1.9077189688084002e-08,9.71941968426377e-12
100,0.9999961852190489,3.4034200516574266e-06,4.085919151953717e-07,6.485201051661533e-08,1.0304297610504955e-08,-4.969120239955183e-09,4.105293265585715e-08,6.596372477871794e-12
200,0.9999962423572336,3.393091413082973e-06,4.810847735613135e-07,8.102572965769411e-08,8.109063765723632e-08,9.327731754747364e-10,5.411392050522611e-09,2.1789048937450457e-11
300,0.9999959922886461,3.369601596796547e-06,4.5722894526117537e-07,1.4627424370471276e-07,1.0472147897981463e-07,-3.858605296353215e-09,4.633558237823768e-09,-6.057409419076566e-11
400,0.9999957340810104,3.471814002446297e-06,6.012579277372189e-07,1.7889920506390426e-07,1.0014385753095213e-07,-2.987890922225477e-10,6.595001454146079e-08,-3.303937294865188e-11
500,0.999995419514796,3.481656781024303e-06,5.534669017350881e-07,1.9076292383042534e-07,1.2547081000906383e-07,5.384531116813694e-10,5.4779118038949905e-08,1.6859968012605494e-11
600,0.9999955254705698,3.4727471219550605e-06,6.038358330511623e-07,2.3270456018599945e-07,5.65855410193937e-08,1.5922072620379845e-09,6.75009413374382e-08,-6.764608171334381e-11
700,0.9999950076064665,3.6480736282577897e-06,7.194050809523388e-07,3.1286865511993787e-07,1.528540296262173e-07,3.8571914702427044e-09,7.138391137661081e-08,7.962520887930831e-11
800,0.9999950041750628,3.5587403516419013e-06,7.151843818359271e-07,2.9699649595309864e-07,9.914526450128566e-08,-2.2297777989996204e-10,1.3842006881234928e-07,4.4178543647231854e-11
900,0.9999946769046604,3.6756520428991277e-06,8.221098632068408e-07,3.293374794895667e-07,2.2414306401626017e-07,5.921555668734019e-09,1.0866604841778515e-07,5.8182642351418746e-11
1000,0.9999950217662957,3.7710054585567616e-06,8.28932824053368e-07,3.58990729091548e-07,2.3445861301170993e-07,8.887015066403815e-10,1.2148011688907204e-07,1.7489385920076113e-11
1100,0.9999944494191119,3.8046808401816044e-06,9.204801902920533e-07,4.1559845755737966e-07,1.6272251878089907e-07,3.6254891954022785e-09,1.2823347059654555e-07,4.19231427348918e-12
1200,0.9999941829456876,3.827642515547841e-06,9.397721288423996e-07,4.0712805605773314e-07,2.8665053376876024e-07,7.764614097006281e-09,1.4535163793580478e-07,2.5503232580902688e-11
1300,0.9999942628207971,3.922859670368309e-06,1.0232461405367954e-06,4.895876689067121e-07,3.078235278060231e-07,1.0520064432834473e-08,2.2458555164103457e-07,4.975742996135467e-12
1400,0.9999942837664766,3.8566194569213185e-06,1.1019215993337995e-06,4.69108108153151e-07,3.357971687757175e-07,1.6257499739635004e-08,1.8456444939324164e-07,1.1911266630929991e-11
1500,0.9999939986291847,4.014513537589621e-06,1.0823019474788493e-06,5.395749254110492e-07,2.9333217943258847e-07,9.618403171828925e-09,2.678016577268552e-07,6.283446978470431e-11
1600,0.9999939588030028,4.0050416234220415e-06,1.0883173254485978e-06,5.128369890946716e-07,3.024516840352091e-07,1.0768121979187128e-08,2.778218199282818e-07,9.523102140303593e-11
1700,0.9999934521505734,4.077518645211753e-06,1.119047136815752e-06,5.675461938163936e-07,4.01636015805655e-07,1.5093228189299176e-08,2.6235634372505994e-07,1.093534478169822e-10
1800,0.9999931304969248,4.209070517664224e-06,1.213761254035763e-06,6.262333208430688e-07,4.300274612574653e-07,2.188816085066823e-08,2.6028159874088894e-07,5.581330999823986e-11
1900,0.9999930581729918,4.2615832990639235e-06,1.3101295592614015e-06,6.168176778826675e-07,4.55162367070852e-07,2.0612400243423258e-08,3.1307687507585534e-07,1.6255194901637854e-10
2000,0.9999929277671539,4.249737203758622e-06,1.3346815105277741e-06,6.6316480106633e-07,5.474827585214739e-07,1.8172982014666128e-08,3.028807314157849e-07,1.180220861759845e-10
2100,0.9999924555245057,4.259177066769563e-06,1.4642152467058846e-06,6.712838555277072e-07,5.056183028826665e-07,2.892788901204095e-08,3.169280767051725e-07,1.4272830794292688e-10
2200,0.9999923535113541,4.43262037538497e-06,1.393480589983053e-06,7.06373918816249e-07,6.418332136153297e-07,2.8278430077076718e-08,3.422970424521072e-07,2.515925941308134e-10
2300,0.9999924358095853,4.382763031011834e-06,1.4544503321855805e-06,7.163855273536411e-07,6.27825241361732e-07,3.434069996762228e-08,4.175761178645585e-07,1.6424849117185356e-10
2400,0.9999920408910038,4.564688724188019e-06,1.5292173851519822e-06,7.295959574678786e-07,6.3901476480521e-07,3.320317577402244e-08,4.095188968084258e-07,2.5016997145470035e-10
2500,0.9999921290797511,4.518067510704149e-06,1.607721241899734e-06,8.136741465070981e-07,6.997871740039641e-07,3.358883764643305e-08,4.504792922531356e-07,3.298327001748792e-10
2600,0.9999915799970763,4.532206309196045e-06,1.6990504875714627e-06,8.15583749426972e-07,7.695954602711128e-07,4.333590984645211e-08,4.393186202896346e-07,3.777855698500837e-10
2700,0.999991349778297,4.633815465695343e-06,1.6432317867123512e-06,8.342069166684322e-07,8.487227926255903e-07,4.320015437635587e-08,5.222894940314303e-07,4.068916408764888e-10
2800,0.9999914517376888,4.692481274969262e-06,1.7505748902400502e-06,8.29869204307014e-07,9.19718392742023e-07,4.3594796017051695e-08,5.265706914204001e-07,4.1816455510521583e-10
2900,0.9999908560977523,4.911139962532583e-06,1.8547200714218695e-06,9.169466257602914e-07,9.183913289296712e-07,5.337780923217203e-08,5.05387592335811e-07,4.477808086289793e-10
3000,0.9999905124569962,4.945437276615784e-06,1.8423940843598493e-06,9.398306623309496e-07,9.085082822881806e-07,5.303879885177192e-08,6.022427805190293e-07,5.357658808505999e-10
3100,0.9999907595604312,5.037111862909178e-06,1.9155006248921276e-06,9.198685079884844e-07,1.023898257056659e-06,5.5867764236584745e-08,5.966850689001453e-07,5.41239416737414e-10
3200,0.9999902640570396,5.036757912749338e-06,2.034061982374068e-06,9.516416775133696e-07,1.070861746533975e-06,6.157854909802693e-08,6.441062386284406e-07,6.699773235720374e-10
3300,0.9999898461093006,5.210169253486643e-06,1.9949891897840916e-06,9.732735372125952e-07,1.0606799622921216e-06,6.679983437383333e-08,6.76735615971919e-07,6.606091220663547e-10
3400,0.999990109326777,5.226977921002933e-06,2.167764398642973e-06,1.0167867509962469e-06,1.1146803459325372e-06,7.679745944798091e-08,6.632750074093959e-07,8.193193939175178e-10
3500,0.9999892993252896,5.228526707031464e-06,2.213025641188047e-06,1.0039977058945567e-06,1.206460103987706e-06,7.466586124748865e-08,6.905070793562569e-07,8.356100153118802e-10
3600,0.9999894041890897,5.433125584311977e-06,2.2588329197155433e-06,1.0600467927667689e-06,1.2801590731098283e-06,8.54087393421869e-08,7.306249835256725e-07,8.715839765225892e-10
3700,0.9999891984613498,5.457583257193183e-06,2.1922394514522224e-06,1.0682361706717572e-06,1.3579024863799388e-06,9.053589535754445e-08,7.709824424732112e-07,9.494201775998076e-10
3800,0.9999889216926782,5.6141379248520915e-06,2.3246654592384907e-06,1.0944939172137493e-06,1.4060772808708447e-06,9.477394498032906e-08,7.699158710170912e-07,1.0736536014731996e-09
3900,0.9999885858937573,5.68714754275805e-06,2.3168635972907315e-06,1.092178538648405e-06,1.5411802169936986e-06,1.0282666531215554e-07,8.607894581675384e-07,1.1442733366933834e-09
