milliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
0,0.9999965237343834,3.398614508596366e-06,3.1054461037375474e-07,3.947848927625198e-08,-6.1273233193283105e-09,-1.0537945559771204e-09,2.277023190897853e-08,-4.784037961906286e-11
100,0.9999962910710662,3.4330292109967416e-06,3.0662922739970727e-07,3.555598668601555e-08,3.2875398083595133e-08,1.1540155207961704e-09,2.289601832558265e-08,1.127803429540043e-11
200,0.9999960995356691,3.3295739442375527e-06,5.009715288465522e-07,7.362046640798037e-08,8.094280550299001e-08,2.395035533663301e-09,-5.755714343260823e-09,3.755814443333543e-11
300,0.9999958768761743,3.4827006125652368e-06,5.259482474708281e-07,1.4060544438675186e-07,-4.303427195862713e-09,1.3556486789412443e-09,6.817487574970252e-08,4.052355297645753e-11
400,0.9999958747421197,3.373178730258157e-06,6.083083959637693e-07,1.7572508938238627e-07,1.0144009373759434e-07,1.4007259382648498e-09,2.3109111782324803e-08,-4.746209328821935e-11
500,0.9999957102298528,3.5151636361605263e-06,6.450116663699139e-07,1.7894480771795297e-07,2.216011737028115e-08,-1.907619931425136e-09,6.309480252128818e-08,-2.739458925703193e-12
600,0.999995375544015,3.6137331934388307e-06,5.653203955029359e-07,2.2022182548689005e-07,8.24931421789222e-08,9.158333628127119e-10,7.557493181580284e-08,5.1690562638624604e-11
700,0.9999955299748529,3.5165823515692565e-06,6.195847995678671e-07,2.495645906571391e-07,5.221396555657255e-08,7.354350258413483e-09,1.0997881757655658e-07,3.560699201173207e-11
800,0.9999948051689234,3.628776438261332e-06,6.631086376952895e-07,3.457601370659118e-07,1.1275061843649412e-07,1.250743236372843e-09,1.118465444976477e-07,-7.004894621792797e-12
900,0.999994632020804,3.6072948446795945e-06,7.643795903205962e-07,3.233999556120052e-07,1.7913309517884092e-07,7.365199902597358e-09,1.5246229878063205e-07,4.576742327733434e-11
1000,0.9999950744563229,3.7072624814258926e-06,8.354517071970572e-07,3.93195726118737e-07,2.2705593239095498e-07,6.127362155020811e-09,1.1544547130130901e-07,-4.9340785916836084e-12
1100,0.9999947692832876,3.7709740408635135e-06,8.795257368296243e-07,3.9058710890389056e-07,1.9759535851504542e-07,4.330450485123343e-09,1.841081320959588e-07,4.50304525848194e-11
1200,0.9999942830024646,3.830606246413171e-06,8.843811185251062e-07,4.3849561642760356e-07,1.7790965426405172e-07,1.3257546056870333e-08,1.6244921856901675e-07,1.0373294140432242e-10
1300,0.9999942052411243,3.8583781580924705e-06,1.0440379218045599e-06,4.5261502178202664e-07,1.9891377789585703e-07,7.424881704541732e-09,2.2628262670955972e-07,7.409221608512481e-11
1400,0.9999937536954381,3.9857768859875734e-06,1.1072883937122051e-06,4.994371529873585e-07,2.460471378858056e-07,9.646147706618758e-09,1.9661002775038554e-07,3.731944032929275e-11
1500,0.9999936378586349,3.946461258208319e-06,1.1406627274847374e-06,4.900732941317923e-07,2.8835300523709453e-07,1.413736540065236e-08,2.2387923058539241e-07,1.1808829636079912e-10
1600,0.9999935817794113,3.997100692758234e-06,1.1068365104453771e-06,5.474006476537678e-07,2.912113736255127e-07,1.4047322001045254e-08,2.70949290322183e-07,1.0203671949972791e-10
