milliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
0,0.9999962919687181,3.244286765554867e-06,2.623990197180568e-07,4.1698522249092704e-08,-1.1979896212517237e-08,-7.770092414682413e-10,-6.714352463759835e-10,5.312477563226203e-11
100,0.9999961473006741,3.352036844768913e-06,3.2444979628537665e-07,7.836402907951421e-08,3.1777909586165496e-08,-9.544180637688722e-11,4.668184942250001e-08,-5.997951941120024e-11
200,0.9999957498185623,3.481050955798211e-06,4.768556775634487e-07,6.515945363287541e-08,8.41701733920405e-08,1.1547610314931858e-09,3.176761118575651e-08,-7.58943568185791e-11
300,0.999995815773364,3.522376601232182e-06,5.064495432817302e-07,1.67817722918279e-07,1.064929520951032e-07,-3.1269536760729444e-09,6.616025297882646e-08,-3.079943365757855e-11
400,0.9999959993783749,3.49413795501171e-06,5.199864881289204e-07,1.3705219899414182e-07,4.640180310588736e-08,1.707304161186099e-09,7.291109411035335e-08,3.802339871290267e-12
500,0.9999954940749483,3.533543069525435e-06,6.043634291543662e-07,2.0595344261527812e-07,1.1994057005081216e-07,3.1863710201220505e-09,4.4015460349363955e-08,5.4843944077612874e-11
600,0.9999954372676851,3.518466600711284e-06,6.478512770664638e-07,2.2810280434487798e-07,1.4302102495281431e-07,-2.416640803539019e-09,5.339585162546309e-08,1.77418239543753e-11
700,0.9999952590998062,3.629002155691307e-06,6.728244330665893e-07,2.4146174053885473e-07,1.1855035417768467e-07,5.70476758511615e-09,7.72566164533491e-08,-6.852078160890747e-11
800,0.9999949804273329,3.5519329301321347e-06,7.330537173647941e-07,3.308034242029823e-07,1.3763308528581178e-07,1.1557214091064345e-09,1.1015364648459394e-07,7.597377017571285e-11
900,0.9999949028393669,3.712926226145427e-06,8.429926289598074e-07,3.603469710049566e-07,1.6217169813669354e-07,9.925874037429016e-09,1.1823449500270468e-07,5.976520243416564e-11
1000,0.9999945056171752,3.72639034219136e-06,8.742703878978435e-07,3.4811338987575893e-07,2.0218087625185143e-07,1.0871834215555575e-08,1.568795140130831e-07,-1.4562183686813167e-11
1100,0.9999943347840624,3.7216621433727312e-06,8.45949738674693e-07,3.8456372285157553e-07,2.634707690435885e-07,1.2152431338289815e-08,1.487909611850979e-07,5.2342630855117116e-12
1200,0.9999941868955106,3.8685262100724445e-06,9.21372331082473e-07,4.156983733879656e-07,2.06290515072563e-07,6.9632124213805616e-09,1.8442787070656182e-07,-2.934671425079795e-11
1300,0.9999939470319037,3.8802535215293e-06,9.827649869182917e-07,4.306162529079031e-07,2.485163155421674e-07,9.65715179130057e-09,2.1982633009555048e-07,-2.8129789905988732e-11
1400,0.9999938344820316,3.9922519371102425e-06,1.1031836094082513e-06,4.918019622536485e-07,2.648151090748285e-07,1.6370202590652444e-08,2.4503022585320966e-07,8.690863828796634e-11
1500,0.9999938023180069,3.987087278569701e-06,1.153127619994511e-06,4.987787933417724e-07,2.921899960867919e-07,1.2392974042359542e-08,2.339364187219107e-07,7.324530498574197e-11
1600,0.9999939044027575,3.941230441207374e-06,1.0854175068094067e-06,5.143059746520497e-07,3.031701242123638e-07,1.3416783504317452e-08,2.6177595964157913e-07,1.4307401217509663e-10
1700,0.9999934923569793,4.088393638570512e-06,1.2683263978878482e-06,5.862834475342195e-07,4.1794800916428367e-07,1.256651153205794e-08,2.7338517273386225e-07,1.2075873065701737e-10
1800,0.9999935886029491,4.034891212082146e-06,1.1763357706029733e-06,6.000675962178827e-07,4.2045362989212445e-07,2.188578731959275e-08,2.9660896859610714e-07,1.5412093849659074e-10
1900,0.9999932326183434,4.194219294040963e-06,1.2759281984899634e-06,6.508548034564113e-07,5.229760852780669e-07,2.0302789439754362e-08,3.031324821083026e-07,1.455113007991384e-10
2000,0.9999928259964973,4.310180457297743e-06,1.3744564418662176e-06,6.377959956369871e-07,5.126165311012047e-07,2.3768204916323515e-08,3.5650198640667423e-07,1.5504758025400478e-10
2100,0.9999929908991325,4.211290268565022e-06,1.362459221900496e-06,6.56043076587317e-07,5.731745974681573e-07,2.14179314867097e-08,3.507029712425446e-07,1.1509082270633221e-10
2200,0.9999924714056617,4.333167802476011e-06,1.3843815969301711e-06,7.293207082147894e-07,5.906760019006826e-07,3.3167548622367435e-08,4.059136499008283e-07,1.3381337581683847e-10
2300,0.9999920782469004,4.329964780986219e-06,1.5311956180220208e-06,7.13933279575041e-07,5.786110459414188e-07,3.4355816169161315e-08,3.9371085232515654e-07,2.480601539500094e-10
2400,0.9999920536745998,4.540439783350615e-06,1.5983144346982047e-06,7.536050379624486e-07,5.975784346779557e-07,3.1720975508139795e-08,3.983481680605347e-07,2.782715015650071e-10
2500,0.9999919429593307,4.474834237982578e-06,1.6348842921331436e-06,7.703907274849949e-07,7.240486583148442e-07,3.708015743726457e-08,4.65436288955152e-07,3.5721705380342513e-10
2600,0.9999913492391708,4.624804597941122e-06,1.7017262577917137e-06,8.13073910995509e-07,7.299225220094887e-07,3.9945806980718626e-08,4.975211804899793e-07,3.6057627370862865e-10
2700,0.9999913093142084,4.764886279092955e-06,1.779263024457098e-06,8.421512661423089e-07,8.269722321845168e-07,4.490179086435606e-08,4.980098502156719e-07,4.277448101432989e-10
2800,0.9999909218096549,4.8008039374857125e-06,1.8113991537793266e-06,8.612085397747514e-07,9.058374786659658e-07,4.645080751299216e-08,5.022590434352742e-07,4.91607704095247e-10
2900,0.9999911728748646,4.877667336573975e-06,1.86254919017882e-06,9.118819827612036e-07,8.387412630190336e-07,5.087197448776681e-08,5.44944610403565e-07,5.236153818571335e-10
3000,0.9999904939535569,4.897349736857316e-06,1.9182823353615644e-06,9.085146404951922e-07,9.357619571301528e-07,5.80134324473642e-08,5.412954161033442e-07,4.97945070902367e-10
