milliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
0,2.5e-11,0.0,1e-08,0.0,1e-10,0.0,0.0,0.0,1.6e-07,0.0,9e-08,0.0,0.0,1.4e-06,7e-10,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0.0,0.0,2.5e-09,0.0,0.0,3.4e-06,0.0,0.0,0.0,0.0,0.0
100,2.491507423877327e-11,7.92312229959118e-14,9.999920761644876e-09,3.671358771827008e-15,9.999430869668865e-11,1.6183658348930284e-15,5.7463243769915104e-18,1.08333220511865e-15,1.5999999696077075e-07,2.65165524159926e-16,8.999999948484977e-08,3.3088310444553747e-16,1.841630530006386e-16,1.399999999994206e-06,6.999999999724065e-10,2.7536844292708396e-20,2.4121552207923054e-34,3.472121722219068e-34,5.670434621674214e-23,5.670434621674214e-23,1.999999999921161e-08,7.883871039658678e-19,1.882472556939608e-30,1.5556381673136185e-30,3.362628315510175e-29,2.4999999304486834e-09,1.2413974706008018e-18,6.830991869265266e-17,3.399999999996373e-06,2.8141817188049355e-18,2.786096740382527e-31,1.0415467704913169e-19,4.7579161724547645e-20,6.610852640011033e-19
200,2.4830521655402613e-11,1.5811434401940979e-13,9.999841868117812e-09,6.665343656778528e-15,9.998864382671313e-11,4.059665838492128e-15,1.4487836862973656e-17,2.4458933314281997e-15,1.5999999267912119e-07,6.337366753198086e-16,8.999999877487068e-08,7.646141593921083e-16,4.602528699377497e-16,1.399999999985392e-06,6.999999999303945e-10,6.946248824225085e-20,6.085079151391441e-34,8.75902815907045e-34,1.4304571300859418e-22,1.4304571300859418e-22,1.999999999801127e-08,1.9887295415702105e-18,4.748862929947433e-30,3.924366598563917e-30,8.48281208448456e-29,2.499999825512761e-09,3.1298683323145724e-18,1.7135737034791408e-16,3.399999999990924e-06,7.09524467839241e-18,7.028411373581807e-31,2.625005911339894e-19,1.2001982783428565e-19,1.5980167952186205e-18
300,2.4745969072031955e-11,2.3699746504290774e-13,9.99976297459075e-09,9.659328541730046e-15,9.998297895673761e-11,6.500965842091227e-15,2.3229349348955798e-17,3.8084544577377494e-15,1.5999998839747165e-07,1.0023078264796912e-15,8.999999806489158e-08,1.1983452143386789e-15,7.363426868748607e-16,1.399999999976578e-06,6.999999998883825e-10,1.113881321917933e-19,9.758003081990577e-34,1.404593459592183e-33,2.293870798004462e-22,2.293870798004462e-22,1.9999999996810928e-08,3.189071979174553e-18,7.615253302955258e-30,6.293095029814215e-30,1.3602995853458943e-28,2.4999997205768386e-09,5.018339194028342e-18,2.7440482200317545e-16,3.399999999985475e-06,1.1376307637979885e-17,1.1270726006781085e-30,4.208465052188472e-19,1.9246049394402366e-19,2.5349483264361376e-18
400,2.4663570381042948e-11,3.1386102272186364e-13,9.999683424465998e-09,1.2456859166013426e-14,9.998012541029279e-11,1.4158386407331964e-14,2.2365846546380727e-16,5.136439013600298e-15,1.5999997856352922e-07,1.3703612468679424e-15,8.999999672279501e-08,1.6363385076112483e-15,1.6363655436245455e-15,1.3999999997350089e-06,6.999999905411976e-10,9.270502687464076e-18,1.2047265328583762e-23,2.2694951963603785e-23,1.8826498961238527e-19,1.8826498961238527e-19,1.99999997297485e-08,2.7000105301683746e-16,1.361577052228078e-19,1.142869720410728e-19,2.3002779322785466e-17,2.4999993455232674e-09,5.1363892752115803e-17,6.031128395229852e-16,3.399999999855978e-06,1.1655597395787964e-16,1.9058891580395024e-18,4.501323569971718e-18,1.6309712360489274e-17,4.7485037602480935e-18
500,2.4588612797704406e-11,3.837475427448506e-13,9.999601605976247e-09,1.457569418113894e-14,9.998698421587186e-11,3.9836073420266194e-14,1.0863156975301986e-15,6.344970998353902e-15,1.5999994954793712e-07,1.7366260493853613e-15,8.999999319690583e-08,2.0890566657312416e-15,4.691905990520468e-15,1.3999999986893336e-06,6.999999490471915e-10,4.9927005290891425e-17,6.571452938846968e-23,1.2379474072623714e-22,1.0256137598200756e-18,1.0256137598200756e-18,1.999999854420547e-08,1.4544284232346805e-15,7.427029518755944e-19,6.234040986296432e-19,1.2547385458149562e-16,2.4999980372872777e-09,2.5129647832152784e-16,1.711416243223182e-15,3.3999999992979296e-06,5.703126517302811e-16,1.0396102823486064e-17,2.2131688437852885e-17,8.78573879524771e-17,1.1372444768239622e-17
600,2.4513655214365867e-11,4.5363406276783757e-13,9.999519787486495e-09,1.6694529196264442e-14,9.999384302145094e-11,6.551376043320053e-14,1.9489729295965963e-15,7.5535029831075e-15,1.5999992053234502e-07,2.1028908519027818e-15,8.999998967101664e-08,2.5417748238512318e-15,7.74744643741639e-15,1.3999999976436583e-06,6.999999075531853e-10,9.058350789431897e-17,1.193817934483556e-22,2.248945294888705e-22,1.862962530027763e-18,1.862962530027763e-18,1.9999997358662436e-08,2.6388557934525235e-15,1.3492481985283779e-18,1.1325212252182135e-18,2.279449298402058e-16,2.4999967290512885e-09,4.512290638909391e-16,2.8197196469233786e-15,3.3999999987398806e-06,1.0240693295026794e-15,1.8886316488932676e-17,3.9762053305733954e-17,1.5940506354446492e-16,1.7996385776231175e-17
700,2.4438697631027325e-11,5.235205827908245e-13,9.999437968996744e-09,1.8813364211389956e-14,1.0000070182703002e-10,9.119144744613476e-14,2.811630161662991e-15,8.762034967861105e-15,1.5999989151675292e-07,2.4691556544202007e-15,8.999998614512746e-08,2.994492981971225e-15,1.0802986884312312e-14,1.399999996597983e-06,6.999998660591792e-10,1.3124001049774652e-16,1.7304905750824188e-22,3.2599431825150386e-22,2.7003113002354502e-18,2.7003113002354502e-18,1.9999996173119405e-08,3.823283163670373e-15,1.9557934451811614e-18,1.6416383518067839e-18,3.3041600509891555e-16,2.4999954208152993e-09,6.511616494603503e-16,3.928023050623569e-15,3.3999999981818316e-06,1.4778260072750809e-15,2.7376530154379238e-17,5.739241817361512e-17,2.3095273913645274e-16,2.4620326784222703e-17
800,2.4363740047688786e-11,5.934071028138115e-13,9.999356150506993e-09,2.0932199226515458e-14,1.0000756063260908e-10,1.1686913445906899e-13,3.674287393729382e-15,9.970566952614696e-15,1.5999986250116084e-07,2.8354204569376196e-15,8.999998261923827e-08,3.447211140091217e-15,1.3858527331208221e-14,1.3999999955523076e-06,6.999998245651731e-10,1.7189651310117387e-16,2.267163215681278e-22,4.270941070141372e-22,3.5376600704431375e-18,3.5376600704431375e-18,1.999999498757637e-08,5.0077105338882096e-15,2.562338691833942e-18,2.150755478395351e-18,4.328870803576253e-16,2.49999411257931e-09,8.510942350297608e-16,5.0363264543237594e-15,3.399999997623783e-06,1.9315826850474808e-15,3.58667438198258e-17,7.502278304149609e-17,3.0250041472844056e-16,3.1244267792214207e-17
900,2.4288782464350244e-11,6.632936228367981e-13,9.999274332017242e-09,2.305103424164096e-14,1.0001441943818816e-10,1.4254682147200312e-13,4.5369446257957736e-15,1.1179098937368294e-14,1.5999983348556874e-07,3.201685259455037e-15,8.99999790933491e-08,3.899929298211207e-15,1.691406777810413e-14,1.3999999945066323e-06,6.999997830711669e-10,2.1255301570460102e-16,2.803835856280135e-22,5.281938957767702e-22,4.375008840650822e-18,4.375008840650822e-18,1.9999993802033337e-08,6.192137904106053e-15,3.1688839384867254e-18,2.6598726049839184e-18,5.353581556163351e-16,2.499992804343321e-09,1.051026820599172e-15,6.14462985802395e-15,3.399999997065734e-06,2.385339362819879e-15,4.435695748527231e-17,9.265314790937716e-17,3.74048090320428e-16,3.786820880020571e-17
1000,2.4213824881011705e-11,7.331801428597854e-13,9.999192513527491e-09,2.5169869256766475e-14,1.0002127824376724e-10,1.6822450848493745e-13,5.399601857862168e-15,1.2387630922121893e-14,1.5999980446997663e-07,3.5679500619724575e-15,8.99999755674599e-08,4.3526474563312e-15,1.9969608225000053e-14,1.3999999934609568e-06,6.999997415771608e-10,2.5320951830802856e-16,3.340508496878996e-22,6.292936845394036e-22,5.212357610858509e-18,5.212357610858509e-18,1.9999992616490307e-08,7.376565274323896e-15,3.775429185139509e-18,3.1689897315724888e-18,6.378292308750452e-16,2.4999914961073317e-09,1.2509594061685833e-15,7.252933261724147e-15,3.399999996507685e-06,2.839096040592279e-15,5.2847171150718924e-17,1.1028351277725833e-16,4.455957659124158e-16,4.4492149808197263e-17
1100,2.4138867297673163e-11,8.030666628827724e-13,9.99911069503774e-09,2.7288704271891977e-14,1.000281370493463e-10,1.9390219549787168e-13,6.262259089928563e-15,1.3596162906875497e-14,1.5999977545438453e-07,3.934214864489876e-15,8.999997204157071e-08,4.805365614451192e-15,2.3025148671895975e-14,1.3999999924152815e-06,6.999997000831547e-10,2.938660209114561e-16,3.877181137477857e-22,7.303934733020369e-22,6.049706381066196e-18,6.049706381066196e-18,1.9999991430947273e-08,8.560992644541739e-15,4.381974431792292e-18,3.678106858161059e-18,7.40300306133755e-16,2.4999901878713425e-09,1.4508919917379945e-15,8.361236665424343e-15,3.3999999959496363e-06,3.292852718364679e-15,6.133738481616549e-17,1.279138776451394e-16,5.171434415044036e-16,5.111609081618879e-17
1200,2.4063909714334624e-11,8.729531829057594e-13,9.999028876547989e-09,2.940753928701749e-14,1.0003499585492538e-10,2.195798825108059e-13,7.124916321994957e-15,1.4804694891629095e-14,1.5999974643879243e-07,4.300479667007295e-15,8.999996851568153e-08,5.258083772571185e-15,2.6080689118791897e-14,1.3999999913696062e-06,6.999996585891485e-10,3.3452252351488366e-16,4.413853778076718e-22,8.314932620646703e-22,6.887055151273884e-18,6.887055151273884e-18,1.9999990245404242e-08,9.745420014759582e-15,4.988519678445076e-18,4.1872239847496295e-18,8.427713813924652e-16,2.499988879635353e-09,1.6508245773074058e-15,9.46954006912454e-15,3.3999999953915873e-06,3.74660939613708e-15,6.982759848161207e-17,1.4554424251302046e-16,5.886911170963918e-16,5.774003182418032e-17
1300,2.398895213099608e-11,9.428397029287465e-13,9.998947058058238e-09,3.1526374302143e-14,1.0004185466050445e-10,2.4525756952374024e-13,7.987573554061352e-15,1.6013226876382693e-14,1.5999971742320033e-07,4.666744469524716e-15,8.999996498979234e-08,5.710801930691177e-15,2.913622956568781e-14,1.399999990323931e-06,6.999996170951424e-10,3.75179026118311e-16,4.950526418675577e-22,9.325930508273036e-22,7.724403921481574e-18,7.724403921481574e-18,1.9999989059861208e-08,1.0929847384977425e-14,5.5950649250978625e-18,4.6963411113382e-18,9.452424566511753e-16,2.4999875713993637e-09,1.850757162876817e-15,1.0577843472824733e-14,3.3999999948335383e-06,4.20036607390948e-15,7.831781214705866e-17,1.6317460738090158e-16,6.602387926883797e-16,6.436397283217185e-17
1400,2.391399454765754e-11,1.0127262229517335e-12,9.998865239568486e-09,3.3645209317268514e-14,1.0004871346608353e-10,2.7093525653667447e-13,8.850230786127746e-15,1.7221758861136298e-14,1.5999968840760823e-07,5.033009272042135e-15,8.999996146390317e-08,6.1635200888111704e-15,3.219177001258373e-14,1.3999999892782556e-06,6.999995756011363e-10,4.1583552872173855e-16,5.487199059274438e-22,1.0336928395899374e-21,8.561752691689261e-18,8.561752691689261e-18,1.9999987874318174e-08,1.2114274755195268e-14,6.201610171750646e-18,5.205458237926769e-18,1.0477135319098855e-15,2.4999862631633745e-09,2.050689748446229e-15,1.1686146876524927e-14,3.3999999942754897e-06,4.65412275168188e-15,8.680802581250525e-17,1.808049722487827e-16,7.317864682803675e-16,7.09879138401634e-17
1500,2.3839036964319e-11,1.0826127429747203e-12,9.998783421078735e-09,3.5764044332394016e-14,1.0005557227166261e-10,2.966129435496087e-13,9.712888018194138e-15,1.8430290845889892e-14,1.5999965939201612e-07,5.399274074559554e-15,8.999995793801398e-08,6.616238246931161e-15,3.524731045947964e-14,1.3999999882325803e-06,6.999995341071301e-10,4.564920313251659e-16,6.0238716998732975e-22,1.1347926283525704e-21,9.399101461896946e-18,9.399101461896946e-18,1.9999986688775144e-08,1.3298702125413111e-14,6.8081554184034264e-18,5.7145753645153374e-18,1.1501846071685952e-15,2.4999849549273853e-09,2.2506223340156395e-15,1.2794450280225117e-14,3.3999999937174406e-06,5.10787942945428e-15,9.529823947795178e-17,1.9843533711666377e-16,8.033341438723549e-16,7.76118548481549e-17
1600,2.3764079380980458e-11,1.1524992629977072e-12,9.998701602588984e-09,3.7882879347519524e-14,1.0006243107724168e-10,3.2229063056254293e-13,1.0575545250260532e-14,1.963882283064349e-14,1.5999963037642402e-07,5.7655388770769726e-15,8.999995441212478e-08,7.068956405051154e-15,3.830285090637556e-14,1.399999987186905e-06,6.999994926131239e-10,4.971485339285932e-16,6.5605443404721585e-22,1.2358924171152037e-21,1.0236450232104633e-17,1.0236450232104633e-17,1.999998550323211e-08,1.4483129495630954e-14,7.414700665056211e-18,6.223692491103906e-18,1.252655682427305e-15,2.499983646691396e-09,2.4505549195850507e-15,1.3902753683925314e-14,3.3999999931593916e-06,5.56163610722668e-15,1.0378845314339837e-16,2.1606570198454489e-16,8.748818194643429e-16,8.423579585614643e-17
1700,2.368912179764192e-11,1.2223857830206944e-12,9.998619784099233e-09,4.000171436264504e-14,1.0006928988282075e-10,3.4796831757547726e-13,1.1438202482326927e-14,2.0847354815397092e-14,1.5999960136083192e-07,6.1318036795943915e-15,8.99999508862356e-08,7.521674563171147e-15,4.135839135327148e-14,1.3999999861412297e-06,6.999994511191178e-10,5.378050365320208e-16,7.0972169810710195e-22,1.336992205877837e-21,1.107379900231232e-17,1.107379900231232e-17,1.999998431768908e-08,1.56675568658488e-14,8.021245911708995e-18,6.7328096176924766e-18,1.3551267576860152e-15,2.499982338455407e-09,2.650487505154462e-15,1.5011057087625508e-14,3.399999992601343e-06,6.01539278499908e-15,1.1227866680884496e-16,2.3369606685242596e-16,9.464294950563308e-16,9.085973686413796e-17
1800,2.3614164214303377e-11,1.2922723030436814e-12,9.998537965609482e-09,4.2120549377770547e-14,1.0007614868839983e-10,3.736460045884115e-13,1.2300859714393321e-14,2.2055886800150693e-14,1.5999957234523982e-07,6.498068482111812e-15,8.999994736034642e-08,7.974392721291139e-15,4.4413931800167405e-14,1.3999999850955544e-06,6.999994096251116e-10,5.784615391354483e-16,7.633889621669879e-22,1.4380919946404704e-21,1.1911147772520007e-17,1.1911147772520007e-17,1.9999983132146045e-08,1.6851984236066643e-14,8.627791158361778e-18,7.241926744281047e-18,1.4575978329447253e-15,2.4999810302194172e-09,2.850420090723874e-15,1.6119360491325704e-14,3.399999992043294e-06,6.469149462771481e-15,1.2076888047429154e-16,2.5132643172030707e-16,1.0179771706483186e-15,9.748367787212951e-17
