milliseconds,L,R,flip,pC8,C8,C6,BAR,pC3,C3,Bid,tBid,pC6,XIAP,C3_Ub,PARP,CPARP,Smac,Bcl2c,Bax,Bax_hash,Bcl2,L_R,R_hash,flip_R_hash,R_hash_pC8,C6_pC8,BAR_C8,C8_pC3,pC3_Apop,Apop,C8_Bid,C3_pC6,XIAP_C3,PARP_C3,Apop_XIAP,Smac_XIAP,Bcl2c_tBid,Bax_tBid,Baxm_Bcl2,Bax4,Bax2_Bcl2,Bax4_Bcl2,M,Bax4_M,M_hash,Smacm,M_hash_Smacm,Smacr,CytoCm,M_hash_CytoCm,CytoCr,CytoC,Apaf,CytoC_Apaf,Apaf_hash,pC9,Baxm,Bax2
0,2999.9973016464487,199.9846211119067,99.99999999995957,19999.99999998985,-4.201921765431729e-09,3.5410221633678623e-15,1000.0000000000102,9999.999999999993,5.065016292053815e-13,40000.000000000015,1.5319299265151237e-11,10000.0,100000.0,-4.9549009160897247e-14,1000000.0,-5.366677054553674e-13,-5.646944843342587e-71,20000.0,100000.0,-9.703105716375785e-14,20000.0,-0.009342553125564843,-3.5374199113906096e-07,5.192176552766524e-11,2.278039679212907e-09,2.599214645268652e-18,6.860657638760198e-12,-5.193863951933748e-12,-5.784941205167221e-80,7.716982441441791e-75,-2.1764075758374767e-11,-1.5412709656172894e-14,3.586829691858855e-13,-2.2061507952340906e-12,-3.437120889929053e-76,1.6086930133009842e-71,-3.4634634501735247e-13,7.996631568033221e-16,-3.936635146552931e-18,7.370537794804103e-67,2.5564126072532747e-36,-1.5375287827308183e-68,500000.0,1.8370463716388048e-67,-7.307678909184623e-68,100000.0,3.0187066440391052e-68,9.118181715291922e-68,500000.0,9.534852716914758e-68,-4.4451820792857295e-67,1.4679171054724775e-69,100000.0,-1.831223982063066e-71,-5.0045949720186e-73,100000.0,-3.083501148237365e-16,3.599635556743432e-35
100,2999.955594939353,199.95912651383992,99.9999999999249,20000.00000002533,9.378870598806445e-11,1.4000944723200894e-14,1000.0000000000109,10000.000000000002,4.850312054995018e-12,40000.00000000003,-2.8443107887172224e-11,10000.0,100000.0,2.3691340593971026e-14,1000000.0,7.507733177545174e-13,-1.405254239205657e-70,20000.0,100000.0,2.3532750106601105e-14,20000.0,0.058282787341882046,-6.386745218445918e-07,1.9167929443011205e-11,2.1396777112003625e-09,-1.6226067624958032e-18,7.371960029060855e-12,2.275311628214561e-12,-4.256272096034074e-80,2.347471083803623e-75,3.121898353733441e-11,2.3256270952349213e-14,-3.5530959797974903e-13,-1.5473582481712444e-12,9.848029290719368e-77,-1.3621166000040057e-71,-3.731314064205121e-13,1.4162065622122125e-13,-1.8955409655031944e-17,-8.040481525838288e-67,1.1503963018049347e-36,6.1209644150181065e-68,500000.0,1.3298823515448138e-66,1.4377669298458971e-67,100000.0,-4.4093124871120885e-68,-1.0470946048469889e-67,500000.0,1.8155514361562453e-67,-7.313723292623126e-67,3.428254419007523e-70,100000.0,2.1010367222811725e-71,1.364841243577597e-72,100000.0,3.2497264205822127e-17,-4.1696068811232443e-35
200,2999.952853771872,199.93258011288933,99.99999999998715,20000.0000000203,1.0849107282884417e-08,-1.4110238009241268e-15,999.999999999999,9999.999999999993,-3.101778674737808e-12,40000.00000000006,-2.9166067118896116e-11,10000.0,100000.0,-1.4907934548983137e-14,1000000.0,1.419099089989574e-12,1.473438223683419e-70,20000.0,100000.0,3.341322280405172e-14,20000.0,0.048325043161285094,6.701889795346475e-07,-9.709063856981403e-12,-7.645007155166499e-09,-5.826892545182505e-19,1.7895269421180488e-12,8.90212331150983e-12,2.9595652203076853e-80,1.958217917941438e-75,3.5705702210294894e-12,-1.693963152795103e-14,4.1946544235702565e-13,6.413884807799959e-13,1.35966504125904e-76,-7.125277148674618e-71,9.108729166472835e-14,-4.3335218094464476e-14,-6.484597692357011e-17,1.7004084114706034e-67,1.9954461638818314e-36,1.3246446726125067e-68,500000.0,-1.7970621267651967e-67,-1.1174966923630206e-67,100000.0,-4.451719885454347e-68,4.700871894811606e-68,500000.0,6.279084126597209e-69,-4.882043391006176e-67,1.6114226374866903e-70,100000.0,-2.3151717655452944e-71,2.1286911043373848e-72,100000.0,-4.861629750624726e-16,-6.939513811514388e-36
300,2999.9259001533133,199.9449798741994,99.99999999987213,19999.99999999723,4.801685786751021e-09,1.7505212880900797e-14,999.9999999999875,9999.99999999999,4.268067778199309e-12,39999.99999999994,-1.6246394192589707e-11,10000.0,100000.0,-3.096868272967988e-14,1000000.0,-2.1985250841669702e-13,7.79106448745347e-72,20000.0,100000.0,1.7839660435814384e-14,20000.0,0.09807856851634976,5.320569058408014e-07,-1.3543660036285516e-10,-9.394129561112346e-09,4.732746765504035e-19,1.194543592966097e-11,4.256271247376988e-12,-5.105110087618378e-80,7.343476384891812e-75,-1.5979266103117937e-11,1.9816824687188995e-14,-6.495419910653856e-13,1.5684798861087254e-12,-1.0486265990539092e-76,3.4149109913027416e-71,-1.3320081268371156e-13,-1.1993622377978577e-13,5.2869875441847896e-17,-7.319206461595759e-67,1.196737815020174e-36,8.351454803180949e-68,500000.0,-9.04736382611278e-67,-1.7889946894294e-67,100000.0,2.395139723997518e-68,5.2061688952516725e-68,500000.0,1.2423312781518375e-67,7.892177704229488e-69,3.9230581486681696e-71,100000.0,1.600806971580179e-71,-1.382768241853154e-72,100000.0,-3.148825550542816e-16,-1.333978389444513e-36
400,2999.9282367757974,199.91124998787438,100.00000000011086,19999.999999994012,1.5143252043857718e-08,5.727274861677323e-15,999.9999999999893,10000.000000000004,5.1560112876014515e-12,40000.000000000044,-2.5513811037029313e-11,10000.0,100000.0,4.8603718378691013e-14,1000000.0,1.2154762928349844e-12,1.2266874424943044e-71,20000.0,100000.0,-2.935029580261829e-14,20000.0,0.10750376579123443,1.0619593634118029e-06,-5.851531861260126e-11,-8.197245291770166e-10,3.7828206841351285e-19,4.433948703859027e-12,-5.646067221867763e-12,1.5572940439196772e-80,8.42355602057276e-75,-6.575836934074324e-12,1.2963062869371481e-14,-2.9014171384030744e-13,2.8685350484447346e-13,2.5019891484776804e-76,6.102674350251932e-71,-1.7061520955036347e-13,-1.0781936115694832e-14,-5.768713777114379e-17,-5.120331049980706e-67,2.1063753962924534e-36,-3.215481919409656e-68,500000.0,-1.1654844171111045e-66,-5.9045703765571005e-68,100000.0,5.126630769531733e-69,1.3112997676100923e-68,500000.0,3.441013055937248e-68,-6.831534435550857e-67,-3.244733517637359e-70,100000.0,9.778246025322656e-72,-2.733572880770157e-74,100000.0,4.783503002510866e-16,-4.3537648407664194e-36
500,2999.914500903381,199.9093346391113,100.00000000008963,19999.999999995183,1.5506568376714938e-08,-7.550631472935225e-15,1000.0000000000101,9999.999999999984,6.04104639579925e-15,40000.00000000002,-2.4819699636510107e-12,10000.0,100000.0,2.367563507552484e-14,1000000.0,8.267402366465564e-14,3.540313496150073e-70,20000.0,100000.0,-1.3765364036627542e-14,20000.0,0.1528341501293295,-4.6498415146011073e-07,-8.904938832017067e-11,-1.019427545760412e-08,2.7905622356319147e-18,-8.322035156106999e-12,5.5802022997642524e-12,-5.434265902121521e-80,8.380838150173773e-76,2.4883499385688146e-11,-5.1046358054143705e-15,-4.5439621834326594e-13,-1.4684802089536557e-12,1.0375246530807985e-76,4.362978436774212e-71,-2.8555909698934523e-13,1.3766625291490675e-14,7.0629613195295e-17,-5.020687042804465e-67,-3.741039729949626e-36,5.474426039488053e-68,500000.0,1.8983607495274638e-67,-1.661233523783607e-67,100000.0,-2.822060699354438e-68,1.4756519531841728e-67,500000.0,2.3750955833397433e-67,-7.656904167007222e-67,-1.427975028902443e-69,100000.0,1.459373748068858e-71,6.208381000049583e-72,100000.0,-3.5224552543980526e-16,-3.5834621443914446e-35
600,2999.868202047145,199.85161612556942,99.99999999996957,19999.99999999708,-1.099907125977873e-08,1.041942224047845e-14,999.999999999996,9999.999999999993,4.544579482302803e-12,40000.0,2.72863614448153e-11,10000.0,100000.0,-2.851010173716576e-14,1000000.0,-7.031292192903287e-13,-1.582635924897449e-70,20000.0,100000.0,-9.327708601975972e-14,20000.0,0.10876762264939065,-4.4410015091416425e-07,-2.703983289683442e-12,6.722004161498151e-09,-3.603754244130407e-18,-1.319063655479428e-11,-7.98763697042471e-12,-6.540348686862408e-80,-2.732473844851175e-76,-3.352301388265478e-11,2.319801011026827e-14,2.8226767023697417e-13,-3.192317703700173e-13,3.6279989693521316e-76,1.9176181373575047e-71,-3.441911996567036e-13,-8.351951695687791e-14,6.01097816884679e-17,-5.8476577952212667e-67,-3.0868599375062444e-36,-7.80227857388902e-68,500000.0,7.77334369895699e-67,-1.0327710075099935e-68,100000.0,4.731874232913593e-68,8.768790289234593e-68,500000.0,1.8023242742383706e-67,-5.610635879829194e-67,4.460055409581962e-71,100000.0,3.2349716264650916e-72,4.030569164320672e-72,100000.0,-2.9555156339247532e-16,2.5168693940491554e-35
700,2999.8335967128046,199.8536724372312,100.00000000001393,19999.99999998552,-1.1828648278841181e-08,1.6551945269149877e-14,1000.0000000000175,9999.999999999996,-3.036189626314857e-12,40000.000000000044,-1.8893300622864663e-11,10000.0,100000.0,7.060880104701284e-15,1000000.0,-1.6187746379769652e-12,4.746572797482107e-71,20000.0,100000.0,-6.489635955434414e-14,20000.0,0.16883365404373066,6.660361539511154e-07,-3.741377102133171e-13,1.0592228182827227e-08,4.226127821362549e-18,1.5633142984519952e-11,8.810913478871389e-12,-4.3137730909041416e-80,7.359442102434221e-75,-1.5082717432058505e-11,9.543557160600892e-15,-3.231305172779178e-13,-2.811179146365227e-13,9.821450254113973e-77,-7.343573069006867e-71,1.9649491013943233e-13,-1.4813316189586114e-13,1.9068341389211197e-17,-6.268002369064549e-67,1.821899925565697e-36,-3.2726115948803865e-68,500000.0,6.204803380322565e-67,-7.646519846759976e-68,100000.0,-4.8200196055601754e-68,-7.954703319906265e-68,500000.0,2.0015401386328325e-67,2.0796458445650016e-67,4.16008025440795e-70,100000.0,2.2730720656533744e-71,-4.119358395170255e-72,100000.0,-4.567875906802949e-16,2.7782602345788284e-35
800,2999.8009106373192,199.8296947890878,99.99999999985424,20000.000000023552,-3.1567566455708212e-09,1.6424513143452743e-14,999.9999999999986,10000.0,1.3544360071798972e-12,39999.99999999994,2.7412906279000375e-11,10000.0,100000.0,-2.890896897348388e-14,1000000.0,9.50543609195803e-13,-8.668897362944998e-71,20000.0,100000.0,6.656988132347755e-14,20000.0,0.1587893737915101,1.3032559541862723e-07,3.591871876374703e-11,-4.827190834543052e-09,1.124772661326964e-18,2.6029142015297872e-12,6.260911368949817e-12,7.341463640223979e-80,-5.506083758723893e-75,2.596203348068914e-12,-8.216039165089874e-15,-2.96163558418541e-13,8.626670520971524e-14,-1.4461362422538464e-77,-3.0754787813684906e-71,-4.2388907724249274e-13,3.160885804135583e-16,-7.234801769495198e-17,6.124102754832507e-67,-3.2593539885838566e-36,7.400895365912082e-68,500000.0,-1.150523200907322e-66,-1.4681203466890971e-67,100000.0,-3.950917483938853e-68,1.6133208008488048e-68,500000.0,-1.790787202618203e-67,-6.734153550734624e-67,1.977359682320168e-69,100000.0,7.674288898979212e-72,6.725728404026008e-72,100000.0,3.3623286219516563e-16,4.1295252246925767e-35
900,2999.7544695374477,199.75721394548688,99.99999999993967,20000.00000001163,-7.429931114100834e-09,1.0950867661140182e-14,999.9999999999908,10000.000000000015,1.874686407139918e-12,40000.00000000006,1.9378784252896062e-11,10000.0,100000.0,2.304202304308035e-14,1000000.0,-1.0054546980963204e-12,2.8782084370141946e-70,20000.0,100000.0,-8.461381074120025e-14,20000.0,0.22616999765811255,1.5807024712481499e-06,-1.1212969866866313e-10,1.188182435247536e-09,-1.0455813074781926e-18,7.118884567716462e-12,-5.942692033473381e-13,4.487656598711506e-81,7.034330631590154e-75,-2.3004530611900233e-11,-5.8141508348823144e-15,-5.397826055397054e-13,-1.1601782980051333e-13,4.477427326085703e-76,5.1872250278208736e-71,-3.1758360583812884e-13,-2.5267531631894765e-14,6.433930379932056e-17,8.257949759899773e-67,3.287822082788745e-36,-7.848473589862863e-68,500000.0,-1.4935563466780624e-66,9.927611223134204e-68,100000.0,3.0464421401908997e-68,1.3552785470423989e-67,500000.0,6.1895466713816605e-68,-6.788016558984887e-67,1.245897055641518e-69,100000.0,-2.194307254189315e-71,1.966395796469472e-72,100000.0,-2.6867477900091464e-17,-3.519080427310677e-35
