miliseconds,IX,IX_TF_VIIa,TF_VIIa,IXa,X,X_TF_VIIa,Xa,VIIIa_IXa,X_VIIIa_IXa,V,Va,VIII,VIIIa,IIa,II,II_Va_Xa,Va_Xa,mIIa,I
0,8.997736231071104e-08,-4.580225535021547e-13,4.987770928453978e-09,1.25998187790732e-11,1.7003837709329932e-07,4.569527498900591e-12,-5.0870999236301205e-11,-2.706412123993836e-14,4.4526563348095396e-14,1.9799437633636547e-08,7.349870976673349e-11,6.994206084806449e-10,-6.6353537561937795e-12,-5.984788173300946e-12,1.4003555587079513e-06,2.0445305973323922e-11,-1.6852660810223335e-11,7.540359116980797e-10,7.789894125144778e-16
100,8.898574129622706e-08,1.0195211568046774e-09,2.8913437101350487e-09,3.05245703945425e-11,1.6886477286828653e-07,1.087119875935734e-09,1.536082791554539e-10,7.911243790031368e-15,6.168603029531456e-14,2.0003305284082997e-08,-6.108030772552084e-11,7.054527756276558e-10,5.91964468422677e-12,2.433256290431915e-13,1.3992885820884863e-06,-6.768844041527192e-12,1.0396337580482198e-11,-6.513470254865123e-10,8.504453750222162e-16
200,8.889591765636204e-08,1.0516958518767408e-09,2.865837952948198e-09,6.937787729902098e-11,1.6860947982894203e-07,1.0760443329166517e-09,2.105190381052003e-10,9.30376426335665e-15,-1.153339634326391e-14,2.0088428686281524e-08,1.3407986056690105e-11,6.959881354839843e-10,1.9251344343744815e-12,-1.979284769323945e-12,1.3990505435618367e-06,2.489697318972377e-11,-6.425271387854577e-13,8.167435462293497e-10,5.480392130221572e-16
300,8.888350177517969e-08,1.0568976928792641e-09,2.8813128304150464e-09,6.20335116758543e-11,1.6847944717916493e-07,1.0748419272309816e-09,3.1245527077033976e-10,-1.9510120532969663e-14,3.131715657246847e-14,2.0172991465336494e-08,-6.408356385786389e-11,6.963697268491416e-10,-6.074609109805778e-12,4.178193312466364e-12,1.4000574867068262e-06,1.3486769501165605e-11,1.2444091389282503e-11,-5.282430586640215e-10,-8.865626850537448e-16
400,8.882973587948523e-08,1.0454941305798907e-09,2.8828095267492543e-09,1.1650625778471776e-10,1.6852743786467488e-07,1.0723169762234394e-09,4.597975510382639e-10,-1.5621081126734455e-15,-3.962078600400757e-14,1.991884814107144e-08,9.501374903823503e-11,6.988724162361589e-10,-9.24417081548659e-13,6.291424251617692e-13,1.399458467872315e-06,1.89433526088322e-11,1.5442493491395563e-11,8.600423770701245e-10,-5.226287788917901e-16
500,8.882523644416866e-08,1.0495386443292574e-09,2.8828804174839193e-09,1.4216468258239632e-10,1.682593021097891e-07,1.075500621828519e-09,5.900844904987525e-10,-2.9552890328241446e-14,-5.177848272641664e-14,1.9767754384888188e-08,-8.12115602561144e-12,7.017213564077796e-10,8.37384242255807e-12,2.0877670968371223e-12,1.3997639074435058e-06,-2.5013979265648567e-13,8.692383134009177e-12,4.131534063628501e-10,7.345810596918885e-16
600,8.875808042885918e-08,1.0565078739572996e-09,2.87285562990075e-09,1.9298482985637976e-10,1.682505753308195e-07,1.0719490350614551e-09,6.985858197503168e-10,-1.826307529189849e-14,-5.800857240858079e-14,2.0086995472541098e-08,1.7088077330086336e-10,7.037934475155369e-10,-8.434694184910627e-13,-2.0299653011195096e-12,1.400290579962218e-06,1.4207478762628051e-11,2.0166687759950904e-11,1.0827879758810692e-10,3.5427162175148483e-16
700,8.87211417243533e-08,1.0445167363093337e-09,2.866458280011034e-09,2.2931967632337634e-10,1.6805375106386067e-07,1.0677733963860224e-09,8.689784567630535e-10,2.0719817609897437e-14,-5.672767559457828e-14,1.9656138085956462e-08,2.3856516326569306e-10,7.041717846158317e-10,8.78193404973985e-12,4.425718996906733e-12,1.4007481942355521e-06,-5.833520607898023e-12,1.3764327712198255e-11,-8.696029745282911e-10,-2.500603236870037e-16
800,8.872667121213895e-08,1.0523413006975487e-09,2.887847980916963e-09,2.416788362666285e-10,1.6793235849053494e-07,1.0746324559431008e-09,9.569806091980056e-10,-6.355632369431828e-15,7.470830866514356e-15,1.99672286373305e-08,1.289549204559235e-10,6.920549699245122e-10,-4.4146918072326135e-12,-3.0781539827934114e-12,1.4002143693521712e-06,-8.368192442141241e-12,-1.5663618376353038e-11,6.822921169064452e-12,5.813654939286244e-16
900,8.867560165106507e-08,1.045802923414311e-09,2.8666436494725796e-09,2.9077147815520106e-10,1.6775968787376882e-07,1.0694154834576002e-09,1.046187705633967e-09,2.5133414376140163e-14,4.408876945901078e-14,1.9717248157883292e-08,7.139462341378375e-11,7.01081100743713e-10,-6.075596074298252e-13,3.170556472023909e-12,1.3998708337096782e-06,-2.1264412179066237e-11,2.1533322362157224e-11,-4.3161342129061766e-10,9.193343548870328e-16
