miliseconds,IX,IX_TF_VIIa,TF_VIIa,IXa,X,X_TF_VIIa,Xa,VIIIa_IXa,X_VIIIa_IXa,V,Va,VIII,VIIIa,IIa,II,II_Va_Xa,Va_Xa,mIIa,I
0,8.999884790134302e-08,7.29717154715256e-12,5.010826412365118e-09,-1.9721091012200223e-11,1.7001116921480774e-07,-2.463604886642749e-12,-7.91818634265745e-12,3.1664200301985063e-14,-3.6536451152472553e-14,1.98181441220908e-08,5.864959482526044e-11,7.059218062140335e-10,-3.0476530552167034e-12,5.25617161447731e-12,1.3994554630338286e-06,-1.5980406166815935e-11,1.7899036181613552e-11,-4.943343055500983e-10,-1.8007731462928734e-16
100,8.898230727975351e-08,1.0129913059790822e-09,2.89362914746991e-09,4.479723884844771e-11,1.6870526971856023e-07,1.094652496528505e-09,1.491592415093883e-10,1.9795911006135666e-15,2.397814912883364e-14,1.9908857467555517e-08,5.6519792221279175e-11,6.94932276094796e-10,-3.3830748339055735e-12,-1.350466986788209e-13,1.39966292119046e-06,-3.0158452809702674e-11,1.950841471194888e-11,8.561253441606116e-10,-8.834209788241156e-16
200,8.89057771353824e-08,1.0529175787494788e-09,2.8737873966068467e-09,7.848564131735404e-11,1.687115508414606e-07,1.0746417508273074e-09,2.2206029637926934e-10,1.736900219452821e-14,1.1437906904829447e-14,1.996225050933318e-08,-9.418131316771425e-11,7.024550469076665e-10,-4.325261994442901e-13,3.2997707116923965e-12,1.3999998639684758e-06,1.3767306939797332e-11,-9.219538133788935e-12,4.897431582465496e-10,8.824014790717478e-16
300,8.884476192657694e-08,1.0503585238619904e-09,2.871876930075631e-09,7.471428876974318e-11,1.6850474685172632e-07,1.0717984079167666e-09,3.3134148462949465e-10,1.1854671504155899e-14,-6.626464055854309e-15,1.986298894381431e-08,-1.437958388407313e-10,7.021639810152573e-10,2.0129033293353416e-12,6.708075848813823e-12,1.3999279549204234e-06,6.8976564719109525e-12,-3.705520816138664e-12,3.5068519094524305e-10,-5.2310080801281275e-16
400,8.884937213517545e-08,1.0540948009347558e-09,2.8626726146253217e-09,1.1901514654830812e-10,1.6839905151539472e-07,1.078840519697212e-09,5.01799312119412e-10,-1.429707613810649e-14,5.788258560746553e-14,1.999107541861503e-08,3.8100131495655135e-11,7.067368939040391e-10,5.809117946637618e-12,-3.8438858298851386e-12,1.3990372422408895e-06,-3.676604164254555e-12,6.080987631663506e-12,-7.838896444730064e-10,1.566789366896712e-16
500,8.879607947153396e-08,1.0473506967700385e-09,2.8880917340269408e-09,1.6599533069327235e-10,1.6834663598557354e-07,1.0780921286835643e-09,5.907826964062398e-10,7.88802435594433e-15,2.426158666872628e-14,1.98930439960889e-08,2.6929714236720442e-11,6.941518899265584e-10,-4.1222887527475255e-12,4.879871858042797e-12,1.399907366857863e-06,-1.466886198820981e-11,-1.3335832267702365e-12,4.9321553732050476e-11,-5.623748980632698e-16
600,8.879065356487635e-08,1.0577321453872917e-09,2.8770486435200214e-09,1.7820185283951783e-10,1.682111650781676e-07,1.0765666920091165e-09,6.969952995601082e-10,-1.8283159041672456e-14,-1.2434927025146117e-14,1.9963341083717743e-08,1.266969552933983e-10,7.015626784246723e-10,6.297397948681701e-12,-2.2722230432118093e-12,1.3999758628484456e-06,-1.2081774953372598e-11,1.4752353556710268e-11,9.201706261824067e-10,-2.0714439290557644e-16
700,8.874424983230321e-08,1.049551444884549e-09,2.8667077666184196e-09,2.221399529169826e-10,1.680955443178059e-07,1.0642708731704363e-09,8.155034696780051e-10,3.3883374591295205e-14,1.3679545190609747e-14,1.9830866993025085e-08,4.8989430357433775e-11,7.011877053288872e-10,1.8605084140605905e-12,1.2556326086878096e-12,1.4005839459980573e-06,1.610815542261718e-11,-1.219589244985104e-11,-4.473267735932739e-10,-5.877999871535523e-16
800,8.870371243349408e-08,1.0498728474337912e-09,2.869794982122172e-09,2.53463379025446e-10,1.6789606594803343e-07,1.0764796866912547e-09,9.99451812427885e-10,2.9095229173925886e-14,-4.1385387564933673e-14,1.971225350701952e-08,-1.6638371395078292e-11,6.919485764317617e-10,-4.202061247568011e-12,2.186344373358254e-12,1.4006451455271047e-06,-1.7968543817854626e-11,-5.647719722103167e-12,8.007005094105066e-10,5.973387870290117e-16
900,8.867888704193174e-08,1.045000064294711e-09,2.8762469508830882e-09,2.8935075233523723e-10,1.6781707858164502e-07,1.0754438774016432e-09,1.0635395658440798e-09,-3.366888387818661e-14,-2.6022803794068387e-14,2.0024687091957197e-08,2.3411393555448034e-10,7.030679780531405e-10,3.489969105409033e-12,3.6710287661931054e-12,1.4006740109732893e-06,-1.841507918061324e-11,1.4215135979589367e-11,-1.4782499783233265e-10,-1.2676549106293062e-16
