milliseconds,IX,IX_TF_VIIa,TF_VIIa,IXa,X,X_TF_VIIa,Xa,VIIIa_IXa,X_VIIIa_IXa,V,Va,VIII,VIIIa,IIa,II,II_Va_Xa,Va_Xa,mIIa,I
0,8.997753529213284e-08,9.457530953375689e-13,5.008087695207418e-09,-1.3230156132792907e-11,1.6996027878122447e-07,3.835752244792068e-12,-2.492668040071138e-11,2.5392056021615867e-14,2.3084985743024202e-14,2.0140519356538204e-08,1.4627132512351969e-10,6.959753696758935e-10,5.551144585531249e-12,2.8619609679152673e-12,1.400005822722481e-06,-6.417210235585124e-12,6.263196723195737e-13,-1.6213067990121917e-10,4.3103305500851153e-16
100,8.896936271242928e-08,1.019756858987303e-09,2.903001157618424e-09,4.7111961621185983e-11,1.6872602949841899e-07,1.0880867157086554e-09,1.5632751056925726e-10,-1.19211987834462e-14,1.9233216676987027e-14,1.9851580032184992e-08,1.7505708432555018e-10,7.074438724006608e-10,1.1410788940311455e-12,1.4761943486478187e-12,1.3990519218124095e-06,-1.6457693766808622e-11,9.757866955288101e-12,5.948208730680947e-10,-7.166499642636462e-16
200,8.891186111936513e-08,1.0566120044860653e-09,2.8872080050981385e-09,6.47635903900436e-11,1.6866197469386235e-07,1.0708317813339305e-09,2.4022614342379974e-10,-2.0489300709278853e-14,-3.687025063086226e-14,1.9934303744969112e-08,6.030505133076807e-11,6.976395738245598e-10,5.80945283813963e-12,5.682919834478595e-12,1.399667897296239e-06,-2.3015608020792984e-11,-1.6198762577594443e-11,-5.645396751030534e-10,3.316101237336466e-16
300,8.884633252714873e-08,1.0496744961243262e-09,2.8898281732476667e-09,1.0409516548216132e-10,1.685437762358107e-07,1.0809326349283895e-09,4.066934860255652e-10,-1.9458087377392973e-14,4.322670583571486e-14,2.0128641234991926e-08,-9.236081994827797e-11,6.96907121806373e-10,1.0619266360389431e-12,-6.360372117644861e-12,1.399060724956849e-06,8.326431155739574e-12,1.2404048429249261e-11,3.8313380105065676e-10,-6.28691644030714e-16
400,8.885655684422938e-08,1.0560676896281839e-09,2.874989327685035e-09,1.1282451535520389e-10,1.6853224874902897e-07,1.0790530464176938e-09,4.913829101018528e-10,5.2729303622665175e-15,3.317917848945019e-14,1.9960289939722017e-08,-6.459172237644238e-11,7.033460851015318e-10,3.97048042196352e-12,6.826646381551179e-12,1.4005244855921507e-06,2.8376034391533792e-11,-6.653226571555064e-12,6.173668745606299e-10,3.7346169330970976e-16
500,8.882241145524602e-08,1.049800909970742e-09,2.885562630505811e-09,1.4401435668638605e-10,1.6826434435425023e-07,1.0776332081592849e-09,6.35224060654201e-10,3.0822642354124494e-14,5.617045199483486e-14,1.9868376179494226e-08,1.2497234602024057e-10,6.960758581113405e-10,-5.567998858951028e-12,5.034106777016266e-12,1.4004464535205568e-06,-2.4182818008124347e-11,2.3662360753248412e-12,9.410195303544313e-10,5.0925382346772865e-16
600,8.876574638602357e-08,1.057454199323088e-09,2.8745344681393857e-09,1.64182037128908e-10,1.6827905119572977e-07,1.0696076666247182e-09,7.079347755672296e-10,2.6955062275452294e-14,3.7433976341257184e-14,2.007831980217596e-08,3.464841170492969e-11,7.03412659381796e-10,8.02528319643804e-12,5.926896681006967e-12,1.4000631110000077e-06,2.8123826061354846e-11,1.6473669412496105e-11,3.632217415564058e-10,1.0173550327751383e-15
700,8.874679098277396e-08,1.054006260917399e-09,2.864085497921723e-09,2.0683065268037584e-10,1.680838950358955e-07,1.0730984694475395e-09,8.122037759704202e-10,1.61152532205026e-14,1.4652394977836312e-15,1.9728015785666603e-08,-4.4132732359947806e-12,6.924951443143995e-10,1.9926377517196182e-12,5.45598478725751e-12,1.3993949956967361e-06,2.8860868257535525e-11,-4.246384028133859e-12,-5.041554081095912e-10,1.9290468512905681e-16
800,8.867736824568734e-08,1.0436595183001437e-09,2.891986812764864e-09,2.2531315922972415e-10,1.679414215437771e-07,1.0741542581161549e-09,9.361884836048844e-10,-3.205104746479159e-14,-3.930155614274035e-14,1.9970369617648866e-08,1.9004459720220713e-11,7.0131725958311e-10,3.686161501229156e-12,-6.3450818397460055e-12,1.4000609489550755e-06,2.7598031880266816e-11,1.523569380927039e-11,-9.253222802489778e-10,-6.377162030999278e-17
900,8.868054508393967e-08,1.0578099720558802e-09,2.8843676792880105e-09,2.7402545572149314e-10,1.6777820307476244e-07,1.0651833942413637e-09,1.0845878761371885e-09,-1.9090487222436616e-14,-5.422736601868479e-14,1.9764068286302158e-08,2.84311904823022e-10,7.03008706578239e-10,1.8400380583230804e-12,-4.585718949499968e-13,1.4001749598039948e-06,2.729144817794944e-11,-2.0374555950311832e-11,5.056535096730964e-10,1.009757082813029e-15
1000,8.861284213738502e-08,1.0534125995218575e-09,2.879808792595282e-09,3.0139956002072343e-10,1.6775454436661632e-07,1.0707933364044396e-09,1.2154485173388663e-09,4.404165267673252e-15,2.3767746235802617e-14,1.98558993261775e-08,1.0190607365726522e-10,6.896133777406338e-10,8.096273186332461e-12,1.640861322697915e-12,1.3991181847405401e-06,-2.5435563267124737e-11,2.6165473255746244e-11,7.376323756647126e-10,-9.773475123076572e-16
1100,8.862311818092093e-08,1.0497960177768296e-09,2.8867047523711106e-09,3.371018358188257e-10,1.6755633853989245e-07,1.0703754361992702e-09,1.331223792193776e-09,-3.237261934237292e-14,4.8600491200081634e-14,1.9832095717372455e-08,4.3153925546458535e-10,6.922871976507921e-10,6.432160823414913e-12,-6.94452391748253e-13,1.3999077584763429e-06,2.1023073786458158e-11,1.7131638295203233e-11,9.42225606304214e-10,-8.745078784848806e-16
1200,8.856878002286682e-08,1.0543047403006861e-09,2.8944090615404288e-09,3.9072672958957373e-10,1.6752902520314982e-07,1.0720902790192804e-09,1.4069765762265382e-09,3.295622745105895e-14,-3.5224682250764124e-14,1.945270879122543e-08,4.871395305993339e-10,6.951645106644607e-10,4.899631635138521e-12,-3.8137432439681927e-13,1.3998301759726712e-06,2.4625369026357023e-11,1.6775185230717745e-11,-1.8279236078976296e-10,-8.733087993278184e-16
1300,8.855375016210172e-08,1.0542620208419509e-09,2.873282596547196e-09,3.9899845073455007e-10,1.6733745421021522e-07,1.0741773076675702e-09,1.5392872776520289e-09,-2.912987768472565e-14,3.130364467053603e-14,1.9387978401069996e-08,3.6926775034804184e-10,6.929494742530846e-10,1.021544890914481e-12,-1.1809008205855376e-12,1.4006370157458014e-06,-1.8939356658420446e-11,-7.424719811831627e-12,2.717851630643157e-10,-4.474380066539448e-16
1400,8.852118221145753e-08,1.042745843204847e-09,2.879278558200631e-09,4.5377840760752324e-10,1.6716592812720352e-07,1.0670433719170672e-09,1.6629455571370057e-09,2.467358157480908e-15,4.338432452031846e-14,1.9656148190416403e-08,2.975268557202768e-10,6.943003365002119e-10,7.827957916967676e-12,-1.103489644767141e-12,1.3989859234229548e-06,-2.7197403863672074e-12,3.30248019573459e-11,-2.3763858777630317e-10,-1.1133598574412084e-16
1500,8.844834986833103e-08,1.0532840647441281e-09,2.8927122166435786e-09,4.980841411121664e-10,1.6718756421055906e-07,1.0636714870224272e-09,1.8192503857774214e-09,8.122105629679627e-15,2.952986453351716e-14,1.96061660463699e-08,4.744708979994026e-10,6.859053068035111e-10,4.796392211720921e-12,6.573350321014845e-12,1.3993521558636978e-06,4.183962944165641e-11,1.4165561565057779e-11,6.270072836874888e-10,-2.088980961254225e-16
1600,8.843827561340282e-08,1.0478609856168483e-09,2.893208773822195e-09,4.970709411652702e-10,1.669538725251148e-07,1.0614431478062423e-09,1.9279785642369965e-09,3.427061616836707e-14,-1.4773611798312124e-14,1.954547846838731e-08,6.091278667361769e-10,6.814919029353814e-10,9.18660537352217e-12,-4.53297962746438e-12,1.4000309293634299e-06,4.7432341052344796e-11,1.6257955417255304e-11,-9.104512008822526e-11,5.4734660202765625e-16
1700,8.838272308411604e-08,1.0548402664668843e-09,2.8830788996663865e-09,5.301640084097387e-10,1.6686930602069302e-07,1.0595009705117434e-09,1.995772454810009e-09,3.8049029844954656e-14,7.933891033362155e-14,1.9474530469230802e-08,6.986656882863312e-10,6.879923161144413e-10,6.939024005354457e-12,-2.543743122319267e-12,1.3994890585102993e-06,1.5641744609523404e-11,1.2111551412690592e-11,1.2764590248215799e-09,1.4308038240831723e-16
1800,8.837504624707861e-08,1.0480911705844446e-09,2.8938289545727613e-09,5.53394327502876e-10,1.6669403782889432e-07,1.0705082066699234e-09,2.1346147102282345e-09,-1.786106945919685e-14,6.002176968208932e-14,1.8999845461333588e-08,8.781030896681126e-10,6.882036333022992e-10,1.0066360992771241e-11,-3.817561225163261e-13,1.399898378700089e-06,1.1865427049161525e-11,4.0427579046904315e-11,1.3855764156157302e-09,-3.666187944226323e-16
1900,8.833915552402126e-08,1.0487061000277918e-09,2.8782944292951487e-09,6.037760667784339e-10,1.6660261056101455e-07,1.0598461222073727e-09,2.2861549219668395e-09,-1.888613891948733e-15,5.863261138684048e-14,1.8968814815652398e-08,9.626834115850004e-10,6.84059112688776e-10,1.583423583198432e-11,-2.9899080672169375e-12,1.3984203660884127e-06,3.993341967483402e-11,3.7082407104373833e-11,-2.349656722101012e-10,-1.0849721585754544e-15
2000,8.832835164349278e-08,1.043894543559056e-09,2.8769349227906604e-09,6.32207651584808e-10,1.6653356175323956e-07,1.0578867226555838e-09,2.3509722317915636e-09,3.0602059953527363e-14,5.162049066079955e-14,1.8800868155137967e-08,9.192079843472209e-10,6.808425203861616e-10,1.6026375282250068e-11,2.651503007759425e-12,1.398614905548281e-06,3.9899819947474185e-11,4.9666559380047324e-11,-1.8508998278029543e-11,1.602112613286558e-16
2100,8.82477198404596e-08,1.056002257474019e-09,2.896146895975503e-09,6.979832096362032e-10,1.6632220442445207e-07,1.0591223234046005e-09,2.4841618203561907e-09,-6.718414185497881e-15,8.184823237748801e-14,1.8907869903214804e-08,8.977899327241842e-10,6.793075062405058e-10,2.944923372599237e-11,6.335808325372855e-12,1.3998697360903037e-06,5.2571472729752316e-11,5.222853026840429e-11,8.043498640428042e-10,3.337123846122954e-16
2200,8.82525116885885e-08,1.0483698381788044e-09,2.8940334010708867e-09,7.173210818826415e-10,1.6615000708110157e-07,1.0686562776941371e-09,2.5762925054652667e-09,6.366096732092643e-14,8.721249537900365e-14,1.8835319266541802e-08,9.991957767199557e-10,6.752716214553762e-10,3.3570190510249056e-11,2.749433273548757e-13,1.3986960425463668e-06,8.492444042272626e-11,7.352935095361814e-11,1.4852804487573675e-09,-7.327629483307135e-16
2300,8.817952552736483e-08,1.046000872977147e-09,2.892993876397806e-09,7.468694158224295e-10,1.661449176790454e-07,1.0561236379808219e-09,2.61326224293767e-09,4.705217572655335e-14,6.557615335445366e-14,1.86252194291123e-08,1.2255136427861936e-09,6.647085093092568e-10,2.340491575806752e-11,-2.1091763246802604e-12,1.3978543919854553e-06,1.2718004855729518e-10,6.12287717794846e-11,1.6333292562728637e-09,-1.4273684243680588e-15
2400,8.815364290567217e-08,1.0490020509167172e-09,2.8984390082770904e-09,7.898663095374323e-10,1.6601389730650162e-07,1.0689255415384645e-09,2.6991310689669515e-09,8.562892515249087e-14,7.648146842742466e-14,1.854704956615448e-08,1.5166158017448029e-09,6.584933232799629e-10,3.9527546757181484e-11,5.406662851054472e-12,1.3975084170285712e-06,1.2654827994281156e-10,8.637615414543838e-11,2.0642398869631814e-09,-1.1090085946812096e-15
2500,8.816652242181006e-08,1.040994130438311e-09,2.8898914710426495e-09,8.304767154739085e-10,1.6594698043517782e-07,1.057970058532922e-09,2.789469718206861e-09,6.268105030847935e-14,1.3908200692549336e-13,1.8328269814423936e-08,1.6247738879464815e-09,6.586782212219146e-10,3.2764337379171154e-11,-2.683066893357727e-12,1.3970377725737313e-06,1.4968064575285202e-10,8.303344373745422e-11,2.454842244890764e-09,-7.123355268573151e-16
2600,8.811711846539125e-08,1.0479941436958637e-09,2.8935321590026325e-09,8.557580758620017e-10,1.6573348346967323e-07,1.0669668342613974e-09,2.9397624412542547e-09,8.671988866615565e-14,9.512518258143558e-14,1.79829202055382e-08,1.6074742419394431e-09,6.510208196250974e-10,4.1537769104268595e-11,-4.185678983480917e-12,1.397061947532158e-06,1.602929505460935e-10,1.1447905522924807e-10,3.788920516620614e-09,-1.5329085908639732e-15
