milliseconds,IX,IX_TF_VIIa,TF_VIIa,IXa,X,X_TF_VIIa,Xa,VIIIa_IXa,X_VIIIa_IXa,V,Va,VIII,VIIIa,IIa,II,II_Va_Xa,Va_Xa,mIIa,I
0,8.999011547222618e-08,-4.3319026074543635e-12,5.008350574944667e-09,9.943754573829984e-12,1.6999787663665443e-07,-2.842897982498732e-13,-2.1065654572044685e-11,-1.692519768697929e-14,-4.839315463763178e-14,2.0139123078747398e-08,-8.046821427661832e-11,7.003166070513154e-10,-3.743344866750043e-12,5.415947593622837e-12,1.399173524122135e-06,-2.1291138700032105e-11,2.0014963266027773e-12,2.9725625136992675e-11,4.3583534988409276e-16
100,8.894136315789522e-08,1.0138914956294648e-09,2.8950461900968323e-09,1.939743613921911e-12,1.6878707540223273e-07,1.097819670883486e-09,6.373491762462172e-11,-3.150193054818141e-14,8.857331873529443e-16,1.9787046978303462e-08,8.780620537808237e-11,7.028096206119592e-10,-4.258733504277815e-13,4.675343797658989e-12,1.3998447577776194e-06,2.868010634157886e-13,-3.6021753371523026e-13,8.812688526612785e-10,1.8403649736459914e-16
200,8.888367149432204e-08,1.053662315541475e-09,2.8685487418776935e-09,4.722916536353394e-11,1.6875691726468432e-07,1.0807675227413066e-09,2.3641453747322175e-10,2.520531981950299e-14,-4.69556403951739e-14,1.9969371555516564e-08,1.8154353160194275e-10,6.968910761020534e-10,-1.565611324727107e-12,7.994222623104502e-14,1.3994683416371282e-06,1.7565188254974874e-11,1.3811317878272917e-11,1.8483562358209154e-10,5.164533292162216e-16
300,8.885369352555916e-08,1.0575972130814975e-09,2.8736717304625343e-09,9.019874461144477e-11,1.6864922943923246e-07,1.0700935945903048e-09,3.3886037591002774e-10,-1.743216579668883e-14,-6.186962730359837e-14,2.0021650360298166e-08,6.916028512414577e-11,6.973987917578671e-10,-1.6777727710539785e-12,-5.4294656621347495e-12,1.4004791683256092e-06,1.010768939147642e-11,-1.1861215715498976e-12,-4.53065169408225e-10,-3.3376402355410443e-16
400,8.882751728664261e-08,1.0552008795889008e-09,2.8748688492177697e-09,1.2269750112434497e-10,1.6850434084290673e-07,1.0674398983230995e-09,4.94760615862435e-10,-1.5918876730890294e-14,-4.7829538222712957e-14,2.014204686025529e-08,9.002595537127585e-12,7.064686495296999e-10,4.7073751928881815e-12,-3.639281815554861e-12,1.4000563356506342e-06,3.07581852959089e-11,2.84507023917013e-12,6.240170695594278e-10,-8.071967988680534e-16
500,8.877499421865035e-08,1.0509433278983684e-09,2.8808027796641355e-09,1.4683925773679648e-10,1.682677135770597e-07,1.0726410785948042e-09,5.961888946834152e-10,4.518001853344367e-15,7.826274725328292e-15,1.9921206791231942e-08,2.1717365042024933e-10,7.007128376581139e-10,1.933112868370115e-12,-3.082700861373949e-12,1.400637739676113e-06,2.07742364818858e-11,-7.746327428618354e-12,-4.4028342092127914e-11,7.47212909768301e-16
600,8.875567903084123e-08,1.0513892582506628e-09,2.8913030595832136e-09,1.7779412893789209e-10,1.6826769584991605e-07,1.0730508876802383e-09,7.642038085608215e-10,-2.575445742134769e-14,4.365574016688026e-15,2.0104229875326e-08,4.056284554720651e-11,7.037180686039824e-10,4.994382458758852e-13,2.265256903077516e-12,1.3999860064829318e-06,3.073266910548798e-11,1.485314810433459e-11,9.451403913023622e-10,-7.793597020615137e-16
700,8.873043510641213e-08,1.057153790328939e-09,2.8869564953240864e-09,2.128062184622219e-10,1.6805416052930006e-07,1.0669581751249566e-09,8.828446646803986e-10,1.8963243306317992e-14,-9.796765057384175e-15,1.9812198889181706e-08,1.855156547820492e-11,6.924308261447891e-10,6.458115830976734e-12,3.531227775038173e-12,1.4007745757128364e-06,1.457761697456562e-11,-4.114342005344461e-14,-2.5179394171021157e-10,9.431437046680046e-16
800,8.870487946890399e-08,1.0445125972984868e-09,2.8786931685554796e-09,2.5727377418788405e-10,1.6792787096647494e-07,1.0737858738522941e-09,9.306186461005423e-10,-2.7136437375032962e-14,-4.549594345956141e-14,2.007110259185515e-08,2.668957935626745e-10,6.957608314693517e-10,-1.779101763448721e-12,5.038203501482845e-12,1.4001359876361128e-06,2.4750796979522065e-11,-1.5592043713415162e-11,2.2887481981765312e-10,-3.69409486502976e-17
900,8.869478587008686e-08,1.0497480782879327e-09,2.890389904269262e-09,2.8177695523200577e-10,1.6782062745977015e-07,1.06304902248959e-09,1.0899854726565687e-09,-2.7879531766662416e-14,3.9858770311711136e-14,1.973182707433444e-08,3.454258149160361e-10,7.000758226081059e-10,-3.940479579532638e-12,-6.4597266653545975e-12,1.3994803923309895e-06,-1.9425359281043616e-11,1.7176394470078378e-11,-2.52962938889424e-10,-3.8584198021734485e-16
1000,8.86350505685364e-08,1.0550930926241476e-09,2.886019556920525e-09,2.9199171455450837e-10,1.677518773053739e-07,1.0646696986996964e-09,1.2004418560640175e-09,3.65597468019223e-14,-4.045981904179434e-14,1.978769474640312e-08,3.2519385011404533e-10,6.977457470603923e-10,7.249557805994464e-12,-2.977342489089976e-12,1.400046749324426e-06,-8.202315482969205e-13,-2.1087208110426487e-12,-3.2978925635820874e-10,2.31680164154171e-16
1100,8.862538396081577e-08,1.0570124448315921e-09,2.881226955630948e-09,3.245271862135115e-10,1.6752122838100502e-07,1.069123042942222e-09,1.3292480812714317e-09,8.280134543654564e-16,-5.713984741650734e-14,1.985199014388648e-08,1.1412442565679485e-10,7.002947336185716e-10,1.0595615940296436e-11,5.360985474709358e-12,1.4008993028845743e-06,1.6613113171822217e-11,1.7063174305426373e-11,3.14265027924269e-11,9.571937146651909e-16
1200,8.85730195652209e-08,1.0485981538201367e-09,2.8900267119662557e-09,3.755470755349796e-10,1.6752229440729523e-07,1.0728765146046538e-09,1.4208864461907842e-09,-1.9766902939124358e-14,2.9230979359413364e-14,1.9447941809588285e-08,2.670943768642578e-10,6.89772238408834e-10,1.3518984556049627e-11,-4.0104893717315623e-14,1.399620201914999e-06,2.943503574884395e-11,-9.768393183910841e-12,3.0723825625218554e-10,3.485643629766612e-16
1300,8.85217796319828e-08,1.0496926546798723e-09,2.8694909423877e-09,4.0182969717891624e-10,1.6734710577580918e-07,1.0696116791335079e-09,1.5249438357423186e-09,-6.722013085501033e-15,3.490780783912942e-14,1.9458888324660105e-08,5.621280231215945e-10,6.975636168844552e-10,1.260226752814942e-11,4.0920402414865995e-12,1.399319321590706e-06,1.008082611547539e-11,-7.762876623917687e-12,-3.135497748604338e-10,2.5089425096688487e-16
1400,8.851036000459756e-08,1.0519552624076437e-09,2.881273908510057e-09,4.3587964318354143e-10,1.672239932014858e-07,1.0722171551664195e-09,1.700330296883839e-09,-2.4558695822443613e-14,2.3049142437616763e-14,1.9626752577698964e-08,6.275184340787448e-10,6.947017908825514e-10,4.7433769940904874e-12,6.663064781217785e-12,1.3997153117540324e-06,-1.9586860100149694e-12,9.327228822567267e-12,7.353286518325947e-11,-2.7575524672854456e-16
1500,8.84666896732625e-08,1.0468327408633299e-09,2.877160046524902e-09,4.579939972301762e-10,1.670900961302015e-07,1.0604408368217565e-09,1.7815883597647142e-09,-2.8222028007458395e-14,2.5051615214433445e-14,1.925114587160008e-08,4.244651907458944e-10,6.884063323931563e-10,1.6525727276790177e-11,-3.724054655185597e-12,1.3996714212720487e-06,1.488189792887082e-11,1.8992138805837734e-11,-1.5906267857849362e-10,9.393296542692514e-16
1600,8.84411899724425e-08,1.046028388771282e-09,2.890215968979685e-09,5.329317575096079e-10,1.6706322752414096e-07,1.0670765374774311e-09,1.9572682178497503e-09,-2.4119373985264853e-14,-1.2215515167217196e-14,1.9216946197327765e-08,6.783831662665971e-10,6.914393020284859e-10,1.558057322240738e-11,-6.832133535504522e-12,1.4003615980531215e-06,1.293800456978642e-11,1.608019390452046e-11,7.454434486937276e-10,3.816615285862274e-16
1700,8.843278994403427e-08,1.0439591563390456e-09,2.8927003211481092e-09,5.321015660627552e-10,1.6676450561329971e-07,1.0639069196777133e-09,2.0447541816920525e-09,1.3744592784233894e-14,2.3396250928179964e-15,1.919902442479569e-08,6.931691113356466e-10,6.920417054782526e-10,1.346572435490646e-11,-4.828820372096967e-12,1.3987962847831234e-06,4.429991882182959e-11,2.672288590445631e-11,-2.5851614390482165e-10,-5.967704443526216e-16
1800,8.840179414513976e-08,1.0454846390642544e-09,2.893857589392762e-09,6.005710555040168e-10,1.6666062390588844e-07,1.0717958818609527e-09,2.143863277027278e-09,4.643592794736586e-14,5.306311566414349e-14,1.907169418808928e-08,6.552337849314133e-10,6.808469071006139e-10,1.9202401001813596e-11,-7.702132734513493e-14,1.3993183914843707e-06,4.616992172020086e-11,3.3660898034093985e-11,6.589408129223235e-12,-4.095243071156216e-16
1900,8.834487012519272e-08,1.0458002472112672e-09,2.8907734396120684e-09,6.275323017215789e-10,1.6658326507436887e-07,1.0712483347691204e-09,2.24599046858221e-09,3.3687833635083136e-14,9.057388001798489e-14,1.9172621661326956e-08,7.282011333598631e-10,6.879396529976841e-10,2.4362306822716258e-11,3.040431120037651e-12,1.3995086138235207e-06,4.519847779492181e-11,4.675693542903958e-11,6.076740439917706e-11,-1.2303703994851778e-15
2000,8.829298343328675e-08,1.0467394757259805e-09,2.8850916598580653e-09,6.480336552785964e-10,1.664648544761585e-07,1.0601666399715423e-09,2.3691761394667924e-09,1.4641715739620376e-14,4.8846725657174604e-14,1.905845357230041e-08,9.083862523182512e-10,6.783909297415319e-10,2.768753383331775e-11,5.706037128452116e-12,1.398830345170422e-06,4.2246262242918244e-11,5.294646289815867e-11,2.901504591597933e-10,2.7143865694515545e-16
2100,8.82849698911089e-08,1.0520034551316411e-09,2.8800970944083074e-09,6.797683341184374e-10,1.6627449367130682e-07,1.064326977476747e-09,2.4697967183647584e-09,1.4187390586638897e-14,-5.316685398747428e-15,1.9029268444259127e-08,1.0600509749684273e-09,6.704586338499537e-10,2.26666029873566e-11,-5.020670369573196e-12,1.3987901345374895e-06,9.235400986184521e-11,4.211671936356716e-11,2.520244035806503e-10,-2.9621127516856074e-16
2200,8.824473807025806e-08,1.048776019199346e-09,2.8927763169920646e-09,7.055220888777773e-10,1.6620841782631328e-07,1.0704112773401746e-09,2.594941363003605e-09,3.667915758152266e-14,4.081634084670544e-14,1.865991598275224e-08,1.181810128493224e-09,6.793635638593912e-10,2.2255693676142807e-11,1.592117714929163e-12,1.399509607570809e-06,5.5791150663720037e-11,7.361792233465621e-11,1.6167049718253922e-09,-1.5056930545469854e-15
2300,8.822129803068396e-08,1.0456325173615214e-09,2.885742241317915e-09,7.603364217674883e-10,1.6614426809180874e-07,1.0560096603356448e-09,2.6109266313464803e-09,1.3063755205393211e-14,1.3074038006357864e-13,1.8479090765921766e-08,1.2231129301368828e-09,6.686935043174395e-10,3.3750272965936886e-11,-4.289464439886834e-12,1.3978278169451116e-06,8.965195350119198e-11,9.483444966383961e-11,9.175915818516023e-10,-1.3044525243687766e-16
2400,8.816918360799878e-08,1.0555739849582418e-09,2.9019741336577555e-09,7.939519744885113e-10,1.6591328779051284e-07,1.0588155267367855e-09,2.6963905296326873e-09,6.247143038949355e-14,8.054111622923419e-14,1.842964266633786e-08,1.3834776189880256e-09,6.636609664314604e-10,3.387021172384132e-11,-1.5641769090331036e-13,1.398558278900495e-06,1.0127653751666437e-10,8.815430734835193e-11,1.3159120997446966e-09,-1.1549068728318555e-15
2500,8.815456043536284e-08,1.0475085809030427e-09,2.8881736502261908e-09,8.354718302984503e-10,1.6594881924152713e-07,1.0686245724772126e-09,2.853967997626617e-09,4.35521167444538e-14,1.0911063400144258e-13,1.8300688286500708e-08,1.64722079356091e-09,6.597512565859376e-10,3.4873679434358894e-11,-5.8985183560170964e-12,1.3973636602723735e-06,1.691440713003505e-10,9.45957143072938e-11,2.7670902429526547e-09,-1.4648909590339894e-15
