miliseconds,IX,IX_TF_VIIa,TF_VIIa,IXa,X,X_TF_VIIa,Xa,VIIIa_IXa,X_VIIIa_IXa,V,Va,VIII,VIIIa,IIa,II,II_Va_Xa,Va_Xa,mIIa,I
0,8.999831875796853e-08,6.596320655111133e-12,5.004937463504777e-09,1.719089843681461e-11,1.6993774401341358e-07,-1.3735810521398984e-12,-6.579680719817133e-12,-5.323306933851714e-15,-1.9799407475723103e-14,2.0225925816095927e-08,-8.817402669785899e-11,6.931959750644808e-10,3.753577462909718e-12,-5.5343194030999044e-12,1.400196629502935e-06,-1.5925716579525573e-11,-1.492999363468864e-12,-7.403842166144527e-10,3.9879756779189543e-16
100,8.897044039551535e-08,1.0088634057655916e-09,2.88861050791668e-09,1.0455248303798613e-11,1.687754698128813e-07,1.0920971389027539e-09,1.6125271559520167e-10,2.7511815391294884e-14,3.539950419564757e-14,2.0019187566570133e-08,9.602014011452242e-13,6.999503262788879e-10,-1.2574024563339825e-12,1.962387751895695e-12,1.399222139785292e-06,2.2855764775241082e-11,-2.546498151479098e-13,-6.79612654586704e-10,9.24747365722281e-16
200,8.889451742346656e-08,1.0529049583154443e-09,2.88811427940723e-09,3.2147455311006176e-11,1.6874334529256018e-07,1.0769632170675521e-09,1.8775834963719013e-10,-3.2704232563076075e-14,1.665410567384055e-15,2.0026270332020607e-08,1.0977762019919444e-10,7.052752734717553e-10,-8.947273340182343e-13,-3.881125037889157e-12,1.4008596832877773e-06,-1.0027224491445895e-11,4.36756566440403e-12,-8.202847318530631e-11,-8.536050054079468e-16
300,8.885125035316165e-08,1.057244559600651e-09,2.884803450934118e-09,1.0204235383846461e-10,1.6865156762968584e-07,1.076350097575017e-09,3.8436360306058105e-10,1.0078696067988e-15,-4.1485592457470656e-14,1.9840602387775552e-08,1.8629528359410577e-10,6.968095361677726e-10,3.6970226029855956e-12,4.268546316510005e-13,1.3998831388585606e-06,2.417933543370007e-11,-2.7434778269153843e-12,-8.651369555813271e-10,4.247914158813623e-16
400,8.88302051024164e-08,1.0488950502330937e-09,2.884973797129398e-09,1.0733237202282057e-10,1.6839650920413816e-07,1.0786313026796491e-09,4.4372682264268265e-10,-8.330616349980552e-15,-2.569031613582939e-14,1.979907422616015e-08,-8.138186917484412e-11,6.935408543195134e-10,1.879570458394787e-12,-4.752570707100785e-12,1.4002758919697598e-06,8.700127836461439e-12,-5.341419683749451e-13,2.2046771471185918e-10,-6.237733910599688e-16
500,8.878134534949973e-08,1.0473674414723573e-09,2.869632371454569e-09,1.6799494616752928e-10,1.68365026252866e-07,1.0666542219677533e-09,6.203261459238005e-10,1.55864101810237e-14,2.0363624544906868e-14,2.0032962301366527e-08,1.9739726042547602e-10,7.001965224071591e-10,-4.282916573775353e-12,3.87590858780038e-12,1.3991886734661053e-06,2.593093159206621e-11,1.4236207001002952e-11,6.366462239520741e-10,-1.374672817655809e-16
600,8.875137316824066e-08,1.0474268255874242e-09,2.862828366321457e-09,1.610953724735383e-10,1.681236381066958e-07,1.0766033080959897e-09,7.231591086336733e-10,2.987619203757086e-14,-4.3152313640805206e-15,1.981326882627346e-08,8.616753715823388e-11,7.010105811268871e-10,1.1945806489633435e-12,-4.162254620735333e-12,1.399940949537784e-06,3.0117872011849215e-11,9.833782387282855e-12,1.914537041649533e-10,-4.3169177472870817e-16
700,8.872865434444428e-08,1.0507307133546632e-09,2.8859506197421875e-09,2.029421026344079e-10,1.680109816566781e-07,1.0719121542629087e-09,8.298424830953157e-10,2.7641267678443693e-14,9.023422286049654e-15,2.005978178229772e-08,1.1186634201325208e-10,6.972744433810016e-10,1.160364318271018e-12,8.719446550142178e-13,1.400415586636126e-06,2.4206105287398043e-11,8.170247224801069e-12,-4.610205469826646e-10,-7.403581557173428e-16
800,8.869368255059058e-08,1.0525671166244221e-09,2.888564280598018e-09,2.443362953439435e-10,1.679554515803894e-07,1.0755649162132918e-09,9.389198862462017e-10,-1.0312119490310848e-15,-1.4464973043286817e-14,1.9790633855238057e-08,4.2575313676819584e-11,6.906258503471785e-10,-3.170426884085194e-12,4.006541586468561e-13,1.4002893322549417e-06,1.962889291161716e-11,8.65323505949756e-12,5.530403454448004e-10,9.994496136993938e-16
900,8.867206748719745e-08,1.0551542505056457e-09,2.876320757641277e-09,3.0258314358902173e-10,1.6787010425902634e-07,1.0756620433928566e-09,1.1332544033671933e-09,7.005061725367552e-15,-9.860450590013615e-15,1.9807836157066724e-08,3.2599221671271315e-10,6.950730184074903e-10,5.79694523166521e-12,-5.990039822193143e-12,1.4001140634581034e-06,-9.371764784546896e-12,-8.775921560148324e-12,-4.652107533261528e-10,5.640655886552772e-16
1000,8.865483420764192e-08,1.048375231493802e-09,2.874128698832131e-09,3.290922065703686e-10,1.6775956064061754e-07,1.0741808955692838e-09,1.1914102888304675e-09,2.7383730679946237e-14,-1.2898639861707028e-14,1.9914274424029945e-08,2.989392386209438e-10,6.992047386313656e-10,2.5740433107712754e-12,3.834941348547926e-12,1.4002449428697732e-06,-1.1792638419872171e-11,-1.7525604569445262e-11,4.044103516509607e-10,3.394978447132498e-16
1100,8.862295101512054e-08,1.0526704495305303e-09,2.8789163884305944e-09,3.5118021355708273e-10,1.6750269043970677e-07,1.0695158122873192e-09,1.355638933636004e-09,-1.5269663330824808e-14,-4.194100417310492e-14,1.987262287713215e-08,4.525128285826451e-10,6.980361269030923e-10,1.226370366522904e-11,-6.770084105752022e-12,1.400444081132016e-06,1.2578043326060558e-11,1.944521386959808e-11,-7.207642799816396e-10,-2.2426363376518237e-16
1200,8.855608508536865e-08,1.0448057591078896e-09,2.868246984762569e-09,4.0066460583540096e-10,1.6748124864250436e-07,1.0701817363239618e-09,1.4105377927073721e-09,3.724450997560935e-14,1.712616031143603e-14,1.9433825715027585e-08,3.2567035084685477e-10,7.000419894420173e-10,9.40992772444348e-13,2.0667955651441207e-12,1.4003011676052072e-06,3.5290800996971426e-11,1.4449371220146883e-11,-5.197322251495563e-10,-2.888841568454469e-16
1300,8.853971902076673e-08,1.045388892741136e-09,2.8709889074468493e-09,4.1450378156063303e-10,1.6740160588302666e-07,1.0688676522848558e-09,1.5854541869400895e-09,-2.346572692581141e-15,-2.3068047493781527e-14,1.9776006008085687e-08,4.687394288973018e-10,6.855593012553751e-10,9.774986259078037e-12,-7.377795769112072e-13,1.3989881370824791e-06,-1.8483085455663405e-11,2.4557705952449184e-11,4.3402329739926075e-10,-1.868004029208117e-16
1400,8.850358071672007e-08,1.0474612761166947e-09,2.8954164017112295e-09,4.2013124109490446e-10,1.6715978527398412e-07,1.074577119765622e-09,1.6475511068668646e-09,9.929719321910822e-15,2.4160281114665938e-14,1.9446678400676388e-08,4.1492204047084613e-10,6.839483032417053e-10,1.597575293820979e-11,-6.5165324056820746e-12,1.3998962586996072e-06,-1.4516987876633287e-11,1.9839113946759895e-12,4.4573391590389855e-11,2.743281667783007e-16
1500,8.849334453512443e-08,1.0506281684498592e-09,2.889216408607933e-09,4.821009615189577e-10,1.6704017144905177e-07,1.0672553642333039e-09,1.7628111492906622e-09,1.4907515536249293e-14,-3.6631789110910187e-14,1.9227177895629697e-08,6.13187543158778e-10,6.89374750533657e-10,1.0946013667559181e-11,1.1289765980477982e-12,1.400312720455038e-06,1.6218741351915594e-11,3.211424877909642e-11,5.743083284760428e-10,4.249759106226054e-16
1600,8.84135451176269e-08,1.0439706907599226e-09,2.886159199502258e-09,5.045355265331541e-10,1.6701502250739377e-07,1.0655194451729293e-09,1.9585141381685182e-09,-1.6483169178949894e-14,-1.4078428632540451e-14,1.920272802958891e-08,4.611382198603224e-10,6.878933776673727e-10,1.4946851665066184e-11,4.816902916593105e-12,1.4003334717307715e-06,1.6525368262355157e-11,1.039185048429397e-11,1.7977143857246113e-10,8.457529825724745e-18
1700,8.83940055874881e-08,1.0493906317599956e-09,2.8807930116916235e-09,5.295274494823075e-10,1.6679037003106921e-07,1.0639877458444808e-09,2.040782095476265e-09,2.2983341465079792e-14,2.1882973075653315e-14,1.933901816284745e-08,5.172295275419664e-10,6.827088822957221e-10,1.455049122056111e-11,2.9992231688673165e-12,1.3992180041696314e-06,1.4220387395642352e-11,2.360761170149957e-11,-4.5707766123669954e-10,-1.1475728006354002e-15
1800,8.839344703154949e-08,1.0494521464997286e-09,2.8869036760819063e-09,5.882580107867474e-10,1.6680760065900135e-07,1.0712157873357623e-09,2.1864171573668353e-09,-1.846134955187026e-14,2.08205761928918e-14,1.914232766080998e-08,6.120377379338148e-10,6.835022507528724e-10,9.673064829352156e-12,2.325601492359713e-12,1.4001558231635503e-06,4.5178941004021664e-11,3.8806842895132924e-11,1.1001381887019906e-09,3.3248150667892005e-16
1900,8.832185331876792e-08,1.0558276544503878e-09,2.891696953092504e-09,6.119816929897492e-10,1.6651884489400823e-07,1.0611518436112298e-09,2.2265638921406946e-09,4.929182342045274e-14,8.466248385949967e-14,1.9086031334834982e-08,8.540505596065578e-10,6.785559448769808e-10,1.3806323362960971e-11,-6.6622229291187075e-12,1.4002837477791172e-06,5.323375345454283e-11,5.619437356470417e-11,1.0970331682169211e-09,-8.568843978283315e-16
2000,8.831645943867413e-08,1.0547716924727743e-09,2.8878245390505576e-09,6.522004542708046e-10,1.6646152325987528e-07,1.0587216091929656e-09,2.315925198441101e-09,3.924150385023804e-14,-9.170918240582955e-15,1.8945650731252034e-08,9.278413232642655e-10,6.80523757674404e-10,2.2835375279151334e-11,4.794883650621336e-12,1.3987915409824283e-06,3.5509945091759885e-11,4.927355930128014e-11,7.300875665827604e-10,-5.344390389736151e-16
2100,8.827143497657509e-08,1.0498195189250893e-09,2.882361239510339e-09,6.910818027598589e-10,1.663706622741265e-07,1.0667892978188155e-09,2.4259036488432495e-09,5.5760407547534435e-14,-3.5055963090152506e-15,1.8995288890476087e-08,1.2092725072738424e-09,6.842263599712513e-10,1.7352937516748045e-11,4.927808196030433e-12,1.3996974968833528e-06,4.305856217339421e-11,6.369327673630855e-11,8.553574522768425e-10,-1.3935268923927551e-15
