milliseconds,susceptible,exposed,asymptomatic,symptomatic,detected,recovered,deceased,detected_cumulative
0,14367982.0,441.0,188.0,212.0,1.0,0.0,0.0,1.0
100,14367969.006981513,445.46924028863646,189.6227072887647,212.68860256725733,1.2773612064124797,5.614886366802644,0.320220771673369,1.2866613275743326
200,14367955.949575996,449.91712118132955,191.2654663520811,213.40823113007923,1.5534130139412037,11.264279689364495,0.6419126400546276,1.5742730795597808
300,14367942.82606314,454.34575439174876,192.92780422491572,214.15817336239922,1.828207362286998,16.948877794175942,0.9651197281168236,1.8628767013974705
400,14367929.634769104,458.75715877295346,194.6092787372495,214.9377540163308,2.101794585578638,22.66935977488692,1.2898850115283276,2.152512524670913
500,14367916.374041175,463.1533107257475,196.3094617784013,215.7463148560579,2.374224276625001,28.426396248617813,1.616250942858877,2.443220371798279
600,14367903.042271035,467.5360955650037,198.02795576175538,216.58323430120086,2.6455444664478156,34.2206399942331,1.9442588786113002,2.7350389971237146
700,14367889.637910662,471.9072752127593,199.76440425339644,217.44794049159637,2.9158010421700826,40.05271965908572,2.273948681901736,3.0280056974794123
800,14367876.159374742,476.2686878237682,201.51842537359184,218.3398308782059,3.1850412105796764,45.92327883568049,2.6053611384067503,3.3221586694208622
900,14367862.605196014,480.62192787127054,203.2897185953131,219.2584014609005,3.45330792438558,51.83291403400175,2.938534103662332,3.617533243002005
1000,14367848.973852674,484.9687025577641,205.0779457596624,220.20310261856739,3.720646107174334,57.782243497895585,3.2735067876016486,3.914166073898916
1100,14367835.26390208,489.3105531567165,206.88282418612377,221.1734522790237,3.9870977584592646,63.77185411498899,3.6103164275017554,4.212091879449184
1200,14367821.473921083,493.64898063230305,208.70408465318283,222.16898468260007,4.2527041733666735,69.80232500157524,3.9489997764759464,4.511344903134762
1300,14367807.602504283,497.98544725848205,210.54147093748966,223.1892500691012,4.517505951534353,75.87422836156027,4.289593141194821,4.811958944977361
1400,14367793.648279337,502.3213430733014,212.39475108446996,224.23382858000565,4.781542391736011,81.98812353926503,4.632131996049969,5.11396697766938
1500,14367779.609892981,506.65801799899793,214.26370657082106,225.3023166998615,5.044852086598464,88.14456232287549,4.976651340109598,5.417401506625627
1600,14367765.485971658,510.99685123502996,216.14810966415388,226.39430119852392,5.307474025793579,94.34410557769596,5.3231866422235505,5.722295456410384
1700,14367751.275226107,515.3390581904248,218.0477868245731,227.50943337974414,5.5694444277626936,100.58727976578024,5.6717713051521415,6.0286797627697934
1800,14367736.976380765,519.6858214081182,219.96257568393386,228.6473786186135,5.830798894575796,106.87460625112698,6.022438379182867,6.336585001788714
