milliseconds,C_PCC,P_PSC,E_CD8,N_Killer,H_T_Helper,R_T_Regulatory
0,1000000000.0,5600000.0,873600000.0,481600000.0,2116800000.0,158760000.0
100,1001083311.4228904,5658622.274748464,870803351.7298814,481100074.11719406,2114166217.7687204,158537121.46196324
200,1002168708.9695765,5717842.883525058,868017332.171183,480600397.6698618,2111539119.1250362,158314615.36349103
300,1003256238.0491192,5777680.0595742585,865242109.259861,480100976.6867315,2108918817.1421988,158092488.92882144
400,1004345902.9300605,5838140.459656122,862477639.8545882,479601812.2850407,2106305292.3149104,157870742.01032197
500,1005437707.5710828,5899230.942183064,859723876.543782,479102905.5659068,2103698522.7314086,157649374.3620507
600,1006531654.1467463,5960955.593857565,856980790.269244,478604257.1578471,2101098494.7781146,157428385.80111405
700,1007627746.6722442,6023322.046710814,854248326.5209454,478105868.22840226,2098505182.8729603,157207775.9766122
800,1008725987.953267,6086335.671362707,851526447.7497338,477607739.58289015,2095918569.3696244,156987544.64422125
900,1009826381.814335,6150003.975680629,848815101.1763749,477109872.3304026,2093338629.3689587,156767691.44415927
1000,1010928931.5295048,6214333.383363211,846114242.6804398,476612267.4051036,2090765342.0505447,156548216.07670346
1100,1012033640.6641418,6279331.012096015,843423823.6842507,476114925.8241418,2088198684.4260714,156329118.20174333
1200,1013140512.5962735,6345003.754623428,840743799.5226761,475617848.5220839,2085638635.2680578,156110397.49608046
1300,1014249550.7677943,6411358.571796452,838074124.1669033,475121036.4626308,2083085172.7395585,155892053.63119107
1400,1015360758.6446857,6478402.302960939,835414750.5622023,474624490.63729,2080538274.6165502,155674086.28409702
1500,1016474139.5662978,6546142.556275448,832765639.1257057,474128211.8548551,2077997921.6400764,155456495.11207315
1600,1017589696.9625381,6614586.3822722705,830126744.8060964,473632201.05698234,2075464092.3747885,155239279.78594953
1700,1018707434.3116398,6683740.533908885,827498019.6338431,473136459.2562293,2072936764.2239146,155022439.98378986
1800,1019827355.0571768,6753611.977561661,824879417.7323403,472640987.41430354,2070415915.423648,154805975.3784699
1900,1020949462.6427236,6824207.679606967,822270893.224983,472145786.4929126,2067901524.210183,154589885.6428654
2000,1022073760.4703043,6895536.085616121,819672409.7642746,471650857.2175556,2065393572.4924254,154374170.41079673
2100,1023200251.9748217,6967605.39357711,817083928.7583451,471156200.36843395,2062892041.2904596,154158829.32221696
2200,1024328940.6521063,7040421.827752457,814505398.7629528,470661817.0441384,2060396906.6657689,153943862.0691062
2300,1025459829.970889,7113992.636605083,811936774.8900237,470167708.1806844,2057908147.2051842,153729268.31637627
2400,1026592923.4065855,7188325.055799887,809378012.010581,469673874.7198318,2055425741.3968823,153515047.72917846
2500,1027728224.4412962,7263426.308203753,806829064.7547451,469180317.609085,2052949667.630385,153301199.9729032
2600,1028865736.5607305,7339305.647739439,804289898.9274015,468687037.51512694,2050479908.5460093,153087724.6594834
2700,1030005463.2584078,7415971.567753651,801760475.9159203,468194035.21522987,2048016445.094099,152874621.42073715
2800,1031147408.0373367,7493430.685746473,799240746.4609634,467701311.75362533,2045559254.1616585,152661889.9376684
2900,1032291574.4053979,7571690.810652408,796730667.7883667,467208868.01144576,2043108315.09972,152449529.85988244
3000,1033437965.8770713,7650759.795663954,794230197.2017416,466716704.86756825,2040663607.2820795,152237540.83572468
3100,1034586585.9734355,7730645.538231605,791739292.0824752,466224823.1986145,2038225110.1052976,152025922.51228097
3200,1035737438.2404735,7811357.255983142,789257915.8292103,465733223.72768664,2035792805.25293,151814674.50621298
3300,1036890526.2201765,7892903.472627459,786786028.4821084,465241907.26314473,2033366673.121337,151603796.44979557
3400,1038045853.4498836,7975291.971869437,784323586.5083199,464750874.70406985,2030946692.7379003,151393287.9919702
3500,1039203423.4822124,8058531.186666081,781870549.2690547,464260126.8755638,2028532844.226382,151183148.7665899
3600,1040363239.8768452,8142629.626703757,779426876.3544544,463769664.59662354,2026125107.7909312,150973378.40550575
3700,1041525306.2005293,8227595.878398193,776992527.5835925,463279488.68014103,2023723463.7160845,150763976.5385669
3800,1042689626.0397955,8313438.926681006,774567463.2228233,462789599.9252393,2021327892.4837396,150554942.7942558
3900,1043856202.9786457,8400167.590495365,772151643.6027358,462299999.1307173,2018938374.5679517,150346276.7985738
4000,1045025040.6034827,8487790.647507042,769745029.2027775,461810687.0920793,2016554890.4802644,150137978.17528737
4100,1046196142.5125624,8576317.073260982,767347580.8135338,461321664.59583944,2014177420.8566496,149930046.5464002
4200,1047369512.3114985,8665755.927441677,764959259.4595503,460832932.4222303,2011805946.4161603,149722481.53192863
4300,1048545153.6132624,8756116.35387316,762580026.3993323,460344491.3452031,2009440447.96093,149515282.7499017
4400,1049723070.0415418,8847407.520087108,760209841.3096385,459856342.1767774,2007080905.7393537,149308449.8292492
4500,1050903265.224346,8939638.732382368,757848665.742502,459368485.6826012,2004727300.6585627,149101982.38526326
4600,1052085742.7965204,9032819.39058767,755496461.7660532,458880922.6151495,2002379613.8077242,148895880.02924633
4700,1053270506.4012525,9126958.960951863,753153191.1499938,458393653.7336198,2000037826.172362,148690142.37429225
4800,1054457559.6891584,9222066.992595674,750818815.8598975,457906679.7918586,1997701918.8077226,148484769.03177807
4900,1055646906.3182822,9318153.117511714,748493298.0572106,457420001.53836125,1995371872.838775,148279759.61136374
5000,1056838549.9528471,9415227.226330098,746176597.777381,456933619.77311444,1993047668.7007072,148075113.7436517
