miliseconds,E,E_P_1,P,M,M1,E_M1,E_M,T,E_P_2,P2,P21,E_P21,E_P2,E_P1
0,0.00014961747802999382,-1.3702860324981105e-07,0.9996790699175878,-0.00019372176433419768,2.5554930221108888e-11,4.167180359047758e-16,2.068476088940967e-08,2.707535840819781e-06,-4.539856157822406e-08,-4.820162772648834e-06,1.2931916787750912e-14,-1.7771712077513097e-25,1.427740493395098e-10,0.0
100,7.913308356390554e-05,6.31327179389839e-05,0.9992102206539661,0.0005074189091356108,-1.0318087905228692e-11,8.592080323752598e-16,3.7170371611757665e-08,7.939155698960968e-06,7.5687751493782254e-06,2.708360245920929e-05,-1.4209667063100441e-14,-1.3246558701605343e-25,2.4265197267034516e-10,0.0
200,7.950270772031054e-05,6.271570790304248e-05,0.998507366683715,0.0008723876477526974,1.1115835131250754e-11,-1.889478201096033e-15,3.74421939858944e-08,8.754774668915236e-06,7.512703313737423e-06,5.185888924398476e-05,3.625449214826253e-14,-1.175912174673869e-26,3.9154230004300707e-10,0.0
300,7.937952134095948e-05,6.266182203170509e-05,0.9985096860528773,0.0013353473014197275,-1.837493283311009e-11,1.173741369580667e-15,6.89313763975314e-08,9.659904806699942e-06,7.518302470746453e-06,7.197377053659614e-05,3.885448093428184e-14,-6.2662084853350094e-27,5.51139098079921e-10,0.0
400,7.930273065758438e-05,6.272837880131466e-05,0.9979839359611803,0.0023114833284140603,1.5366006446931148e-11,1.5804319537242107e-15,1.3117559332735797e-07,-4.377582395446467e-06,7.589975933951762e-06,0.00011066526271104687,-1.200965051986833e-14,2.1138802838611958e-26,6.45736119088846e-10,0.0
500,7.89606825577421e-05,6.25758693714735e-05,0.9969028613696291,0.0025786537976048907,5.003968566886337e-13,9.231315429019276e-17,1.3648473500676847e-07,4.717830885318497e-06,7.573372299948711e-06,0.00010700202459839346,4.9152729040955644e-14,1.4912297845244501e-25,9.395574111288084e-10,0.0
600,7.986121422773673e-05,6.232468442157114e-05,0.9965585280305825,0.0031565873942748612,1.1912488423296013e-11,3.539305760567049e-17,1.6482892547818183e-07,1.3639947056942284e-05,7.569635234540267e-06,0.0001528170138637718,-2.4674697199754845e-15,-1.2574509669643959e-25,1.1980811132678672e-09,0.0
700,7.968754611218474e-05,6.237294130747038e-05,0.9964513916026164,0.003520409467073325,3.1173785163236e-11,5.212403569371091e-15,1.9403481868253497e-07,2.5936292032792266e-05,7.498558290512371e-06,0.00016422397309703908,7.111637136589206e-14,-3.431890387414515e-26,1.387252882849699e-09,0.0
800,7.931004904398914e-05,6.268853698303193e-05,0.9953391917236771,0.003971162407448988,7.616411653467273e-11,2.7839883955270877e-15,2.1989350344695382e-07,2.938197154000966e-05,7.496545469408018e-06,0.00018878366556840934,3.003114576898222e-14,1.844206537989357e-25,1.612583051443073e-09,0.0
900,7.965901014731516e-05,6.2480638590372e-05,0.9953047790183415,0.004336493643147109,7.124037091817766e-11,3.440972693183531e-15,2.6914817228734945e-07,3.0613164371360354e-05,7.486031327889822e-06,0.00023111949399043285,6.474986389365032e-14,3.046492497188688e-25,1.6991492094191638e-09,0.0
1000,7.911975867210355e-05,6.256080395848373e-05,0.9946559892568599,0.00515989371140956,1.0791847649477845e-10,7.83610802882684e-15,2.858913702424954e-07,3.616793111227285e-05,7.560023481149282e-06,0.0002551961768982633,1.1130851965147376e-13,-5.441214011316111e-26,2.0983757152168603e-09,0.0
1100,7.919717787590066e-05,6.277018802100661e-05,0.9941549440066444,0.005339306948960394,1.187980629953007e-10,5.091569368136274e-15,3.092858681671163e-07,4.676634193548284e-05,7.488808051857524e-06,0.0002639993282382827,1.1670414549375334e-13,3.535585990712321e-25,2.4044263612382617e-09,0.0
1200,7.923442845823395e-05,6.281480536463285e-05,0.9937973954057553,0.006393082751199744,9.153917107435189e-11,6.565478053281561e-15,3.662106999545851e-07,4.352589452238845e-05,7.515642317111254e-06,0.0003017010138852151,1.4911536408541958e-13,3.831370814746041e-25,2.4422924232181245e-09,0.0
1300,7.916936333641136e-05,6.217565796836497e-05,0.992929043063562,0.006691822668965879,1.609097962987861e-10,1.0058386862339669e-14,3.8663516492599347e-07,5.880062143403785e-05,7.4813937870676615e-06,0.0003083029992667659,1.5638854072656741e-13,5.75807382968729e-25,2.5527847330109706e-09,0.0
1400,7.888634013826658e-05,6.226889104675615e-05,0.9925393398007638,0.006936713304496477,1.295508132766947e-10,1.0530461909221641e-14,3.983256608350092e-07,5.792714134207514e-05,7.531853389664528e-06,0.0003251482741275465,1.8839367621888337e-13,2.722888858115986e-25,2.8772133777790064e-09,0.0
1500,7.930625356820459e-05,6.200380279759679e-05,0.9919787347537641,0.007734278215598022,1.90268755326322e-10,1.1638795254346099e-14,4.258348680127702e-07,6.23555622347257e-05,7.5222659637381e-06,0.0003700399127110827,1.7490128903544823e-13,3.3051183091319686e-25,3.1581773535759555e-09,0.0
1600,7.961775157105403e-05,6.247370250606873e-05,0.9913987239620661,0.00836782594232363,2.0929268719442365e-10,1.5083869416392376e-14,4.799197438943161e-07,8.253588303493242e-05,7.515523894583638e-06,0.0003977748515271193,2.0346010469506457e-13,3.483299045319291e-25,3.3332874025523106e-09,0.0
1700,7.911363583477879e-05,6.19737228246755e-05,0.9910328035892447,0.008515204123479666,2.25313861575357e-10,1.6974421758719497e-14,5.038596897054464e-07,9.967292459559044e-05,7.484355586642463e-06,0.00042682448070880904,2.2480625421629194e-13,8.357342024607153e-25,3.457255389589968e-09,0.0
1800,7.942066724304126e-05,6.247052876268116e-05,0.9901236160483388,0.009235769977964063,2.7905802090166335e-10,2.1552638024938776e-14,5.284859687137295e-07,0.00010145013637764977,7.534796347721643e-06,0.0004384061083927718,3.034403422454567e-13,1.0511419702934744e-24,3.6205734823363152e-09,0.0
1900,7.880681529509111e-05,6.223579894746902e-05,0.9894954164522749,0.009825222996784646,2.7656483355124967e-10,2.3140602590738453e-14,5.502753303508835e-07,0.00012200329711665191,7.471728491644346e-06,0.0004418757348434756,3.2235636975017407e-13,1.2538957240315276e-24,4.096027009132463e-09,0.0
2000,7.925631192022069e-05,6.223751943969377e-05,0.9889198065375315,0.009886710387656638,3.257679933488145e-10,2.556937132616586e-14,5.727523703548177e-07,0.00011804690705061447,7.5111266104824544e-06,0.00047798189360723426,3.726450715034726e-13,1.0683798750098907e-24,4.183810273766346e-09,0.0
2100,7.958135708422746e-05,6.250155117338856e-05,0.9887802789000109,0.010561896246661597,3.6533386711103644e-10,2.877916000950752e-14,5.906409339329725e-07,0.00012514725544293483,7.436266610664975e-06,0.0005182388956279391,3.7476971444399027e-13,1.679907849125966e-24,4.297471931576597e-09,0.0
2200,7.892990688850844e-05,6.224193579208154e-05,0.9882506168260795,0.010919868412338796,3.8786754193860217e-10,2.763624212574547e-14,6.262235053552034e-07,0.0001580617617338844,7.446577691586142e-06,0.0005388898854978761,4.4424235557026027e-13,1.4081528987871749e-24,4.6024040688355645e-09,0.0
2300,7.928582966122374e-05,6.231263660986688e-05,0.9876579912575612,0.011588478853732789,4.1136721267876923e-10,3.47952064438846e-14,6.532254073780625e-07,0.00017060195658357924,7.475884986399857e-06,0.0005679385181757581,4.678037985758705e-13,2.0571230268185743e-24,4.739941169365605e-09,0.0
2400,7.928848687871522e-05,6.196183528712312e-05,0.9867422164968984,0.0123542488297307,4.747315062809717e-10,3.34145848907113e-14,7.108204823020193e-07,0.00018281793506762906,7.465890739901202e-06,0.0005836036142722375,5.147662805435691e-13,1.917590266765184e-24,5.1064107669259275e-09,0.0
2500,7.932619720469603e-05,6.23397889011472e-05,0.9868601940357549,0.01291083449698888,5.159956264375321e-10,3.8068893669938836e-14,7.273529825900816e-07,0.00019803135494801352,7.41544554460436e-06,0.0006069272507874143,5.147579055383892e-13,2.598751310869623e-24,5.203336653135204e-09,0.0
2600,7.902625633508343e-05,6.208207166955361e-05,0.9859532178278974,0.013407666417902898,5.217559508465881e-10,3.937512859670282e-14,7.403135176402784e-07,0.0002002131179193037,7.484513950128388e-06,0.0006267324217418441,6.098276405597457e-13,2.8989915602896656e-24,5.37772959294528e-09,0.0
