milliseconds,E,E_P_1,P,M,M1,E_M1,E_M,T,E_P_2,P2,P21,E_P21,E_P2,E_P1
0,0.00014967960809849008,1.3497325448352124e-07,1.000318109092974,0.00020445411841803728,6.283972747391678e-12,-7.026147938140239e-16,-2.529323112850494e-09,1.028831071119381e-05,1.6413773906007554e-08,-4.153188218565871e-06,-2.7675836321999536e-14,1.0071498905397172e-25,-9.257465497997571e-12,0.0
100,7.939429357022578e-05,6.284080292685637e-05,0.9994806803978127,0.0004317709667248159,-5.536692513404235e-13,-3.465789412281373e-17,3.0329700267936385e-08,5.895158173486292e-06,7.517427485847412e-06,2.2900769117456373e-05,-2.045939001588135e-14,2.785429461436046e-25,1.215789720830977e-10,0.0
200,7.966067671966965e-05,6.296216570714134e-05,0.9986877744204382,0.0011604774758863757,-2.5186447788580772e-11,1.3095562173735168e-15,6.239461910817089e-08,1.609194511400223e-06,7.53734522330861e-06,3.048165578729025e-05,1.4657223616621936e-14,2.445518251226178e-26,3.5595550436539325e-10,0.0
300,7.902311102420355e-05,6.276368314801789e-05,0.9982513701087918,0.0017970049798769038,1.6789055225100597e-11,1.079026399520789e-15,9.846339444423649e-08,6.0319132922059494e-06,7.5222160912163015e-06,8.574009379522648e-05,-1.0124555400783065e-14,-1.5365929790689052e-25,5.133567698972036e-10,0.0
400,7.921692352038615e-05,6.317207312216458e-05,0.9976799263351599,0.0024011798397457996,1.7951275303204504e-11,9.195624347476022e-16,1.2964250905799718e-07,-5.569617076984585e-06,7.553334857080093e-06,8.926715423932288e-05,3.010248434371315e-14,5.393820556295628e-26,8.890177237906258e-10,0.0
500,7.963252417077551e-05,6.236670861557417e-05,0.9975176419472683,0.002841964094211634,4.807474739687511e-11,5.060573740597642e-16,1.396986561349253e-07,-3.935075864990611e-06,7.588319870660537e-06,0.00012076676557465722,3.7614303903979496e-15,-2.5346963083690906e-25,1.002201930256962e-09,0.0
600,7.93861502142677e-05,6.242014704499822e-05,0.9964592525608179,0.00311293343717156,3.0295321320421026e-11,3.362134373772429e-15,1.713923976158379e-07,2.154470240234938e-05,7.56508754904844e-06,0.00014106833641382868,1.1672816611717361e-14,2.907710099311422e-25,1.0731922510399668e-09,0.0
700,7.968939315640427e-05,6.270261200133707e-05,0.9959172370826225,0.003827059568937896,6.114424438880631e-11,4.5706680251438915e-15,1.842778569406824e-07,2.6339216106805302e-05,7.556823279682175e-06,0.00017324854692792757,2.0924673559327817e-14,1.0196773988751951e-25,1.307010950807046e-09,0.0
800,7.952312408831156e-05,6.258444248802767e-05,0.9954070025731792,0.004390047678027006,6.634951915138926e-11,2.9277022223614317e-15,2.3217944791076922e-07,9.273425649218636e-06,7.567573384777038e-06,0.0001880019238179975,6.450974543967249e-14,-5.591993881214203e-26,1.5330345449744944e-09,0.0
900,7.982953556027682e-05,6.304765756504737e-05,0.995257382334707,0.004625912550446371,4.7548747882285266e-11,5.1961958099831565e-15,2.70196711735305e-07,1.9745574269199324e-05,7.525066678749728e-06,0.00021889270229257828,8.881000729165709e-14,-2.0976793220527024e-27,1.7278072657853962e-09,0.0
1000,7.921000333642408e-05,6.220701415544894e-05,0.9947866874442817,0.005399462024009348,5.5446907406255545e-11,6.1120742218199005e-15,2.7961608212461463e-07,2.0219155688113433e-05,7.478669883129091e-06,0.00023429303764598087,1.1446685377737122e-13,-1.0412835228509876e-25,2.0671990512111125e-09,0.0
1100,7.93099403872314e-05,6.24334692974758e-05,0.9941853513891956,0.005576936213731224,9.497232702649267e-11,7.751576297006208e-15,3.3046463589569117e-07,4.193917146082949e-05,7.540470164585563e-06,0.00027662961302295236,8.992098674335306e-14,3.675945203405022e-25,2.3037095591225688e-09,0.0
1200,7.932871526275312e-05,6.27523545252828e-05,0.9931651834191475,0.006093049778115277,1.1449321574384277e-10,9.204690232435008e-15,3.414434616080564e-07,4.8667789556560716e-05,7.565803890961054e-06,0.00029725506443463456,1.36275239357855e-13,1.3605230397722578e-25,2.4605545774916355e-09,0.0
1300,7.89361088297267e-05,6.267251016434767e-05,0.9928431030869078,0.006782602444972069,1.1371541720939437e-10,1.2146552992831829e-14,3.9385692983245793e-07,4.946635553879377e-05,7.538488563764815e-06,0.00031854678601327536,1.244762646518928e-13,4.949019664352957e-25,2.6508986025253634e-09,0.0
1400,7.972277799934279e-05,6.266919396533382e-05,0.9923880217171684,0.006789940456815758,1.8496810023039195e-10,1.0676103555575045e-14,4.1727019277610673e-07,6.215561305792763e-05,7.471381879435466e-06,0.00035277540527281324,1.6053021596465876e-13,4.731153368181395e-25,2.781906732235607e-09,0.0
1500,7.953929097363638e-05,6.26289985406256e-05,0.9921255710494036,0.007343443803424175,1.870824882569519e-10,1.2993417855602272e-14,4.349751649234634e-07,7.954144599233633e-05,7.5389523590467145e-06,0.00036829374646110723,1.8719418927515017e-13,7.508512007180111e-25,3.2013169425393443e-09,0.0
1600,7.889845410980007e-05,6.26948408173612e-05,0.9916072546625039,0.008397211682313662,2.1121678649850437e-10,1.3356576720432872e-14,4.746774749706341e-07,7.655266508226462e-05,7.4613817638281715e-06,0.00040196028965765315,2.4338294647028493e-13,4.669930731343793e-25,3.418746277325175e-09,0.0
1700,7.973491874536171e-05,6.250702303520824e-05,0.9906030807238546,0.008932927423974746,2.2157735404109344e-10,1.873931098721091e-14,4.882268772264005e-07,7.886167862679121e-05,7.462126590053198e-06,0.0004120290938449075,2.2208262739797213e-13,7.217600016357923e-25,3.635159409757081e-09,0.0
1800,7.902711786490574e-05,6.225189000108077e-05,0.989921381999223,0.009351795833330217,2.3823110365365025e-10,2.087956134370459e-14,5.273057830752011e-07,0.00010589661192597384,7.452482320110586e-06,0.0004514564276400901,2.638651568035501e-13,1.0912828483256174e-24,3.6477984640033804e-09,0.0
1900,7.956361315518218e-05,6.242945119067794e-05,0.9899076770155814,0.009433924494473368,2.998098247459536e-10,2.1946135989726414e-14,5.379894746387237e-07,0.0001208012704985787,7.50444009238188e-06,0.00045304014322905507,3.03228951813057e-13,1.0271678871563814e-24,4.113346142101234e-09,0.0
2000,7.903188765472306e-05,6.248389473577324e-05,0.9889486274548699,0.009948789876514744,2.95280383593404e-10,2.6213747249142286e-14,5.981858074112371e-07,0.00012705591094370596,7.445435404658973e-06,0.0004759148746965087,3.19548758519458e-13,1.3266708412332e-24,4.296551803173557e-09,0.0
2100,7.9012985464702e-05,6.19152955456235e-05,0.988439255947279,0.010403406423002746,3.7259082685191957e-10,2.4928520807557883e-14,6.190097014027525e-07,0.00012902405682826664,7.479683696756262e-06,0.000524158102860311,4.074129333109836e-13,1.2033498628400941e-24,4.27929803150353e-09,0.0
2200,7.945016575805383e-05,6.245823024222667e-05,0.9884206109215324,0.011069256181756736,3.9800700441070624e-10,3.06923857269096e-14,6.312071547423587e-07,0.000154479162237849,7.4826562594416195e-06,0.000533653439100525,3.9146747756999837e-13,1.8134625074091497e-24,4.625341796021699e-09,0.0
2300,7.898235394693777e-05,6.238504958597555e-05,0.9877698496874355,0.011351457626375697,4.1649706095324753e-10,3.294759308292274e-14,6.663998299699787e-07,0.0001655381230465771,7.493489688800362e-06,0.000570645782312373,4.374006139514187e-13,1.859926273987891e-24,4.775934479655501e-09,0.0
2400,7.924048343919377e-05,6.218169594002679e-05,0.9869625008786603,0.011937416651368845,4.335633155731572e-10,3.743514399464761e-14,6.736262386242911e-07,0.00017130905145803764,7.4294150928938515e-06,0.0005797719863107635,5.008879635699571e-13,2.0407817742162062e-24,5.103276421240783e-09,0.0
2500,7.880087162350043e-05,6.230378124059257e-05,0.9862986551626931,0.012486684694543016,5.11927512298961e-10,3.797596430411159e-14,7.158674017762522e-07,0.00019202625847576473,7.469779589253995e-06,0.0005862277925607861,5.757412277272968e-13,2.166744385306258e-24,5.086066039385395e-09,0.0
2600,7.889886111380487e-05,6.162707617042926e-05,0.9858631236737935,0.012916933604729907,5.19935740596548e-10,4.330917559909052e-14,7.562013973126293e-07,0.00020185880536609035,7.454005874368515e-06,0.0006260519927288631,6.071163025300237e-13,2.52652823284065e-24,5.3579814244379186e-09,0.0
2700,7.9400479600569e-05,6.214172976020477e-05,0.9852181494283616,0.013958609005696293,5.924775109577345e-10,4.3364787308539417e-14,7.849487686756855e-07,0.0002280434009455493,7.409571213220461e-06,0.000662858110237872,6.658627361010712e-13,3.143845567201883e-24,5.679496463126121e-09,0.0
2800,7.891680223440403e-05,6.173224158516456e-05,0.9850557965957122,0.014196685967690076,6.393397191914761e-10,5.000960857969498e-14,8.234920152231648e-07,0.00024350947853017164,7.435305835039415e-06,0.0006823062917763831,6.833544552865073e-13,3.4003002800050655e-24,5.824375275897713e-09,0.0
2900,7.911662395186255e-05,6.149426308813815e-05,0.9840499572896,0.014816979956550562,6.737241097460111e-10,5.345983768176301e-14,8.43347848942531e-07,0.0002557996272240592,7.393920419469416e-06,0.0007156444567458579,7.380317704381057e-13,3.7688123595196444e-24,5.916039879933545e-09,0.0
3000,7.888765389216582e-05,6.176370678179277e-05,0.9837216499219322,0.0151064322177324,7.190957078680521e-10,5.696379534929142e-14,8.678227382564733e-07,0.00027295055937458874,7.4403161894366615e-06,0.0007305353860068773,7.534542193394534e-13,3.969979151168478e-24,6.3667600475460914e-09,0.0
3100,7.909974211225646e-05,6.140893279826068e-05,0.9832646791696232,0.015363192068694829,7.317537483326697e-10,5.939482640151498e-14,9.020543433682928e-07,0.0002881904736655096,7.459706093697995e-06,0.0007400167219149235,8.410840511253639e-13,4.817736850297439e-24,6.429393094208463e-09,0.0
3200,7.926561822766194e-05,6.132046205526237e-05,0.98312322166767,0.01583699194899296,8.180416961746973e-10,6.524271114201848e-14,9.193654102023062e-07,0.0003097911572675637,7.4133815985563325e-06,0.0007741350555319028,9.02691446170089e-13,5.1116204957951886e-24,6.594296317952129e-09,0.0
3300,7.963703477241506e-05,6.184728131216682e-05,0.9823144325929898,0.016652577091985515,8.412603696665409e-10,6.868066705232837e-14,9.267924719200787e-07,0.00033747793552821304,7.465821672542128e-06,0.0007897594434415876,9.226660535151839e-13,5.6196056695781056e-24,6.7735917900697056e-09,0.0
3400,7.90306752176802e-05,6.13233435557232e-05,0.9816472009474362,0.01744685733696403,9.405756068658126e-10,7.010261388390467e-14,9.843538474493726e-07,0.0003440516299433165,7.459928653162423e-06,0.0008330318738918823,9.730611433836098e-13,5.964400883166626e-24,6.977347479042049e-09,0.0
3500,7.936351363998308e-05,6.156711207583569e-05,0.9812166053323076,0.017261379034602186,9.772598884728884e-10,7.750760399206902e-14,9.979284767597205e-07,0.0003668000109208452,7.361948300286037e-06,0.000829917927838122,1.0539860448504218e-12,6.488496088493554e-24,7.20294791416444e-09,0.0
3600,7.924260685841191e-05,6.143545550498223e-05,0.9807590065599683,0.017849865295541705,1.005740429855001e-09,8.071672959997725e-14,1.0300530887228827e-06,0.0003947725163771808,7.419859178230775e-06,0.0008727445920227459,1.1202327471020967e-12,7.178692242775326e-24,7.3733870977319066e-09,0.0
3700,7.961394270124805e-05,6.148657363428784e-05,0.9800369904617545,0.018865154740112317,1.0826252966684664e-09,8.252829901450292e-14,1.0744163627513969e-06,0.00042390847590919825,7.348049203682758e-06,0.0008941612921317336,1.2038137664528524e-12,8.038262710887943e-24,7.753667640430983e-09,0.0
3800,7.93678267469197e-05,6.120627823888153e-05,0.9797765068022058,0.019064197540429664,1.122013074813923e-09,8.833887979283705e-14,1.0960944918941934e-06,0.00044237606869955616,7.365223025645916e-06,0.0009228457691123664,1.2823138334325225e-12,8.608957368226313e-24,8.059650119208944e-09,0.0
3900,7.943111870858667e-05,6.166791555799486e-05,0.9788329622134946,0.019295860215071046,1.2243356925625507e-09,9.337941929455994e-14,1.1045465677051592e-06,0.00045855834621852,7.425668356559257e-06,0.0009281713823492076,1.298283150949291e-12,9.348645405855797e-24,8.0299570484107e-09,0.0
4000,7.89710750845672e-05,6.180210583270932e-05,0.9788513894011117,0.019895898459230184,1.267098292774912e-09,9.899584714883546e-14,1.1241282523828978e-06,0.0004964526880313468,7.3566742385077574e-06,0.0009496880539555485,1.3772787348208584e-12,9.678845449304854e-24,8.272105202000368e-09,0.0
4100,7.913079672974566e-05,6.1661042998224e-05,0.9780400297063674,0.020657024008370373,1.3162110287728192e-09,1.0374323598697401e-13,1.1536665393280363e-06,0.000507162547935723,7.38321958775543e-06,0.0009741226801530738,1.4685794918027063e-12,1.0394544388561775e-23,8.595762425186159e-09,0.0
4200,7.950108709031724e-05,6.143696512860452e-05,0.9774319657815352,0.020601859462692027,1.3871951373713375e-09,1.0971937243397903e-13,1.1755466984285027e-06,0.0005401878353470136,7.336442207850386e-06,0.0009949792946833125,1.5321656702768505e-12,1.1687914606089408e-23,8.808450231816241e-09,0.0
4300,7.885059240163082e-05,6.096605894495858e-05,0.9768633319359113,0.021173308673863758,1.4508670419446034e-09,1.1495070574936798e-13,1.2183989995959964e-06,0.0005569584326988748,7.396815553989128e-06,0.0010484605523214975,1.598118516987916e-12,1.2404146792237938e-23,9.084631158953485e-09,0.0
4400,7.908122056077659e-05,6.142237111259753e-05,0.9759875222122169,0.021986116320191814,1.5256580533349648e-09,1.174254560717727e-13,1.2436503120996085e-06,0.0005950534214481827,7.399296760764324e-06,0.001042167883064664,1.7053984199192748e-12,1.3223736708350046e-23,9.1497440008536e-09,0.0
4500,7.949269573145205e-05,6.087305361657775e-05,0.9758878762827387,0.022457844116386492,1.5783650188254901e-09,1.2190770711558907e-13,1.2728310694670642e-06,0.0006103148440591233,7.372649986003246e-06,0.0010745052727715852,1.7842394526102356e-12,1.404062677293323e-23,9.275774317226798e-09,0.0
4600,7.944945441180729e-05,6.148945445201055e-05,0.9750346178971373,0.023122837703887934,1.662387504992207e-09,1.298807747213028e-13,1.2967428225556866e-06,0.0006440131716374311,7.3780138449301186e-06,0.0011051955000760604,1.820408553240958e-12,1.5143810549153165e-23,9.643947406979045e-09,0.0
4700,7.869497747686344e-05,6.071854316711759e-05,0.9750822507538136,0.023453874872803714,1.7401212138016164e-09,1.3397842488425376e-13,1.3470410556217198e-06,0.0006711617818354205,7.303072683009919e-06,0.0011126123285862303,1.9166100793813413e-12,1.580096265860601e-23,9.945020468785816e-09,0.0
4800,7.863155962868317e-05,6.095954513393398e-05,0.9746574176041047,0.023674827716512713,1.8209404978287248e-09,1.4195768139017627e-13,1.3773020551342163e-06,0.0006966280963829217,7.296881578313284e-06,0.0011607978746263142,1.981482925478805e-12,1.675160778440343e-23,1.0082762600375502e-08,0.0
4900,7.932555346710646e-05,6.122375446786476e-05,0.9739372758986965,0.024281253719019527,1.890634916104882e-09,1.4592815697868078e-13,1.3885774798275074e-06,0.0007336893298304295,7.373461823089206e-06,0.00118665804719355,2.058810307236138e-12,1.813648897707486e-23,1.0066464016461438e-08,0.0
5000,7.868796708659475e-05,6.120269542847076e-05,0.9728347255022531,0.02480309731035024,1.963288836624889e-09,1.5077785345756246e-13,1.3985788625894475e-06,0.0007626651203441203,7.317202380571737e-06,0.0011999110386120698,2.1585810228313243e-12,1.9157412172042348e-23,1.0483707761884627e-08,0.0
