miliseconds,E,E_P_1,P,M,M1,E_M1,E_M,T,E_P_2,P2,P21,E_P21,E_P2,E_P1
0,0.00015019036165804617,-1.9875163131012162e-07,0.9997014382804031,-0.00026428847830758473,-1.0021864294943561e-11,1.556969346028606e-16,8.31093502364627e-09,6.717927896495869e-06,-2.3653626194882036e-08,-1.3840610411300358e-05,-1.1490105491069102e-14,2.577653553095119e-25,1.447944945544003e-10,0.0
100,7.953065706503547e-05,6.3274422835722e-05,0.9997493070637926,0.00027428082096125873,-1.1531667318370084e-11,-6.317639322867449e-16,2.1682575322490354e-08,-1.1092800004876667e-05,7.52113175154744e-06,1.5720759196290363e-05,-4.040584134398718e-15,-2.446038063204345e-25,1.1065952572762846e-11,0.0
200,7.954252071159748e-05,6.313423967537447e-05,0.9986987266330739,0.000964319341634535,-1.4577527996474143e-11,-4.936285391056263e-16,4.975661308293273e-08,5.999032144254487e-06,7.614125261063956e-06,3.657191555574045e-05,1.1449333786227154e-14,1.8468390760946242e-25,4.1651483912750095e-10,0.0
300,7.897721652102439e-05,6.275450723724438e-05,0.9979965691011348,0.0016489843117118382,-2.2234401756250868e-11,-7.412428087239842e-16,8.260243325585907e-08,-4.52696650598402e-06,7.602960777488769e-06,6.996664822865209e-05,2.1040341579542034e-14,-2.36914415779144e-25,6.406010898605436e-10,0.0
400,7.903711719072922e-05,6.264116178404722e-05,0.9978230180185987,0.0017601342992906912,2.17009995495716e-11,1.0722437953577344e-15,1.3237526494020233e-07,1.0481273043928303e-05,7.505070598103386e-06,9.15069003474647e-05,3.396678099521362e-14,3.3756388805153416e-26,6.336742763704413e-10,0.0
500,7.986297425693579e-05,6.319403930825854e-05,0.9975444608771921,0.0023118653515555128,1.5192357220942787e-11,2.0770918598053297e-15,1.277437724699134e-07,-4.5051897638444325e-07,7.500061205664206e-06,0.00013505187960695988,2.3216238718557555e-14,3.0136109741553593e-25,1.0512671373397275e-09,0.0
600,7.979323337121696e-05,6.299996200611634e-05,0.9963681092880563,0.0034413936793679977,5.253858792405395e-11,4.26351739681239e-15,1.540206542514407e-07,9.300602495589959e-06,7.510783727758836e-06,0.0001503247255539417,1.2764830404932803e-14,-2.4075731682883983e-25,1.2465826402871163e-09,0.0
700,7.927631354508648e-05,6.228927534696577e-05,0.9960676019569694,0.003947174608184692,5.313959637140047e-11,1.3517287092885394e-15,1.9417522635166294e-07,1.0882284261336451e-05,7.539546402391263e-06,0.00016417960872432727,3.88180623919004e-14,-8.704665577103309e-26,1.3147367392206653e-09,0.0
800,7.889388368676553e-05,6.255017116042286e-05,0.995560337557873,0.0043024532551205075,5.3190535456889384e-11,2.809343574258007e-15,2.2752902439341973e-07,1.189297409654162e-05,7.491486269917151e-06,0.0001792551467622383,3.7975711522613466e-14,1.0516044258304192e-25,1.6493927519820743e-09,0.0
900,7.973463581662863e-05,6.236311563757417e-05,0.9948991730474619,0.004719072023638937,4.319344448841211e-11,7.141104354071223e-15,2.4278575334644173e-07,3.408482144961255e-05,7.575318485444335e-06,0.00020741385647262631,7.279556751491132e-14,-1.6731626534270195e-25,1.871245030367566e-09,0.0
1000,7.93787001840603e-05,6.227929878330064e-05,0.9946711801437567,0.0049715511533523484,9.765343670790817e-11,6.361109266433961e-15,2.8676569390134334e-07,2.126833016085874e-05,7.503979186093327e-06,0.00023661580794496825,5.582537253921133e-14,-9.792547832695699e-26,2.1103378285189513e-09,0.0
1100,7.972993947074948e-05,6.296636479089849e-05,0.9937230970302499,0.0059512202369429975,6.761748086102193e-11,7.520245143167056e-15,3.3455201728455257e-07,4.4896638321484305e-05,7.5596406753170155e-06,0.00026054497580240674,8.46437359613119e-14,3.369524316891439e-25,2.2095144328753615e-09,0.0
1200,7.911613872430015e-05,6.266149909677788e-05,0.9931535178667703,0.005920854313154715,8.529441396714484e-11,8.682843282330036e-15,3.3561065443713085e-07,5.0332911684569254e-05,7.5024386954114105e-06,0.00028715120885773463,1.1031646573456097e-13,2.7645789977720873e-25,2.4677620888449438e-09,0.0
1300,7.982637053783523e-05,6.260857019643332e-05,0.9931831847178006,0.006350919122988191,1.3704505526244663e-10,1.0676526483117189e-14,3.583221301678008e-07,5.301246867973245e-05,7.493268778467167e-06,0.0003276080333670564,1.479652471033393e-13,3.164558845883322e-25,2.794335197997473e-09,0.0
1400,7.897473836034944e-05,6.228152939942463e-05,0.9925335041985576,0.006819387211366146,1.762806369995725e-10,1.3991956725464774e-14,4.020402473180815e-07,6.274054185013678e-05,7.501650871887667e-06,0.0003303657546513727,1.516638317222833e-13,6.930230962183499e-25,2.934123645184743e-09,0.0
1500,7.931844628675334e-05,6.246687671867272e-05,0.9914562824447859,0.007481505335377166,1.7723094956236284e-10,1.5140969157463003e-14,4.30480401819482e-07,8.018130484397161e-05,7.509112650942727e-06,0.0003647935832333808,2.1813144711284104e-13,7.993842719106524e-25,3.067547531659196e-09,0.0
1600,7.931065309038635e-05,6.19696280910928e-05,0.9911371241911217,0.008425238678960601,2.1080411932165072e-10,1.3372077280040513e-14,4.753677132919545e-07,7.31140951678278e-05,7.518905836330963e-06,0.0003813011033047064,2.551010710506095e-13,6.969019336389261e-25,3.3985239719908133e-09,0.0
1700,7.949570619694338e-05,6.260569987994473e-05,0.9905840653670429,0.008602193969273352,2.2708385173538071e-10,1.619608864847593e-14,4.871585069403397e-07,9.60751531034553e-05,7.455190270335535e-06,0.0004109958040342263,2.6373458187611377e-13,5.834317543586307e-25,3.3925561925330122e-09,0.0
1800,7.920615975663118e-05,6.246063914948762e-05,0.9902771590159236,0.009370240744056468,2.496431097985925e-10,2.0135903467231086e-14,5.180915602372844e-07,9.961348925874259e-05,7.476653152540905e-06,0.0004366061262518717,3.085538035979114e-13,1.079784969831377e-24,3.636367954628894e-09,0.0
1900,7.93617781361544e-05,6.21435051780312e-05,0.9898658407058498,0.009994250251875642,3.122573828946652e-10,2.043720175495161e-14,5.628169139132549e-07,0.00010493733398525682,7.516192790280142e-06,0.0004515261238157084,3.14743298787091e-13,1.0239687484683291e-24,3.825173803699556e-09,0.0
