miliseconds,E,E_P_1,P,M,M1,E_M1,E_M,T,E_P_2,P2,P21,E_P21,E_P2,E_P1
0,0.0001500644541181433,2.3129345296840666e-07,0.9996389605100817,-6.722628649455612e-05,5.4860142328860346e-12,-2.3222856401107203e-16,1.3597703627744899e-08,7.245294675743483e-06,1.871169372263429e-08,3.6739261709791294e-06,-3.156764129797829e-14,-1.2614224965631907e-26,-1.4889338781615316e-11,0.0
100,7.980398666965812e-05,6.267663225263376e-05,0.9998001085557449,0.00042653292624772265,2.622098410894188e-11,1.890411728713527e-15,3.0703362241404e-08,-1.8975677155847667e-06,7.585217527256881e-06,3.2515100763497084e-05,2.4109595484091608e-14,1.7793113697454748e-25,1.7600581924071353e-10,0.0
200,7.940777986670906e-05,6.26838699238258e-05,0.9991304982768299,0.0007021134860638531,-2.9716140726252065e-12,-2.795553621238406e-16,4.939777360991788e-08,-5.885115824357093e-06,7.573796370433297e-06,3.35041313135533e-05,3.4969770773923065e-14,7.905769434149939e-27,2.2344170938377102e-10,0.0
300,7.970036529398152e-05,6.304178431932469e-05,0.9981244539230886,0.001296030871441209,1.6232687868542605e-11,5.600414780668588e-16,1.0403356516593344e-07,6.262928097107434e-06,7.530593549470098e-06,7.097321405437298e-05,1.4985272598926714e-14,-1.3027131694079554e-25,5.239248364746989e-10,0.0
400,7.976213599831462e-05,6.239787389739059e-05,0.9981434787076107,0.001953074446078741,3.1686839088951785e-11,-6.651031420005279e-16,1.3125148978689513e-07,-2.080447503724665e-06,7.56813689748438e-06,9.13957055567104e-05,4.410072359107136e-14,9.45253894841758e-26,6.882682069459973e-10,0.0
500,7.926387917118094e-05,6.293751388816878e-05,0.9973127647925262,0.002314509388259607,1.5938309647593005e-11,-4.556656702894344e-16,1.60319459645236e-07,1.1566929418581916e-05,7.564488125716402e-06,0.00011537043106916368,1.574703932889856e-14,-2.236898929474428e-25,1.0235914717306785e-09,0.0
600,7.925756639088935e-05,6.295971710113239e-05,0.9966138169366556,0.002906513756015889,-1.7254001760573517e-13,1.1147343705942342e-15,1.5476951996827958e-07,1.6788974850675508e-05,7.5783261842159985e-06,0.00015751338025475351,7.854174465308992e-15,5.778256444526553e-26,1.0858954129953225e-09,0.0
700,7.955662060487911e-05,6.237182727255581e-05,0.9962431770838052,0.0036140450529462383,2.7943683427687883e-11,2.5574289463779456e-15,1.8677167143454203e-07,2.1353430794499513e-05,7.568120356346305e-06,0.00016164903032595766,5.594291600311872e-14,-1.0783198447858232e-25,1.4925992656937176e-09,0.0
800,7.96461821528046e-05,6.309239115334985e-05,0.9954307633633214,0.0039227991421939895,5.029597915427421e-11,3.2657868788765488e-15,2.258892483395987e-07,8.117333562696651e-06,7.543991960707262e-06,0.00019189687344924392,4.114078374398644e-14,-7.577989056502114e-26,1.661886993177571e-09,0.0
900,7.972116090903759e-05,6.26090658556929e-05,0.9948874556620511,0.004611570514688338,4.012525028145202e-11,5.415531966292926e-15,2.5251657068886875e-07,1.8908568825590135e-05,7.575913875561242e-06,0.000225691137546096,9.304925873754236e-14,-2.6933204600381044e-26,1.7710555077506946e-09,0.0
