miliseconds,mLiver,mKidneyPlasma,mRemainder,mPlasmaVenous,mHeart,mMuscle,mAdipose,mBrain,mFeces,mUrineExternal,mIntestineLumen,mPlasmaArterial,mLung,mPortalVein,mStomach,mEnterocytes,mKidneyTissue,mIntestineVascular,mStomachLumen,mRBC,mKidneyTubular
0,-0.37183291291361636,0.11336573969793734,0.0034349090403669943,-0.01349299663573406,-0.10661406162426787,0.09378140265592665,0.03276798101943493,-0.055008276715325585,4.537953675819503,-6.665560861178529,4.571745506825481,0.06943594100719919,-0.11882225446516496,-0.09709846318084621,-0.15503450287453185,33.1203014912436,-0.21956470321236757,0.610893393697139,-3.2205449492949145,0.006110719228516437,-3.3427548640287132
100,1.870857389674787,0.05860234984199306,-0.05091399034414281,0.0679709103395216,0.05695130016076427,0.2529278935047042,-0.06489713702438873,-0.027866976430529655,36.039779712174386,-5.488041496280659,443.37123864205125,0.062041543038421125,0.009993131732308397,1.8513227639163294,-0.14032552911636564,420.92192614029824,0.4103923227569044,14.750308686224118,7900.8291978779835,0.007694299730928987,30.197763094760926
200,7.980534510821072,0.44222806464483044,0.07107283747271002,0.31045493459107903,0.23847022942214915,0.32700802995659967,-0.04005341107370832,0.15215774220490383,71.17229165949624,-6.251289068229851,680.7525708859996,0.35148201023384285,1.0332374653918748,4.490029355557198,0.29762355518036404,1277.4466162329381,1.3052895032974128,35.34633761633582,6999.513837987299,-0.007744149952521854,32.24498191914841
300,17.37612678001442,1.2705317975810781,0.2211228882318607,0.9574577193485818,1.4632415499503835,0.00012414035837829407,0.04642722412915197,0.4826805965242152,92.95729403078599,4.06330477494869,863.8535907340245,0.8780127720660549,2.626386680294207,6.848277784642302,1.210647468415601,1937.74569345882,5.292594967214914,51.471473933550286,6444.164203948774,0.011993143512964252,47.50747995746783
400,27.30534547613059,2.1040893019071514,0.42667467236062323,1.5315207264781014,2.6226329992144053,0.2845766385941013,0.12877161156213213,0.9956256163655083,180.1273271583764,9.739252331510805,949.0772177569343,1.5238716202924214,4.385921206259769,9.199800880985828,2.671177784820596,2687.400335960275,9.313624873392367,65.98028666442319,5721.782141105074,0.014699804216971845,18.136072775289904
500,36.027503036249264,3.1906873238602538,0.8592828983726969,2.0906477433973096,4.046701411991056,0.8444004217688268,0.36358788910400885,1.5672826862156848,228.0428721565467,-5.467564058037126,1005.7057401851262,2.0280486248181697,6.211537567447986,10.59991311425821,4.015752749288858,3192.9383207470123,14.30832322342286,78.35734864161864,5233.888258296615,0.016056495796202403,129.82680949305754
600,45.02070699126905,4.025750528011723,1.2240403246339977,2.773854647191044,5.562031343217018,1.507712758184872,0.4653421060661343,2.042116867354516,287.0131709511841,10.406196834800891,1034.5439032793417,2.7223420958196884,8.19013181298467,12.098546973788151,6.275822088211022,3559.543102525444,20.69503960357259,86.22915049004519,4837.771187828581,0.030171435312277603,194.69634419231613
700,53.07253967625071,5.106902052805037,1.7555103461257415,3.3483436764504217,7.1546402769785615,1.5795777935776787,0.7036564183086501,2.4710925276064426,378.7905045323004,13.018084680120078,1039.9203628347248,3.3436425047585896,9.867641870987343,13.002171964033227,7.867745562275884,3988.4673822806,24.82528237773125,92.7137648566442,4197.4852050638265,0.029386025013900738,226.3490084410784
800,57.31545737840095,5.731653625713547,2.1769252151787706,3.8311193562839634,8.479724906191935,2.6195859296616426,1.0576798483389795,2.9802834171068757,414.5235602650134,-2.209379254136161,1029.2692585178486,3.827922621354706,11.700979534418812,13.984109952122148,9.977946237705158,4246.609625043247,30.928720994857613,98.37373446390077,3841.9427251463035,0.05283901627842161,371.26301500116955
900,61.791723950254394,6.6219792845999,2.59068904349194,4.284602603622055,10.029835267404527,2.852483879282976,1.3112124688294824,3.314584550569469,507.75532141274033,14.179585583872234,1008.5801329920469,4.220525440720309,12.789272544878523,14.642488551824762,11.71268918423176,4346.8822118593525,35.67931667337862,99.04119939197885,3539.6047143152514,0.07191440442809548,500.49596422694907
