milliseconds,MrnaP21,MrnaCy,MrnaP53,P21,Cy,CyP21,aPcna,Rc,pRc,aRc,iRc,Dna,Dam,P53,iPcna
0,1.0,1.0,1.0,0.72,0.4,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1.0000170460770947,1.0,1.0,0.22697435010901817,0.3876950454996104,0.012721769461332412,0.01989399533274598,0.9999989209622093,1.0787601535676145e-06,1.1014888440363248e-11,2.666223343648019e-10,5.612131069496846e-15,9.999486088769913e-05,0.00394079560074583,0.48010600431711914
200,1.0000589403392939,1.0,1.0,0.20172063029340387,0.38009737540248956,0.02073623929921458,0.00284802255227729,0.9999979823991043,2.0165447976723644e-06,5.8213724157279036e-12,1.0502765091119978e-09,1.1536975664631787e-14,0.00019997905548932644,0.006357566907341693,0.4971519763194973
300,1.0001161088500743,1.0,1.0,0.19227907979379386,0.3732473340030161,0.028003051426310054,0.0008628396783447309,0.9999971454090628,2.8523139206504547e-06,3.4221513506093287e-12,2.2735942290340485e-09,1.4551856824624873e-14,0.0002999522555863664,0.007861684023973168,0.49913715797353364
400,1.0001828043620216,1.0,1.0,0.18503870890314514,0.3668654945615444,0.03480162815830192,0.000607166228918412,0.999996393812104,3.602294232389869e-06,3.758480871570051e-12,3.889905278561085e-09,1.6962807195260082e-14,0.00039991432591507007,0.008816514989799214,0.49939282980818706
500,1.000255559402627,1.0,1.0,0.17843998089033566,0.3608880017093807,0.04119582151437645,0.000585536673049252,0.9999957154569535,4.278676781116872e-06,5.287086065889143e-12,5.86097830323855e-09,2.0083663183286932e-14,0.0004998652193194561,0.009439124579160121,0.4994144573944065
600,1.000332271529913,1.0,1.0,0.17224807546331178,0.35527970222553024,0.047220781721679234,0.0005984774201709306,0.9999951003735542,4.89146587915087e-06,7.419710139979834e-12,8.153146945706823e-09,2.4502748414003935e-14,0.0005998049253380485,0.009859826282233294,0.4994015143572149
700,1.0004116596563721,1.0,1.0,0.16640526356737476,0.3500119749138775,0.05290512722575902,0.0006170585901768745,0.9999945402333983,5.449019711179188e-06,9.99521722928128e-12,1.0736895558476748e-08,3.057380445236825e-14,0.000699733445933667,0.010157235279225438,0.4993829306065787
800,1.0004929393259392,1.0,1.0,0.16088151157482214,0.3450594446266875,0.058274230632293346,0.000636786291220024,0.9999940280272743,5.958373325071852e-06,1.2976350736587712e-11,1.358642428508315e-08,3.859049419376255e-14,0.0007996507847506597,0.010379004497064321,0.49936320006034857
900,1.0005756277633948,1.0,1.0,0.1556530412397687,0.34039923333859434,0.06335096761131817,0.0006569128451530867,0.9999935578231042,6.425481395730088e-06,1.635749625803631e-11,1.667914255202749e-08,4.883396722490699e-14,0.0008995569429165141,0.010554155879828159,0.49934307041941967
1000,1.0006594263242188,1.0,1.0,0.15069884381501522,0.3360106121439466,0.06815606488198463,0.0006773000308632377,0.9999931245747984,6.855409858706453e-06,2.014092707546449e-11,1.9995202055945636e-08,6.158482271977038e-14,0.0009994519178659577,0.010700446129482767,0.49932267992488993
1100,1.0007441492012885,1.0,1.0,0.145999928205008,0.3318747462479587,0.07270835520578324,0.0006979232389365066,0.9999927239691774,7.2524893941977296e-06,2.4331206503223946e-11,2.3517097316641528e-08,7.712618547690657e-14,0.0010993357034564718,0.010828792239322734,0.4993020532038018
1200,1.0008296802419963,1.0,1.0,0.14153900454334475,0.32797448154180237,0.0770249907976436,0.0007187693587102627,0.9999923523028128,7.620438921698718e-06,2.8933534536019055e-11,2.7229331867793978e-08,9.574464709483262e-14,0.0011992082905315298,0.010945927527705155,0.4992812033824268
1300,1.0009159462517487,1.0,1.0,0.13730029752354028,0.3242941605558717,0.0811216273603783,0.0007398349473209195,0.9999920063818625,7.962466045846186e-06,3.395359499032846e-11,3.111813805262632e-08,1.177306055482796e-13,0.0012990696675725534,0.011056028940715824,0.49926013391749974
1400,1.0010029008045778,1.0,1.0,0.1332693703518208,0.32081946225575,0.08501258427777136,0.0007611110941584717,0.9999916834406096,8.281348750182491e-06,3.9397159012535136e-11,3.5171243041792e-08,1.4337849199039156e-13,0.0013989198212875028,0.011161694604257937,0.4992388537319985
1500,1.0010905140500677,1.0,1.0,0.12943299161163146,0.31753726177944613,0.08871098486752417,0.0007825911843635318,0.9999913810742733,8.579502786120726e-06,4.527019158859255e-11,3.9377670391112174e-08,1.7298683322430755e-13,0.0014987587370797893,0.011264554655495165,0.4992173694518471
