milliseconds,S,R
0,9977017710.978575,200075.29611708358
100,9973891892.017189,201082.49186485438
200,9908209626.426996,201726.0108476717
300,9873773938.508314,201523.7753240774
400,9880630725.448511,202177.5508294746
500,9859287931.480778,202720.35809746227
600,9810228646.189278,203832.33222522598
700,9804185725.150568,205698.0570822236
800,9734576961.376348,205828.5499573457
900,9691854896.490276,207040.3228463333
1000,9657241089.228655,207247.99459375362
1100,9653866525.942835,207407.0996842827
1200,9618416362.668238,208928.97753437195
1300,9598919960.458895,208007.2387811882
1400,9579268731.4392,210426.026024066
1500,9552471244.363623,209156.77066931446
1600,9485861461.776077,210825.96361424102
1700,9494505191.950695,212180.73683971606
1800,9470303863.445978,212681.95011621632
1900,9441813914.176743,212923.4756070289
2000,9423272162.198486,214298.0786299624
2100,9324314660.657637,214765.38434718602
2200,9371639842.403017,214537.7061263518
2300,9259483180.647638,216259.91732250398
2400,9236793689.860966,217077.43972704053
2500,9229031742.429367,216707.76251674694
2600,9244019871.513107,217978.57998106087
2700,9202951628.503626,218261.64231649542
2800,9121525105.499332,218668.66010111806
2900,9091441087.643175,220376.97164918602
3000,9057696537.330208,220400.22321848627
3100,9032563302.385195,222136.91357414986
3200,9050576336.335592,222326.79221759297
3300,9027140099.16039,222581.8674663341
3400,9006101589.51213,223339.8328190353
3500,8941901534.87411,225568.98984877206
3600,8905114852.8584,226368.3833135282
3700,8902749017.939726,226167.62167711707
3800,8831873563.219917,226651.83214161659
3900,8791929863.280434,226632.78955108125
4000,8816338384.054253,228058.23681195892
4100,8796706566.180876,228463.66554127072
4200,8752581481.399042,230674.882068903
4300,8699308431.7632,229987.4967994638
4400,8653931004.077702,231011.82989794007
4500,8679538809.598595,232661.48855463453
4600,8641546088.68839,232428.7146620298
4700,8585198893.389362,233735.9857558602
4800,8610841345.969425,234814.99233350446
4900,8558897569.65069,235557.98610740085
5000,8543489259.373657,236635.6400711017
