milliseconds,S,R
0,10039012719.85792,200214.7214098864
100,9997692883.808184,201532.36564205607
200,9954260738.633953,201829.27437738722
300,9883436884.746418,202626.36292543716
400,9884010707.785027,202240.7196965657
500,9862769301.007036,202729.25790277874
600,9792839180.881725,203647.75382075275
700,9810483187.111599,205351.7112268473
800,9769606941.203651,204701.89275186893
900,9679999842.613928,205929.26148638976
1000,9656402754.906382,206421.11731412413
1100,9697731785.975136,207124.0092969218
1200,9657357665.422642,207064.7425003199
1300,9633382098.073317,208884.857918707
1400,9596863708.060822,209481.2131657509
1500,9542744740.952108,209518.20819138683
1600,9525888965.456305,211568.8892164142
1700,9471250094.575045,211963.8220916915
1800,9459405444.76912,212476.85530179538
1900,9401542873.499481,213584.87127509096
2000,9410940966.046587,214282.0161472691
2100,9326811255.767271,213452.2777690289
2200,9340139016.852375,214736.97727797224
2300,9258653069.107021,214906.5684745926
2400,9226949524.843973,216501.60210193926
2500,9247965568.274446,218258.78101360452
2600,9235262629.459755,218282.16252083264
2700,9185727473.659414,217940.05441095744
2800,9127917303.612024,220203.16345551747
2900,9145399779.732569,221085.35912256883
3000,9077053942.18175,219851.95405254784
3100,9075327868.6386,221854.14187377272
3200,9039820017.209076,222471.16108043393
3300,9032132412.108023,222175.6544112846
3400,8938311848.070236,224343.65260769892
3500,8913773683.141998,224604.71758440218
3600,8924039385.512146,225113.77203632495
3700,8858389454.292591,225242.84724204626
3800,8846737134.1382,226280.1305119238
3900,8795309301.61436,228139.46199573553
4000,8820934537.249393,227536.02638421953
4100,8810688206.28728,228917.60744253648
4200,8760651138.233833,229274.29409168442
4300,8759150380.125414,231559.4856920117
4400,8684989864.774527,232458.29648726524
4500,8659339698.27708,233236.81094208325
4600,8601020397.593987,232144.82623066023
4700,8634283125.176382,233956.72067181944
4800,8545981175.619115,234321.4941799198
4900,8532104295.850089,234695.10864689722
5000,8486437110.887564,236243.63024325485
