milliseconds,S,R
0,9964868618.782707,200934.4114518743
100,9991897819.459164,199836.97582530422
200,9968908240.973969,201537.69608993197
300,9926871847.077547,201591.8502322944
400,9888916761.08757,202751.5446346588
500,9868506708.338911,203886.24025219132
600,9822168342.31837,203873.23040497236
700,9767067184.47812,204273.24734387916
800,9787787023.61455,205512.45805182774
900,9702111944.014053,206858.53326540647
1000,9647646813.754818,205855.81066668584
1100,9678713694.933195,207055.36787472828
1200,9621638047.658007,207265.19155505818
1300,9615735219.170988,208454.00646026738
1400,9538931073.228008,209941.41964823793
1500,9546419970.304485,210972.1254397346
1600,9523183580.231274,211705.71635354284
1700,9447611078.586645,211863.17356891563
1800,9425620790.678474,211839.14166909404
1900,9407148491.22804,211910.17586300639
2000,9365887057.093512,214591.51662162892
2100,9383100083.54306,215343.31617710818
2200,9361241403.025831,214994.82694145202
2300,9331037683.438484,215039.093319044
2400,9269263998.316935,215534.78358331267
2500,9256283791.349575,217632.20521773977
2600,9219944898.903162,218694.23013752195
2700,9203505949.778809,218474.97161415574
2800,9191018224.864124,218593.49620596622
2900,9107115224.897465,220105.99129232438
3000,9106455740.763908,220704.62757870357
3100,9065970661.623075,221943.12970533938
3200,9032899643.84915,223398.37902682612
3300,8983236367.604551,222157.11034017242
3400,8961938848.68693,224859.34412140836
3500,8917601245.002056,223962.4605909899
3600,8880036668.20996,224688.38934866985
3700,8893343432.601578,225272.21484104084
3800,8878207675.015747,227612.9757911052
3900,8843819228.087612,228242.560380485
4000,8811773927.349154,228195.20708219596
4100,8776898411.532999,228452.57064469994
4200,8748574420.326902,230331.84877811893
4300,8726644444.59232,230450.59198928627
4400,8663249611.479239,231488.41184489444
4500,8634016110.720123,232625.25494463675
4600,8639855872.492136,232093.58656034627
4700,8570913910.144209,233896.61718272074
4800,8619329668.360518,235570.32889689412
4900,8568053607.789503,235448.9866703987
5000,8545667286.4102955,235329.43007236018
