milliseconds,S,R
0,10015575701.678694,200349.86119784592
100,9968512851.658865,199721.48829885887
200,9971209664.101582,200958.99093138293
300,9892727699.309254,202588.77458627915
400,9857199389.70686,201805.70867051376
500,9862711843.072544,204230.5696663056
600,9777454897.045532,203879.4641381266
700,9778616969.47055,204048.81882993618
800,9733104862.906227,205058.0407332617
900,9725866360.440884,205919.949031654
1000,9672731645.00789,206816.66711829024
1100,9665328249.271778,206792.99903711875
1200,9604222153.516596,208185.1537099001
1300,9623095755.19367,208425.60279686918
1400,9609068588.955408,208683.42829926184
1500,9581158885.14808,209624.79522977152
1600,9528312575.033031,211184.0079517632
1700,9459616575.588078,212302.9743643109
1800,9489578601.842705,211701.52371158588
1900,9448701331.099472,213817.47326100658
2000,9403239628.796516,214041.12145712407
2100,9336853420.15067,215186.12058309396
2200,9307653601.27722,215955.11850964173
2300,9265866143.034622,216852.05528102137
2400,9267936545.9003,215631.32167449585
2500,9247302130.788313,217728.36251349226
2600,9209906927.100262,218438.88993468077
2700,9218652056.46268,219589.26193026712
2800,9141022168.008219,218952.8692154348
2900,9131783660.868015,219943.74948325718
3000,9052373574.852127,221522.10645931397
3100,9053833011.238773,222662.567060136
3200,9043064437.133745,223287.28582381376
3300,8982112736.194687,222730.3941272028
3400,8938865806.108402,223381.60152638893
3500,8972584288.197453,225542.507172666
3600,8946690158.715643,225470.46719502885
3700,8849056199.895037,225109.599517368
3800,8900935114.241013,226490.74933771795
3900,8853954035.549486,226843.67206044824
4000,8833975181.481474,229286.78808732363
4100,8736998108.304863,229014.91304376678
4200,8745166150.492456,230979.1412027338
4300,8747007922.650488,230182.80818642233
4400,8733289035.701117,231121.28943113948
4500,8628566881.68527,231344.60010600183
4600,8617992538.482418,232841.42631802656
4700,8641424185.281143,234783.24362049298
4800,8567446414.965138,233893.66322112907
4900,8593927476.570347,235159.73387156267
5000,8561547497.055105,236374.66620662098
