milliseconds,S,R
0,10002316097.659777,200523.1722029532
100,10000171399.342451,200681.8766633043
200,9965100602.927637,201748.0717536833
300,9903347456.623825,202543.8820882725
400,9895985840.614016,203059.75701341376
500,9868031623.352869,202772.9276112007
600,9791689487.64893,204016.91644139466
700,9795530082.471539,204397.7773324073
800,9713534175.982801,206167.8930838266
900,9755981481.247171,205429.1091951696
1000,9648309899.461874,207773.9343219957
1100,9681758306.814383,208444.4530557662
1200,9655726432.024712,207799.706857952
1300,9588208373.608997,208231.44750968905
1400,9605575968.751911,210487.43510638428
1500,9534666165.115326,210097.37681592884
1600,9516483579.561102,210624.62065990784
1700,9455560231.778347,211937.76516029527
1800,9471113685.823935,212281.04520221762
1900,9439512456.06804,212744.97499606656
2000,9361845790.165781,214553.05379051462
2100,9388941773.19643,214184.44401830653
2200,9305463937.409157,214125.48075448713
2300,9271466550.933725,215388.92747065582
2400,9248172815.19782,216806.15454207596
2500,9282187558.67126,217687.9081387952
2600,9197996208.452229,218886.2410196754
2700,9212251366.638777,217809.28961261772
2800,9153478516.586533,218916.56741903213
2900,9117301990.958393,220554.31862360897
3000,9112069505.577923,221557.45095841074
3100,9074393883.760618,222458.97985962214
3200,9012333030.495834,223136.54159910066
3300,9007641760.159058,222643.04144395306
3400,8938551723.800205,223228.6636187484
3500,8961384448.100222,225261.44269705343
3600,8905879330.691185,226211.61991051686
3700,8901114563.720484,226338.092573743
3800,8829447974.44212,226313.71449963746
3900,8797447626.561247,227442.9743283514
4000,8813391783.42425,228493.73348332357
4100,8812169699.370516,228884.4850820487
4200,8763296562.679302,229416.1240323641
4300,8741570507.123392,231518.15965722047
4400,8697028074.198418,231912.20755730005
4500,8698675888.864428,233064.82486158476
4600,8670671452.622448,233269.78077433357
4700,8652875967.842703,233041.9113744162
4800,8576026280.162642,234164.90314454472
4900,8533133933.839801,235463.67147665337
5000,8495805787.314788,235812.10293382726
