miliseconds,G0,G1,rA,I,rI,A,AI,A2,G2,G3
0,1.000011609467121,-0.00012123717746191623,-0.0001773051727765692,0.0729310238171957,0.006480299305281562,-0.5049552230821913,-0.230861933162619,0.05618964822207726,0.0,0.0
100,1.0001146106981944,5.0538168007120785e-05,0.04155554309441163,-0.03095750148887981,0.022210580461591158,-1.0082792162697436,-0.2426022724255159,0.23659891704368693,0.0,0.0
200,1.0000941363631934,-0.0001014629804356243,0.14223544736936808,-0.008729557946039634,0.047568401718857116,-0.7746938291645694,-0.14444976760059128,-0.26734313633351964,0.0,0.0
300,0.999973378629667,8.17801098481586e-05,0.3477423528828245,0.09305153585841139,0.044248668295585075,0.8761502469777711,-0.1886373838451133,-0.32413738338468484,0.0,0.0
400,1.0000083985404902,2.401366823099882e-05,0.3631537375219978,0.1518536066932655,0.05904721708363787,0.706324271463741,0.0215239624708478,0.4067751332871055,0.0,0.0
500,1.0001174275349463,-0.00010143179113576259,0.44144783384721686,0.3840150469955449,0.08869505898763057,2.500178633007692,-0.08164277586977564,-0.0366664363792653,0.0,0.0
600,0.9999623423312982,1.8083121617798907e-05,0.5343027830216122,0.3271162814408459,0.11877664717610104,1.3573096177963333,-0.12293810406428546,-0.1825577055441094,0.0,0.0
700,1.0000881931115648,8.478369872526644e-05,0.7304544431386586,0.517425971137036,0.11935035907382366,3.6406734345495124,0.378572409936783,-0.18800773900611795,0.0,0.0
800,0.9999139943861807,8.377054944040448e-05,0.7631664145882378,0.827815576840575,0.14852274462469933,4.297848479818831,0.22798168681342548,0.328093401099934,0.0,0.0
900,1.0001186201485783,-2.0450183662123415e-05,0.9073465182069071,0.9065735214361529,0.1569266330315334,5.720869349360347,-0.24452988061126196,0.3099478437792905,0.0,0.0
1000,1.0000517408877596,-6.038789809077784e-05,0.9373925589911076,1.1669768723391027,0.16623115830977295,7.766154782406514,-0.30007113934791196,0.35031225143671146,0.0,0.0
1100,1.000043916695381,-7.041208260628399e-05,1.0326620508339581,1.3978499610184092,0.20147365953408752,6.8866053598610755,-0.19284982767414832,0.5363804843557887,0.0,0.0
1200,0.9999197877364197,5.582653569358224e-05,1.1872488001579526,1.773110761369144,0.2089470867634519,8.050392259881086,0.15040575210680698,0.4294224709751818,0.0,0.0
1300,1.0000382392128324,2.1531045413870826e-05,1.3167241328391344,2.016473242746133,0.22423427324235654,10.562266232906019,0.22386776405226186,0.13347305747921573,0.0,0.0
1400,1.000087417879169,0.00013555571942510525,1.3388850356215505,2.3054605191438675,0.2518675356828209,12.800544933641033,-0.03851648217632325,0.7140366677503998,0.0,0.0
1500,0.9999449016826708,2.8167211163662446e-05,1.5052395893407478,2.4640036769120597,0.2692273312137198,15.159862519677782,0.4282754310901173,0.5310482187028336,0.0,0.0
1600,0.9998617854315873,1.713881674594087e-05,1.5232347228472303,2.682851973668797,0.2745961288535698,15.085363142411548,0.21772545111709254,0.8545450864558143,0.0,0.0
1700,0.9999015972537089,-5.461155578177613e-06,1.580082410909176,2.9889440350844776,0.31002964291315455,16.197432024261538,0.5435195975898927,1.1027941455320645,0.0,0.0
1800,0.9998105162144955,2.5332161735226985e-05,1.7342364903367087,3.4249086875116888,0.3221557535636303,20.263277467699652,0.6828005724804788,1.327956234697585,0.0,0.0
1900,0.9997884811630046,5.586288624578023e-05,1.8462970776984704,3.7021354651908878,0.3254696728020961,19.88817413347022,0.5124771327333202,1.4811765931496548,0.0,0.0
2000,0.9997764378890334,0.0002318297778555551,1.8720430290372103,3.903629623813212,0.35709357206707093,23.4047141434135,0.8923537268767094,1.7612693909931327,0.0,0.0
2100,0.9996997300407362,0.00030139387120639723,1.9924908672821735,4.118334060727049,0.3551032262764863,23.255108165635367,1.0403790668397592,1.5574890034292024,0.0,0.0
2200,0.9997992518700954,0.0001586872267845534,2.0619315058671184,4.494839663383814,0.38491429112550224,25.19209792505685,1.267317351368561,2.1366470110335367,0.0,0.0
2300,0.9997055401214019,0.0004288742906254358,2.2577447457205695,4.653488426526326,0.39172009372434163,29.207321616074363,2.087772823155118,2.7643343743052426,0.0,0.0
2400,0.9996528313589939,0.00035061218900815937,2.31969457576819,5.024798371287934,0.41426738534643287,30.12411375806385,1.9461148263092498,3.173790613936596,0.0,0.0
2500,0.9994801829004611,0.0003905433637227861,2.394270058347736,5.075084207022201,0.44320702179417126,31.191148914718074,2.7918591358833047,3.6244035657413196,0.0,0.0
2600,0.9994286184882057,0.0006799944263128817,2.414484766726007,5.373634335009719,0.4647970285522523,33.00121476727578,3.062871621891627,4.355605981671916,0.0,0.0
2700,0.9992296881782589,0.0006355451674111536,2.5157162097547086,5.456698052160036,0.4577275102701007,37.081368364211315,3.1293219457293606,4.696852064389262,0.0,0.0
2800,0.9991155630880577,0.0007354341339975252,2.5976449922727474,5.593014388548958,0.47744562956115427,38.61914742199698,3.700634356297052,4.940089279298901,0.0,0.0
2900,0.9989487530958289,0.0009552441677177638,2.738271270116123,5.902927209918392,0.5062921961358169,40.59539366099395,4.83575829262937,6.020604028528177,0.0,0.0
