milliseconds,Tumor_cells,NK_cells,CD8_T_cells,CD4_T_cells,Circulating_lymphocytes,IL_2
0,10000000.0,1000.0,100.0,1000000.0,60000000000.0,100000.0
100,10067019.327541789,380.98540132296523,2061176.8480137144,915296.0154869909,60002998200.71978,360442.71986612165
200,9621864.218726818,374.0492175773388,2520289.218147826,853160.6649341774,60005992805.75652,432198.2918819558
300,9033155.46255244,395.4996600994785,2617732.34467498,804243.2681623512,60008983819.4225,440177.64746249694
400,8391224.241249967,423.6828953785038,2633283.436977658,764406.1444559683,60011971246.02474,428291.96849437646
500,7719387.777959154,458.03997068084084,2627710.8907309105,731757.8978147113,60014955089.86514,411784.0727423248
600,7029044.95597901,499.66800784532404,2614406.135091247,705304.9870855313,60017935355.24045,395817.0485451976
700,6330964.673624348,550.1861815740491,2595982.502632941,684413.31449053,60020912046.44222,382031.14897430985
800,5637512.547434618,611.5853177954837,2572322.4821452308,668599.073571465,60023885167.75693,370845.77879753243
900,4962419.115595892,686.181469261576,2542467.079197868,657444.0469762144,60026854723.46585,362265.3829913726
1000,4319501.190745577,776.5640393600892,2505104.9773989054,650559.6664904096,60029820717.845146,356154.8965694706
1100,3720958.132673619,885.5368258572059,2458789.770456135,647572.7041855997,60032783155.16584,352334.35101843916
1200,3175846.661868006,1016.0343082470663,2402100.5539017804,648122.719223371,60035742039.69386,350612.5407649108
1300,2689250.5904398346,1171.100667968743,2333832.2451625653,651866.4404457198,60038697375.689995,350798.76805304125
1400,2262323.0171787334,1353.7769093615689,2253193.137979828,658484.6325772573,60041649167.40991,352709.6693630213
1500,1893014.0738469828,1567.2215583848015,2160004.528482072,667688.3072710591,60044597419.1042,356173.8730456338
1600,1577092.6962263316,1814.4126667759863,2054831.9897877327,679222.4626836466,60047542135.018364,361035.3473245386
1700,1309140.6473602243,2098.4886991793032,1939051.9540409122,692866.9654731527,60050483319.39278,367155.27369805775
1800,1083326.7802209998,2422.3373976428093,1814767.6802747648,708435.1361189259,60053420976.462746,374412.4616988971
1900,893928.3301323283,2788.7562005712944,1684641.1814656835,725770.8515203218,60056355110.4585,382702.5881573077
2000,735635.2412892734,3200.316783215074,1551635.8966134903,744744.9542585585,60059285725.605194,391936.61507085105
2100,603693.5959852202,3659.2549080819854,1418721.4749494938,765251.4593442605,60062212826.12291,402038.71234967833
2200,493949.82309262204,4167.460585456066,1288627.205404431,787203.8768655815,60065136416.22667,412943.91603124724
2300,402832.57892308757,4726.422239291485,1163646.520772792,810531.7780143698,60068056500.12644,424595.6353888641
2400,327307.2392139917,5337.093612565028,1045527.2332305142,835177.6159589172,60070973082.02716,436943.03595668287
2500,264816.62804486847,5999.93003218925,935467.2135442573,861093.7260047419,60073886166.1287,449938.18205686787
2600,213217.96768078028,6714.786623948575,834141.2778505639,888239.3978604993,60076795756.62589,463532.79069439665
2700,170723.02728282986,7480.9335284559,741796.6063768422,916577.8631381543,60079701857.70856,477674.3147606395
2800,135842.10508793622,8297.009971105444,658339.0264373808,946072.992368851,60082604473.561485,492300.97076552175
2900,107334.06229548554,9161.03264209703,583434.471803865,976685.4395297023,60085503608.364426,507335.1995198699
3000,84161.8643465602,10070.408619522688,516589.8614451671,1008367.8883800656,60088399266.29216,522674.8354365212
3100,65454.06020244591,11021.97036357004,457219.21310718986,1041058.9549850767,60091291451.51441,538181.1159251559
3200,50472.432159571756,12012.055956807742,404695.79170689086,1074675.1838894365,60094180168.19594,553662.4333779584
3300,38585.933535373464,13036.602243819141,358383.0138428399,1109100.4723954715,60097065420.49649,568852.6818096546
3400,29251.313704054497,14091.28171535273,317660.34976618557,1144172.2420002534,60099947212.57083,583383.2920737944
3500,21999.617272390093,15171.630455217968,281933.6960813109,1179663.862397512,60102825548.56875,596748.8374287387
3600,16427.567399792795,16273.168994543457,250645.48825968424,1215263.505474298,60105700432.63504,608268.5193550244
3700,12191.819049927208,17391.471686299832,223277.38661872796,1250551.0603879876,60108571868.909546,617049.9945453396
3800,9004.421858658126,18522.191272268014,199352.8201669074,1284977.4866708943,60111439861.527115,621970.2538584517
3900,6628.157995525251,19661.09480340177,178437.7284606742,1317855.0471700218,60114304414.61768,621698.3247834505
4000,4871.240353915261,20804.245512187757,160140.5458643116,1348371.34898138,60117165532.30619,614794.6995493467
4100,3581.336803465607,21948.401093811135,144112.35012668904,1375642.1137727858,60120023218.712654,599920.4325303028
4200,2639.524369199911,23091.398091863324,130047.71944851686,1398810.7142628853,60122877477.95214,576154.9916397316
4300,1954.4618051038822,24232.120506334013,117683.2975398924,1417183.9540465062,60125728314.13479,543356.8084018048
4400,1456.9158629593815,25370.100612945644,106796.21225768128,1430367.8009350088,60128575731.3658,502430.87963860383
4500,1095.0426329645536,26505.10864824424,97194.05870428025,1438350.1332557558,60131419733.745445,455324.6046449527
4600,830.8368061186959,27636.964274457132,88709.20020213479,1441486.602925518,60134260325.36911,404684.37338776793
4700,636.6954373561965,28765.479087025902,81194.15633565959,1440407.8563015668,60137097510.327225,353360.81847436307
4800,492.79094736373565,29890.46791847874,74520.22939548749,1435880.1882011928,60139931292.70535,303865.6817916167
4900,385.0262241937527,31011.76364632364,68575.98391886699,1428676.0549036176,60142761676.58414,258039.02727332158
5000,303.43247118026704,32129.224986134333,63265.56465544821,1419486.523993217,60145588666.03932,216960.72571974393
