milliseconds,NT,NI,BT,BI
0,1.0,0.0,0.0,0.0
100,1.0005781670639164,0.20389541208746376,453.5011711105882,1759.790875111062
200,1.0011566683850248,0.3999138691433583,902.0411667980254,3180.569425018417
300,1.0017355041572569,0.5883642758935003,1345.6742592102235,4327.619710827414
400,1.0023146745748155,0.7695434776325903,1784.4541307394977,5253.70689441679
500,1.0028941798317197,0.9437366069357394,2218.433870912976,6001.357850351403
600,1.0034740201223584,1.1112176930698907,2647.66599440905,6604.979800904368
700,1.0040541956410691,1.2722499845790183,3072.202438575986,7092.317025919576
800,1.004634706582257,1.4270864017219747,3492.0945721745297,7485.753723745113
900,1.005215553140459,1.575969957623191,3907.393202861589,7803.379960845062
1000,1.0057967355102697,1.719134132941265,4318.148581874972,8059.829556961399
1100,1.006378253886402,1.8568032586950385,4724.410411297139,8266.879808365924
1200,1.0069601084636668,1.9891928701891566,5126.227849633295,8434.03704614988
1300,1.0075422994369527,2.1165100489452473,5523.649517287721,8568.987914395517
1400,1.0081248270012337,2.2389537554953347,5916.723502644824,8677.94264535941
1500,1.0087076913515851,2.356715150022883,6305.497368155742,8765.910601345751
1600,1.0092908926831776,2.4699778977364457,6690.018155980156,8836.932202261696
1700,1.0098744311912744,2.5789184618084566,7070.332393589744,8894.27098529503
1800,1.010458307071234,2.6837063860340162,7446.486099453641,8940.563886882637
1900,1.0110425205185136,2.7845045665060324,7818.52478863492,8977.939279923783
2000,1.0116270717286673,2.8814695122839686,8186.493478276285,9008.114810456836
2100,1.0122119608973466,2.974751594440742,8550.436693031237,9032.47552777743
2200,1.0127971882203022,3.0644952881126093,8910.398470464599,9052.140634903339
2300,1.0133827538933835,3.150839405147714,9266.422366392495,9068.01611941403
2400,1.0139686581125409,3.233917315113194,9618.551460147279,9080.83413218457
2500,1.0145549010738244,3.3138571577442857,9966.828359784651,9091.184871232826
2600,1.0151414829733858,3.3907820474677868,10311.295207235466,9099.543330189827
2700,1.0157284040074779,3.464810270525482,10651.993683404313,9106.29193348977
2800,1.0163156643724562,3.5360554758607785,10988.96501322248,9111.740095483261
2900,1.0169032642647784,3.6046268563783634,11322.249970631512,9116.138611694958
3000,1.0174912038810058,3.6706293236866383,11651.888883518826,9119.69011779914
3100,1.0180794834178024,3.73416367566978,11977.921638595619,9122.55789205804
3200,1.0186681030719373,3.7953267577691445,12300.387686222892,9124.873486873063
3300,1.0192570630402835,3.854211617914351,12619.326045184236,9126.74300449316
3400,1.0198463635198192,3.910907649131133,12934.775307351947,9128.250991692166
3500,1.0204360047076275,3.965500751456556,13246.773642519134,9129.468205388242
3600,1.0210259868008973,4.0180734340154265,13555.358802711009,9130.447706256236
3700,1.0216163099969242,4.0687050126430275,13860.568127326207,9131.239749022383
3800,1.0222069744931095,4.117471647741889,14162.438546874078,9131.877381637381
3900,1.0227979804869622,4.164446563413697,14461.006588307288,9132.394771246569
4000,1.0233893281760977,4.209700065392995,14756.308378550506,9132.81281000499
4100,1.0239810177582391,4.253299737356917,15048.379649638604,9133.152180014764
4200,1.0245730494312175,4.295310484681849,15337.255742435176,9133.426746737186
4300,1.025165423392972,4.335794683553898,15622.971611343664,9133.648703163724
4400,1.02575813984155,4.374812256637722,15905.561828295029,9133.82782335274
4500,1.0263511989751084,4.412420740707447,16185.060586580512,9133.970554693035
4600,1.0269446009919119,4.44867544276098,16461.501705738003,9134.083300714345
4700,1.0275383460903358,4.483629566297786,16734.918636084054,9134.174055307218
4800,1.028132434468864,4.517334129642839,17005.344460809414,9134.245764465717
4900,1.0287268663260907,4.549838072937057,17272.81190028637,9134.297291425588
5000,1.0293216418607203,4.58118872576596,17537.35332060858,9134.339137843866
