miliseconds,E,T
0,1708158.0511808416,8280707.602003387
100,1708159.8694411926,8276326.389145828
200,1707931.6013751714,8263484.585014977
300,1708000.7703979192,8257760.334452788
400,1707907.566342685,8254463.023112318
500,1707850.0341568554,8241681.524848263
600,1707925.5204198493,8229431.217203381
700,1707741.7214862301,8221260.185074682
800,1707788.0031126072,8209481.5557508925
900,1707698.6421965158,8201692.260407343
1000,1707594.576735612,8191942.868159613
1100,1707575.8506975644,8186313.00869477
1200,1707452.7789663167,8183116.366097284
1300,1707321.2469497698,8168989.188107211
1400,1707138.7122196844,8158603.5739746485
1500,1707188.9541839894,8146707.120597871
1600,1706947.1460255592,8142690.957890447
1700,1706869.220349626,8134705.330385407
1800,1706744.6945239862,8126733.951042652
1900,1706623.4432981107,8112830.027495007
2000,1706693.9825180518,8104831.04204718
2100,1706463.6376182446,8096712.214667978
2200,1706395.2803883539,8084626.987948949
2300,1706253.1676893083,8081646.160135452
2400,1706162.1804921243,8066894.3534719115
2500,1705875.9380939605,8061399.902829951
2600,1705825.2090563965,8055317.440564107
2700,1705588.036193721,8044535.260294951
2800,1705531.4584816955,8042337.171454295
2900,1705405.6221893867,8033621.784541353
3000,1705222.227329216,8015949.24964513
3100,1705099.7425814432,8013995.418126731
3200,1704809.7494131168,8003671.986771188
3300,1704670.0993449197,7993699.352285381
3400,1704553.8334760522,7990651.2058000285
3500,1704288.4833860232,7982030.738405733
3600,1704147.572734956,7973512.836525931
3700,1703945.5718666178,7959995.707157032
3800,1703920.1797854512,7950054.623141998
3900,1703626.6110314932,7942728.830384895
4000,1703437.0809852567,7931816.882042504
4100,1703216.3976528032,7925531.085684176
4200,1703004.6378176347,7918408.046170064
4300,1702768.1600085336,7906145.16762656
4400,1702665.5793580941,7902675.032314251
4500,1702516.2317185004,7893202.345859133
4600,1702206.379413674,7892162.406988443
4700,1701947.9346389398,7883790.349959586
4800,1701707.2599990251,7875884.678075294
4900,1701556.0699396208,7858158.159985266
5000,1701203.4907056838,7853367.265843578
