miliseconds,E,T
0,1708155.2217012413,8282301.979828594
100,1708113.6321121138,8271332.5883908635
200,1707931.2734345275,8273604.733254578
300,1707906.6100132288,8256824.41840033
400,1707883.9143999268,8250570.383982424
500,1707903.364933321,8240137.493273473
600,1707834.4518726054,8231342.160101836
700,1707744.359261955,8222502.449272808
800,1707762.7313183206,8213162.235259082
900,1707543.0759242538,8199827.663516841
1000,1707656.867753824,8191215.087321491
1100,1707432.0348980336,8188564.73825972
1200,1707460.0804507723,8176173.398447962
1300,1707374.1771434485,8163374.065625833
1400,1707220.3007939346,8157959.573315129
1500,1707105.7625434336,8150211.516943568
1600,1707025.1369113727,8144569.671060005
1700,1706957.6767855207,8127230.573925409
1800,1706849.7874314706,8122456.605590502
1900,1706611.522886454,8119763.2621584
2000,1706637.1288959573,8112965.905110443
2100,1706444.5409734545,8093541.060359155
2200,1706320.0936323549,8093856.600054159
2300,1706302.5805455428,8084266.993922103
2400,1706104.938232239,8068191.587216526
2500,1706030.0874963107,8061856.566736753
2600,1705868.8654009253,8052381.119766273
2700,1705685.0384164155,8044877.189355912
2800,1705599.228646067,8037147.076555319
2900,1705465.9487072593,8031551.633354853
3000,1705317.2331191346,8020650.387186652
3100,1705001.8974519134,8006148.297821001
3200,1704802.3306166492,7998887.341990143
3300,1704661.648549129,8000168.804417366
3400,1704578.5356238065,7983484.053271751
3500,1704329.891699812,7979911.766599794
3600,1704175.5957771176,7971083.413171057
3700,1704019.108508249,7960075.345378712
3800,1703842.5512885263,7954678.493046356
3900,1703553.7314769821,7945262.328631008
4000,1703455.9440021983,7937817.1575983185
4100,1703273.153984826,7928147.688196225
4200,1703018.5742887754,7926444.379744548
4300,1702828.712885905,7909370.64108263
4400,1702666.4462771143,7900744.961000415
4500,1702508.1967060016,7895012.032250173
4600,1702166.6682730983,7882413.2691549035
4700,1701952.891324713,7884405.690780874
4800,1701765.8188605376,7869186.601163238
4900,1701568.3099547338,7864686.632617003
5000,1701382.465181626,7859237.1858262
