miliseconds,E,T
0,1708114.3656526764,8291646.696899812
100,1707990.8820808355,8280396.824762777
200,1708004.4130733737,8273082.997757554
300,1708032.7590819404,8254149.575941645
400,1707896.7892388776,8246977.307336711
500,1707978.7170596896,8241594.4854933005
600,1707899.3130060523,8230934.790665401
700,1707741.428362004,8224433.672264285
800,1707728.4466523053,8215863.679266195
900,1707625.2857547293,8205495.127432858
1000,1707563.3699201243,8193819.947250681
1100,1707399.5752914334,8192735.698694059
1200,1707320.2365867263,8183245.138384602
1300,1707377.1609483077,8173799.1978138955
1400,1707149.532639525,8154871.597121502
1500,1707172.0935800702,8145231.277501409
1600,1707098.9806156573,8144607.363100069
1700,1706877.7306572124,8138883.00282281
1800,1706911.1592877903,8123387.168380331
1900,1706678.3659106866,8121706.815202811
2000,1706573.1852528814,8107822.2258083215
2100,1706545.4106341405,8094872.947380283
2200,1706397.4240666323,8089403.2263293965
2300,1706246.2257390441,8087074.781842608
2400,1706120.084753181,8074790.130394815
2500,1705917.6969095382,8061320.434498485
2600,1705807.5345787392,8050342.238039843
2700,1705643.9372485823,8047837.2339734705
2800,1705481.7665202038,8035917.346320076
2900,1705320.89452018,8027117.7560184235
3000,1705114.41744438,8015422.993621355
3100,1705006.6143494132,8017977.183829888
3200,1704968.7773690443,8000344.50262026
3300,1704740.9998834385,7999710.097421732
3400,1704636.6809850922,7989327.847110901
3500,1704431.3969632862,7982461.968143276
3600,1704146.2377030773,7973919.699491118
3700,1704077.6971262945,7964851.765571598
3800,1703784.033084922,7952304.146872765
3900,1703578.5434951247,7950750.27602685
4000,1703358.2192435428,7936211.601445636
4100,1703343.4362284893,7924450.924493975
4200,1703064.7894273794,7921739.108816533
4300,1702903.656028054,7910266.845445354
4400,1702618.8200275286,7900393.7343205055
4500,1702326.783880174,7898955.363303365
4600,1702198.3287430657,7891957.596727504
4700,1701906.3147879292,7879367.097496841
4800,1701657.8399999097,7871837.940980136
4900,1701585.8904713762,7868383.673905949
5000,1701240.07341805,7859994.518292641
