milliseconds,E,T
0,1708061.6292957442,8280120.534250531
100,1708046.7551777114,8273617.753155797
200,1708041.882002422,8266572.947255411
300,1707989.998698252,8263580.86452846
400,1707987.3310045393,8252224.628690503
500,1707785.3799925784,8240106.14279298
600,1707746.3174768535,8229068.216032476
700,1707680.252854834,8223785.611884229
800,1707636.193757838,8212581.91813355
900,1707719.5871188787,8207351.912170828
1000,1707652.3504421194,8198306.965210054
1100,1707427.1878908644,8187197.317072033
1200,1707336.5450570928,8177056.83660396
1300,1707301.2898637268,8171926.725054629
1400,1707284.09565857,8165275.272190382
1500,1707132.3926545128,8146199.954226007
1600,1707003.3365740047,8139781.333887137
1700,1706988.6969914036,8133776.257177515
1800,1706792.7199400947,8125036.933158524
1900,1706776.1651545763,8121481.343148963
2000,1706558.0863821937,8109446.791331449
2100,1706460.443243764,8104320.159008459
2200,1706334.0821963903,8087861.810812495
2300,1706188.9604720373,8075637.035718815
2400,1706027.970765644,8072550.0664800955
2500,1705991.3790247117,8066869.378059887
2600,1705768.5170463945,8053640.665925803
2700,1705757.7310741583,8041767.2232876355
2800,1705497.4571959253,8034931.408664763
2900,1705302.4589774692,8028070.358635709
3000,1705220.5809885862,8024555.899364116
3100,1705121.8931795172,8016604.047963255
3200,1704976.6650745668,8000941.924105335
3300,1704650.8989933238,7996504.2863873765
3400,1704508.1014834389,7991477.242182936
3500,1704315.7874891155,7980579.770593295
3600,1704132.1617696239,7974495.699347774
3700,1704077.9015862264,7957869.490220956
3800,1703739.0604483855,7954823.755466017
3900,1703565.6732130433,7946186.440368533
4000,1703436.862105842,7941036.970356304
4100,1703329.882922772,7933175.64427538
4200,1702979.050713183,7917245.250277446
4300,1702939.1079608523,7913629.983578669
4400,1702712.157824332,7905355.123726218
4500,1702378.4125010776,7901988.747022813
4600,1702181.5268376346,7886107.290939915
4700,1701987.6983480826,7877039.5342016285
4800,1701730.5301215793,7871886.924334707
4900,1701426.3837081408,7857214.322749571
5000,1701263.326177019,7852401.49168903
