milliseconds,E,T
0,1708044.8010856214,8281581.772080058
100,1708069.593235413,8283102.632315227
200,1708014.867217662,8267619.519680919
300,1708022.4123190925,8254309.943820668
400,1707948.6138789603,8250806.365337925
500,1707873.9381248355,8236515.358040641
600,1707848.3377193816,8227997.384436573
700,1707729.9624969603,8224218.937795987
800,1707634.061434688,8210455.064535364
900,1707563.0269172562,8201349.821882431
1000,1707477.9523774425,8198211.716588088
1100,1707468.9276524677,8185541.164867149
1200,1707360.625273627,8171450.64150187
1300,1707384.735746634,8168237.121281876
1400,1707264.5268954907,8154339.2904757885
1500,1707038.6174696703,8154191.074208349
1600,1707016.0143704393,8147266.15791238
1700,1706892.232408598,8128964.208220447
1800,1706833.210924817,8130854.509472283
1900,1706613.8065480073,8115742.53694044
2000,1706677.4542430644,8108062.578382766
2100,1706477.356107531,8097658.817764925
2200,1706297.0638664723,8089986.295825013
2300,1706270.3276293275,8074726.83177319
2400,1706020.2145212663,8072396.429246254
2500,1705887.076910648,8063280.665000764
2600,1705720.501631667,8060004.840920158
2700,1705619.890219641,8052501.984650016
2800,1705571.6448460992,8042640.398372768
2900,1705387.566540038,8029846.488275707
3000,1705230.4104558486,8017613.130317246
3100,1705105.7629420448,8009616.394361732
3200,1704915.0156518777,8004063.129667712
3300,1704827.643175153,7994219.105836718
3400,1704498.2351447686,7982120.952731471
3500,1704437.6794748504,7980577.921101687
3600,1704220.2476145632,7971848.1713657575
3700,1703931.7088116691,7962021.182332774
3800,1703796.7226968831,7952802.40051812
3900,1703596.5837938774,7947482.011533433
4000,1703515.2987190483,7938726.906296293
4100,1703274.7098373526,7927841.069746428
4200,1702997.2462251512,7918515.041713699
4300,1702811.5944215576,7910899.337301177
4400,1702556.760319814,7908062.318563281
4500,1702415.47096774,7893938.899395029
4600,1702112.625252595,7886375.610554605
4700,1701948.3773119512,7882713.056634862
4800,1701817.097631045,7866554.331646488
4900,1701466.4045707586,7862695.920224008
5000,1701318.989610067,7852865.25892789
