milliseconds,FeDuo,FeDuo_0,FeRBC,FeRBC_0,FeSpleen,FeSpleen_0,FeLiver,FeLiver_0,Fe2Tf,NTBI,Tf,Fe1Tf,Hepcidin,Fe2Tf_0,Fe1Tf_0,NTBI_0,Fe2Tf_,FeRest,FeOutside,FeRest_0,FeBM,FeBM_0
0,1.1185122911299793e-35,0.0117590568706314,5.605257984680539e-34,0.0379799887571665,-9.412359192539851e-35,0.00394239990123767,-4.6043971908625173e-35,0.00200010981212238,7.272690967881359e-36,-7.228572482734803e-40,1.5821833083706e-05,-2.9026304905957827e-36,2.30017456622937e-08,1.3524819675704794e-05,9.353347240589152e-06,3.3311210465159e-08,-2.1373574275666315e-54,7.712966598294165e-36,3.164269285971906e-36,0.000286841656341217,0.0030378361484431904,-4.807986070677122e-34
100,1.3574000544739834e-35,0.0117590568706314,4.7957647661850925e-34,0.0379799887571665,-1.2228490967082107e-34,0.0039423999012376705,1.7509561479060877e-34,0.00200010981212238,1.466947719410021e-35,3.5885995375462074e-40,1.5821833083706264e-05,1.6692210875584905e-35,2.3001745662293693e-08,1.3524819675705143e-05,9.353347240588554e-06,3.3311210465158804e-08,-3.413612973144546e-51,5.820211325273523e-35,-1.769469369687843e-36,0.000286841656341217,0.0030378361484431904,-1.2555603819630317e-33
200,7.925448269797224e-35,0.011759056870631399,-6.466910011582196e-34,0.0379799887571665,-4.986534624682651e-35,0.003942399901237671,1.6421579483212752e-36,0.00200010981212238,5.656760772288746e-35,8.399752671141624e-40,1.5821833083706274e-05,4.722454996950308e-35,2.3001745662293693e-08,1.3524819675705185e-05,9.353347240588497e-06,3.331121046515888e-08,-1.192942195357838e-50,1.4714195796443631e-34,4.381219689703344e-36,0.000286841656341217,0.0030378361484431904,-3.6590814166319844e-33
300,1.4716915199864404e-34,0.011759056870631399,-3.9716058318968e-34,0.0379799887571665,-1.066519886922485e-34,0.003942399901237671,8.651250332215351e-35,0.00200010981212238,1.07479669627813e-34,3.401017192205594e-39,1.5821833083706295e-05,7.44147662848726e-35,2.3001745662293693e-08,1.3524819675705228e-05,9.353347240588425e-06,3.3311210465158936e-08,-2.1194085915799116e-50,2.3360830762071387e-34,-8.021099996298593e-37,0.000286841656341217,0.0030378361484431913,-5.4149378229338626e-33
400,2.127773957215492e-34,0.011759056870631399,-3.64773129356059e-35,0.0379799887571665,-2.389528877718473e-34,0.003942399901237671,3.715510692570681e-34,0.0020001098121223797,1.2346285893271717e-34,4.30207624813624e-39,1.58218330837063e-05,9.802717766182114e-35,2.30017456622937e-08,1.352481967570525e-05,9.353347240588386e-06,3.331121046515899e-08,-2.7459206556352094e-50,2.9826898883252126e-34,1.0372694585862266e-36,0.000286841656341217,0.0030378361484431917,-5.216521182923605e-33
500,2.0321041422664706e-34,0.011759056870631399,3.5149571776722994e-34,0.0379799887571665,-9.266859695971859e-35,0.003942399901237671,3.397539002618525e-34,0.0020001098121223797,1.3576582384694393e-34,4.383779473827994e-39,1.58218330837063e-05,9.742982953012138e-35,2.30017456622937e-08,1.3524819675705248e-05,9.353347240588397e-06,3.331121046515899e-08,-2.7128310246225806e-50,3.2178063703593424e-34,3.235600245294863e-36,0.000286841656341217,0.0030378361484431917,-5.6932690029950166e-33
600,2.971308903075031e-34,0.011759056870631399,4.288691535787377e-34,0.0379799887571665,-1.5297542548651586e-34,0.003942399901237671,6.095891486898522e-34,0.00200010981212238,1.3643628464864039e-34,6.367344037281185e-39,1.5821833083706305e-05,9.298507608136753e-35,2.30017456622937e-08,1.3524819675705251e-05,9.353347240588393e-06,3.331121046515899e-08,-2.75709871263721e-50,3.3105297088377285e-34,5.959657748175132e-36,0.000286841656341217,0.0030378361484431913,-5.203756532169881e-33
700,3.0595028890235877e-34,0.011759056870631399,1.3605895465544935e-33,0.0379799887571665,5.518013443214591e-35,0.003942399901237671,7.518255475924435e-34,0.00200010981212238,1.5013517871142606e-34,6.70207498792508e-39,1.5821833083706305e-05,8.94154340754639e-35,2.30017456622937e-08,1.352481967570525e-05,9.35334724058839e-06,3.331121046515899e-08,-2.8399335119167106e-50,3.8545698480233324e-34,1.1311709648635368e-35,0.000286841656341217,0.0030378361484431913,-4.423833217369188e-33
800,3.267975447687899e-34,0.011759056870631399,1.6281409263183825e-33,0.0379799887571665,6.061736510533447e-35,0.003942399901237671,7.197920276558185e-34,0.00200010981212238,1.594963084835264e-34,9.40738476045746e-39,1.58218330837063e-05,8.989080692737696e-35,2.30017456622937e-08,1.3524819675705253e-05,9.353347240588388e-06,3.331121046515898e-08,-3.158995624149099e-50,4.050024949644568e-34,1.0653862818910897e-35,0.000286841656341217,0.0030378361484431917,-3.282801970103574e-33
900,3.8236907969298157e-34,0.011759056870631399,1.770974585412733e-33,0.0379799887571665,2.1986434298176456e-34,0.003942399901237671,8.823426658875451e-34,0.00200010981212238,1.7435035377131912e-34,1.0594425278600778e-38,1.5821833083706308e-05,8.590161016013485e-35,2.30017456622937e-08,1.3524819675705257e-05,9.353347240588385e-06,3.331121046515899e-08,-3.182710212131658e-50,3.935286441736328e-34,1.495414233470983e-35,0.000286841656341217,0.0030378361484431917,-1.965435633432905e-33
