milliseconds,FeDuo,FeDuo_0,FeRBC,FeRBC_0,FeSpleen,FeSpleen_0,FeLiver,FeLiver_0,Fe2Tf,NTBI,Tf,Fe1Tf,Hepcidin,Fe2Tf_0,Fe1Tf_0,NTBI_0,Fe2Tf_,FeRest,FeOutside,FeRest_0,FeBM,FeBM_0
0,4.858908486128015e-35,0.0117590568706314,-3.160943676953602e-34,0.0379799887571665,5.996504385414702e-35,0.00394239990123767,-6.478855167008039e-36,0.00200010981212238,6.173218380953323e-36,-2.7303699416387857e-40,1.5821833083706e-05,-1.027005854460821e-37,2.30017456622937e-08,1.3524819675704796e-05,9.35334724058914e-06,3.3311210465159e-08,1.739192958905006e-51,-1.0281900018899239e-35,1.381183391415776e-36,0.000286841656341217,0.003037836148443191,-2.7197774837164347e-34
100,-2.2083636170777397e-35,0.0117590568706314,1.4736078543938627e-34,0.0379799887571665,-3.4004903931850216e-35,0.0039423999012376705,4.835921087771105e-35,0.00200010981212238,2.47756617701171e-35,-4.4876347754512434e-41,1.582183308370626e-05,1.8119009561383344e-35,2.3001745662293693e-08,1.3524819675705145e-05,9.353347240588549e-06,3.331121046515881e-08,-3.744411031956774e-51,7.160763831589034e-35,1.1137901747251172e-37,0.000286841656341217,0.0030378361484431904,-9.093682026974097e-34
200,4.421469223429198e-35,0.011759056870631399,2.8260787100052773e-34,0.0379799887571665,-9.780656691543362e-35,0.003942399901237671,1.1472292123646047e-34,0.00200010981212238,5.486670852442007e-35,2.099905079950993e-39,1.5821833083706274e-05,4.4803068888257033e-35,2.3001745662293693e-08,1.3524819675705182e-05,9.353347240588483e-06,3.3311210465158884e-08,-1.2223345885994953e-50,1.318893867891149e-34,2.994441752139047e-36,0.000286841656341217,0.0030378361484431904,-2.6437844977564733e-33
300,7.69724976048368e-35,0.011759056870631399,-3.752216585836273e-34,0.0379799887571665,-1.4703053030251364e-34,0.003942399901237671,1.1242817313367885e-34,0.00200010981212238,9.486311376642502e-35,3.004319893458306e-39,1.582183308370629e-05,7.528035661869926e-35,2.3001745662293693e-08,1.352481967570522e-05,9.353347240588444e-06,3.3311210465158936e-08,-2.197440714650884e-50,2.2997434631373727e-34,3.0769389282393168e-37,0.000286841656341217,0.0030378361484431913,-4.2974065854229656e-33
400,1.743538568524747e-34,0.011759056870631399,-6.195781727200614e-35,0.0379799887571665,-1.7261238318471177e-34,0.003942399901237671,2.0219823702351373e-34,0.0020001098121223797,1.3437645617297372e-34,3.5037553762884303e-39,1.5821833083706308e-05,9.90252253610786e-35,2.30017456622937e-08,1.3524819675705251e-05,9.35334724058838e-06,3.331121046515899e-08,-2.6380892846652486e-50,2.99915008406743e-34,4.7413376643085675e-36,0.000286841656341217,0.003037836148443191,-6.43387160706083e-33
500,2.5307064638682607e-34,0.011759056870631399,-1.5030447777209325e-34,0.0379799887571665,-1.0166130040555074e-34,0.003942399901237671,2.7919574718691963e-34,0.0020001098121223797,1.4262936087806724e-34,6.220661750709133e-39,1.58218330837063e-05,9.667649680112557e-35,2.30017456622937e-08,1.3524819675705248e-05,9.353347240588385e-06,3.331121046515899e-08,-2.9086493939847443e-50,3.4177555814124545e-34,2.3059280565765415e-36,0.000286841656341217,0.003037836148443192,-5.985325847388939e-33
600,2.243162932757097e-34,0.011759056870631399,9.005643162570095e-34,0.0379799887571665,-4.4908558725410084e-35,0.003942399901237671,5.280217352843935e-34,0.00200010981212238,1.5268694250308812e-34,6.904764362127715e-39,1.58218330837063e-05,9.52648912757261e-35,2.30017456622937e-08,1.3524819675705251e-05,9.353347240588397e-06,3.331121046515899e-08,-3.0510299192881035e-50,3.5216273977818636e-34,9.852161978712729e-36,0.000286841656341217,0.0030378361484431913,-3.772041455807537e-33
700,3.0550173734986113e-34,0.011759056870631399,9.738765440869668e-34,0.0379799887571665,-6.48525959592162e-35,0.003942399901237671,5.79107214549383e-34,0.00200010981212238,1.6200357671049564e-34,8.116921500128819e-39,1.5821833083706305e-05,9.187161451264757e-35,2.30017456622937e-08,1.3524819675705255e-05,9.353347240588388e-06,3.331121046515899e-08,-2.9928638578046295e-50,3.921937425391375e-34,1.2367607988845134e-35,0.000286841656341217,0.003037836148443192,-3.5976339496997795e-33
800,3.811468177880501e-34,0.011759056870631399,1.0548382487672196e-33,0.0379799887571665,4.980540562306745e-35,0.003942399901237671,5.994029768101124e-34,0.00200010981212238,1.7253291418097053e-34,8.039826791601032e-39,1.5821833083706308e-05,8.554510883947628e-35,2.30017456622937e-08,1.3524819675705258e-05,9.353347240588395e-06,3.331121046515899e-08,-3.032311138907027e-50,3.981328212071116e-34,1.160176178292217e-35,0.000286841656341217,0.0030378361484431917,-3.3439007212453444e-33
900,4.320548244869975e-34,0.011759056870631399,1.870341181402804e-33,0.0379799887571665,2.616369255111294e-34,0.003942399901237671,8.413967130625823e-34,0.00200010981212238,1.7851480724986458e-34,1.083232242748024e-38,1.5821833083706308e-05,8.635655695788681e-35,2.30017456622937e-08,1.3524819675705257e-05,9.353347240588378e-06,3.331121046515899e-08,-3.024876409669729e-50,3.8196818576864874e-34,1.3872237554499413e-35,0.000286841656341217,0.0030378361484431917,-3.082891283080877e-33
