milliseconds,Susceptible,Exposed,Infected,Recovered,Total_population
0,315283090.04,14439817.0,330052.96,0.0,330052960.0
100,315275658.63414055,14172147.226793036,602562.1981920517,2591.940874249609,330052960.0
200,315263946.7404507,13913820.765344726,868518.4249211373,6674.069283402337,330052960.0
300,315248059.91792756,13664557.524853898,1128134.4406832955,12208.116535161687,330052960.0
400,315228100.4592551,13424085.948008336,1381616.5457617142,19157.046974825185,330052960.0
500,315204167.5117853,13192142.682754863,1629164.7962342903,27485.00922554886,330052960.0
600,315176357.1454765,12968472.394610077,1870973.1519173363,37157.307996102645,330052960.0
700,315144762.445174,12752827.514773548,2107229.6734661907,48140.36658633134,330052960.0
800,315109473.59945977,12544967.999144305,2338116.710237207,60401.691158754606,330052960.0
900,315070577.9638972,12344661.15875141,2563811.031518109,73909.8458333156,330052960.0
1000,315028160.1588181,12151681.392868726,2784484.03533274,88634.41298050624,330052960.0
1100,314982302.21360064,11965809.792271467,3000302.060249028,104545.93387896757,330052960.0
1200,314933083.3607001,11786834.729659615,3211425.9098088294,121615.99983156577,330052960.0
1300,314880580.6400032,11614550.164388524,3418012.2009449457,139816.9946634535,330052960.0
1400,314824868.54219574,11448756.659190474,3620212.547337008,159122.25127686057,330052960.0
1500,314766018.99430674,11289261.43155632,3818173.513184181,179506.06095286508,330052960.0
1600,314704102.03072,11135876.46785856,4012038.115650801,200943.38577071053,330052960.0
1700,314639185.0990111,10988420.503282238,4201944.2353563355,223410.162350394,330052960.0
1800,314571333.6038656,10846717.48740719,4388025.839783965,246883.06894325768,330052960.0
1900,314500610.9176702,10710596.566582797,4570412.991710959,271339.52403598593,330052960.0
2000,314427078.19788843,10579892.617732288,4749231.413864495,296757.77051469765,330052960.0
2100,314350794.73194087,10454445.27647092,4924603.265664979,323116.72592313326,330052960.0
2200,314271817.8458956,10334099.211232994,5096646.91503001,350396.0278412942,330052960.0
2300,314190203.0017041,10218703.858643938,5265477.1449837815,378575.9946680863,330052960.0
2400,314106003.8568584,10108113.265557578,5431205.2760067005,407637.601577223,330052960.0
2500,314019272.11543393,10002186.51801114,5593938.8211296275,437562.5454252418,330052960.0
2600,313930057.92782456,9900786.628251173,5753782.363375162,468333.0805490813,330052960.0
2700,313838409.8292874,9803780.717491617,5910837.406907989,499932.0463130837,330052960.0
2800,313744374.7865331,9711039.895134632,6065202.46853821,532342.849794211,330052960.0
2900,313647998.2853129,9622439.022820162,6216973.260421924,565549.4314453371,330052960.0
3000,313549324.3997314,9537856.529810855,6366242.832112416,599536.2383457305,330052960.0
3100,313448395.86156064,9457174.22837697,6513101.712611345,634288.1974515351,330052960.0
3200,313345253.2173036,9380279.672858804,6657636.043043347,669791.0667948775,330052960.0
3300,313239935.63128066,9307063.929029983,6799929.334960828,706031.1047292002,330052960.0
3400,313132481.98729265,9237418.510924358,6940064.8863103725,742994.6154733966,330052960.0
3500,313022929.4145936,9171239.499604238,7078122.52402879,780668.5617742357,330052960.0
3600,312911313.73837405,9108426.293415833,7214179.588190568,819040.380020423,330052960.0
3700,312797668.6963154,9048883.781840324,7348309.21687479,858098.3049703727,330052960.0
3800,312682027.97802377,8992516.713714454,7480584.777125592,897830.5311370314,330052960.0
3900,312564423.71319854,8939233.885163786,7611076.56394621,938225.8376923392,330052960.0
4000,312444886.9159144,8888946.918625232,7739852.758227833,979273.4072333308,330052960.0
4100,312323447.4172777,8841570.429733843,7866979.302120436,1020962.8508688594,330052960.0
4200,312200134.05558175,8797021.547310166,7992520.258941949,1063284.1381669322,330052960.0
4300,312074974.692895,8755219.869391395,8116537.846483425,1106227.5912309308,330052960.0
4400,311947996.189312,8716087.525620515,8239092.390650333,1149783.8944178864,330052960.0
4500,311819224.435068,8679549.089340419,8360242.394662633,1193944.0809296397,330052960.0
4600,311688684.33814,8645531.598762216,8480044.528224694,1238699.534873728,330052960.0
4700,311556400.0518535,8613964.01222141,8598554.018141601,1284041.9177841349,330052960.0
4800,311422394.84642327,8584777.503004812,8715824.443361325,1329963.207211184,330052960.0
4900,311286691.1902603,8557905.259569518,8831907.880881531,1376455.6692892583,330052960.0
5000,311149310.3163691,8533283.636029625,8946854.021794053,1423512.0258077458,330052960.0
