milliseconds,L,U,V
0,10000.0,990000.0,0.0
100,9990.039183660509,990009.9608163394,26.361537192485603
200,9980.228992060773,990019.7710079392,100.86688840066432
300,9970.8264237791,990029.1735762209,311.49228602062476
400,9962.558120894586,990037.4418791046,906.981592013165
500,9957.478591380193,990042.5214086168,2590.633451922287
600,9961.396802616715,990038.6031973743,7350.932918090733
700,9990.737444191294,990009.2625557825,20809.758933343448
800,10091.942353975244,989908.0576459498,58858.66172327754
900,10396.338342848194,989603.6616569881,166396.18631990365
1000,11275.356194385102,988724.6438054505,470091.4412398432
1100,13780.015920904274,986219.9840789315,1325838.3373392944
1200,20887.75023314015,979112.2497666962,3721870.609412851
1300,41047.74782216846,958952.2521776689,10310177.90288211
1400,98077.57027682438,901922.4297230085,27506489.589892786
1500,252803.67555126268,747196.3244485524,66095450.54376553
1600,572836.2338968513,427163.76610296144,123492021.4218552
1700,870470.2083363463,129529.79166346572,161453418.23347983
1800,973871.363477364,26128.636522447778,171364197.826551
1900,995242.8906918782,4757.109307933665,171920468.50495133
2000,999139.1140022329,860.8859975800245,170605704.9614053
2100,999842.1693822822,157.83061753103306,168966869.25201675
2200,999970.5888967593,29.411103054010894,167283919.97316033
2300,999994.4268328813,5.573166931870647,165606860.7436074
2400,999998.9261611318,1.073838681360797,163944616.49488628
2500,999999.7896420503,0.21035776287883223,162298693.23615876
2600,999999.9581117795,0.04188803350622571,160669236.8861346
2700,999999.9915224211,0.008477392149803118,159056140.97967985
2800,999999.9982563809,0.0017434308725080329,157459252.53064245
2900,999999.9996355206,0.0003642901126923409,155878410.91478693
3000,999999.9999224857,7.732515639261465e-05,154313455.32408437
3100,999999.9999831399,1.6670799199973048e-05,152764226.20848697
3200,999999.999996161,3.649944409462026e-06,151230565.54886356
3300,999999.9999989994,8.114151072512299e-07,149712316.8991589
3400,999999.9999996277,1.831309044086565e-07,148209325.38236275
3500,999999.9999997689,4.1955343074691915e-08,146721437.67719117
3600,999999.999999801,9.7558119489915e-09,145248502.0029694
3700,999999.9999998085,2.3025457354462704e-09,143790368.10426113
3800,999999.9999998102,5.52171091180522e-10,142346887.23556486
3900,999999.9999998107,1.345816489999886e-10,140917912.14614597
4000,999999.9999998109,3.650941591657988e-11,139503297.06501678
4100,999999.9999998109,9.597737192704695e-12,138102897.68606606
4200,999999.9999998109,2.7114519912731323e-12,136716571.1533383
4300,999999.9999998109,5.724378060479499e-13,135344176.0464622
4400,999999.9999998109,2.6443722592960404e-13,133985572.36622255
4500,999999.9999998109,-1.8382740188608595e-15,132640621.52027984
4600,999999.9999998109,-1.902030512197254e-13,131309186.30903405
4700,999999.9999998109,-7.011876256282464e-14,129991130.91162434
4800,999999.9999998109,3.954496748327582e-14,128686320.8720746
4900,999999.9999998109,-2.342347321315302e-15,127394623.08403832
5000,999999.9999998109,-7.539098724282049e-14,126115905.77604003
