milliseconds,II_f,II_l,mIIa_f,mIIa_l,V_f,V_l,Va_f,Va_l,VII_f,VII_l,VIIa_f,VIIa_l,X_f,X_l,Xa_f,Xa_l,APC_f,APC_l,PS_f,PS_l,Vai_f,Vai_l,PC_f,PC_l,TF_l,TF_VIIa_l,TF_VII_l,TF_VIIa_X_l,TF_VIIa_Xa_l,TF_VII_Xa_l,Xa_Va_l,V_Xa_l,IIa_f,V_IIa_l,Xa_Va_II_l,Xa_Va_mIIa_l,APC_PS_l,TFPI_f,AT_f,IIa_AT_f,TFPI_Xa_l,TFPI_Xa_TF_VIIa_l,APC_PS_Va_l,Xa_AT_f,VII_Xa_l,V_mIIa_l,TM_l,IIa_TM_l,IIa_TM_PC_l,mIIa_AT_l,LIPID,alpha2M_l,alpha2M_IIa_l,alpha2M_Xa_l
0,1164.3282669034636,12.340818043512694,2.821844650789e-12,2.1304459123076764e-11,1.7561865376776407,0.01208983048937981,7.397978644737794e-10,1.483673290649517e-07,7.540035759781377,0.07870315702891038,0.10017106299551826,-0.0011681974655260645,142.2752199194593,-1.4358442064515788,3.613692862564334e-06,-1.3706539656858926e-05,-7.092486905500336e-14,1.641285131272227e-12,116.42120398100275,-0.13799805837080792,-9.353382169031763e-22,-7.419074876154933e-20,65.75172683221854,-0.40017525959946065,0.01813566776369163,-2.583653695128786e-06,3.1132792984825705e-05,1.86721410082978e-05,2.8678786290994476e-06,5.4404493802872246e-11,-3.7430796195397626e-11,-4.311390207185969e-08,-6.192381177747149e-11,1.079124662093792e-12,-2.1652852935119568e-11,3.4178924789263205e-12,-1.0084588757520324e-11,12.300001669023313,4720.999999906152,8.459925507584653e-13,-1.1634112269621015e-06,-2.2657089208427467e-11,-1.1808658951242788e-19,-1.1016537887620537e-07,1.9048524286684034e-07,7.357830059229449e-12,0.9999999999932209,7.0811643574559255e-12,-5.9296117909175105e-12,6.405960481947514e-14,168814.22164603695,364.00000000147713,1.6477258261738527e-14,2.7379767465070072e-09
100,733.8052448794865,458.1622601721024,1.4338054157118019e-12,-2.0966028480559005e-10,0.02935759478336366,1.760354723536931,-4.034428399328863e-10,8.293790683005485e-10,0.11925999436010626,7.389960631514748,0.0006009725103141764,0.09901973738376614,51.86846040878824,93.6950747438207,7.055903559060767e-06,-3.338182225269738e-05,-3.0536312990506644e-13,9.86005927956769e-13,1.9684898111159703,116.56501061628907,-5.699423374320272e-22,1.3329573545343943e-19,12.372102015166195,54.07824643266252,0.018241484362338536,8.321893374402495e-06,-1.9407103199784478e-05,-6.596538586721748e-06,-2.5883767626382705e-05,-1.6035808517989373e-11,-1.953485533877143e-12,7.039569376214395e-07,5.071930980912391e-11,8.267380829545795e-13,2.075833276264574e-11,6.931721380887952e-12,-8.889452496866846e-13,12.299997917914629,4721.000000108446,-3.5850747258786233e-13,5.406602310975048e-07,-3.0808028478690507e-11,-1.2742766177725052e-18,-1.2580325519496872e-07,-1.050524675118658e-07,-5.048340868734272e-13,1.0000000000013678,1.3548510453807836e-11,7.510961920806883e-12,-1.0127070484906636e-13,98105.02631449465,363.999999997323,2.6816873725179898e-14,2.8430265841416308e-09
200,551.8377465798983,641.0618067275411,5.915008225328749e-12,3.5517608838473005e-10,0.02666538186047646,1.7590844662823877,-1.0314956690923225e-09,-1.6573412715925657e-07,0.210554324799692,7.4762708177920825,-0.0003522543463866524,0.09815260952443662,34.07161210537696,109.77778661334672,2.084539485480128e-06,-3.385942147438533e-05,2.7671145349571813e-14,-7.447784977409278e-13,1.989950196028492,116.36873090601009,-1.1219037665796767e-21,5.486706626739731e-20,14.697791941725816,51.642949528521505,0.0177618303307738,0.00011582492495078474,0.00010214170870022594,4.956815923503109e-05,1.0472909728595817e-05,-2.2583772791798234e-11,6.481634249030939e-11,3.4738960504499525e-06,5.913153673259395e-11,5.982001214809411e-13,2.6965992346945694e-11,-2.2965855479968968e-12,7.362366541936133e-12,12.300000257927989,4720.999999968643,6.486097054265893e-13,2.18264015618368e-06,-6.812808388643139e-12,-5.729557666609494e-19,6.164461658160894e-08,2.278794359101926e-07,1.4798959492577323e-12,1.000000000026825,7.119857079511004e-12,2.8402202093747266e-12,-9.978616338740289e-14,77360.23642929745,364.00000000493594,4.109853670611289e-15,-4.881688030727605e-09
300,460.4797182881083,725.3498358494672,-4.6908918116956705e-12,-1.2039551408513356e-10,0.0007794655537947106,1.724726597196284,1.0198531555071405e-09,1.2574962281242142e-08,0.11523264089693316,7.49905163445258,0.0017532159115504794,0.09921260707602297,31.726914846961552,110.03096828519224,6.311508276954639e-06,-2.1291266675289795e-05,-2.540696282125522e-13,1.2900983162349385e-12,-0.6181777424427868,114.12116810064475,3.830094185758478e-22,7.293972736408112e-20,16.619196332302224,49.639227329681155,0.017805657632265003,0.00014543536219896217,0.00017697061219720708,4.5391746464444333e-05,2.2970291751884504e-05,5.877728640363052e-11,5.753955548401566e-11,-4.029336892781327e-06,-1.0772218191969517e-11,-1.2102742264655496e-12,-1.965338320692032e-11,8.824005384922944e-12,-7.878908020862411e-13,12.30000122311694,4720.999999934308,-7.869836081422781e-13,-5.484247673518492e-07,-1.7847388140142235e-11,-6.899259595116517e-19,3.5764747588042025e-10,-1.503517437827114e-07,6.175337035774287e-12,1.000000000011681,-4.1898160538041674e-12,-3.8116253202644745e-13,1.3853288582154376e-14,68689.84031796751,364.0000000031655,-1.3792259188938461e-15,-3.3253715656796595e-09
400,409.0173376508146,775.7195145892147,-4.6579225776039075e-12,-3.724824086886404e-10,0.00044822767062104724,1.7386502168959188,-3.43050630418724e-10,1.6570310458567528e-07,0.060355235470031396,7.475973452461507,-0.00037522579802128195,0.0985725575429246,30.525822678720747,112.05921450143994,1.8780829599531723e-06,-1.8545549453185538e-06,1.69188930465725e-13,-4.310822994246804e-13,-0.4622667193018418,116.58635324137795,8.449179561278784e-22,1.558719765424036e-19,16.74861929897351,49.280490432110994,0.017731174980724646,0.00023853667711472618,0.00019361553578677336,8.788424574342867e-05,4.192289370460606e-05,-3.2943339882421634e-11,-3.446268699763743e-11,1.685139852405899e-07,-1.8501151561229243e-11,9.431741287273377e-13,-1.8353816669082302e-11,-8.23658528472805e-12,-5.873968628735248e-12,12.300000350589553,4721.000000038179,6.974743965430387e-13,1.5978265341842924e-06,-1.0204546669456122e-11,-1.5487678612635725e-18,-2.0766898182223415e-09,1.3641872672856232e-07,-6.257503735304595e-12,0.9999999999877125,-1.0926461643860878e-11,-2.429834904998522e-12,1.066377780104231e-13,65228.494211359546,363.999999999662,1.9281436783920028e-14,4.667707269480639e-10
500,380.5460790368696,807.1486620987342,4.269039969127982e-12,-3.424252842449534e-10,0.006444066466741973,1.7625695686194456,2.769642649789338e-10,3.379970116436467e-08,0.14241545694484684,7.36884348063987,0.000786729857512673,0.09989726463442435,31.79521803399215,111.3572130269547,1.3191553771251466e-06,3.254300967219196e-07,-2.3285781845961693e-13,-4.1474192851453044e-13,0.1357893507746465,114.05674779070027,-6.057281508797291e-22,-1.07865785826855e-19,17.510977150557,47.747485252765294,0.017409461615539495,0.00025957122900666275,0.00039901819679775394,8.92554264503343e-05,5.278041835595229e-05,-3.0955713916829015e-11,7.574384728567191e-11,1.76926288188177e-06,4.167065460299279e-11,-1.0763569515504797e-12,3.485423935307646e-11,-1.782888606523732e-12,-2.3570849046686244e-13,12.300001668330822,4720.999999876284,-7.65784852696784e-13,-2.1318001568721888e-06,-3.886470958343316e-11,4.552109730905388e-19,-9.349843731252751e-08,7.346884788687267e-08,-6.2075126397491214e-12,1.0000000000122076,-1.9722707484103456e-11,-5.041738711611504e-12,4.510826107979795e-14,61703.69766155812,364.0000000001426,1.9899100266964165e-14,2.2520157785376076e-09
600,356.432363246359,818.8050762322927,5.143144882793774e-12,-1.4692047214803786e-10,-0.00690516029933742,1.750781107553748,-1.8484868569293137e-10,2.5190573965912487e-07,0.11381566190296467,7.506795382524326,0.0008835948326656145,0.09839146371413594,34.46897265613864,111.10418245145004,-3.4364367739456006e-06,-2.0675150246121247e-05,-3.9701074663878636e-14,1.4354019129248536e-12,0.07254060643300952,116.66984683845712,-5.975063827760273e-22,-1.0148304511746585e-19,18.702459820114584,48.079312533579525,0.017232398927592835,0.0003329948222507613,0.0004596469649347586,0.00012157988404369522,4.1868509746289896e-05,-7.772232381707409e-11,-1.1652468322117572e-11,3.647238052470127e-06,-1.064198687193894e-11,5.355589609408299e-13,-5.214182471571467e-11,-7.804297371800174e-12,4.838924618094541e-13,12.299999981996349,4721.000000076725,-5.322994006497797e-14,-5.572074204298475e-07,-7.942718093789553e-12,-6.851018182170973e-19,3.057652497388746e-08,-1.6354884269682016e-07,6.839784802907983e-12,1.0000000000168527,-3.046736618065547e-12,2.4322781916709694e-12,-1.4233958010512572e-14,60038.151283759056,364.0000000008448,-2.2150613225048712e-14,1.086585720826597e-09
700,340.62897243272045,822.7633739531733,3.5831887465754847e-12,9.690317297064516e-11,0.01501998409404657,1.7439167430319076,-1.2425062834657044e-09,4.910181370508443e-08,0.1238689613513271,7.400260820202124,0.0008094240843762935,0.09833712978741348,32.43169451087741,110.24929828588452,6.974188228869947e-07,-1.6031269819563373e-05,2.0931222395958338e-13,-8.809285088815928e-13,0.9173002882165812,114.87731732532926,-1.0502945223605059e-21,-1.5357302844539304e-19,18.498989760606253,47.291573812925606,0.01703584766354692,0.00041336904249740953,0.00045816218226356337,0.00011506456932711436,5.8303905239886334e-05,3.621100104562846e-11,-4.2427739096959044e-11,-2.3913224316287424e-06,1.7994719384346687e-11,4.861260528541291e-13,3.1633148657741194e-11,-8.48008328921811e-12,-8.698678335130961e-12,12.300000182798595,4721.000000052602,-3.2922346219902623e-13,-6.953786025560148e-07,-5.151076981212738e-13,2.0787797092900337e-18,1.108099845910137e-07,-1.24470455938058e-07,1.872130466391232e-13,0.9999999999957782,-1.7672521694991625e-11,8.54508199236827e-12,1.3299351641535974e-14,61035.833808718635,363.9999999994624,1.8918494249112043e-14,-2.5796870764263165e-10
800,354.566357898362,834.9245727492759,4.085163769948163e-12,-1.6320064755150743e-10,0.022077513791620384,1.7357847706846683,-5.616639403021607e-10,-1.8440586382852363e-07,0.18150403771375404,7.332398540656137,0.00010140828371802367,0.09798806372693718,35.09818255150274,109.34579302365188,-2.1743931187068453e-06,-1.5230766685924638e-05,-1.3022860945075836e-13,-1.1391835610343176e-12,-0.5843040059546124,115.94051633488277,5.135409215283993e-22,2.1691698131676123e-19,18.90685531344541,47.44835246246251,0.017022064945001678,0.0005097282025070939,0.0005220588327618128,0.00015303054664242833,7.089481353037676e-05,-6.355990424341965e-11,5.530589207419347e-11,-3.1192534356579427e-06,5.1905718624352884e-11,5.097314536818784e-13,1.7643626666723154e-11,-1.4759269518661865e-12,-2.030590679445923e-12,12.299999597249046,4720.999999975271,-6.402891207694225e-13,-1.678718708330189e-06,1.4466242931783272e-11,-7.191840836327605e-19,-5.764748865961604e-08,2.89035664439732e-07,1.3993411557198364e-12,0.999999999978543,4.4328104846300826e-12,4.568982425897497e-12,-9.062655788605782e-14,58075.46473651141,363.99999999621633,-2.6803107154475597e-15,3.2204534876312157e-09
900,339.1207416079126,820.2157899559302,-1.8976027771028235e-12,-1.5763484417963848e-10,-0.0039166813643454305,1.7627449758386182,-6.516247483758455e-10,1.8621079933420962e-07,0.23119288671972513,7.510685838383061,0.0003582289698741178,0.09883599162868936,34.036165497049176,108.7333720802102,-3.569738066026835e-06,-1.982378446117159e-05,-1.517578337817298e-13,-2.0414394813401184e-12,-0.6396624574493301,115.01050010761996,4.347744889458877e-22,-2.4550121156900803e-19,17.9675190252854,47.25129391491486,0.016971838578748493,0.0004908713370511932,0.0006172723817248823,0.0001645391486856523,8.39312221043064e-05,-1.8457354517968658e-11,4.217090779355096e-11,9.739056804485816e-07,2.3247851506425794e-12,-1.2827919615571097e-13,-4.0713288078160844e-11,6.105247352914148e-12,7.033253379397621e-12,12.299997639942255,4721.000000107292,4.3621760669684693e-13,1.008035851294133e-06,6.01396748638115e-12,3.4906460742959895e-19,-5.2902549409819646e-08,3.339888667861938e-07,-2.233317930272182e-12,1.0000000000000742,-1.6399927096171934e-11,-6.412396914075268e-12,1.0476394536734878e-13,58546.14070741726,363.99999999698315,-4.154604592737327e-15,9.222509755448679e-10
