milliseconds,U,I,V
0,75.0,100.0,10.0
100,74.78877595732163,100.3276094550705,10.000173032494203
200,74.58042076965027,100.6534766292804,10.000659910105634
300,74.37494090779843,100.97759385419292,10.00146285782068
400,74.17230809119734,101.2999769759267,10.00257931443016
500,73.97246949698284,101.62065544252991,10.004004555617987
600,73.77535753215591,101.93966709322301,10.005732452497595
700,73.5809462987224,102.2570264700256,10.007760630970196
800,73.38918104035127,102.57276428999963,10.010084087767916
900,73.19999267349365,102.88691939316513,10.012696451234074
1000,73.01336199611693,103.19950261549415,10.015595922663675
1100,72.82922869697641,103.5105479239332,10.01877689897175
1200,72.64755923555717,103.82007426822139,10.02223622456931
1300,72.46829793704748,104.12811310324514,10.025968661606804
1400,72.29140482047262,104.43468703900338,10.029970428838928
1500,72.11683144139205,104.7398235199549,10.034236909776014
1600,71.94453517995677,105.04354669576696,10.038764039885564
1700,71.77447382792806,105.34588055918424,10.043547736732735
1800,71.6066079180523,105.6468475801426,10.048584154167854
1900,71.44090061195364,105.94646880733526,10.0538696448652
2000,71.27730695149252,106.24476970912117,10.059399926236852
2100,71.11578569934579,106.5417737281685,10.065171006093275
2200,70.95631261318545,106.83749504965965,10.071180210053399
2300,70.7988411472053,107.13196000789095,10.077423134302741
2400,70.64333230668149,107.4251908239456,10.083895960545098
2500,70.48975976156122,107.7172028335698,10.0905958386528
2600,70.33809249870382,108.00801391926298,10.097519559741968
2700,70.1882902265192,108.2976470081204,10.104663205387094
2800,70.04031746435076,108.58612241187156,10.112023224764723
2900,69.89413863896482,108.8734604928229,10.119596059718564
3000,69.7497254094901,109.15967765263557,10.127378713495585
3100,69.6070581121188,109.44478554119019,10.135368862918083
3200,69.46609614856922,109.72880727221016,10.143562559231553
3300,69.32680842993254,110.01176075185604,10.151956591880486
3400,69.18916424066289,110.29366368171115,10.160547779153884
3500,69.05313405727232,110.57453310384814,10.169333034828414
3600,68.91869958906419,110.85437982138154,10.178310185501129
3700,68.78582741967682,111.13322304536815,10.187475824966446
3800,68.65449069803469,111.41107834155176,10.196827079896348
3900,68.52466319616552,111.68796093232295,10.2063611261366
4000,68.39631930920024,111.9638856967191,10.216075188706764
4100,68.2694338777866,112.23886719631646,10.225966571346225
4200,68.14398254507549,112.51291962318155,10.236032597120392
4300,68.01994156236363,112.78605682820846,10.24627064075701
4400,67.89728777072489,113.05829232379706,10.25667813170225
4500,67.77599862979055,113.32963927965672,10.267252549332394
4600,67.65604494674578,113.60011432584827,10.277990944434158
4700,67.53740109187581,113.86973220962197,10.288890611510762
4800,67.42004997046074,114.13850319490652,10.299949415992527
4900,67.303970520209,114.40643960167934,10.311164971417309
5000,67.18914233958961,114.67355338515341,10.322534944030549
