milliseconds,TGFb_R1_surface,TGFb_R2_surface,TGFb_R1_endo,TGFb_R2_endo,TGFb,TGFb_In,Active_R2,Active_Rec,Active_Rec_endo,Inactive_Rec,pS2_c,S2_c,S4_c,pS2_pS2_S4_c,pS2_pS2_pS2_c,Smad7mRNA,S7,Smad7mRNA1,pS2_n,pS2_pS2_S4_n,pS2_pS2_pS2_n,S2_n,S4_n
0,16.119532966105538,6.935462803106373,18.82487285472783,27.945274898198562,100.00030092904666,0.00048569865792557964,-0.013900459921549297,0.0022089735980348815,0.003614968924088797,0.05429334190050834,-0.0002697421342396077,637.6129852553505,460.60955007220787,-0.33272311121880316,0.001524963480889592,0.05642004846414957,11.961239598061974,0.3670822418273209,0.0004286943873994007,0.21907772186154553,0.0022266895054396368,237.2790176645569,169.4173908748901
100,9.861388614188957,0.10197695515576594,18.65343668974639,27.609689445050478,99.99630263262098,0.0009488464582125897,0.8261588094091,3.4340851679267463,0.04908582226855034,2.973574709366096,0.01980442331362089,639.0562061101673,460.00903795854725,-0.20079725673028662,0.000688981593963219,0.05642005314863729,9.078267625338869,0.36708226301642044,0.0014175963281729104,-0.1752344647596948,-0.0001706052001377822,237.2033603470373,169.4179705740146
200,9.436816959556378,0.10705569803007989,18.513357261376488,27.282759624571753,99.99595240443597,0.000929157969874186,0.6764449137094212,2.6043604480286286,0.061721571577853185,4.41489217633239,0.027826894813216624,638.7257661443122,460.4161256140029,0.07819660864996211,0.0012255442451938403,0.05642005392028747,7.629147343281255,0.3670826216126802,0.00041715374005188324,0.17952874674742358,-0.0007938190373880785,237.58978561079363,169.41504763261466
300,9.092743001133687,0.08605906155277208,18.326325182560915,26.676934059962843,99.99522977107593,0.0016290574141776847,0.6819930750434372,2.3070844807806727,0.08655710761550864,4.913686891885596,0.03128875187309159,638.3495263129295,460.3902763578302,0.45299755832817307,0.0011144926666329738,0.05642005312304472,7.110139856345258,0.3670829781237056,0.0019709012564399346,-0.03067781532284212,0.0025891025293614893,237.25310808727608,169.4148556630033
400,8.804146185441201,0.08125663162041727,18.28186612151063,26.458068299472703,99.99475272376237,0.0022928321111098998,0.7724134478413303,2.3096234575363304,0.1080270314259163,5.291848936004744,0.03851466425581801,637.8874083583796,460.5193340087788,0.06924894001107018,0.0012265861821626307,0.056420051459378846,6.747937320884481,0.36708224169097636,0.008705620142534827,0.10762770860432243,-5.075878545970428e-05,237.25523792720455,169.40716125262904
500,8.588121646604906,0.08334810566892782,18.112904203295862,26.159221575050225,99.99297676105739,0.002709662524384433,0.7946645657685544,2.3872508276875735,0.11565781034687098,5.5571749408136455,0.03984368985957822,636.878779623219,459.68853856178634,0.3885308806604025,0.0025193307444128206,0.05642005213596863,6.483978363791522,0.3670820823856992,0.011176996406641111,-0.05943524379126204,0.0014734074488798117,237.50757737852564,169.4189326821063
600,8.461585309530179,0.11146415243715278,18.027373690019058,25.458912363021664,99.99262993761079,0.005272876596303736,0.8503743423208544,2.434321215665524,0.13279899002649537,5.787815874376098,0.04721000680533775,635.4798769386794,459.3537155079723,1.3399121093044124,-0.0003635753422436874,0.0564200509531989,6.16453515844845,0.36708281786052627,0.00902346500096996,-0.14123952535907808,0.0014976764695307306,237.16277398450282,169.39274351090572
700,8.211654016078377,0.08802724120537588,17.95624523576146,25.13604203904546,99.9916695133903,0.005506655489212249,0.8577325298450997,2.5800542020437724,0.14256959782942052,5.975797423112707,0.050502842862693645,635.6912879784969,459.00020572236735,1.707043332140647,0.0018708785828730444,0.05642005287634794,6.076928322892944,0.367082272562125,0.016131150833363375,-0.10163160410017875,0.0007781423801569888,237.27268085733672,169.39011967206352
800,8.077766031260458,0.14670656335919813,17.686440860829332,24.870122905201907,99.99184583504717,0.007696188985877231,0.9113107197801514,2.622705144354752,0.16156378128611726,6.183779706990596,0.0546341659958819,634.3300408639311,458.8412564910236,1.6418601732250084,0.001019937239184775,0.05642005320248442,5.7856778000927696,0.367082975981108,0.014420999032498844,0.04083750996610905,0.0028212746026864558,237.15802748504032,169.40543347384482
900,7.920521534987094,0.12369611007684529,17.548395435970868,24.68833252411309,99.99009254395239,0.007403626463740533,0.9993326256365217,2.77448242337126,0.19225306256934965,6.405073885789283,0.05950701994585444,634.1481760017048,458.3151812892867,1.5619768415349333,0.0004098514587733685,0.05642005434534838,5.744346062924272,0.36708212345615887,0.017201360678641683,0.22852736119922729,-0.0006850228922294518,236.58561479103008,169.3905200083939
