miliseconds,Mrbc
0,-0.9251704442706804
100,-1.0699667268403896
200,1.0832519351196483
300,0.20453251643718384
400,1.0224730408975313
500,2.622988760932378
600,3.7370558314397484
700,5.930384619699298
800,7.192671479266111
900,9.57229189824335
1000,13.666466381624549
1100,14.870945510583818
1200,16.636143019451836
1300,18.74105280294771
1400,22.637275037259943
1500,22.511322592935432
1600,26.330783174956913
1700,29.101339236657402
1800,33.02772024491947
1900,32.76637184083294
2000,36.64548812448293
2100,38.40402853031294
2200,40.52607297730455
2300,42.922144048418765
2400,46.7887423025672
2500,49.08269835308609
2600,50.18212428337348
2700,52.73023241895859
2800,56.49856443911997
2900,59.08744824990549
3000,62.79273512894722
3100,64.62663044297604
3200,67.34859123490851
3300,67.78624843954378
3400,71.9705325595789
3500,74.21165317443564
3600,73.4594657642886
3700,77.04266251646195
3800,78.74303222768064
3900,81.49725279488867
4000,84.47980684413359
4100,85.63160334381436
4200,87.05667488114734
4300,87.6949083740491
4400,91.98579635466884
4500,91.36373843445024
4600,94.7141096722718
4700,97.3424201760768
4800,96.91829275625882
4900,100.48391397189485
5000,101.37542836366325
