miliseconds,Mrbc
0,1.4036133411550746
100,0.2871002535045394
200,0.38972392239624143
300,2.7592459881551132
400,3.686971181854841
500,3.084090222487832
600,4.726937089062711
700,7.6233720997807435
800,7.584104182027903
900,9.236551833435295
1000,14.070802537716846
1100,13.163691171608082
1200,16.52347182950449
1300,18.111019331314008
1400,20.73862720870881
1500,24.581149112877494
1600,25.7629837709216
1700,29.957961105621166
1800,31.1374261097023
1900,33.05872739447636
2000,36.46756361644387
2100,39.59267255092559
2200,42.644841396756426
2300,43.37473924398285
2400,47.65933380951422
2500,48.713075208534015
2600,52.779064506558036
2700,55.378825977717035
2800,57.88377149181544
2900,60.62191995940497
3000,62.385470401253585
3100,63.22161595968405
3200,65.56281624874686
3300,69.73831020552191
3400,71.34194961800168
3500,74.30691089843899
3600,74.38859975873658
3700,77.77787624110576
3800,77.64258482646937
3900,81.8257460982705
4000,84.04340461597573
4100,84.94575350251021
4200,87.5591260292603
4300,89.11460764659279
4400,91.83737530427845
4500,92.66374134116604
4600,95.44438289800547
4700,97.23651711340209
4800,98.7060321122673
4900,99.10705772779906
5000,99.89701762244565
